country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Argentina,2020-03-25,387,8,0.01,0.05,0.0,100.0,16.18,31.9,5.0,76.67,45510324.0,-82.0,-50.0,-77.0,-68.0,28.0,0.0,2.0,44.0,0.8571428571428571,8.571428571428571,2.5714285714285716,0.0,28.408163265306122,14.232144457531984,45.57142857142857,16.86734693877551,15.460230469555988,45.57142857142857,11.232575757575757,14.37226448737899,45.57142857142857,3.7014925373134333,2.021492537313433,2.9615384615384612,2.0618556701030926,2,3,13,21,-69.25,0.05
Argentina,2020-03-26,502,9,0.01,0.05,0.0,100.0,16.18,31.9,5.0,76.67,45510324.0,-83.0,-52.0,-77.0,-68.0,30.0,115.0,1.0,57.857142857142854,0.8571428571428571,11.142857142857142,2.5714285714285716,0.0,35.08163265306122,15.66699749459439,57.857142857142854,20.816326530612248,18.32340111665196,57.857142857142854,13.259730848861283,17.078876832676094,57.857142857142854,3.8470588235294114,1.4470588235294115,3.091603053435114,1.7892644135188867,3,3,13,22,-70.0,0.05
Argentina,2020-03-27,589,13,0.01,0.05,0.0,100.0,16.18,31.9,5.0,76.67,45510324.0,-81.0,-49.0,-75.0,-67.0,32.0,87.0,4.0,65.85714285714286,1.4285714285714286,13.857142857142858,4.142857142857143,0.3333333333333333,42.51020408163265,16.24344077831899,65.85714285714286,25.224489795918366,21.201116220556244,65.85714285714286,15.451289682539683,19.856391121050866,65.85714285714286,3.5,1.6111111111111112,2.0219298245614037,2.2033898305084745,4,3,13,23,-68.0,0.05
Argentina,2020-03-28,690,18,0.01,0.05,0.0,100.0,16.18,31.9,5.0,76.67,45510324.0,-82.0,-48.0,-75.0,-59.0,29.0,101.0,5.0,76.0,2.0,17.714285714285715,3.7142857142857144,1.75,50.836734693877546,16.35291660341634,76.0,30.387755102040817,24.15585374686567,76.0,17.873238095238097,22.901832750861896,76.0,3.114503816793893,0.14480684709692326,2.111111111111111,2.6049204052098407,5,3,13,24,-66.0,0.05
Argentina,2020-03-29,745,19,0.02,0.05,0.0,100.0,16.18,31.9,5.0,76.67,45510324.0,-86.0,-61.0,-80.0,-57.0,27.0,55.0,1.0,68.42857142857143,2.142857142857143,31.571428571428573,4.714285714285714,2.2,56.10204081632653,14.99313091828223,76.0,34.93877551020408,24.9361957726069,76.0,19.817673992673992,24.531934097308422,76.0,1.1315789473684212,-3.568421052631579,1.4693251533742333,2.546916890080429,6,3,13,25,-71.0,0.05
Argentina,2020-03-30,820,23,0.02,0.05,0.0,100.0,16.18,31.9,5.0,76.67,45510324.0,-81.0,-51.0,-77.0,-68.0,28.0,75.0,4.0,74.14285714285714,2.7142857142857144,35.0,6.285714285714286,1.8333333333333333,61.693877551020414,12.974708147250059,76.0,39.785714285714285,25.52622009009388,76.0,21.829717813051147,26.229252342140565,76.0,1.0873015873015872,-2.8538748832866485,1.6476190476190475,2.8014616321559074,0,3,14,26,-69.25,0.05
Argentina,2020-03-31,1054,27,0.02,0.05,0.0,100.0,16.18,31.9,5.0,76.67,45510324.0,-85.0,-59.0,-82.0,-76.0,30.0,234.0,4.0,95.28571428571429,3.0,45.57142857142857,7.285714285714286,2.2857142857142856,68.79591836734694,15.945028257795144,95.28571428571429,46.07142857142857,27.653765914080665,95.28571428571429,24.453146258503402,29.243798016924522,95.28571428571429,1.0674846625766874,-3.5532049925957274,1.6189320388349517,2.5592417061611377,1,3,14,27,-75.5,0.05
Argentina,2020-04-01,1054,28,0.02,0.05,0.0,100.0,16.18,31.9,5.0,76.67,45510324.0,-79.0,-46.0,-75.0,-64.0,27.0,0.0,1.0,95.28571428571429,2.857142857142857,44.0,8.571428571428571,2.5714285714285716,76.12244897959184,14.356119028035865,95.28571428571429,52.265306122448976,28.311723924807698,95.28571428571429,26.895648604269294,31.585844753421416,95.28571428571429,1.1396825396825399,-2.5618099976308937,1.4252136752136753,2.654028436018957,2,4,14,28,-66.0,0.05
Argentina,2020-04-02,1133,36,0.04,0.05,0.0,100.0,16.18,31.9,5.0,76.67,45510324.0,-79.0,-47.0,-74.0,-64.0,29.0,79.0,8.0,90.14285714285714,3.857142857142857,57.857142857142854,11.142857142857142,2.5714285714285716,80.73469387755101,12.587227240403468,95.28571428571429,57.90816326530612,27.34124187949216,95.28571428571429,29.003888888888888,33.11500626658113,95.28571428571429,0.5485436893203883,-3.298515134209023,1.170686456400742,3.1746031746031744,3,4,14,29,-66.0,0.05
Argentina,2020-04-03,1265,39,0.04,0.05,0.0,100.0,16.18,31.9,5.0,76.67,45510324.0,-77.0,-41.0,-71.0,-62.0,31.0,132.0,3.0,96.57142857142857,3.7142857142857144,65.85714285714286,13.857142857142858,4.142857142857143,85.12244897959184,11.869594314608726,96.57142857142857,63.81632653061224,25.993685295923562,96.57142857142857,32.22293650793651,34.846849351420474,96.57142857142857,0.45940170940170927,-3.040598290598291,1.390946502057613,3.080568720379147,4,4,14,30,-62.75,0.05
