country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Australia,2020-02-17,15,0,0.02,0.0,0.0,19.44,3.2,37.9,3.84,83.44,26177410.0,-1.0,0.0,7.0,17.0,-2.0,0.0,0.0,0.0,0.0,0.42857142857142855,1.0,1.0,0.10204081632653061,0.1358842473159072,0.2857142857142857,0.40816326530612246,0.3876311460137669,1.1428571428571428,0.6185064935064934,0.44776975065863095,1.3333333333333333,-0.3,-0.01428571428571429,0.0,0.0,0,2,8,21,5.75,0.0
Australia,2020-02-18,15,0,0.02,0.0,0.0,19.44,3.2,37.9,3.84,83.44,26177410.0,-3.0,-2.0,7.0,14.0,-1.0,0.0,0.0,0.0,0.0,0.2857142857142857,1.1428571428571428,0.5,0.061224489795918366,0.11239939892420772,0.2857142857142857,0.32653061224489793,0.3381943531430848,1.0,0.5916149068322981,0.45608862791197213,1.3333333333333333,-0.22222222222222224,0.17777777777777773,0.0,0.0,1,2,8,22,4.0,0.0
Australia,2020-02-19,15,0,0.02,0.0,0.0,19.44,3.2,37.9,3.84,83.44,26177410.0,-1.0,-1.0,8.0,13.0,-1.0,0.0,0.0,0.0,0.0,0.2857142857142857,1.0,0.6666666666666666,0.02040816326530612,0.05399492471560725,0.14285714285714285,0.25510204081632654,0.28669376848336725,0.8571428571428571,0.5669642857142857,0.4621215220519878,1.3333333333333333,-0.22222222222222224,0.1349206349206349,0.0,0.0,2,2,8,23,4.75,0.0
Australia,2020-02-20,15,0,0.02,0.0,0.0,19.44,3.2,37.9,3.84,83.44,26177410.0,0.0,1.0,9.0,13.0,-2.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.7142857142857143,1.25,0.0,0.0,0.0,0.20408163265306123,0.26110672384667893,0.8571428571428571,0.5442857142857143,0.4663861725869965,1.3333333333333333,-0.125,0.20833333333333331,0.0,0.0,3,2,8,24,5.75,0.0
Australia,2020-02-21,15,0,0.02,0.0,0.0,19.44,3.2,37.9,3.84,83.44,26177410.0,3.0,4.0,12.0,16.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,1.0,0.0,0.0,0.0,0.14285714285714285,0.18584103873942634,0.42857142857142855,0.5233516483516483,0.46926488525241383,1.3333333333333333,0.0,0.4615384615384615,0.0,0.0,4,2,8,25,8.75,0.0
Australia,2020-02-22,15,0,0.02,0.0,0.0,19.44,3.2,37.9,3.84,83.44,26177410.0,5.0,4.0,8.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,1.3333333333333333,0.0,0.0,0.0,0.11224489795918366,0.16975900758091012,0.42857142857142855,0.503968253968254,0.47104592825660185,1.3333333333333333,0.0,0.3,0.0,0.0,5,2,8,26,5.0,0.0
Australia,2020-02-23,15,0,0.02,0.0,0.0,19.44,3.2,37.9,3.84,83.44,26177410.0,3.0,4.0,4.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,1.1428571428571428,0.0,0.0,0.0,0.08163265306122448,0.14519283679462366,0.42857142857142855,0.485969387755102,0.47195040831497664,1.3333333333333333,0.0,0.3,0.0,0.0,6,2,8,27,2.25,0.0
Australia,2020-02-24,15,0,0.02,0.0,0.0,19.44,3.2,37.9,3.84,83.44,26177410.0,-1.0,1.0,8.0,17.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,1.0,0.0,0.0,0.0,0.05102040816326531,0.10642090623835677,0.2857142857142857,0.4692118226600985,0.4721503489249917,1.3333333333333333,0.0,0.3,0.0,0.0,0,2,9,28,6.25,0.0
Australia,2020-02-25,15,0,0.02,0.0,0.0,19.44,3.2,37.9,3.84,83.44,26177410.0,-3.0,-1.0,10.0,15.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,1.1428571428571428,0.0,0.0,0.0,0.030612244897959183,0.0827048890745495,0.2857142857142857,0.4535714285714285,0.47178120778036525,1.3333333333333333,0.0,0.22222222222222224,0.0,0.0,1,2,9,29,5.25,0.0
Australia,2020-02-26,15,0,0.02,0.0,0.0,19.44,3.2,37.9,3.84,83.44,26177410.0,-1.0,0.0,10.0,14.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,1.0,0.0,0.0,0.0,0.01020408163265306,0.03818017741606285,0.14285714285714285,0.4202380952380952,0.4671467780944166,1.3333333333333333,0.0,0.22222222222222224,0.0,0.0,2,2,9,30,5.75,0.0
Australia,2020-02-27,15,0,0.02,0.0,0.0,19.44,3.2,37.9,3.84,83.44,26177410.0,0.0,1.0,10.0,14.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.4035714285714285,0.4730845961435399,1.3333333333333333,0.0,0.125,0.0,0.0,3,2,9,31,6.25,0.0
Australia,2020-02-28,15,0,0.02,0.0,0.0,19.44,3.2,37.9,3.84,83.44,26177410.0,4.0,6.0,14.0,17.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.3813492063492063,0.47594906989836955,1.3333333333333333,0.0,0.0,0.0,0.0,4,2,9,32,10.25,0.0
Australia,2020-02-29,25,0,0.02,0.0,0.0,19.44,3.2,37.9,3.84,83.44,26177410.0,6.0,6.0,11.0,4.0,-1.0,10.0,0.0,1.4285714285714286,0.0,0.0,0.0,0.42857142857142855,0.20408163265306123,0.5399492471560392,1.4285714285714286,0.10204081632653061,0.3818017741606065,1.4285714285714286,0.3873015873015873,0.4881476335902263,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,0.0,5,2,9,33,6.75,0.0
Australia,2020-03-01,27,1,0.02,0.0,0.0,19.44,3.2,37.9,3.84,83.44,26177410.0,4.0,7.0,6.0,-1.0,0.0,2.0,1.0,1.7142857142857142,0.14285714285714285,0.0,0.0,0.42857142857142855,0.4489795918367347,0.7712017807220893,1.7142857142857142,0.22448979591836735,0.5733875369667342,1.7142857142857142,0.41111111111111115,0.5343005733840103,1.7142857142857142,1.7142857142857142,1.7142857142857142,1.7142857142857142,3.571428571428571,6,3,9,34,4.0,0.0
Australia,2020-03-02,30,1,0.02,0.0,0.0,19.44,3.2,37.9,3.84,83.44,26177410.0,0.0,5.0,6.0,10.0,0.0,3.0,0.0,2.142857142857143,0.14285714285714285,0.0,0.0,0.42857142857142855,0.7551020408163265,0.9643801918947477,2.142857142857143,0.37755102040816324,0.7633832462879733,2.142857142857143,0.4380952380952381,0.5990061359673852,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,3.225806451612903,0,3,10,35,5.25,0.0
Australia,2020-03-03,39,1,0.02,0.0,0.0,19.44,3.2,37.9,3.84,83.44,26177410.0,-2.0,7.0,9.0,15.0,-1.0,9.0,0.0,3.4285714285714284,0.14285714285714285,0.0,0.0,0.2857142857142857,1.2448979591836733,1.3214975161275162,3.4285714285714284,0.6224489795918366,1.1060091932263643,3.4285714285714284,0.5142857142857143,0.8025294284089216,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,2.5,1,3,10,36,7.25,0.0
Australia,2020-03-04,52,2,0.02,0.0,0.0,19.44,3.2,37.9,3.84,83.44,26177410.0,0.0,12.0,7.0,14.0,-1.0,13.0,1.0,5.285714285714286,0.2857142857142857,0.0,0.0,0.2857142857142857,2.0,1.882609276263885,5.285714285714286,1.0,1.6470324391380389,5.285714285714286,0.6571428571428571,1.1831564791042841,5.285714285714286,5.285714285714286,5.285714285714286,5.285714285714286,3.7735849056603774,2,3,10,37,8.25,0.0
Australia,2020-03-05,55,2,0.02,0.0,0.0,19.44,3.2,37.9,3.84,83.44,26177410.0,-2.0,9.0,6.0,13.0,0.0,3.0,0.0,5.714285714285714,0.2857142857142857,0.0,0.0,0.14285714285714285,2.816326530612245,2.0974787030196493,5.714285714285714,1.4081632653061225,2.041067488469478,5.714285714285714,0.8095238095238095,1.4998631574143027,5.714285714285714,5.714285714285714,5.714285714285714,2.352941176470588,3.571428571428571,3,3,10,38,6.5,0.0
Australia,2020-03-06,60,2,0.02,0.0,0.0,19.44,3.2,37.9,3.84,83.44,26177410.0,3.0,14.0,9.0,16.0,-2.0,5.0,0.0,6.428571428571429,0.2857142857142857,0.0,0.0,0.0,3.7346938775510203,2.0659674669132673,6.428571428571429,1.8673469387755102,2.3927311993848224,6.428571428571429,0.9904761904761905,1.8174745388238076,6.428571428571429,6.428571428571429,6.428571428571429,2.3684210526315788,3.278688524590164,4,3,10,39,10.5,0.0
Australia,2020-03-07,63,2,0.02,0.0,0.0,19.44,3.2,37.9,3.84,83.44,26177410.0,3.0,12.0,3.0,2.0,0.0,3.0,0.0,5.428571428571429,0.2857142857142857,1.4285714285714286,0.0,0.0,4.306122448979592,1.8652361587974644,6.428571428571429,2.2551020408163267,2.504111890953177,6.428571428571429,1.1476190476190478,1.988525611460933,6.428571428571429,1.6470588235294117,0.21848739495798308,1.7272727272727273,3.125,5,3,10,40,5.0,0.0
Australia,2020-03-08,76,3,0.02,0.0,0.0,19.44,3.2,37.9,3.84,83.44,26177410.0,3.0,8.0,0.0,-2.0,0.0,13.0,1.0,7.0,0.2857142857142857,1.7142857142857142,0.0,0.0,5.061224489795919,1.70405108123658,7.0,2.7551020408163263,2.709613428856904,7.0,1.3523809523809525,2.255880838600274,7.0,1.9473684210526314,0.23308270676691722,1.5806451612903225,3.896103896103896,6,3,10,41,2.25,0.0
Australia,2020-03-09,91,3,0.04,0.0,0.0,19.44,3.2,37.9,3.84,83.44,26177410.0,-3.0,3.0,-9.0,-14.0,4.0,15.0,0.0,8.714285714285714,0.2857142857142857,2.142857142857143,0.0,0.0,6.0,1.637153660730579,8.714285714285714,3.377551020408163,3.0120673795717967,8.714285714285714,1.6285714285714288,2.6171630777716066,8.714285714285714,2.090909090909091,-0.051948051948051965,1.3863636363636362,3.260869565217391,0,3,11,42,-5.75,0.0
Australia,2020-03-10,107,3,0.03,0.0,0.0,19.44,3.2,37.9,3.84,83.44,26177410.0,-2.0,9.0,6.0,13.0,-1.0,16.0,0.0,9.714285714285714,0.2857142857142857,3.4285714285714284,0.0,0.0,6.8979591836734695,1.7137187270982892,9.714285714285714,4.071428571428571,3.2810525936731,9.714285714285714,1.9380952380952379,2.992527247847704,9.714285714285714,1.419354838709677,-2.0092165898617513,1.4468085106382977,2.7777777777777777,1,3,11,43,6.5,0.0
Australia,2020-03-11,128,3,0.05,0.0,0.0,19.44,3.2,37.9,3.84,83.44,26177410.0,-1.0,8.0,6.0,14.0,-1.0,21.0,0.0,10.857142857142858,0.14285714285714285,5.285714285714286,0.0,0.0,7.6938775510204085,2.0921436642255196,10.857142857142858,4.846938775510204,3.5191622940481433,10.857142857142858,2.2857142857142856,3.390386707551475,10.857142857142858,0.8863636363636365,-4.399350649350649,1.4615384615384615,2.3255813953488373,2,3,11,44,6.75,0.0
Australia,2020-03-12,128,3,0.18,0.0,0.0,19.44,3.2,37.9,3.84,83.44,26177410.0,-1.0,11.0,6.0,13.0,-1.0,0.0,0.0,10.428571428571429,0.14285714285714285,5.714285714285714,0.0,0.0,8.36734693877551,2.107416677700436,10.857142857142858,5.591836734693877,3.517999084705826,10.857142857142858,2.6238095238095243,3.677629528527429,10.857142857142858,0.7021276595744681,-5.0121580547112465,1.6222222222222222,2.3255813953488373,3,3,11,45,7.25,0.0
Australia,2020-03-13,200,3,0.07,0.0,0.0,19.44,3.2,37.9,3.84,83.44,26177410.0,1.0,17.0,5.0,14.0,-1.0,72.0,0.0,20.0,0.14285714285714285,6.428571428571429,0.0,0.0,10.306122448979592,4.688550659706015,20.0,7.020408163265306,4.872586032083356,20.0,3.280952380952381,4.827128844659762,20.0,1.8269230769230769,-4.601648351648352,2.5,1.4925373134328357,4,3,11,46,9.25,0.0
Australia,2020-03-14,250,3,0.15,0.0,0.0,19.44,3.2,37.9,3.84,83.44,26177410.0,-1.0,20.0,-10.0,3.0,2.0,50.0,0.0,26.714285714285715,0.14285714285714285,5.428571428571429,1.4285714285714286,0.0,13.346938775510205,7.218107023245648,26.714285714285715,8.826530612244898,6.903501391645685,26.714285714285715,4.166666666666667,6.4097791373958195,26.714285714285715,3.311111111111111,1.6640522875816992,2.7500000000000004,1.1952191235059761,5,3,11,47,3.0,0.0
Australia,2020-03-15,297,3,0.08,0.0,0.0,19.44,3.2,37.9,3.84,83.44,26177410.0,-2.0,24.0,-13.0,-1.0,2.0,47.0,0.0,31.571428571428573,0.0,7.0,1.7142857142857142,0.0,16.857142857142858,9.293403409880337,31.571428571428573,10.959183673469388,8.869262989107293,31.571428571428573,5.219047619047619,8.077016099323496,31.571428571428573,3.0714285714285716,1.1240601503759402,2.946666666666667,1.006711409395973,6,3,11,48,2.0,0.0
Australia,2020-03-16,377,3,0.85,0.0,0.0,30.56,3.2,37.9,3.84,83.44,26177410.0,-1.0,33.0,-7.0,12.0,1.0,80.0,0.0,40.857142857142854,0.0,8.714285714285714,2.142857142857143,0.0,21.448979591836736,12.112687611186075,40.857142857142854,13.72448979591837,11.541674442416866,40.857142857142854,6.5809523809523816,10.304166080343746,40.857142857142854,3.3088235294117645,1.2179144385026737,3.4457831325301203,0.7936507936507936,0,3,12,49,9.25,0.0
Australia,2020-03-17,452,5,0.25,0.0,0.0,30.56,3.2,37.9,3.84,83.44,26177410.0,-5.0,35.0,-14.0,5.0,3.0,75.0,2.0,49.285714285714285,0.2857142857142857,9.714285714285714,3.4285714285714284,0.0,27.102040816326532,14.684369561769671,49.285714285714285,17.0,14.518217863136888,49.285714285714285,8.223809523809525,12.836528813043564,49.285714285714285,3.6933333333333334,2.2739784946236563,4.3125,1.1037527593818985,1,3,12,50,5.25,0.0
Australia,2020-03-18,568,6,0.27,0.0,0.0,36.11,3.2,37.9,3.84,83.44,26177410.0,-7.0,32.0,-18.0,2.0,5.0,116.0,1.0,62.857142857142854,0.42857142857142855,10.857142857142858,5.285714285714286,0.0,34.53061224489796,17.89799408927785,62.857142857142854,21.112244897959183,18.541072279988807,62.857142857142854,10.319047619047618,16.150143668443853,62.857142857142854,4.385542168674698,3.4991785323110616,2.9931972789115644,1.054481546572935,2,3,12,51,2.25,0.0
Australia,2020-03-19,681,6,1.75,0.0,0.0,44.44,3.2,37.9,3.84,83.44,26177410.0,-10.0,25.0,-22.0,0.0,5.0,113.0,0.0,79.0,0.42857142857142855,10.428571428571429,5.714285714285714,0.0,44.326530612244895,21.003678700419055,79.0,26.346938775510203,23.53278312456476,79.0,12.952380952380953,20.31352888550665,79.0,6.0,5.297872340425532,2.850515463917526,0.8797653958944283,3,3,12,52,-1.75,0.0
Australia,2020-03-20,791,7,0.29,0.0,0.0,47.22,3.2,37.9,3.84,83.44,26177410.0,-12.0,20.0,-22.0,0.0,6.0,110.0,1.0,84.42857142857143,0.5714285714285714,20.0,6.428571428571429,0.0,53.53061224489796,22.621210064909818,84.42857142857143,31.918367346938773,27.37412833308055,84.42857142857143,15.766666666666667,23.97557645769973,84.42857142857143,3.068027210884354,1.241104133961277,2.592105263157895,0.8838383838383838,4,3,12,53,-3.5,0.0
Australia,2020-03-21,1071,7,0.45,0.0,0.0,47.22,3.2,37.9,3.84,83.44,26177410.0,-17.0,11.0,-28.0,-4.0,7.0,280.0,0.0,117.28571428571429,0.5714285714285714,26.714285714285715,5.428571428571429,1.4285714285714286,66.46938775510203,29.563573178600915,117.28571428571429,39.90816326530613,34.45578729783319,117.28571428571429,19.676190476190477,30.096979850244587,117.28571428571429,3.2680412371134024,-0.04306987399770845,2.802047781569966,0.6529850746268656,5,3,12,54,-9.5,0.0
Australia,2020-03-22,1549,7,0.39,0.0,0.0,47.22,3.2,37.9,3.84,83.44,26177410.0,-18.0,10.0,-34.0,-12.0,6.0,478.0,0.0,178.85714285714286,0.5714285714285714,31.571428571428573,7.0,1.7142857142857142,87.51020408163265,47.536227298069434,178.85714285714286,52.18367346938776,49.26213573823927,178.85714285714286,25.638095238095236,41.58668203786079,178.85714285714286,4.521929824561403,1.4505012531328316,3.556818181818182,0.4516129032258065,6,3,12,55,-13.5,0.0
Australia,2020-03-23,1682,7,0.43,0.0,0.0,52.78,3.2,37.9,3.84,83.44,26177410.0,-17.0,17.0,-36.0,-6.0,8.0,133.0,0.0,186.42857142857142,0.5714285714285714,40.857142857142854,8.714285714285714,2.142857142857143,108.3061224489796,54.983635696118334,186.42857142857142,64.87755102040816,59.11141748476039,186.42857142857142,31.85238095238095,50.58003438136607,186.42857142857142,3.477815699658703,0.16899217024693858,2.9194630872483223,0.41592394533571003,0,3,13,56,-10.5,0.0
