country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Austria,2020-03-18,1225,5,8.45,0.36,0.0,81.48,106.75,44.4,7.37,81.54,8939617.0,-79.0,-30.0,-65.0,-58.0,24.0,226.0,2.0,153.85714285714286,0.7142857142857143,18.714285714285715,2.2857142857142856,0.0,81.36734693877551,47.07194212761669,153.85714285714286,45.826530612244895,48.97983369249549,153.85714285714286,29.46796536796537,44.45174456199601,153.85714285714286,6.855072463768115,1.8550724637681144,3.819148936170213,0.40783034257748774,2,3,12,21,-58.0,0.36
Austria,2020-03-19,1571,7,8.45,0.36,0.0,81.48,106.75,44.4,7.37,81.54,8939617.0,-80.0,-29.0,-67.0,-60.0,25.0,346.0,2.0,195.42857142857142,1.0,25.714285714285715,3.142857142857143,0.0,105.61224489795919,56.41010633903936,195.42857142857142,59.56122448979592,61.45993230359153,195.42857142857142,36.68364389233954,55.53070971407042,195.42857142857142,6.352941176470587,0.9046653144016208,3.6972972972972973,0.44529262086513993,3,3,12,22,-59.0,0.36
Austria,2020-03-20,1943,12,8.45,0.36,0.0,81.48,106.75,44.4,7.37,81.54,8939617.0,-81.0,-28.0,-68.0,-59.0,26.0,372.0,5.0,233.0,1.7142857142857142,39.285714285714285,5.142857142857143,0.0,133.28571428571428,65.26904027981122,233.0,75.83673469387756,74.68722551467293,233.0,44.86349206349206,67.4938926572262,233.0,4.808510638297872,-0.7496288965858477,3.1185468451242833,0.6172839506172839,4,3,12,23,-59.0,0.36
Austria,2020-03-21,2398,15,8.45,0.36,0.0,81.48,106.75,44.4,7.37,81.54,8939617.0,-88.0,-39.0,-75.0,-54.0,20.0,455.0,3.0,284.14285714285717,2.0,51.857142857142854,6.142857142857143,0.5,166.46938775510202,75.2545211553737,284.14285714285717,95.6938775510204,90.09835646216429,284.14285714285717,54.43466666666667,81.5830909587611,284.14285714285717,4.3945945945945954,-2.005405405405403,2.8014084507042254,0.6252605252188412,5,3,12,24,-64.0,0.36
Austria,2020-03-22,2909,20,8.45,0.36,0.0,81.48,106.75,44.4,7.37,81.54,8939617.0,-90.0,-69.0,-76.0,-54.0,15.0,511.0,5.0,331.14285714285717,2.7142857142857144,73.71428571428571,9.714285714285714,1.2,203.24489795918365,84.68198670727992,331.14285714285717,118.65306122448979,106.04580797302721,331.14285714285717,65.07728937728938,96.61505872972023,331.14285714285717,3.4455066921606123,-2.5278266411727204,2.6340909090909093,0.6872852233676976,6,3,12,25,-72.25,0.36
Austria,2020-03-23,3455,26,8.45,0.36,0.0,81.48,106.75,44.4,7.37,81.54,8939617.0,-79.0,-31.0,-71.0,-60.0,25.0,546.0,6.0,379.14285714285717,3.4285714285714284,100.42857142857143,12.857142857142858,1.1666666666666667,243.06122448979593,93.36108153395345,379.14285714285717,144.81632653061223,121.93100229422967,379.14285714285717,76.70934744268078,112.37740179156631,379.14285714285717,2.747887323943662,-3.571700304922317,2.448339483394834,0.7523148148148148,0,3,13,26,-60.25,0.36
Austria,2020-03-24,4073,34,8.45,0.36,0.0,81.48,106.75,44.4,7.37,81.54,8939617.0,-80.0,-32.0,-71.0,-61.0,26.0,618.0,8.0,439.14285714285717,4.428571428571429,124.71428571428571,16.285714285714285,1.5714285714285714,287.9795918367347,102.1568564689378,439.14285714285717,175.0204081632653,138.8439017919503,439.14285714285717,89.65340136054422,129.8164489565213,439.14285714285717,2.501136363636364,-3.7715909090909085,2.235636363636364,0.8345606283750614,1,3,13,27,-61.0,0.36
Austria,2020-03-25,4760,46,8.45,0.36,0.0,81.48,106.75,44.4,7.37,81.54,8939617.0,-81.0,-34.0,-73.0,-62.0,27.0,687.0,12.0,505.0,5.857142857142857,153.85714285714286,18.714285714285715,2.2857142857142856,338.14285714285717,111.13857257012604,505.0,209.75510204081633,156.4444161634825,505.0,103.97569786535304,148.99382312158073,505.0,2.2675276752767526,-4.587544788491362,2.158119658119658,0.966183574879227,2,3,13,28,-62.5,0.36
Austria,2020-03-26,5483,56,8.45,0.36,0.0,81.48,106.75,44.4,7.37,81.54,8939617.0,-81.0,-31.0,-72.0,-62.0,27.0,723.0,10.0,558.8571428571429,7.0,195.42857142857142,25.714285714285715,3.142857142857143,390.06122448979596,118.0321314820516,558.8571428571429,247.83673469387756,172.2858496631952,558.8571428571429,119.1384126984127,168.31787994429644,558.8571428571429,1.8501818181818184,-4.502759358288769,1.9599198396793587,1.0211524434719184,3,3,13,29,-61.5,0.36
Austria,2020-03-27,6237,65,8.45,0.36,0.0,81.48,106.75,44.4,7.37,81.54,8939617.0,-80.0,-26.0,-70.0,-60.0,27.0,754.0,9.0,613.4285714285714,7.571428571428571,233.0,39.285714285714285,5.142857142857143,444.40816326530614,121.2017048377949,613.4285714285714,288.84693877551024,186.56603886570545,613.4285714285714,139.58603174603175,189.2983412914402,613.4285714285714,1.6257631257631258,-3.1827475125347466,1.8468817204301073,1.042000641231164,4,3,13,30,-59.0,0.36
Austria,2020-03-28,7293,81,8.45,0.36,0.0,81.48,106.75,44.4,7.37,81.54,8939617.0,-83.0,-31.0,-66.0,-49.0,17.0,1056.0,16.0,699.2857142857143,9.428571428571429,284.14285714285717,51.857142857142854,6.142857142857143,503.7142857142857,130.89194276299867,699.2857142857143,335.0918367346939,202.83473492662995,699.2857142857143,162.89555555555555,213.07773033887642,699.2857142857143,1.4559118236472945,-2.9386827709473007,1.8395340097707629,1.110501782286811,5,3,13,31,-57.25,0.36
