country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Bahrain,2020-03-17,228,1,0.97,2.65,13.54,30.56,1935.91,32.4,2.0,77.29,1472237.0,-21.0,-8.0,-17.0,-3.0,6.0,14.0,0.0,16.857142857142858,0.14285714285714285,8.714285714285714,3.7142857142857144,22.0,18.551020408163264,1.4104290161926516,20.428571428571427,11.86734693877551,7.159423489089063,20.428571428571427,11.354437229437229,6.603186116638691,22.0,0.8382352941176473,-0.22237076648841303,0.8027210884353742,0.43668122270742354,1,3,12,21,-12.25,2.65
Bahrain,2020-03-18,256,1,0.97,2.65,13.54,66.67,1935.91,32.4,2.0,77.29,1472237.0,-29.0,-10.0,-23.0,-7.0,8.0,28.0,0.0,8.714285714285714,0.14285714285714285,20.428571428571427,2.7142857142857144,16.0,16.877551020408163,3.7764293788254,20.0,12.295918367346939,6.73645260324097,20.428571428571427,11.239648033126294,6.474813945599176,22.0,-0.5466666666666666,-5.315897435897435,0.4295774647887324,0.38910505836575876,2,3,12,22,-17.25,2.65
Bahrain,2020-03-19,278,1,0.97,2.65,13.54,66.67,1935.91,32.4,2.0,77.29,1472237.0,-33.0,-10.0,-28.0,-10.0,11.0,22.0,0.0,11.857142857142858,0.14285714285714285,20.0,3.142857142857143,10.666666666666666,15.714285714285714,3.906213435203018,19.285714285714285,12.918367346938775,6.207483781710738,20.428571428571427,11.265376984126982,6.333747280918164,22.0,-0.3877551020408163,-4.456720619282196,0.6287878787878788,0.35842293906810035,3,3,12,23,-20.25,2.65
Bahrain,2020-03-20,285,1,0.97,2.65,13.54,66.67,1935.91,32.4,2.0,77.29,1472237.0,-44.0,-17.0,-39.0,-18.0,13.0,7.0,0.0,12.857142857142858,0.14285714285714285,19.285714285714285,3.4285714285714284,8.75,14.795918367346939,3.675490751496231,18.428571428571427,13.591836734693876,5.57828744978178,20.428571428571427,11.32904761904762,6.208557689717132,22.0,-0.3169014084507042,-3.897546569741026,0.661764705882353,0.34965034965034963,4,3,12,24,-29.5,2.65
Bahrain,2020-03-21,305,1,0.97,2.65,13.54,66.67,1935.91,32.4,2.0,77.29,1472237.0,-35.0,-14.0,-29.0,-12.0,11.0,20.0,0.0,13.571428571428571,0.14285714285714285,17.857142857142858,6.285714285714286,8.0,14.183673469387754,3.4292799721381884,18.428571428571427,14.112244897959185,5.169096241534862,20.428571428571427,11.41529304029304,6.098994682151699,22.0,-0.22727272727272732,-1.8155080213903745,0.753968253968254,0.32679738562091504,5,3,12,25,-22.5,2.65
Bahrain,2020-03-22,334,2,0.97,2.65,13.54,69.44,1935.91,32.4,2.0,77.29,1472237.0,-33.0,-12.0,-30.0,-11.0,11.0,29.0,1.0,17.142857142857142,0.2857142857142857,18.428571428571427,5.428571428571429,7.666666666666667,14.0,3.1901208046560474,17.142857142857142,14.948979591836734,4.568545499812045,20.428571428571427,11.62742504409171,6.081287168348384,22.0,-0.06617647058823525,-2.0883986928104568,0.96,0.5970149253731344,6,3,12,26,-21.5,2.65
Bahrain,2020-03-23,377,2,0.97,2.65,13.54,69.44,1935.91,32.4,2.0,77.29,1472237.0,-33.0,-7.0,-31.0,-16.0,12.0,43.0,0.0,23.285714285714285,0.14285714285714285,17.0,6.571428571428571,6.857142857142857,14.897959183673468,4.701797518270888,23.285714285714285,16.142857142857142,4.391371588353867,23.285714285714285,12.043792517006803,6.361326934232475,23.285714285714285,0.34920634920634913,-1.0281521413596888,2.3970588235294117,0.5291005291005291,0,3,13,27,-21.75,2.65
Bahrain,2020-03-24,392,3,0.97,2.65,13.54,69.44,1935.91,32.4,2.0,77.29,1472237.0,-34.0,-8.0,-33.0,-19.0,13.0,15.0,1.0,23.428571428571427,0.2857142857142857,16.857142857142858,8.714285714285714,3.7142857142857144,15.836734693877549,5.706797815082919,23.428571428571427,17.19387755102041,4.234717519935514,23.428571428571427,12.436371100164205,6.5947455824524095,23.428571428571427,0.3679999999999999,-0.4702352941176474,1.822222222222222,0.7633587786259541,1,3,13,28,-23.5,2.65
Bahrain,2020-03-25,419,4,0.97,2.65,13.54,69.44,1935.91,32.4,2.0,77.29,1472237.0,-32.0,-7.0,-32.0,-20.0,13.0,27.0,1.0,23.285714285714285,0.42857142857142855,8.714285714285714,20.428571428571427,2.7142857142857144,17.918367346938773,5.320258511734296,23.428571428571427,17.39795918367347,4.465172596363697,23.428571428571427,12.798015873015874,6.776031234990984,23.428571428571427,1.5,2.046666666666667,1.6804123711340204,0.9523809523809524,2,3,13,29,-22.75,2.65
Bahrain,2020-03-26,458,4,0.97,2.65,13.54,73.15,1935.91,32.4,2.0,77.29,1472237.0,-42.0,-16.0,-40.0,-24.0,18.0,39.0,0.0,25.714285714285715,0.42857142857142855,11.857142857142858,20.0,3.142857142857143,19.897959183673468,5.266835194311923,25.714285714285715,17.80612244897959,4.955566187763987,25.714285714285715,12.921825396825398,6.980803803197294,25.714285714285715,1.0777777777777777,1.465532879818594,1.7647058823529413,0.8714596949891068,3,3,13,30,-30.5,2.65
