country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Barbados,2020-04-08,63,3,3.57,1.59,5.88,88.89,664.46,39.8,5.8,79.19,281646.0,-82.0,-70.0,-84.0,-80.0,35.0,0.0,0.0,4.142857142857143,0.42857142857142855,2.2857142857142856,2.2857142857142856,0.0,3.857142857142857,0.2973808570665885,4.142857142857143,3.1428571428571432,0.8042274489464605,4.142857142857143,2.5896103896103897,1.1098917536953454,4.142857142857143,0.565217391304348,0.565217391304348,0.8529411764705882,4.6875,2,4,15,21,-79.0,1.59
Barbados,2020-04-09,66,3,3.57,1.59,5.88,88.89,664.46,39.8,5.8,79.19,281646.0,-77.0,-59.0,-80.0,-79.0,33.0,3.0,0.0,2.857142857142857,0.42857142857142855,4.0,1.8571428571428572,1.5,3.693877551020408,0.4696834324574103,4.142857142857143,3.2142857142857144,0.7213932098830049,4.142857142857143,2.6012422360248446,1.0858075237090576,4.142857142857143,-0.22857142857142856,-0.9785714285714285,0.6060606060606061,4.477611940298507,3,4,15,22,-73.75,1.59
Barbados,2020-04-10,67,4,3.57,1.59,5.88,88.89,664.46,39.8,5.8,79.19,281646.0,-93.0,-94.0,-95.0,-90.0,,1.0,1.0,2.2857142857142856,0.5714285714285714,3.857142857142857,2.7142857142857144,1.0,3.4693877551020407,0.6984642322772514,4.142857142857143,3.183673469387755,0.7526584416320825,4.142857142857143,2.5880952380952382,1.0638920583132896,4.142857142857143,-0.3235294117647059,-0.6312217194570136,0.5333333333333333,5.88235294117647,4,4,15,23,-93.0,1.59
Barbados,2020-04-11,68,4,3.57,1.59,5.88,88.89,664.46,39.8,5.8,79.19,281646.0,-77.0,-62.0,-81.0,-67.0,25.0,1.0,0.0,2.2857142857142856,0.5714285714285714,3.7142857142857144,2.857142857142857,1.0,3.2653061224489797,0.8141126442165569,4.142857142857143,3.142857142857143,0.7864631795640825,4.142857142857143,2.576,1.043246176620846,4.142857142857143,-0.3030303030303031,-0.5252525252525253,0.4705882352941176,5.797101449275362,5,4,15,24,-71.75,1.59
Barbados,2020-04-12,71,4,3.57,1.59,5.88,88.89,664.46,39.8,5.8,79.19,281646.0,-82.0,-88.0,-89.0,-70.0,,3.0,0.0,2.142857142857143,0.42857142857142855,3.2857142857142856,2.7142857142857144,2.4,3.102040816326531,0.9173842054282871,4.142857142857143,3.102040816326531,0.8243327950989071,4.142857142857143,2.5593406593406596,1.0256919401282025,4.142857142857143,-0.26666666666666666,-0.42051282051282046,0.41666666666666663,5.555555555555555,6,4,15,25,-82.25,1.59
Barbados,2020-04-13,72,4,3.57,1.59,5.88,88.89,664.46,39.8,5.8,79.19,281646.0,-89.0,-91.0,-93.0,-89.0,40.0,1.0,0.0,1.7142857142857142,0.2857142857142857,3.857142857142857,2.2857142857142856,2.5,2.7959183673469385,0.9788829634696066,4.142857142857143,3.0612244897959187,0.880121095054584,4.142857142857143,2.528042328042328,1.0188373455075963,4.142857142857143,-0.44117647058823534,-0.9194373401534528,0.3333333333333333,5.47945205479452,0,4,16,26,-90.5,1.59
Barbados,2020-04-14,72,4,3.57,1.59,5.88,88.89,664.46,39.8,5.8,79.19,281646.0,-81.0,-76.0,-84.0,-76.0,34.0,0.0,0.0,1.2857142857142858,0.14285714285714285,4.142857142857143,2.2857142857142856,2.2857142857142856,2.3877551020408165,0.9173842054282872,4.142857142857143,2.989795918367347,0.9825227608330795,4.142857142857143,2.4836734693877554,1.026988157439511,4.142857142857143,-0.5555555555555556,-1.1207729468599035,0.33333333333333337,5.47945205479452,1,4,16,27,-79.25,1.59
Barbados,2020-04-15,73,5,3.57,1.59,5.88,88.89,664.46,39.8,5.8,79.19,281646.0,-68.0,-43.0,-80.0,-72.0,30.0,1.0,1.0,1.4285714285714286,0.2857142857142857,4.142857142857143,2.2857142857142856,2.2857142857142856,2.0,0.5532833351724874,2.857142857142857,2.9285714285714293,1.0538856860430676,4.142857142857143,2.4472906403940886,1.0273384293976064,4.142857142857143,-0.5277777777777778,-1.0929951690821258,0.4347826086956522,6.756756756756757,2,4,16,28,-65.75,1.59
Barbados,2020-04-16,75,5,3.57,1.59,5.88,88.89,664.46,39.8,5.8,79.19,281646.0,-71.0,-46.0,-79.0,-73.0,32.0,2.0,0.0,1.2857142857142858,0.2857142857142857,2.857142857142857,4.0,1.8571428571428572,1.7755102040816326,0.4581621289927266,2.2857142857142856,2.7346938775510203,1.0906440176234602,4.142857142857143,2.4085714285714284,1.0315064856015894,4.142857142857143,-0.4074074074074074,-0.17883597883597882,0.391304347826087,6.578947368421052,3,4,16,29,-67.25,1.59
Barbados,2020-04-17,75,5,3.57,1.59,5.88,88.89,664.46,39.8,5.8,79.19,281646.0,-70.0,-45.0,-80.0,-71.0,35.0,0.0,0.0,1.1428571428571428,0.14285714285714285,2.2857142857142856,3.857142857142857,2.7142857142857144,1.6122448979591835,0.44959759569682384,2.2857142857142856,2.5408163265306123,1.1167042946645993,4.142857142857143,2.4466666666666668,0.9579691553754304,4.142857142857143,-0.34782608695652173,-0.02429667519181583,0.36363636363636365,6.578947368421052,4,4,16,30,-66.5,1.59
