country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Belgium,2020-02-26,1,0,0.01,0.0,0.0,11.11,375.56,41.8,5.64,81.63,11655923.0,-1.0,-5.0,-11.0,-21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,9,21,-9.5,0.0
Belgium,2020-02-27,1,0,0.01,0.0,0.0,11.11,375.56,41.8,5.64,81.63,11655923.0,-2.0,-2.0,-15.0,-23.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,9,22,-10.5,0.0
Belgium,2020-02-28,1,0,0.01,0.0,0.0,11.11,375.56,41.8,5.64,81.63,11655923.0,-1.0,3.0,-10.0,-23.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,9,23,-7.75,0.0
Belgium,2020-02-29,1,0,0.01,0.0,0.0,11.11,375.56,41.8,5.64,81.63,11655923.0,-4.0,2.0,-2.0,-5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,9,24,-2.25,0.0
Belgium,2020-03-01,2,0,0.01,0.0,0.0,11.11,375.56,41.8,5.64,81.63,11655923.0,0.0,6.0,5.0,-1.0,0.0,1.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.02040816326530612,0.05399492471560389,0.14285714285714285,0.01020408163265306,0.038180177416060626,0.14285714285714285,0.005494505494505494,0.02801659073402629,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,6,3,9,25,2.5,0.0
Belgium,2020-03-02,8,0,0.03,0.0,0.0,11.11,375.56,41.8,5.64,81.63,11655923.0,-4.0,7.0,0.0,3.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16326530612244897,0.37278663289306824,1.0,0.08163265306122448,0.2670513783214336,1.0,0.042328042328042326,0.1933543237911986,1.0,1.0,1.0,1.0,0.0,0,3,10,26,1.5,0.0
Belgium,2020-03-03,13,0,0.05,0.0,0.0,11.11,375.56,41.8,5.64,81.63,11655923.0,2.0,6.0,1.0,4.0,0.0,5.0,0.0,1.7142857142857142,0.0,0.0,0.0,0.0,0.4081632653061224,0.6822759602306453,1.7142857142857142,0.2040816326530612,0.5096071861633037,1.7142857142857142,0.1020408163265306,0.36856269801632746,1.7142857142857142,1.7142857142857142,1.7142857142857142,1.7142857142857142,0.0,1,3,10,27,3.25,0.0
Belgium,2020-03-04,23,0,0.06,0.0,0.0,13.89,375.56,41.8,5.64,81.63,11655923.0,1.0,4.0,1.0,4.0,0.0,10.0,0.0,3.142857142857143,0.0,0.0,0.0,0.0,0.8571428571428571,1.2037356818823368,3.142857142857143,0.42857142857142855,0.9308931245954888,3.142857142857143,0.20689655172413793,0.6706967428282729,3.142857142857143,3.142857142857143,3.142857142857143,3.142857142857143,0.0,2,3,10,28,2.5,0.0
Belgium,2020-03-05,50,0,0.07,0.0,0.0,13.89,375.56,41.8,5.64,81.63,11655923.0,-4.0,1.0,-2.0,2.0,2.0,27.0,0.0,7.0,0.0,0.0,0.0,0.0,1.8571428571428572,2.5394841192330255,7.0,0.9285714285714286,1.9761132426763124,7.0,0.43333333333333335,1.4044682557459518,7.0,7.0,7.0,7.0,0.0,3,3,10,29,-0.75,0.0
Belgium,2020-03-06,109,0,0.1,0.0,0.0,13.89,375.56,41.8,5.64,81.63,11655923.0,-1.0,5.0,3.0,2.0,1.0,59.0,0.0,15.428571428571429,0.0,0.0,0.0,0.0,4.061224489795919,5.559117743622954,15.428571428571429,2.0306122448979593,4.324795644550465,15.428571428571429,0.9476190476190477,3.0734575342937034,15.428571428571429,15.428571428571429,15.428571428571429,10.0,0.0,4,3,10,30,2.25,0.0
