country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Bosnia and Herzegovina,2020-03-27,237,4,0.16,0.0,0.31,84.26,68.5,42.5,3.5,77.4,3233530.0,-72.0,-42.0,-66.0,-52.0,23.0,46.0,1.0,21.142857142857142,0.5714285714285714,10.857142857142858,1.5714285714285714,0.0,17.183673469387756,3.689214179654317,21.142857142857142,11.020408163265305,7.197561322320389,21.142857142857142,7.2572510822510825,7.624104489545312,21.142857142857142,0.8674698795180722,-2.743641231593039,1.3577981651376148,1.680672268907563,4,3,13,21,-58.0,0.0
Bosnia and Herzegovina,2020-03-28,258,5,0.16,0.0,0.31,84.26,68.5,42.5,3.5,77.4,3233530.0,-74.0,-47.0,-63.0,-51.0,17.0,21.0,1.0,23.571428571428573,0.5714285714285714,10.714285714285714,2.142857142857143,0.5,19.020408163265305,3.082128175684913,23.571428571428573,12.551020408163266,7.43888910336571,23.571428571428573,7.966563146997929,8.188814152262538,23.571428571428573,1.0975609756097564,-1.6297117516629707,1.3983050847457628,1.9305019305019304,5,3,13,22,-58.75,0.0
Bosnia and Herzegovina,2020-03-29,323,6,0.16,0.0,0.31,89.81,68.5,42.5,3.5,77.4,3233530.0,-76.0,-50.0,-59.0,-50.0,13.0,65.0,1.0,28.142857142857142,0.7142857142857143,14.571428571428571,3.0,0.3333333333333333,20.95918367346939,3.9604458329000343,28.142857142857142,14.346938775510205,7.971636195199593,28.142857142857142,8.807242063492064,9.005717877569284,28.142857142857142,0.8715596330275229,-2.02129750982962,1.3401360544217686,1.8518518518518516,6,3,13,23,-58.75,0.0
Bosnia and Herzegovina,2020-03-30,368,10,0.16,0.0,0.31,89.81,68.5,42.5,3.5,77.4,3233530.0,-69.0,-42.0,-61.0,-50.0,20.0,45.0,4.0,33.142857142857146,1.2857142857142858,15.857142857142858,3.142857142857143,0.25,23.428571428571427,5.382637747020157,33.142857142857146,16.489795918367346,8.724766582406101,33.142857142857146,9.780666666666667,10.07037989211826,33.142857142857146,1.0254237288135595,-2.04354178842782,1.6,2.710027100271003,0,3,14,24,-55.5,0.0
Bosnia and Herzegovina,2020-03-31,420,13,0.16,0.0,0.31,89.81,68.5,42.5,3.5,77.4,3233530.0,-70.0,-39.0,-65.0,-52.0,21.0,52.0,3.0,36.285714285714285,1.4285714285714286,20.0,3.0,0.6,25.755102040816325,6.94620450646793,36.285714285714285,18.867346938775512,9.283341080623778,36.285714285714285,10.800091575091574,11.152396821605748,36.285714285714285,0.7755102040816326,-3.4744897959183674,1.8814814814814815,3.0878859857482186,1,3,14,25,-56.5,0.0
Bosnia and Herzegovina,2020-04-01,459,13,0.16,0.0,0.31,89.81,68.5,42.5,3.5,77.4,3233530.0,-70.0,-40.0,-63.0,-53.0,20.0,39.0,0.0,40.42857142857143,1.4285714285714286,19.714285714285715,4.428571428571429,0.8333333333333334,28.714285714285715,8.236305888799754,40.42857142857143,21.438775510204078,9.938976172870118,40.42857142857143,11.897442680776013,12.333090019201855,40.42857142857143,1.0,-1.8157894736842106,1.8258064516129033,2.8260869565217392,2,4,14,26,-56.5,0.0
Bosnia and Herzegovina,2020-04-02,533,16,0.16,0.0,0.31,89.81,68.5,42.5,3.5,77.4,3233530.0,-67.0,-36.0,-56.0,-52.0,19.0,74.0,3.0,48.857142857142854,1.8571428571428572,18.285714285714285,7.428571428571429,1.2857142857142858,33.08163265306122,9.750931280434846,48.857142857142854,24.39795918367347,11.492701741404723,48.857142857142854,13.217431972789115,13.973474704574375,48.857142857142854,1.5851851851851853,0.29704959196484637,1.9883720930232556,2.9962546816479403,3,4,14,27,-52.75,0.0
Bosnia and Herzegovina,2020-04-03,579,17,0.2,0.0,0.31,89.81,68.5,42.5,3.5,77.4,3233530.0,-67.0,-33.0,-58.0,-49.0,19.0,46.0,1.0,48.857142857142854,1.8571428571428572,21.142857142857142,10.857142857142858,1.5714285714285714,37.04081632653061,9.721885782507641,48.857142857142854,27.112244897959183,12.49253196963428,48.857142857142854,14.446387520525452,15.234307201103388,48.857142857142854,1.2516129032258063,0.3841430237077341,1.676470588235294,2.9310344827586206,4,4,14,28,-51.75,0.0
Bosnia and Herzegovina,2020-04-04,624,21,0.2,0.0,0.31,89.81,68.5,42.5,3.5,77.4,3233530.0,-71.0,-41.0,-55.0,-48.0,14.0,45.0,4.0,52.285714285714285,2.2857142857142856,23.571428571428573,10.714285714285714,2.142857142857143,41.142857142857146,9.131317121913582,52.285714285714285,30.081632653061224,13.214771512984633,52.285714285714285,15.707698412698413,16.486611851766945,52.285714285714285,1.1686046511627906,0.07104367555303415,1.5313807531380752,3.36,5,4,14,29,-53.75,0.0
Bosnia and Herzegovina,2020-04-05,654,23,0.2,0.0,0.31,89.81,68.5,42.5,3.5,77.4,3233530.0,-74.0,-45.0,-56.0,-49.0,12.0,30.0,2.0,47.285714285714285,2.4285714285714284,28.142857142857142,14.571428571428571,3.0,43.877551020408156,7.2648761624666705,52.285714285714285,32.41836734693877,13.153419583398701,52.285714285714285,17.28388888888889,17.178927292499953,52.285714285714285,0.6568627450980392,-0.21469688792948372,1.2681992337164751,3.5114503816793894,6,4,14,30,-56.0,0.0
Bosnia and Herzegovina,2020-04-06,674,29,0.19,0.0,0.31,89.81,68.5,42.5,3.5,77.4,3233530.0,-62.0,-30.0,-53.0,-47.0,17.0,20.0,6.0,43.714285714285715,2.7142857142857144,33.142857142857146,15.857142857142858,3.142857142857143,45.38775510204082,5.560253925167615,52.285714285714285,34.40816326530612,12.548537743761853,52.285714285714285,18.724365079365082,17.53122194647704,52.285714285714285,0.309623430962343,-0.7158002978512165,1.0551724137931033,4.296296296296296,0,4,15,31,-48.0,0.0
Bosnia and Herzegovina,2020-04-07,764,33,0.18,0.0,0.31,89.81,68.5,42.5,3.5,77.4,3233530.0,-59.0,-21.0,-51.0,-48.0,16.0,90.0,4.0,49.142857142857146,2.857142857142857,36.285714285714285,20.0,3.0,47.224489795918366,3.9399032610599702,52.285714285714285,36.48979591836735,12.390774190561666,52.285714285714285,20.351349206349205,18.023558180807793,52.285714285714285,0.3448275862068967,-0.43068261787473594,0.9856733524355302,4.313725490196078,1,4,15,32,-44.75,0.0
Bosnia and Herzegovina,2020-04-08,804,34,0.15,0.0,0.31,89.81,68.5,42.5,3.5,77.4,3233530.0,-62.0,-28.0,-51.0,-49.0,16.0,40.0,1.0,49.285714285714285,3.0,40.42857142857143,19.714285714285715,4.428571428571429,48.48979591836735,2.581800699002183,52.285714285714285,38.60204081632653,11.818376794280216,52.285714285714285,21.985873015873015,18.35811765905295,52.285714285714285,0.2137931034482758,-0.7862068965517242,0.9885386819484241,4.22360248447205,2,4,15,33,-47.5,0.0
Bosnia and Herzegovina,2020-04-09,858,35,0.27,0.0,0.31,89.81,68.5,42.5,3.5,77.4,3233530.0,-62.0,-27.0,-50.0,-50.0,15.0,54.0,1.0,46.42857142857143,2.7142857142857144,48.857142857142854,18.285714285714285,7.428571428571429,48.142857142857146,2.6853089866421946,52.285714285714285,40.61224489795918,10.405955994596136,52.285714285714285,23.513492063492063,18.42381833381859,52.285714285714285,-0.04871060171919761,-1.6338957869043829,0.871313672922252,4.074505238649592,3,4,15,34,-47.25,0.0
