country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Botswana,2020-04-21,20,1,0.12,0.0,0.88,86.11,4.04,25.8,1.8,69.59,2630300.0,-63.0,-52.0,-77.0,-65.0,38.0,0.0,0.0,1.0,0.0,1.0,0.2857142857142857,1.0,0.6938775510204083,0.3818017741606065,1.0,0.8571428571428573,0.3922322702763679,1.2857142857142858,0.7044372294372295,0.3992571491739068,1.2857142857142858,0.0,-0.5555555555555556,0.7777777777777779,4.761904761904762,1,4,17,21,-64.25,0.0
Botswana,2020-04-22,22,1,0.12,0.0,0.88,86.11,4.04,25.8,1.8,69.59,2630300.0,-64.0,-52.0,-77.0,-65.0,38.0,2.0,0.0,1.2857142857142858,0.0,1.0,0.2857142857142857,0.5,0.7346938775510204,0.43195939772483133,1.2857142857142858,0.9285714285714286,0.37062465833055047,1.2857142857142858,0.7297101449275363,0.4084741087116091,1.2857142857142858,0.1428571428571429,-0.4126984126984127,1.0000000000000002,4.3478260869565215,2,4,17,22,-64.5,0.0
Botswana,2020-04-23,22,1,0.12,0.0,0.88,86.11,4.04,25.8,1.8,69.59,2630300.0,-62.0,-50.0,-76.0,-64.0,39.0,0.0,0.0,1.0,0.0,0.2857142857142857,1.2857142857142858,0.3333333333333333,0.8367346938775511,0.39060890394437003,1.2857142857142858,0.9081632653061223,0.3570643555797276,1.2857142857142858,0.7409722222222223,0.4032874002303985,1.2857142857142858,0.5555555555555556,0.9930555555555556,0.7777777777777779,4.3478260869565215,3,4,17,23,-63.0,0.0
Botswana,2020-04-24,22,1,0.12,0.0,0.88,86.11,4.04,25.8,1.8,69.59,2630300.0,-60.0,-43.0,-75.0,-60.0,40.0,0.0,0.0,1.0,0.0,0.2857142857142857,1.2857142857142858,0.25,0.9387755102040817,0.3070281386774629,1.2857142857142858,0.8877551020408163,0.34165802868796036,1.2857142857142858,0.7513333333333334,0.39818066980328,1.2857142857142858,0.5555555555555556,0.9930555555555556,0.5,4.3478260869565215,4,4,17,24,-59.5,0.0
Botswana,2020-04-25,22,1,0.12,0.0,0.88,86.11,4.04,25.8,1.8,69.59,2630300.0,-64.0,-48.0,-78.0,-39.0,30.0,0.0,0.0,1.0,0.0,0.2857142857142857,1.2857142857142858,0.2,1.0408163265306123,0.1079898494312078,1.2857142857142858,0.8673469387755102,0.3241425627509726,1.2857142857142858,0.760897435897436,0.3931719795166775,1.2857142857142858,0.5555555555555556,0.9930555555555556,0.5,4.3478260869565215,5,4,17,25,-57.25,0.0
Botswana,2020-04-26,22,1,0.12,0.0,0.88,86.11,4.04,25.8,1.8,69.59,2630300.0,-67.0,-56.0,-81.0,-27.0,32.0,0.0,0.0,0.2857142857142857,0.0,1.0,1.0,0.5,0.9387755102040817,0.3070281386774629,1.2857142857142858,0.8163265306122449,0.356278388622712,1.2857142857142858,0.7432980599647266,0.39623425648159516,1.2857142857142858,-0.35714285714285715,-0.35714285714285715,0.14285714285714285,4.3478260869565215,6,4,17,26,-57.75,0.0
Botswana,2020-04-27,22,1,0.12,0.0,0.88,86.11,4.04,25.8,1.8,69.59,2630300.0,-61.0,-51.0,-74.0,-63.0,37.0,0.0,0.0,0.2857142857142857,0.0,1.0,1.0,0.42857142857142855,0.836734693877551,0.39060890394437003,1.2857142857142858,0.7653061224489796,0.3784092244551191,1.2857142857142858,0.7269557823129251,0.39832734470705655,1.2857142857142858,-0.35714285714285715,-0.35714285714285715,0.125,4.3478260869565215,0,4,18,27,-62.25,0.0
Botswana,2020-04-28,23,1,0.13,0.0,0.88,86.11,4.04,25.8,1.8,69.59,2630300.0,-59.0,-48.0,-75.0,-64.0,37.0,1.0,0.0,0.42857142857142855,0.0,1.0,1.0,0.2857142857142857,0.7551020408163266,0.41002974601141895,1.2857142857142858,0.7244897959183673,0.3819485927679018,1.2857142857142858,0.7166666666666667,0.39505466606589285,1.2857142857142858,-0.2857142857142857,-0.2857142857142857,0.21428571428571427,4.166666666666666,1,4,18,28,-61.5,0.0
Botswana,2020-04-29,23,1,0.1,0.0,0.88,86.11,4.04,25.8,1.8,69.59,2630300.0,-55.0,-43.0,-72.0,-62.0,36.0,0.0,0.0,0.14285714285714285,0.0,1.2857142857142858,1.0,0.2857142857142857,0.5918367346938774,0.39060890394437026,1.0,0.6632653061224489,0.40253179465144734,1.2857142857142858,0.6975396825396826,0.4020718507162298,1.2857142857142858,-0.5000000000000001,-0.642857142857143,0.07142857142857142,4.166666666666666,2,4,18,29,-58.0,0.0
Botswana,2020-04-30,23,1,0.1,0.0,0.88,86.11,4.04,25.8,1.8,69.59,2630300.0,-50.0,-38.0,-73.0,-59.0,35.0,0.0,0.0,0.14285714285714285,0.0,1.0,0.2857142857142857,1.2857142857142858,0.4693877551020408,0.3753844805801745,1.0,0.653061224489796,0.41447243126315664,1.2857142857142858,0.668968253968254,0.4102098748489843,1.2857142857142858,-0.4285714285714286,-0.9841269841269842,0.07142857142857142,4.166666666666666,3,4,18,30,-55.0,0.0
