country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Brazil,2020-03-19,621,6,0.04,0.0,0.0,66.2,25.04,33.5,2.2,75.88,215313504.0,-36.0,2.0,-31.0,-17.0,10.0,249.0,3.0,81.28571428571429,0.8571428571428571,6.857142857142857,0.42857142857142855,0.0,36.44897959183673,22.783277757685966,81.28571428571429,20.010204081632654,23.07019282137515,81.28571428571429,12.815909090909093,20.600414084703967,81.28571428571429,9.472727272727273,4.9727272727272736,3.924137931034483,0.964630225080386,3,3,12,21,-20.5,0.0
Brazil,2020-03-20,793,11,0.04,0.0,0.0,66.2,25.04,33.5,2.2,75.88,215313504.0,-45.0,0.0,-37.0,-21.0,13.0,172.0,5.0,91.71428571428571,1.5714285714285714,19.714285714285715,1.7142857142857142,0.0,46.734693877551024,29.291919037408118,91.71428571428571,26.438775510204078,29.28271034101694,91.71428571428571,16.246273291925466,25.994948754783202,91.71428571428571,3.475862068965517,-3.1557168784029033,4.308724832214765,1.385390428211587,4,3,12,22,-25.75,0.0
Brazil,2020-03-21,1021,15,0.04,0.0,0.0,71.76,25.04,33.5,2.2,75.88,215313504.0,-63.0,-16.0,-50.0,-30.0,16.0,228.0,4.0,124.28571428571429,2.142857142857143,19.714285714285715,1.5714285714285714,0.3333333333333333,61.673469387755105,38.4490752775504,124.28571428571429,35.204081632653065,38.257440531210435,124.28571428571429,20.74791666666667,33.65579458687073,124.28571428571429,5.048275862068966,-2.0072796934865904,4.78021978021978,1.467710371819961,5,3,12,23,-39.75,0.0
Brazil,2020-03-22,1546,25,0.04,0.0,0.0,71.76,25.04,33.5,2.2,75.88,215313504.0,-72.0,-33.0,-60.0,-34.0,17.0,525.0,10.0,197.71428571428572,3.5714285714285716,20.285714285714285,2.5714285714285716,0.25,87.0204081632653,59.39539072404037,197.71428571428572,49.142857142857146,56.603775855770415,197.71428571428572,27.826571428571427,48.354937552193086,197.71428571428572,8.33557046979866,3.37557046979866,4.65993265993266,1.616031027795734,6,3,12,24,-49.75,0.0
Brazil,2020-03-23,1924,34,0.04,0.0,0.0,71.76,25.04,33.5,2.2,75.88,215313504.0,-65.0,-26.0,-58.0,-42.0,20.0,378.0,9.0,246.28571428571428,4.857142857142857,25.0,3.2857142857142856,0.2,118.63265306122449,77.12591776729798,246.28571428571428,66.5,75.54747849574044,246.28571428571428,36.228846153846156,63.876644564215994,246.28571428571428,8.510989010989011,3.4443223443223436,5.055718475073314,1.7662337662337664,0,3,13,25,-47.75,0.0
Brazil,2020-03-24,2247,46,0.04,0.0,0.0,71.76,25.04,33.5,2.2,75.88,215313504.0,-71.0,-33.0,-63.0,-51.0,22.0,323.0,12.0,275.14285714285717,6.428571428571429,41.42857142857143,4.142857142857143,0.16666666666666666,152.0204081632653,87.960428199602,275.14285714285717,85.85714285714286,91.39690385640475,275.14285714285717,45.07751322751323,77.70047943718056,275.14285714285717,5.508417508417509,-1.7415824915824905,3.34375,2.0462633451957295,1,3,13,26,-54.5,0.0
Brazil,2020-03-25,2554,59,0.04,0.0,0.0,71.76,25.04,33.5,2.2,75.88,215313504.0,-69.0,-32.0,-63.0,-52.0,23.0,307.0,13.0,311.7142857142857,8.0,47.714285714285715,4.857142857142857,0.42857142857142855,189.73469387755105,92.27496725612296,311.7142857142857,107.77551020408164,106.09094931613973,311.7142857142857,54.60025510204082,91.3940455973321,311.7142857142857,5.419354838709677,-1.8977183320220314,3.3620955315870575,2.309197651663405,2,3,13,27,-54.0,0.0
Brazil,2020-03-26,2985,77,0.04,0.0,0.0,71.76,25.04,33.5,2.2,75.88,215313504.0,-69.0,-29.0,-62.0,-50.0,22.0,431.0,18.0,337.7142857142857,10.142857142857142,81.28571428571429,6.857142857142857,0.42857142857142855,226.3673469387755,92.94365410132376,337.7142857142857,131.40816326530611,118.05704468394343,337.7142857142857,64.3628078817734,104.0118762227336,337.7142857142857,3.116319444444444,-6.356407828282828,2.6955530216647663,2.578700602813128,3,3,13,28,-52.5,0.0
Brazil,2020-03-27,3417,92,0.04,0.0,0.0,74.54,25.04,33.5,2.2,75.88,215313504.0,-67.0,-26.0,-60.0,-48.0,23.0,432.0,15.0,374.85714285714283,11.571428571428571,91.71428571428571,19.714285714285715,1.7142857142857142,266.81632653061223,85.92251351348055,374.85714285714283,156.77551020408166,129.7838163152447,374.85714285714283,74.71261904761904,116.8716279819205,374.85714285714283,3.053929121725732,-0.42193294723978525,1.8864126527677927,2.6916325336454068,4,3,13,29,-50.25,0.0
Brazil,2020-03-28,3904,111,0.04,0.0,0.0,74.54,25.04,33.5,2.2,75.88,215313504.0,-70.0,-27.0,-59.0,-41.0,19.0,487.0,19.0,411.85714285714283,13.714285714285714,124.28571428571429,19.714285714285715,1.5714285714285714,307.89795918367344,74.39089231274548,411.85714285714283,184.78571428571428,139.8534302283101,411.85714285714283,88.44119047619049,131.11466285777112,411.85714285714283,2.2953249714937285,-2.7529508905752373,1.6655112651646446,2.8425096030729833,5,3,13,30,-49.25,0.0
