country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Brunei,2020-03-31,129,1,0.64,0.0,0.02,52.78,81.35,32.4,2.7,75.86,449002.0,,,,,,2.0,0.0,3.5714285714285716,0.14285714285714285,6.857142857142857,7.857142857142857,0.0,5.163265306122449,0.7396844860951622,5.857142857142857,5.928571428571429,1.3642094794878992,9.142857142857142,5.9876623376623375,2.084247954252042,9.142857142857142,-0.41818181818181815,-0.30527859237536653,0.5434782608695653,0.7692307692307693,1,3,14,21,,0.0
Brunei,2020-04-01,131,1,0.64,0.0,0.02,52.78,81.35,32.4,2.7,75.86,449002.0,,,,,,2.0,0.0,3.142857142857143,0.14285714285714285,5.857142857142857,8.142857142857142,5.0,4.775510204081633,0.9858079419176434,5.571428571428571,5.571428571428571,1.3940893394407068,9.142857142857142,5.863975155279503,2.1209660201330363,9.142857142857142,-0.3958333333333333,-0.14583333333333331,0.5,0.7575757575757576,2,4,14,22,,0.0
Brunei,2020-04-02,133,1,0.64,0.0,0.02,52.78,81.35,32.4,2.7,75.86,449002.0,,,,,,2.0,0.0,2.7142857142857144,0.14285714285714285,5.571428571428571,9.142857142857142,3.3333333333333335,4.36734693877551,1.17472573975972,5.428571428571429,5.112244897959185,1.167560716392654,6.857142857142857,5.732738095238095,2.17169657661956,9.142857142857142,-0.4347826086956521,-0.0826699326393141,0.4318181818181818,0.7462686567164178,3,4,14,23,,0.0
Brunei,2020-04-03,134,1,0.64,0.0,0.02,52.78,81.35,32.4,2.7,75.86,449002.0,,,,,,1.0,0.0,2.7142857142857144,0.14285714285714285,5.285714285714286,5.857142857142857,9.0,4.0,1.2399253872658558,5.428571428571429,4.887755102040816,1.307121625274716,6.857142857142857,5.612,2.2100219744925584,9.142857142857142,-0.40909090909090906,-0.32575757575757575,0.4222222222222222,0.7407407407407408,4,4,14,24,,0.0
Brunei,2020-04-04,135,1,0.64,0.0,0.02,52.78,81.35,32.4,2.7,75.86,449002.0,,,,,,1.0,0.0,2.142857142857143,0.0,5.285714285714286,6.142857142857143,7.8,3.5510204081632653,1.2655255460390138,5.428571428571429,4.6020408163265305,1.4418923675024276,6.857142857142857,5.478571428571429,2.2697383149034143,9.142857142857142,-0.5,-0.37999999999999995,0.34883720930232553,0.7352941176470588,5,4,14,25,,0.0
Brunei,2020-04-05,135,1,0.64,0.0,0.02,52.78,81.35,32.4,2.7,75.86,449002.0,,,,,,0.0,0.0,1.2857142857142858,0.0,5.428571428571429,5.428571428571429,8.166666666666666,2.9591836734693877,1.2085699811830906,5.142857142857143,4.3061224489795915,1.666793745622499,6.857142857142857,5.323280423280424,2.3674210121919517,9.142857142857142,-0.6444444444444445,-0.6444444444444445,0.28125000000000006,0.7352941176470588,6,4,14,26,,0.0
Brunei,2020-04-06,135,1,0.64,0.0,0.02,52.78,81.35,32.4,2.7,75.86,449002.0,,,,,,0.0,0.0,1.1428571428571428,0.0,5.142857142857143,5.285714285714286,7.571428571428571,2.3877551020408165,0.9136690096970784,3.5714285714285716,4.0102040816326525,1.8384215174197764,6.857142857142857,5.173979591836734,2.453821936589096,9.142857142857142,-0.6511627906976744,-0.6284355179704018,0.27586206896551724,0.7352941176470588,0,4,15,27,,0.0
Brunei,2020-04-07,135,1,0.64,0.0,0.02,52.78,81.35,32.4,2.7,75.86,449002.0,,,,,,0.0,0.0,0.8571428571428571,0.0,3.5714285714285716,6.857142857142857,7.857142857142857,2.0,0.9035079029052424,3.142857142857143,3.5816326530612246,1.8229862210269885,5.857142857142857,5.02512315270936,2.5394461365655814,9.142857142857142,-0.5937500000000001,-0.17556818181818196,0.23076923076923075,0.7352941176470588,1,4,15,28,,0.0
Brunei,2020-04-08,135,1,0.64,0.0,0.02,52.78,81.35,32.4,2.7,75.86,449002.0,,,,,,0.0,0.0,0.5714285714285714,0.0,3.142857142857143,5.857142857142857,8.142857142857142,1.6326530612244898,0.8839350133758159,2.7142857142857144,3.204081632653061,1.8623884377273383,5.571428571428571,4.876666666666667,2.624422712419166,9.142857142857142,-0.6206896551724138,-0.2248563218390805,0.15384615384615383,0.7352941176470588,2,4,15,29,,0.0
Brunei,2020-04-09,135,1,0.64,0.0,0.02,52.78,81.35,32.4,2.7,75.86,449002.0,,,,,,0.0,0.0,0.2857142857142857,0.0,2.7142857142857144,5.571428571428571,9.142857142857142,1.2857142857142858,0.8650429583135594,2.7142857142857144,2.826530612244898,1.8812289074664714,5.428571428571429,4.886190476190476,2.6065731733204722,9.142857142857142,-0.6538461538461539,-0.21906354515050175,0.09090909090909091,0.7352941176470588,3,4,15,30,,0.0
