country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Bulgaria,2020-03-30,359,8,0.16,0.03,0.02,73.15,65.18,44.7,7.45,75.05,6781955.0,-54.0,-28.0,-55.0,-44.0,18.0,13.0,0.0,22.571428571428573,0.7142857142857143,21.285714285714285,6.857142857142857,0.0,22.897959183673468,1.144981019699142,24.285714285714285,19.061224489795915,5.033861567279916,24.285714285714285,13.279329004329004,8.951404255906647,24.285714285714285,0.05769230769230781,-1.7786713286713285,1.0063694267515926,2.2222222222222223,0,3,14,21,-45.25,0.03
Bulgaria,2020-03-31,399,8,0.16,0.03,0.02,73.15,65.18,44.7,7.45,75.05,6781955.0,-59.0,-30.0,-59.0,-46.0,20.0,40.0,0.0,25.857142857142858,0.7142857142857143,21.571428571428573,9.0,0.0,23.510204081632654,1.4282312520149594,25.857142857142858,20.26530612244898,4.42089272005685,25.857142857142858,13.826190476190478,9.130377570420482,25.857142857142858,0.18987341772151892,-1.0672694394213385,1.0225988700564972,2.0,1,3,14,22,-48.5,0.03
Bulgaria,2020-04-01,422,10,0.16,0.03,0.02,71.3,65.18,44.7,7.45,75.05,6781955.0,-63.0,-34.0,-64.0,-47.0,21.0,23.0,2.0,25.714285714285715,1.0,21.428571428571427,12.142857142857142,1.0,24.122448979591837,1.2999962622357686,25.857142857142858,21.23469387755102,3.9675319419883053,25.857142857142858,14.321527777777776,9.253534394323621,25.857142857142858,0.19108280254777082,-0.5154389365826639,1.0404624277456647,2.3640661938534278,2,4,14,23,-52.0,0.03
Bulgaria,2020-04-02,457,10,0.16,0.03,0.02,71.3,65.18,44.7,7.45,75.05,6781955.0,-61.0,-30.0,-60.0,-47.0,21.0,35.0,0.0,27.571428571428573,1.0,24.285714285714285,12.428571428571429,0.75,24.59183673469388,1.846910587224276,27.571428571428573,22.316326530612248,3.406604800710174,27.571428571428573,14.85152380952381,9.4383507305287,27.571428571428573,0.12994350282485886,-0.7530352205793963,1.102857142857143,2.1834061135371177,3,4,14,24,-49.5,0.03
Bulgaria,2020-04-03,485,14,0.16,0.03,0.02,71.3,65.18,44.7,7.45,75.05,6781955.0,-57.0,-25.0,-56.0,-45.0,20.0,28.0,4.0,27.428571428571427,1.5714285714285714,23.714285714285715,14.857142857142858,3.8,25.122448979591837,2.0725425107094226,27.571428571428573,23.214285714285715,2.909816655226407,27.571428571428573,15.33525641025641,9.570950521566417,27.571428571428573,0.15028901734104036,-0.40826954121751824,1.1566265060240963,2.880658436213992,4,4,14,25,-45.75,0.03
Bulgaria,2020-04-04,503,17,0.16,0.03,0.02,71.3,65.18,44.7,7.45,75.05,6781955.0,-69.0,-35.0,-64.0,-36.0,15.0,18.0,3.0,24.571428571428573,1.4285714285714286,24.0,17.428571428571427,6.166666666666667,25.204081632653065,2.0318168921883384,27.571428571428573,23.72448979591837,2.3986287852309376,27.571428571428573,15.677336860670195,9.551932364739748,27.571428571428573,0.02285714285714292,-0.33373200442967893,1.0424242424242425,3.373015873015873,5,4,14,26,-51.0,0.03
Bulgaria,2020-04-05,531,20,0.16,0.03,0.02,71.3,65.18,44.7,7.45,75.05,6781955.0,-70.0,-37.0,-65.0,-35.0,13.0,28.0,3.0,26.428571428571427,1.7142857142857142,22.714285714285715,19.428571428571427,6.714285714285714,25.73469387755102,1.7368134309913277,27.571428571428573,24.224489795918366,2.151057047817378,27.571428571428573,16.061309523809523,9.591055968548861,27.571428571428573,0.15662650602409628,-0.0042126548150646925,0.9840425531914893,3.7593984962406015,6,4,14,27,-51.75,0.03
Bulgaria,2020-04-06,549,22,0.16,0.03,0.02,71.3,65.18,44.7,7.45,75.05,6781955.0,-54.0,-25.0,-56.0,-44.0,18.0,18.0,2.0,27.142857142857142,2.0,22.571428571428573,21.285714285714285,6.857142857142857,26.387755102040817,1.0870739785272268,27.571428571428573,24.642857142857142,2.10460361064211,27.571428571428573,16.443431855500823,9.640413011302757,27.571428571428573,0.19393939393939383,0.13624708624708604,1.016042780748663,4.0,0,4,15,28,-44.75,0.03
Bulgaria,2020-04-07,577,23,0.16,0.03,0.02,71.3,65.18,44.7,7.45,75.05,6781955.0,-51.0,-19.0,-53.0,-45.0,18.0,28.0,1.0,25.428571428571427,2.142857142857143,25.857142857142858,21.571428571428573,9.0,26.3265306122449,1.1330360325768747,27.571428571428573,24.918367346938776,1.9155763122904128,27.571428571428573,16.74293650793651,9.613735516473676,27.571428571428573,-0.015957446808510713,-0.20583086453002963,0.8899999999999999,3.9792387543252596,1,4,15,29,-42.0,0.03
Bulgaria,2020-04-08,593,24,0.16,0.03,0.02,71.3,65.18,44.7,7.45,75.05,6781955.0,-50.0,-19.0,-51.0,-44.0,17.0,16.0,1.0,24.428571428571427,2.0,25.714285714285715,21.428571428571427,12.142857142857142,26.142857142857142,1.3350329303691446,27.571428571428573,25.132653061224488,1.643658940236328,27.571428571428573,17.557222222222222,9.171065126969394,27.571428571428573,-0.0481283422459894,-0.2392111447937602,0.8592964824120602,4.040404040404041,2,4,15,30,-41.0,0.03
