country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Cameroon,2020-03-28,91,2,,0.0,0.0,57.41,50.88,18.8,1.3,59.29,27914542.0,-24.0,-15.0,-20.0,-6.0,9.0,0.0,0.0,9.142857142857142,0.2857142857142857,3.5714285714285716,0.14285714285714285,0.0,8.326530612244898,1.5533905985932375,10.142857142857142,4.8979591836734695,3.8075478915439183,10.142857142857142,3.195779220779221,3.780732038038407,10.142857142857142,1.21875,-1.7812500000000004,1.0847457627118644,2.1739130434782608,5,3,13,21,-16.25,0.0
Cameroon,2020-03-29,139,6,,0.0,0.0,57.41,50.88,18.8,1.3,59.29,27914542.0,-26.0,-20.0,-23.0,-3.0,9.0,48.0,4.0,14.142857142857142,0.8571428571428571,5.428571428571429,0.0,0.5,9.571428571428571,2.2008038111031114,14.142857142857142,5.908163265306123,4.257639598888751,14.142857142857142,3.6717391304347826,4.342186160877283,14.142857142857142,1.3555555555555554,-4.073015873015874,1.5714285714285714,4.285714285714286,6,3,13,22,-18.0,0.0
Cameroon,2020-03-30,139,6,,0.0,0.0,57.41,50.88,18.8,1.3,59.29,27914542.0,-20.0,-16.0,-18.0,-15.0,8.0,0.0,0.0,11.857142857142858,0.8571428571428571,7.428571428571429,0.2857142857142857,0.3333333333333333,10.204081632653061,2.1170785011379616,14.142857142857142,6.7346938775510194,4.20504934679376,14.142857142857142,4.012797619047619,4.563607969917632,14.142857142857142,0.5254237288135594,-5.0301318267419965,1.1527777777777777,4.285714285714286,0,3,14,23,-17.25,0.0
Cameroon,2020-03-31,193,6,,0.0,0.0,57.41,50.88,18.8,1.3,59.29,27914542.0,-20.0,-16.0,-17.0,-17.0,9.0,54.0,0.0,18.142857142857142,0.8571428571428571,8.0,1.1428571428571428,0.25,11.653061224489795,3.4244589848856757,18.142857142857142,7.948979591836734,4.8683152511076,18.142857142857142,4.578,5.286311513521448,18.142857142857142,1.126984126984127,-2.073015873015873,1.8405797101449275,3.0927835051546393,1,3,14,24,-17.5,0.0
Cameroon,2020-04-01,233,6,,0.0,0.0,57.41,50.88,18.8,1.3,59.29,27914542.0,-24.0,-16.0,-21.0,-18.0,11.0,40.0,0.0,22.571428571428573,0.7142857142857143,9.285714285714286,1.1428571428571428,0.2,13.551020408163266,5.143801878457239,22.571428571428573,9.479591836734695,5.83622831014102,22.571428571428573,5.270054945054945,6.26735407190466,22.571428571428573,1.2916666666666667,-2.5083333333333337,2.025641025641026,2.564102564102564,2,4,14,25,-19.75,0.0
Cameroon,2020-04-02,306,7,,0.0,0.0,57.41,50.88,18.8,1.3,59.29,27914542.0,-25.0,-19.0,-24.0,-20.0,11.0,73.0,1.0,33.0,0.8571428571428571,8.857142857142858,1.5714285714285714,0.16666666666666666,17.0,8.48247493084306,33.0,11.724489795918368,8.147283216937982,33.0,6.2970899470899475,8.139323835883312,33.0,2.4492753623188404,-0.38405797101449357,3.2535211267605635,2.2801302931596092,3,4,14,26,-22.0,0.0
Cameroon,2020-04-03,509,8,,0.0,0.0,57.41,50.88,18.8,1.3,59.29,27914542.0,-27.0,-17.0,-25.0,-17.0,12.0,203.0,1.0,59.714285714285715,0.8571428571428571,10.142857142857142,2.5714285714285716,0.14285714285714285,24.081632653061227,17.59809380966365,59.714285714285715,15.806122448979593,14.803644926749994,59.714285714285715,8.20484693877551,12.872527709514133,59.714285714285715,4.448717948717949,2.3287179487179492,3.9433962264150946,1.5686274509803921,4,4,14,27,-21.5,0.0
Cameroon,2020-04-04,555,9,,0.0,0.0,68.52,50.88,18.8,1.3,59.29,27914542.0,-27.0,-17.0,-22.0,-8.0,11.0,46.0,1.0,66.28571428571429,1.0,9.142857142857142,3.5714285714285716,0.14285714285714285,32.244897959183675,22.172440190120053,66.28571428571429,20.285714285714285,19.545784113437485,66.28571428571429,10.207635467980296,16.6164899131573,66.28571428571429,5.63380281690141,4.41505281690141,5.155555555555556,1.618705035971223,5,4,14,28,-18.5,0.0
Cameroon,2020-04-05,650,9,,0.0,0.0,68.52,50.88,18.8,1.3,59.29,27914542.0,-27.0,-18.0,-25.0,-2.0,10.0,95.0,0.0,73.0,0.42857142857142855,14.142857142857142,5.428571428571429,0.0,40.6530612244898,25.12673416262647,73.0,25.112244897959183,23.531346445335167,73.0,12.300714285714287,19.950342069799444,73.0,3.886792452830189,2.531236897274634,3.8134328358208958,1.3824884792626728,6,4,14,29,-18.0,0.0
Cameroon,2020-04-06,658,9,,0.0,0.0,68.52,50.88,18.8,1.3,59.29,27914542.0,-23.0,-17.0,-21.0,-19.0,10.0,8.0,0.0,74.14285714285714,0.42857142857142855,11.857142857142858,7.428571428571429,0.2857142857142857,49.55102040816326,24.24273908709765,74.14285714285714,29.877551020408166,26.27047199872241,74.14285714285714,14.772142857142857,22.767469683643053,74.14285714285714,4.844444444444443,4.3190207156308835,3.145454545454545,1.3657056145675266,0,4,15,30,-20.0,0.0
Cameroon,2020-04-07,658,9,,0.0,0.0,68.52,50.88,18.8,1.3,59.29,27914542.0,-23.0,-16.0,-22.0,-20.0,10.0,0.0,0.0,66.42857142857143,0.42857142857142855,18.142857142857142,8.0,1.1428571428571428,56.44897959183674,20.37796405074009,74.14285714285714,34.05102040816327,27.15382121779485,74.14285714285714,16.969761904761906,24.461214383773733,74.14285714285714,2.522388059701493,1.395403932717366,1.9537815126050422,1.3657056145675266,1,4,15,31,-20.25,0.0
