country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Central African Republic,2020-04-06,8,0,,0.01,0.18,68.52,7.48,18.3,1.0,53.28,5579148.0,,,,,,0.0,0.0,0.7142857142857143,0.0,0.0,0.2857142857142857,0.0,0.40816326530612246,0.3818017741606062,0.7142857142857143,0.2653061224489796,0.31626322352280983,0.7142857142857143,0.22813852813852814,0.2738658488489729,0.7142857142857143,0.7142857142857143,0.9365079365079365,0.7142857142857143,0.0,0,4,15,21,,0.01
Central African Republic,2020-04-07,8,0,,0.01,0.18,68.52,7.48,18.3,1.0,53.28,5579148.0,,,,,,0.0,0.0,0.7142857142857143,0.0,0.0,0.2857142857142857,0.0,0.5102040816326531,0.3485357403387618,0.7142857142857143,0.2959183673469387,0.33836009407591705,0.7142857142857143,0.2492753623188406,0.28612743828097637,0.7142857142857143,0.7142857142857143,0.9365079365079365,0.7142857142857143,0.0,1,4,15,22,,0.01
Central African Republic,2020-04-08,8,0,,0.01,0.18,68.52,7.48,18.3,1.0,53.28,5579148.0,,,,,,0.0,0.0,0.7142857142857143,0.0,0.0,0.2857142857142857,0.0,0.6122448979591837,0.26997462357801927,0.7142857142857143,0.32653061224489793,0.3562783886227121,0.7142857142857143,0.26865079365079364,0.29549817125251243,0.7142857142857143,0.7142857142857143,0.9365079365079365,0.41666666666666663,0.0,2,4,15,23,,0.01
Central African Republic,2020-04-09,8,0,,0.01,0.18,68.52,7.48,18.3,1.0,53.28,5579148.0,,,,,,0.0,0.0,0.7142857142857143,0.0,0.0,0.2857142857142857,0.0,0.7142857142857143,0.0,0.7142857142857143,0.35714285714285715,0.3706246583305505,0.7142857142857143,0.2864761904761905,0.3026953745862635,0.7142857142857143,0.7142857142857143,0.9365079365079365,0.41666666666666663,0.0,3,4,15,24,,0.01
Central African Republic,2020-04-10,8,0,,0.01,0.18,68.52,7.48,18.3,1.0,53.28,5579148.0,,,,,,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.4,0.6122448979591837,0.26997462357801927,0.7142857142857143,0.35714285714285715,0.3706246583305505,0.7142857142857143,0.2754578754578755,0.3018542613845217,0.7142857142857143,-0.41666666666666663,-1.130952380952381,0.0,0.0,4,4,15,25,,0.01
Central African Republic,2020-04-11,8,0,,0.01,0.18,68.52,7.48,18.3,1.0,53.28,5579148.0,,,,,,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.3333333333333333,0.5102040816326531,0.3485357403387618,0.7142857142857143,0.35714285714285715,0.3706246583305505,0.7142857142857143,0.2652557319223986,0.3007021691787053,0.7142857142857143,-0.41666666666666663,-1.130952380952381,0.0,0.0,5,4,15,26,,0.01
Central African Republic,2020-04-12,8,0,,0.01,0.18,68.52,7.48,18.3,1.0,53.28,5579148.0,,,,,,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.2857142857142857,0.40816326530612246,0.3818017741606062,0.7142857142857143,0.35714285714285715,0.3706246583305505,0.7142857142857143,0.25578231292517006,0.299308733392525,0.7142857142857143,-0.41666666666666663,-1.130952380952381,0.0,0.0,6,4,15,27,,0.01
Central African Republic,2020-04-13,11,0,,0.01,0.18,68.52,7.48,18.3,1.0,53.28,5579148.0,,,,,,3.0,0.0,0.42857142857142855,0.0,0.7142857142857143,0.0,0.2857142857142857,0.3673469387755102,0.35816181173029066,0.7142857142857143,0.38775510204081637,0.3562783886227121,0.7142857142857143,0.26174055829228243,0.2956615428295651,0.7142857142857143,-0.16666666666666669,-0.8809523809523809,0.24999999999999997,0.0,0,4,16,28,,0.01
Central African Republic,2020-04-14,11,0,,0.01,0.18,68.52,7.48,18.3,1.0,53.28,5579148.0,,,,,,0.0,0.0,0.42857142857142855,0.0,0.7142857142857143,0.0,0.2857142857142857,0.32653061224489793,0.32695550586933103,0.7142857142857143,0.41836734693877553,0.33836009407591705,0.7142857142857143,0.2673015873015873,0.2921115593105786,0.7142857142857143,-0.16666666666666669,-0.8809523809523809,0.24999999999999997,0.0,1,4,16,29,,0.01
Central African Republic,2020-04-15,12,0,,0.01,0.18,68.52,7.48,18.3,1.0,53.28,5579148.0,,,,,,1.0,0.0,0.5714285714285714,0.0,0.7142857142857143,0.0,0.2857142857142857,0.30612244897959184,0.3022429917214022,0.7142857142857143,0.45918367346938777,0.31785471750437283,0.7142857142857143,0.28634920634920635,0.2927105466545643,0.7142857142857143,-0.08333333333333336,-0.7976190476190477,0.5714285714285714,0.0,2,4,16,30,,0.01
Central African Republic,2020-04-16,12,0,,0.01,0.18,68.52,7.48,18.3,1.0,53.28,5579148.0,,,,,,0.0,0.0,0.5714285714285714,0.0,0.7142857142857143,0.0,0.2857142857142857,0.2857142857142857,0.27355060221609656,0.5714285714285714,0.5,0.2898058680052877,0.7142857142857143,0.3053968253968254,0.29202588939535756,0.7142857142857143,-0.08333333333333336,-0.7976190476190477,0.5714285714285714,0.0,3,4,16,31,,0.01
Central African Republic,2020-04-17,12,0,,0.01,0.18,68.52,7.48,18.3,1.0,53.28,5579148.0,,,,,,0.0,0.0,0.5714285714285714,0.0,0.0,0.7142857142857143,0.0,0.36734693877551017,0.2589505620499902,0.5714285714285714,0.4897959183673469,0.2841400903421981,0.7142857142857143,0.3244444444444444,0.2900484975756036,0.7142857142857143,0.5714285714285714,0.988095238095238,0.5714285714285714,0.0,4,4,16,32,,0.01
Central African Republic,2020-04-18,12,0,,0.01,0.18,68.52,7.48,18.3,1.0,53.28,5579148.0,,,,,,0.0,0.0,0.5714285714285714,0.0,0.0,0.7142857142857143,0.0,0.4489795918367347,0.20912144420325704,0.5714285714285714,0.4795918367346939,0.27795588718114755,0.7142857142857143,0.3434920634920635,0.28675162899094364,0.7142857142857143,0.5714285714285714,0.988095238095238,0.39999999999999997,0.0,5,4,16,33,,0.01
Central African Republic,2020-04-19,12,0,,0.01,0.18,68.52,7.48,18.3,1.0,53.28,5579148.0,,,,,,0.0,0.0,0.5714285714285714,0.0,0.0,0.7142857142857143,0.0,0.5306122448979592,0.06970714806775213,0.5714285714285714,0.4693877551020408,0.2712177980281847,0.7142857142857143,0.3492063492063492,0.2896103635781991,0.7142857142857143,0.5714285714285714,0.988095238095238,0.39999999999999997,0.0,6,4,16,34,,0.01
Central African Republic,2020-04-20,12,0,,0.01,0.18,68.52,7.48,18.3,1.0,53.28,5579148.0,,,,,,0.0,0.0,0.14285714285714285,0.0,0.42857142857142855,0.7142857142857143,0.0,0.4897959183673469,0.1619847741468116,0.5714285714285714,0.4285714285714285,0.2745054065230064,0.7142857142857143,0.34285714285714286,0.2920480231975971,0.7142857142857143,-0.19999999999999998,-0.0333333333333333,0.09090909090909091,0.0,0,4,17,35,,0.01
Central African Republic,2020-04-21,14,0,,0.01,0.18,68.52,7.48,18.3,1.0,53.28,5579148.0,,,,,,2.0,0.0,0.42857142857142855,0.0,0.42857142857142855,0.7142857142857143,0.0,0.4897959183673469,0.1619847741468116,0.5714285714285714,0.4081632653061224,0.2619642195009113,0.7142857142857143,0.3476190476190476,0.29224875730831157,0.7142857142857143,0.0,0.16666666666666669,0.2727272727272727,0.0,1,4,17,36,,0.01
Central African Republic,2020-04-22,14,0,,0.01,0.18,68.52,7.48,18.3,1.0,53.28,5579148.0,,,,,,0.0,0.0,0.2857142857142857,0.0,0.5714285714285714,0.7142857142857143,0.0,0.44897959183673464,0.1735693989411302,0.5714285714285714,0.37755102040816324,0.2481146672236454,0.7142857142857143,0.34761904761904755,0.29224875730831157,0.7142857142857143,-0.18181818181818182,-0.09848484848484847,0.18181818181818182,0.0,2,4,17,37,,0.01
Central African Republic,2020-04-23,16,0,,0.01,0.18,68.52,7.48,18.3,1.0,53.28,5579148.0,,,,,,2.0,0.0,0.5714285714285714,0.0,0.5714285714285714,0.7142857142857143,0.0,0.4489795918367347,0.1735693989411302,0.5714285714285714,0.36734693877551017,0.2358343731015876,0.5714285714285714,0.35714285714285715,0.2948060825686833,0.7142857142857143,0.0,0.08333333333333336,0.36363636363636365,0.0,3,4,17,38,,0.01
Central African Republic,2020-04-24,16,0,,0.01,0.18,68.52,7.48,18.3,1.0,53.28,5579148.0,,,,,,0.0,0.0,0.5714285714285714,0.0,0.5714285714285714,0.0,0.7142857142857143,0.44897959183673464,0.1735693989411302,0.5714285714285714,0.40816326530612246,0.21597969886241541,0.5714285714285714,0.36666666666666664,0.29702568107712357,0.7142857142857143,0.0,-0.5714285714285714,0.36363636363636365,0.0,4,4,17,39,,0.01
Central African Republic,2020-04-25,16,0,,0.01,0.18,68.52,7.48,18.3,1.0,53.28,5579148.0,,,,,,0.0,0.0,0.5714285714285714,0.0,0.5714285714285714,0.0,0.7142857142857143,0.4489795918367347,0.1735693989411302,0.5714285714285714,0.4489795918367347,0.18463033504538956,0.5714285714285714,0.37619047619047624,0.29891507631392533,0.7142857142857143,0.0,-0.5714285714285714,0.5,0.0,5,4,17,40,,0.01
Central African Republic,2020-04-26,19,0,,0.01,0.18,68.52,7.48,18.3,1.0,53.28,5579148.0,,,,,,3.0,0.0,1.0,0.0,0.5714285714285714,0.0,0.7142857142857143,0.5102040816326531,0.2717684946318119,1.0,0.5204081632653061,0.19090088708030298,1.0,0.40952380952380957,0.31102955713137,1.0,0.27272727272727276,-0.29870129870129863,0.7,0.0,6,4,17,41,,0.01
Central African Republic,2020-04-27,19,0,,0.01,0.18,68.52,7.48,18.3,1.0,53.28,5579148.0,,,,,,0.0,0.0,1.0,0.0,0.14285714285714285,0.42857142857142855,0.7142857142857143,0.6326530612244897,0.2717684946318119,1.0,0.5612244897959183,0.22736139679908104,1.0,0.4428571428571429,0.31910765800306307,1.0,0.7500000000000001,0.9500000000000001,0.7777777777777779,0.0,0,4,18,42,,0.01
Central African Republic,2020-04-28,50,0,,0.01,0.18,68.52,7.48,18.3,1.0,53.28,5579148.0,,,,,,31.0,0.0,5.142857142857143,0.0,0.42857142857142855,0.42857142857142855,0.7142857142857143,1.3061224489795917,1.711164959880331,5.142857142857143,0.8979591836734694,1.242154116472388,5.142857142857143,0.6142857142857143,0.9090598804761676,5.142857142857143,3.3,3.3,3.272727272727273,0.0,1,4,18,43,,0.01
Central African Republic,2020-04-29,50,0,,0.01,0.18,68.52,7.48,18.3,1.0,53.28,5579148.0,,,,,,0.0,0.0,5.142857142857143,0.0,0.2857142857142857,0.5714285714285714,0.7142857142857143,2.0,2.155518151953576,5.142857142857143,1.2244897959183674,1.6751150158166448,5.142857142857143,0.7857142857142858,1.220716094450807,5.142857142857143,3.7777777777777786,3.9595959595959602,3.272727272727273,0.0,2,4,18,44,,0.01
Central African Republic,2020-04-30,50,0,,0.01,0.18,68.52,7.48,18.3,1.0,53.28,5579148.0,,,,,,0.0,0.0,4.857142857142857,0.0,0.5714285714285714,0.5714285714285714,0.7142857142857143,2.6122448979591835,2.2867769638532978,5.142857142857143,1.530612244897959,1.9202535901904096,5.142857142857143,0.9476190476190477,1.4189247365271664,5.142857142857143,2.727272727272727,2.727272727272727,3.090909090909091,0.0,3,4,18,45,,0.01
Central African Republic,2020-05-01,72,0,,0.01,0.18,68.52,7.48,18.3,1.0,53.28,5579148.0,,,,,,22.0,0.0,8.0,0.0,0.5714285714285714,0.5714285714285714,0.0,3.673469387755102,2.8388872565142886,8.0,2.061224489795918,2.5559450111850683,8.0,1.2142857142857144,1.9036429389797278,8.0,4.7272727272727275,4.7272727272727275,4.0,0.0,4,5,18,46,,0.01
Central African Republic,2020-05-02,72,0,,0.01,0.18,68.52,7.48,18.3,1.0,53.28,5579148.0,,,,,,0.0,0.0,8.0,0.0,0.5714285714285714,0.5714285714285714,0.0,4.7346938775510194,2.8742684031341943,8.0,2.5918367346938775,2.9617430603608117,8.0,1.480952380952381,2.2554908631037396,8.0,4.7272727272727275,4.7272727272727275,4.0,0.0,5,5,18,47,,0.01
Central African Republic,2020-05-03,72,0,,0.01,0.18,68.52,7.48,18.3,1.0,53.28,5579148.0,,,,,,0.0,0.0,7.571428571428571,0.0,1.0,0.5714285714285714,0.0,5.673469387755103,2.4999514086628603,8.0,3.0918367346938775,3.177435723940179,8.0,1.7095238095238094,2.5083907980945237,8.0,3.2857142857142856,3.0129870129870127,1.2325581395348837,0.0,6,5,18,48,,0.01
Central African Republic,2020-05-04,85,0,,0.01,0.18,68.52,7.48,18.3,1.0,53.28,5579148.0,,,,,,13.0,0.0,9.428571428571429,0.0,1.0,0.14285714285714285,0.42857142857142855,6.877551020408163,1.8078223293078421,9.428571428571429,3.7551020408163263,3.470181828047767,9.428571428571429,2.0,2.8679598193988243,9.428571428571429,4.214285714285714,3.4642857142857144,1.5348837209302324,0.0,0,5,19,49,,0.01
Central African Republic,2020-05-05,85,0,,0.01,0.18,68.52,7.48,18.3,1.0,53.28,5579148.0,,,,,,0.0,0.0,5.0,0.0,5.142857142857143,0.42857142857142855,0.42857142857142855,6.857142857142857,1.8313223355266133,9.428571428571429,4.081632653061225,3.3459431072521135,9.428571428571429,2.142857142857143,2.9081651172259746,9.428571428571429,-0.023255813953488434,-3.3232558139534882,0.853658536585366,0.0,1,5,19,50,,0.01
Central African Republic,2020-05-06,94,0,,0.01,0.18,68.52,7.48,18.3,1.0,53.28,5579148.0,,,,,,9.0,0.0,6.285714285714286,0.0,5.142857142857143,0.2857142857142857,0.5714285714285714,7.020408163265307,1.6991966317620961,9.428571428571429,4.5102040816326525,3.2035666376110723,9.428571428571429,2.3285714285714283,2.9905198557677273,9.428571428571429,0.1860465116279069,-3.5917312661498717,0.6984126984126984,0.0,2,5,19,51,,0.01
