country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
China,2020-02-13,59895,1369,,0.11,54.5,75.46,147.67,38.7,4.34,76.91,1425887360.0,,,,,,15136.0,252.0,4186.857142857143,105.14285714285714,3206.5714285714284,1071.142857142857,95.0,3313.7551020408164,530.5670417689639,4186.857142857143,2807.469387755102,809.5081116463635,4186.857142857143,1973.1083333333333,1312.234287577029,4186.857142857143,0.3056161760121143,-1.686122664760704,1.1756117127958283,2.285628422599172,3,2,7,21,,0.11
China,2020-02-14,66358,1521,,0.11,54.5,75.46,147.67,38.7,4.34,76.91,1425887360.0,,,,,,6463.0,152.0,4606.857142857143,114.71428571428571,3472.5714285714284,1268.857142857143,186.0,3475.795918367347,724.810089399183,4606.857142857143,3045.8979591836737,813.0445185232458,4606.857142857143,2087.6191511387165,1394.7332002433657,4606.857142857143,0.32654739872506694,-1.4088559087335895,1.3896406101870207,2.2920779396916773,4,2,7,22,,0.11
China,2020-02-15,68413,1663,,0.11,54.5,75.46,147.67,38.7,4.34,76.91,1425887360.0,,,,,,2055.0,142.0,4514.142857142857,122.57142857142857,3560.4285714285716,1497.857142857143,286.0,3612.0408163265306,825.9500557872777,4606.857142857143,3261.3469387755104,769.7649536548865,4606.857142857143,2188.7243055555555,1451.2192570799486,4606.857142857143,0.26778981147212183,-1.1083062617265056,1.3954073746964009,2.4307890197912707,5,2,7,23,,0.11
China,2020-02-16,70513,1766,,0.11,54.5,75.46,147.67,38.7,4.34,76.91,1425887360.0,,,,,,2100.0,103.0,4383.428571428572,123.0,3314.1428571428573,2079.285714285714,381.75,3764.7959183673474,859.856382792025,4606.857142857143,3425.9285714285716,743.4624789549343,4606.857142857143,2276.5124761904763,1486.9279905901094,4606.857142857143,0.32254589330345595,-0.2710538869465099,1.483322053562796,2.5044671980032334,6,2,7,24,,0.11
China,2020-02-17,72434,1864,,0.11,54.5,75.46,147.67,38.7,4.34,76.91,1425887360.0,,,,,,1921.0,98.0,4297.142857142857,121.71428571428571,3234.0,2405.5714285714284,465.8,3916.673469387755,844.2254257512858,4606.857142857143,3561.0408163265306,715.1054316851869,4606.857142857143,2354.2290293040296,1509.818890978806,4606.857142857143,0.3286376683594612,-0.015598352060816723,1.736119127323098,2.573341616621799,0,2,8,25,,0.11
China,2020-02-18,74211,2003,,0.11,54.5,75.46,147.67,38.7,4.34,76.91,1425887360.0,,,,,,1777.0,139.0,4260.714285714285,127.28571428571429,2954.1428571428573,2599.714285714286,826.8333333333334,4103.326530612245,733.0669323520665,4606.857142857143,3679.6836734693875,680.2835155074561,4606.857142857143,2424.839594356261,1525.2855359495884,4606.857142857143,0.4421347771439619,0.30585353572676877,1.017397236909432,2.699024416536409,1,2,8,26,,0.11
China,2020-02-19,74619,2116,,0.11,54.5,75.46,147.67,38.7,4.34,76.91,1425887360.0,,,,,,408.0,113.0,4265.714285714285,142.71428571428572,2474.1428571428573,3050.4285714285716,791.2857142857143,4359.265306122449,151.61382263756397,4606.857142857143,3766.4897959183677,671.2897605267233,4606.857142857143,2490.585119047619,1536.671312085178,4606.857142857143,0.7238254646196465,0.9126831425222681,0.9257479460548751,2.8357008844813723,2,2,8,27,,0.11
China,2020-02-20,75077,2238,,0.11,54.5,75.46,147.67,38.7,4.34,76.91,1425887360.0,,,,,,458.0,122.0,2168.8571428571427,124.14285714285714,4186.857142857143,3206.5714285714284,1071.142857142857,4070.9795918367345,848.9526177197065,4606.857142857143,3692.3673469387754,785.4539523045584,4606.857142857143,2479.4910509031197,1510.163485662379,4606.857142857143,-0.4818693501620332,-0.7874855261741476,0.48035183193064607,2.980899864141293,3,2,8,28,,0.11
China,2020-02-21,75550,2238,,0.11,54.5,75.46,147.67,38.7,4.34,76.91,1425887360.0,,,,,,473.0,0.0,1313.142857142857,102.42857142857143,4606.857142857143,3472.5714285714284,1268.857142857143,3600.448979591837,1296.9855170690546,4514.142857142857,3538.1224489795923,1011.4540535952198,4606.857142857143,2440.612777777778,1499.099127193695,4606.857142857143,-0.7148039063711054,-1.0413513050961722,0.2995014825193053,2.9622374290214557,4,2,8,29,,0.11
China,2020-02-22,77001,2443,,0.11,54.5,75.46,147.67,38.7,4.34,76.91,1425887360.0,,,,,,1451.0,205.0,1226.857142857143,111.42857142857143,4514.142857142857,3560.4285714285716,1497.857142857143,3130.836734693877,1491.552919530176,4383.428571428572,3371.438775510204,1184.904813675042,4606.857142857143,2478.341349206349,1451.5182026535128,4606.857142857143,-0.7280579636777826,-0.9958477751499044,0.28543889387443083,3.1726448663671074,5,2,8,30,,0.11
