country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Colombia,2020-03-28,608,6,0.25,0.0,0.06,87.96,44.22,32.2,1.71,77.29,51874028.0,-84.0,-61.0,-80.0,-68.0,31.0,69.0,0.0,58.857142857142854,0.8571428571428571,24.857142857142858,3.0,0.0,46.20408163265306,12.204843786635333,58.857142857142854,29.95918367346939,19.3892158418565,58.857142857142854,19.435281385281385,20.884538105604395,58.857142857142854,1.3149171270718232,-4.149368587213891,1.8149779735682818,0.9852216748768473,5,3,13,21,-73.25,0.0
Colombia,2020-03-29,702,10,0.25,0.0,0.06,87.96,44.22,32.2,1.71,77.29,51874028.0,-86.0,-68.0,-82.0,-58.0,26.0,94.0,4.0,67.28571428571429,1.1428571428571428,28.142857142857142,4.714285714285714,0.0,51.795918367346935,11.49707361253678,67.28571428571429,34.42857142857143,20.31208624744649,67.28571428571429,21.515734989648035,22.71318789195338,67.28571428571429,1.3431372549019611,-2.7568627450980383,1.5193548387096776,1.422475106685633,6,3,13,22,-73.5,0.0
Colombia,2020-03-30,798,12,0.25,0.0,0.06,87.96,44.22,32.2,1.71,77.29,51874028.0,-79.0,-56.0,-79.0,-73.0,34.0,96.0,2.0,74.42857142857143,1.2857142857142858,31.428571428571427,8.0,0.0,57.93877551020408,10.217317945812935,74.42857142857143,39.173469387755105,21.393537557025425,74.42857142857143,23.72043650793651,24.70052555497231,74.42857142857143,1.3259911894273126,-1.2771834137472902,1.3893333333333335,1.5018773466833542,0,3,14,23,-71.75,0.0
Colombia,2020-03-31,906,16,0.25,0.0,0.06,87.96,44.22,32.2,1.71,77.29,51874028.0,-78.0,-52.0,-78.0,-72.0,34.0,108.0,4.0,75.42857142857143,1.8571428571428572,43.285714285714285,10.285714285714286,0.5,62.53061224489796,9.746345655901756,75.42857142857143,43.826530612244895,21.709092682349198,75.42857142857143,25.788761904761905,26.29912000286645,75.42857142857143,0.7258064516129034,-2.1982441812984885,1.353846153846154,1.7640573318632855,1,3,14,24,-70.0,0.0
Colombia,2020-04-01,1065,17,0.25,0.0,0.06,87.96,44.22,32.2,1.71,77.29,51874028.0,-78.0,-53.0,-78.0,-73.0,33.0,159.0,1.0,85.0,1.8571428571428572,52.57142857142857,13.285714285714286,1.6,67.16326530612245,11.728919016782209,85.0,48.94897959183674,22.398251161186984,85.0,28.066117216117217,28.263456829911622,85.0,0.6053333333333334,-2.1446666666666667,1.5335051546391751,1.594746716697936,2,4,14,25,-70.5,0.0
Colombia,2020-04-02,1161,19,0.25,0.0,0.06,87.96,44.22,32.2,1.71,77.29,51874028.0,-78.0,-51.0,-78.0,-73.0,34.0,96.0,2.0,95.71428571428571,1.8571428571428572,54.714285714285715,14.142857142857142,1.3333333333333333,73.02040816326532,14.407440578510943,95.71428571428571,54.77551020408163,23.241393423028676,95.71428571428571,30.57160493827161,30.62010265078831,95.71428571428571,0.7358974358974357,-1.943347847121432,1.5990453460620524,1.6351118760757317,3,4,14,26,-70.0,0.0
Colombia,2020-04-03,1267,25,0.25,0.0,0.06,87.96,44.22,32.2,1.71,77.29,51874028.0,-79.0,-53.0,-78.0,-71.0,36.0,106.0,6.0,104.0,2.7142857142857144,54.42857142857143,20.714285714285715,1.7142857142857142,80.10204081632652,15.856009029758969,104.0,60.724489795918366,24.478450734219503,104.0,33.19404761904762,33.09723345779582,104.0,0.8943298969072164,-0.6583016820401519,1.523012552301255,1.971608832807571,4,4,14,27,-70.25,0.0
Colombia,2020-04-04,1406,32,0.25,0.0,0.06,87.96,44.22,32.2,1.71,77.29,51874028.0,-82.0,-58.0,-79.0,-66.0,31.0,139.0,7.0,114.0,3.7142857142857144,58.857142857142854,24.857142857142858,3.0,87.9795918367347,17.18436019116761,114.0,67.09183673469387,25.97889537986762,114.0,35.98045977011495,35.79753011318137,114.0,0.9212410501193319,-0.3936760769524913,1.5113636363636362,2.2743425728500357,5,4,14,28,-71.25,0.0
Colombia,2020-04-05,1485,35,0.25,0.0,0.06,87.96,44.22,32.2,1.71,77.29,51874028.0,-85.0,-66.0,-81.0,-57.0,26.0,79.0,3.0,111.85714285714286,3.5714285714285716,67.28571428571429,28.142857142857142,4.714285714285714,94.34693877551021,16.481871538365763,114.0,73.07142857142857,25.95865266826551,114.0,38.509682539682544,37.80454750216582,114.0,0.6527196652719665,-0.6904175896299947,1.4635514018691589,2.355316285329744,6,4,14,29,-72.25,0.0
Colombia,2020-04-06,1579,46,0.25,0.0,0.06,87.96,44.22,32.2,1.71,77.29,51874028.0,-77.0,-54.0,-78.0,-72.0,34.0,94.0,11.0,111.57142857142857,4.857142857142857,74.42857142857143,31.428571428571427,8.0,99.65306122448979,14.903968595088417,114.0,78.79591836734694,24.88344662872673,114.0,42.22873015873016,39.34218327987007,114.0,0.4924242424242424,-0.8335669470030702,1.2973421926910298,2.911392405063291,0,4,15,30,-70.25,0.0
