country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Cote d'Ivoire,2020-04-02,194,1,0.0,0.0,0.97,80.56,76.4,18.7,,57.78,28160548.0,,,,,,4.0,0.0,14.0,0.14285714285714285,12.428571428571429,1.1428571428571428,0.0,16.061224489795915,3.567480811323899,21.571428571428573,10.959183673469386,6.686387815099006,21.571428571428573,7.088744588744588,7.430334337223971,21.571428571428573,0.11702127659574466,-5.149645390070923,1.0425531914893618,0.5128205128205128,3,4,14,21,,0.0
Cote d'Ivoire,2020-04-03,218,1,0.0,0.0,0.97,80.56,76.4,18.7,,57.78,28160548.0,,,,,,24.0,0.0,16.714285714285715,0.14285714285714285,13.142857142857142,1.1428571428571428,0.0,16.571428571428573,3.327886706601169,21.571428571428573,12.071428571428571,6.20572227955691,21.571428571428573,7.507246376811594,7.53184141256564,21.571428571428573,0.25252525252525265,-5.347474747474748,0.740506329113924,0.45662100456621,4,4,14,22,,0.0
Cote d'Ivoire,2020-04-04,245,1,0.0,0.0,0.97,80.56,76.4,18.7,,57.78,28160548.0,,,,,,27.0,0.0,20.571428571428573,0.14285714285714285,12.428571428571429,1.8571428571428572,0.0,17.73469387755102,3.0499565865412226,21.571428571428573,13.408163265306124,5.841135226230055,21.571428571428573,8.051587301587302,7.8341267341807965,21.571428571428573,0.6063829787234043,-3.0936170212765957,0.9600000000000002,0.40650406504065045,5,4,14,23,,0.0
Cote d'Ivoire,2020-04-05,261,3,0.0,0.0,0.97,80.56,76.4,18.7,,57.78,28160548.0,,,,,,16.0,2.0,13.714285714285714,0.2857142857142857,21.571428571428573,1.8571428571428572,0.0,16.612244897959183,2.8412825092510734,20.571428571428573,14.255102040816327,4.805209944471809,21.571428571428573,8.278095238095238,7.752351702296521,21.571428571428573,-0.3481012658227849,-7.248101265822785,0.8495575221238938,1.1450381679389312,6,4,14,24,,0.0
Cote d'Ivoire,2020-04-06,323,3,0.0,0.0,0.97,80.56,76.4,18.7,,57.78,28160548.0,,,,,,62.0,0.0,22.142857142857142,0.2857142857142857,20.428571428571427,3.4285714285714284,0.0,16.857142857142858,3.2670276074369324,22.142857142857142,15.59183673469388,4.11523842100526,22.142857142857142,8.811355311355312,8.067745818289183,22.142857142857142,0.08000000000000006,-3.7587096774193545,1.3247863247863247,0.9259259259259258,0,4,15,25,,0.0
Cote d'Ivoire,2020-04-07,349,3,0.0,0.0,0.97,80.56,76.4,18.7,,57.78,28160548.0,,,,,,26.0,0.0,24.285714285714285,0.2857142857142857,15.142857142857142,9.714285714285714,0.6666666666666666,18.163265306122447,4.170212291231208,24.285714285714285,16.63265306122449,4.350324077397084,24.285714285714285,9.38447971781305,8.453037955437848,24.285714285714285,0.5663716814159292,0.059705014749262486,1.619047619047619,0.8571428571428572,1,4,15,26,,0.0
Cote d'Ivoire,2020-04-08,384,3,0.0,0.0,0.97,80.56,76.4,18.7,,57.78,28160548.0,,,,,,35.0,0.0,27.714285714285715,0.2857142857142857,15.714285714285714,10.571428571428571,0.7142857142857143,19.877551020408163,5.30718199782309,27.714285714285715,17.857142857142858,4.891924592288857,27.714285714285715,10.039115646258503,8.989258107812356,27.714285714285715,0.7179487179487181,0.27350427350427364,1.564516129032258,0.7792207792207793,2,4,15,27,,0.0
Cote d'Ivoire,2020-04-09,444,3,0.0,0.0,0.97,80.56,76.4,18.7,,57.78,28160548.0,,,,,,60.0,0.0,35.714285714285715,0.2857142857142857,14.0,12.428571428571429,1.1428571428571428,22.979591836734695,7.2789083857835255,35.714285714285715,19.520408163265305,6.573723235977077,35.714285714285715,10.92446633825944,10.032563737853573,35.714285714285715,1.4476190476190476,1.330597771023303,1.6556291390728477,0.6741573033707865,3,4,15,28,,0.0
Cote d'Ivoire,2020-04-10,444,3,0.0,0.0,0.97,80.56,76.4,18.7,,57.78,28160548.0,,,,,,0.0,0.0,32.285714285714285,0.2857142857142857,16.714285714285715,13.142857142857142,1.1428571428571428,25.20408163265306,7.423009430078085,35.714285714285715,20.887755102040813,7.11382640545398,35.714285714285715,11.636507936507936,10.601493390341531,35.714285714285715,0.879032258064516,0.6265070055392634,2.1941747572815533,0.6741573033707865,4,4,15,29,,0.0
Cote d'Ivoire,2020-04-11,533,4,0.0,0.0,0.97,80.56,76.4,18.7,,57.78,28160548.0,,,,,,89.0,1.0,41.142857142857146,0.42857142857142855,20.571428571428573,12.428571428571429,1.8571428571428572,28.142857142857142,9.153639475435904,41.142857142857146,22.938775510204085,8.492995412087927,41.142857142857146,13.007936507936508,11.6532517850286,41.142857142857146,0.9536423841059603,0.34725940538255595,1.777777777777778,0.7490636704119851,5,4,15,30,,0.0
Cote d'Ivoire,2020-04-12,574,5,0.0,0.0,0.97,80.56,76.4,18.7,,57.78,28160548.0,,,,,,41.0,1.0,44.714285714285715,0.2857142857142857,13.714285714285714,21.571428571428573,1.8571428571428572,32.57142857142857,8.484078726457854,44.714285714285715,24.591836734693878,10.272252659609194,44.714285714285715,14.498412698412698,12.740907004147967,44.714285714285715,2.1067961165048543,2.454897382327639,1.768361581920904,0.8695652173913043,6,4,15,31,,0.0
Cote d'Ivoire,2020-04-13,626,6,0.0,0.0,0.97,80.56,76.4,18.7,,57.78,28160548.0,,,,,,52.0,1.0,43.285714285714285,0.42857142857142855,22.142857142857142,20.428571428571427,3.4285714285714284,35.59183673469387,7.895761616609055,44.714285714285715,26.22448979591837,11.32240721470839,44.714285714285715,15.941269841269841,13.472373120224653,44.714285714285715,0.9135802469135802,0.8335802469135801,1.507462686567164,0.9569377990430622,0,4,16,32,,0.0
Cote d'Ivoire,2020-04-14,638,6,0.0,0.0,0.97,80.56,76.4,18.7,,57.78,28160548.0,,,,,,12.0,0.0,41.285714285714285,0.42857142857142855,24.285714285714285,15.142857142857142,9.714285714285714,38.0204081632653,6.289732790917812,44.714285714285715,28.091836734693878,11.508458038068962,44.714285714285715,17.317460317460316,13.89001137070192,44.714285714285715,0.672316384180791,0.10594470276486179,1.1245136186770428,0.9389671361502347,1,4,16,33,,0.0
Cote d'Ivoire,2020-04-15,638,6,0.01,0.0,0.97,80.56,76.4,18.7,,57.78,28160548.0,,,,,,0.0,0.0,36.285714285714285,0.42857142857142855,27.714285714285715,15.714285714285714,10.571428571428571,39.24489795918367,4.539856965077482,44.714285714285715,29.561224489795915,11.11301502464018,44.714285714285715,18.52698412698413,13.909872271720578,44.714285714285715,0.2985074626865671,-0.419441255262151,1.090128755364807,0.9389671361502347,2,4,16,34,,0.0
Cote d'Ivoire,2020-04-16,654,6,0.01,0.0,0.97,80.56,76.4,18.7,,57.78,28160548.0,,,,,,16.0,0.0,30.0,0.42857142857142855,35.714285714285715,14.0,12.428571428571429,38.42857142857143,5.656854249492382,44.714285714285715,30.70408163265306,10.172524988090506,44.714285714285715,19.504761904761907,13.639457876537673,44.714285714285715,-0.15564202334630353,-1.6032610709653512,0.711864406779661,0.9160305343511451,3,4,16,35,,0.0
