country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Croatia,2020-03-18,81,0,0.02,0.2,0.3,44.44,73.73,44.0,5.54,78.49,4030361.0,-30.0,7.0,-45.0,-33.0,12.0,16.0,0.0,8.857142857142858,0.0,1.2857142857142858,1.0,2.0,5.122448979591837,2.6321256656782666,8.857142857142858,3.0,2.8406115157408443,8.857142857142858,2.3602813852813855,2.404598160874513,8.857142857142858,3.3125000000000004,3.1696428571428577,2.2142857142857144,0.0,2,3,12,21,-25.25,0.2
Croatia,2020-03-19,105,1,0.02,0.2,0.3,50.0,73.73,44.0,5.54,78.49,4030361.0,-57.0,-14.0,-51.0,-40.0,15.0,24.0,1.0,12.285714285714286,0.14285714285714285,1.2857142857142858,1.0,1.0,6.6938775510204085,3.1852429412451713,12.285714285714286,3.806122448979592,3.700569408795894,12.285714285714286,2.7918219461697724,3.1308939327653103,12.285714285714286,4.8125,4.669642857142857,2.606060606060606,0.9433962264150944,3,3,12,22,-40.5,0.2
Croatia,2020-03-20,128,1,0.02,0.2,0.3,74.07,73.73,44.0,5.54,78.49,4030361.0,-65.0,-20.0,-57.0,-45.0,18.0,23.0,0.0,13.714285714285714,0.14285714285714285,3.0,0.8571428571428571,1.3333333333333333,8.224489795918368,3.654144178778431,13.714285714285714,4.724489795918367,4.434934912583471,13.714285714285714,3.246924603174603,3.787762345541131,13.714285714285714,2.6785714285714284,1.5247252747252746,2.1818181818181817,0.7751937984496124,4,3,12,23,-46.75,0.2
Croatia,2020-03-21,206,1,0.02,0.2,0.3,85.19,73.73,44.0,5.54,78.49,4030361.0,-73.0,-28.0,-61.0,-41.0,13.0,78.0,0.0,24.0,0.14285714285714285,3.7142857142857144,0.8571428571428571,1.25,11.122448979591837,6.453090053161196,24.0,6.377551020408163,6.6449794891221785,24.0,4.077047619047619,5.565694159215263,24.0,4.303030303030303,2.7645687645687644,3.230769230769231,0.4830917874396135,5,3,12,24,-50.75,0.2
Croatia,2020-03-22,254,1,0.02,0.2,0.3,85.19,73.73,44.0,5.54,78.49,4030361.0,-79.0,-49.0,-56.0,-44.0,11.0,48.0,0.0,29.285714285714285,0.14285714285714285,5.285714285714286,0.7142857142857143,1.2,14.551020408163264,8.78829949244459,29.285714285714285,8.418367346938776,8.807458000959379,29.285714285714285,5.046611721611721,7.360658373302639,29.285714285714285,3.8181818181818183,1.1515151515151518,3.53448275862069,0.39215686274509803,6,3,12,25,-57.0,0.2
Croatia,2020-03-23,315,1,0.02,0.2,0.3,96.3,73.73,44.0,5.54,78.49,4030361.0,-73.0,-39.0,-77.0,-58.0,22.0,61.0,0.0,36.857142857142854,0.14285714285714285,6.428571428571429,0.7142857142857143,1.0,18.897959183673468,11.27477296201547,36.857142857142854,11.0,11.315512199035915,36.857142857142854,6.224779541446208,9.464333938164957,36.857142857142854,4.096153846153845,0.7628205128205119,3.739130434782608,0.31645569620253167,0,3,13,26,-61.75,0.2
Croatia,2020-03-24,382,1,0.02,0.2,0.3,96.3,73.73,44.0,5.54,78.49,4030361.0,-80.0,-50.0,-82.0,-63.0,27.0,67.0,0.0,45.285714285714285,0.14285714285714285,7.285714285714286,0.7142857142857143,1.1428571428571428,24.3265306122449,13.649827261052051,45.285714285714285,14.183673469387754,14.121298761700395,45.285714285714285,7.619812925170068,11.8637002446287,45.285714285714285,4.586206896551725,0.752873563218392,3.408602150537634,0.26109660574412535,1,3,13,27,-68.75,0.2
Croatia,2020-03-25,442,1,0.11,0.2,0.3,96.3,73.73,44.0,5.54,78.49,4030361.0,-80.0,-49.0,-82.0,-64.0,27.0,60.0,0.0,51.57142857142857,0.14285714285714285,8.857142857142858,1.2857142857142858,1.0,30.428571428571427,15.056808526151789,51.57142857142857,17.77551020408163,16.740583640198675,51.57142857142857,9.135385878489327,14.224365404294797,51.57142857142857,4.333333333333332,1.0208333333333317,3.504854368932039,0.2257336343115124,2,3,13,28,-68.75,0.2
Croatia,2020-03-26,495,3,0.14,0.2,0.3,96.3,73.73,44.0,5.54,78.49,4030361.0,-79.0,-51.0,-82.0,-64.0,28.0,53.0,2.0,55.714285714285715,0.2857142857142857,12.285714285714286,1.2857142857142858,1.0,36.632653061224495,15.280786286812791,55.714285714285715,21.663265306122447,18.808846505964997,55.714285714285715,10.688015873015873,16.360787968180688,55.714285714285715,3.268817204301075,-1.543682795698925,2.2285714285714286,0.6048387096774194,3,3,13,29,-69.0,0.2
Croatia,2020-03-27,586,3,0.14,0.2,0.3,96.3,73.73,44.0,5.54,78.49,4030361.0,-78.0,-47.0,-79.0,-63.0,29.0,91.0,0.0,65.42857142857143,0.2857142857142857,13.714285714285714,3.0,0.8571428571428571,44.0204081632653,14.848767916873575,65.42857142857143,26.122448979591837,21.281536365767007,65.42857142857143,12.802301587301589,19.072933327303637,65.42857142857143,3.5145631067961167,0.8359916782246883,2.160377358490566,0.5110732538330494,4,3,13,30,-66.75,0.2
