country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Cuba,2020-04-03,269,6,0.09,18.17,1.31,66.67,110.41,43.1,5.2,78.8,11212198.0,,,,,,36.0,0.0,27.0,0.5714285714285714,9.142857142857142,1.7142857142857142,1.0,20.0,4.68969053125167,27.0,13.030612244897961,8.053233127355954,27.0,8.56525974025974,8.762847499905691,27.0,1.7605633802816902,-0.9762787249814673,1.7027027027027026,2.2222222222222223,4,4,14,21,,18.17
Cuba,2020-04-04,288,6,0.11,18.17,1.31,66.67,110.41,43.1,5.2,78.8,11212198.0,,,,,,19.0,0.0,24.142857142857142,0.42857142857142855,14.0,2.4285714285714284,0.5,21.448979591836736,4.050219252844557,27.0,14.581632653061225,7.944561499036668,27.0,9.242546583850931,9.15683664487544,27.0,0.6761904761904761,-2.698809523809524,1.2335766423357664,2.0761245674740483,5,4,14,22,,18.17
Cuba,2020-04-05,320,8,0.07,18.17,1.31,66.67,110.41,43.1,5.2,78.8,11212198.0,,,,,,32.0,2.0,25.857142857142858,0.7142857142857143,14.857142857142858,4.428571428571429,0.3333333333333333,23.020408163265305,3.0854371253707487,27.0,16.112244897959183,7.90210483484064,27.0,9.934821428571428,9.576219195327017,27.0,0.6936936936936937,-1.2273589378852536,1.2482758620689656,2.4922118380062304,6,4,14,23,,18.17
Cuba,2020-04-06,350,9,0.09,18.17,1.31,66.67,110.41,43.1,5.2,78.8,11212198.0,,,,,,30.0,1.0,25.714285714285715,0.7142857142857143,18.571428571428573,5.142857142857143,0.25,24.040816326530614,2.4931392741347618,27.0,17.581632653061224,7.61277623239814,27.0,10.565999999999999,9.891543604657567,27.0,0.364963503649635,-1.8210830079782723,1.1111111111111112,2.564102564102564,0,4,15,24,,18.17
Cuba,2020-04-07,396,11,0.1,18.17,1.31,70.37,110.41,43.1,5.2,78.8,11212198.0,,,,,,46.0,2.0,30.0,0.7142857142857143,19.714285714285715,6.142857142857143,0.4,25.510204081632654,2.548651961754957,30.0,19.285714285714285,7.524945432869323,30.0,11.313461538461537,10.414177693221385,30.0,0.49655172413793097,-1.4034482758620692,1.2138728323699421,2.770780856423174,1,4,15,25,,18.17
Cuba,2020-04-08,457,12,0.12,18.17,1.31,70.37,110.41,43.1,5.2,78.8,11212198.0,,,,,,61.0,1.0,35.0,0.8571428571428571,22.142857142857142,7.142857142857143,0.6666666666666666,27.346938775510207,3.959709622124472,35.0,21.27551020408163,7.746871406939013,35.0,12.19074074074074,11.183177308201323,35.0,0.5555555555555556,-1.2865497076023393,1.25,2.6200873362445414,2,4,15,26,,18.17
Cuba,2020-04-09,515,15,0.12,18.17,1.31,70.37,110.41,43.1,5.2,78.8,11212198.0,,,,,,58.0,3.0,40.285714285714285,1.2857142857142858,23.714285714285715,8.0,1.1428571428571428,29.714285714285715,5.902841469577673,40.285714285714285,23.581632653061224,8.278220234653102,40.285714285714285,13.194132653061226,12.191051805919072,40.285714285714285,0.6705202312138727,-1.0755115148178733,1.6022727272727273,2.9069767441860463,3,4,15,27,,18.17
Cuba,2020-04-10,564,15,0.1,18.17,1.31,70.37,110.41,43.1,5.2,78.8,11212198.0,,,,,,49.0,0.0,42.142857142857146,1.2857142857142858,27.0,9.142857142857142,1.7142857142857142,31.877551020408163,7.341721503541824,42.142857142857146,25.938775510204085,8.544594311543849,42.142857142857146,14.192364532019704,13.122932764520451,42.142857142857146,0.5408163265306124,-1.2197470537510777,1.569148936170213,2.6548672566371683,4,4,15,28,,18.17
Cuba,2020-04-11,620,16,0.17,18.17,1.31,73.15,110.41,43.1,5.2,78.8,11212198.0,,,,,,56.0,1.0,47.42857142857143,1.4285714285714286,24.142857142857142,14.0,2.4285714285714284,35.204081632653065,8.445446038839302,47.42857142857143,28.326530612244902,9.561899237167989,47.42857142857143,15.300238095238095,14.251124741441345,47.42857142857143,0.9261363636363638,0.24994588744588764,1.7754010695187166,2.576489533011272,5,4,15,29,,18.17
Cuba,2020-04-12,669,18,0.18,18.17,1.31,73.15,110.41,43.1,5.2,78.8,11212198.0,,,,,,49.0,2.0,49.857142857142854,1.4285714285714286,25.857142857142858,14.857142857142858,4.428571428571429,38.632653061224495,8.878950550407353,49.857142857142854,30.8265306122449,10.31515605767946,49.857142857142854,16.928809523809523,15.312669586046542,49.857142857142854,0.8936170212765956,0.19992332758290188,1.6082949308755758,2.6865671641791042,6,4,15,30,,18.17
