country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Czechia,2020-03-23,1236,1,0.62,0.01,0.0,82.41,137.18,43.3,6.63,79.38,10493990.0,-64.0,-22.0,-60.0,-44.0,21.0,116.0,0.0,134.0,0.14285714285714285,38.142857142857146,4.0,0.0,94.51020408163266,33.066091016651455,134.0,57.285714285714285,45.409077301932406,134.0,37.29924242424243,44.827050445815885,134.0,2.448905109489051,-4.379666319082379,2.468421052631579,0.08084074373484236,0,3,13,21,-47.5,0.01
Czechia,2020-03-24,1394,3,0.62,0.01,0.0,82.41,137.18,43.3,6.63,79.38,10493990.0,-64.0,-20.0,-59.0,-45.0,21.0,158.0,2.0,142.57142857142858,0.42857142857142855,50.714285714285715,5.142857142857143,1.0,107.63265306122449,30.9478227936263,142.57142857142858,67.10204081632654,48.047674799093684,142.57142857142858,41.876293995859214,48.98940072573281,142.57142857142858,1.776243093922652,-5.642361557240138,1.6441515650741354,0.21505376344086022,1,3,13,22,-47.0,0.01
Czechia,2020-03-25,1654,6,0.62,0.01,0.0,82.41,137.18,43.3,6.63,79.38,10493990.0,-64.0,-20.0,-58.0,-45.0,21.0,260.0,3.0,170.0,0.8571428571428571,53.285714285714285,11.857142857142858,1.6666666666666667,124.30612244897961,28.097065546470223,170.0,78.39795918367348,52.44861965315169,170.0,47.21478174603175,54.585731389888025,170.0,2.1500000000000004,-1.072222222222222,1.702432045779685,0.36253776435045315,2,3,13,23,-46.75,0.01
Czechia,2020-03-26,1925,9,0.62,0.01,0.0,82.41,137.18,43.3,6.63,79.38,10493990.0,-65.0,-20.0,-60.0,-46.0,22.0,271.0,3.0,175.85714285714286,1.2857142857142858,85.71428571428571,11.714285714285714,2.25,137.18367346938774,28.118882014638473,175.85714285714286,90.12244897959184,54.69371997915398,175.85714285714286,52.36047619047619,59.30772519623076,175.85714285714286,1.039538714991763,-4.780686004109361,1.5141451414514147,0.46728971962616817,3,3,13,24,-47.75,0.01
Czechia,2020-03-27,2279,9,0.62,0.01,0.0,82.41,137.18,43.3,6.63,79.38,10493990.0,-64.0,-16.0,-56.0,-45.0,22.0,354.0,0.0,206.57142857142858,1.2857142857142858,98.85714285714286,17.571428571428573,3.0,152.57142857142858,32.74213827848785,206.57142857142858,103.62244897959184,58.59473155154538,206.57142857142858,58.29166666666667,65.50850745757934,206.57142857142858,1.0786838340486409,-3.298239242874436,1.6544622425629292,0.39473684210526316,4,3,13,25,-45.25,0.01
Czechia,2020-03-28,2631,11,0.62,0.01,0.0,82.41,137.18,43.3,6.63,79.38,10493990.0,-71.0,-19.0,-49.0,-27.0,11.0,352.0,2.0,233.71428571428572,1.5714285714285714,115.14285714285714,24.285714285714285,2.6666666666666665,169.51020408163268,40.01478103966195,233.71428571428572,118.58163265306122,63.32464667787909,233.71428571428572,64.78880070546737,72.56759838966313,233.71428571428572,1.0209102091020912,-2.57231012988096,1.7312169312169312,0.4179331306990881,5,3,13,26,-41.5,0.01
Czechia,2020-03-29,2817,16,0.62,0.01,0.0,82.41,137.18,43.3,6.63,79.38,10493990.0,-73.0,-26.0,-61.0,-31.0,11.0,186.0,5.0,242.42857142857142,2.142857142857143,123.85714285714286,31.714285714285715,4.0,186.44897959183672,42.48828798777571,242.42857142857142,133.6326530612245,66.07152573288286,242.42857142857142,71.13307823129252,78.72746164825584,242.42857142857142,0.9496567505720822,-1.8669371358907996,1.688557213930348,0.5677785663591199,6,3,13,27,-47.75,0.01
Czechia,2020-03-30,3001,23,0.62,0.01,0.0,82.41,137.18,43.3,6.63,79.38,10493990.0,-61.0,-19.0,-58.0,-44.0,20.0,184.0,7.0,252.14285714285714,3.142857142857143,134.0,38.142857142857146,4.0,203.32653061224488,41.638034866235756,252.14285714285714,148.9183673469388,67.02813941490942,252.14285714285714,77.37479474548441,84.29986553326549,252.14285714285714,0.8751322751322751,-1.573772834356776,1.4745196324143692,0.7661558960692871,0,3,14,28,-45.5,0.01
Czechia,2020-03-31,3308,31,0.62,0.01,0.0,82.41,137.18,43.3,6.63,79.38,10493990.0,-62.0,-18.0,-59.0,-45.0,21.0,307.0,8.0,273.42857142857144,4.0,142.57142857142858,50.714285714285715,5.142857142857143,222.02040816326533,39.11359947321664,273.42857142857144,164.82653061224488,68.3440409911484,273.42857142857144,83.90992063492064,90.23664911276815,273.42857142857144,0.9114427860696517,-0.8648003078530002,1.5460420032310178,0.9368389241462678,1,3,14,29,-46.0,0.01
Czechia,2020-04-01,3508,39,0.62,0.01,0.0,82.41,137.18,43.3,6.63,79.38,10493990.0,-61.0,-16.0,-55.0,-44.0,20.0,200.0,8.0,264.85714285714283,4.714285714285714,170.0,53.285714285714285,11.857142857142858,235.57142857142858,34.21182514265842,273.42857142857144,179.9387755102041,65.09711895096837,273.42857142857144,92.73849206349206,94.59526209153547,273.42857142857144,0.554720133667502,-1.5952798663324983,1.2759807295251202,1.1114277571957822,2,4,14,30,-44.0,0.01
Czechia,2020-04-02,3858,44,0.62,0.01,0.0,74.07,137.18,43.3,6.63,79.38,10493990.0,-60.0,-15.0,-56.0,-45.0,20.0,350.0,5.0,276.14285714285717,5.0,175.85714285714286,85.71428571428571,11.714285714285714,249.89795918367346,24.719062886178413,276.14285714285717,193.5408163265306,63.776054879934655,276.14285714285717,101.90992063492064,98.64555180521049,276.14285714285717,0.5670436187399032,-0.4724950962518598,1.1765063907486306,1.1401917595231925,3,4,14,31,-44.0,0.01
Czechia,2020-04-03,4091,53,0.62,0.01,0.0,74.07,137.18,43.3,6.63,79.38,10493990.0,-63.0,-12.0,-58.0,-44.0,22.0,233.0,9.0,258.85714285714283,6.285714285714286,206.57142857142858,98.85714285714286,17.571428571428573,257.3673469387755,15.698879275146494,276.14285714285717,204.96938775510202,59.709978775522906,276.14285714285717,110.48293650793651,100.7859158879881,276.14285714285717,0.25189263592567085,-0.8267911981229701,1.0633802816901408,1.295210166177908,4,4,14,32,-44.25,0.01
Czechia,2020-04-04,4472,59,0.62,0.01,0.0,74.07,137.18,43.3,6.63,79.38,10493990.0,-70.0,-16.0,-51.0,-27.0,11.0,381.0,6.0,263.0,6.857142857142857,233.71428571428572,115.14285714285714,24.285714285714285,261.55102040816325,11.750648721830846,276.14285714285717,215.53061224489798,55.52951691003564,276.14285714285717,119.17460317460318,102.36125318050428,276.14285714285717,0.12477175897748018,-0.896138450124611,1.0389390519187358,1.3190252626872345,5,4,14,33,-41.0,0.01
Czechia,2020-04-05,4587,67,0.62,0.01,0.0,74.07,137.18,43.3,6.63,79.38,10493990.0,-63.0,-13.0,-46.0,-27.0,7.0,115.0,8.0,252.85714285714286,7.285714285714286,242.42857142857142,123.85714285714286,31.714285714285715,263.0408163265306,9.334929753793395,276.14285714285717,224.74489795918365,49.52579457540007,276.14285714285717,127.5031746031746,102.7468412736705,276.14285714285717,0.04284037558685453,-0.9068163749852277,0.9213951067152525,1.4603312990409765,6,4,14,34,-37.25,0.01
Czechia,2020-04-06,4822,78,0.62,0.01,0.0,74.07,137.18,43.3,6.63,79.38,10493990.0,-54.0,-12.0,-51.0,-43.0,18.0,235.0,11.0,260.14285714285717,7.857142857142857,252.14285714285714,134.0,38.142857142857146,264.18367346938777,8.198935672471046,276.14285714285717,233.75510204081635,42.75895083143898,276.14285714285717,136.0857142857143,102.71316277468065,276.14285714285717,0.03160270880361185,-0.8435295663286633,0.9785061794734016,1.6172506738544474,0,4,15,35,-40.0,0.01
Czechia,2020-04-07,5017,88,0.62,0.01,0.0,74.07,137.18,43.3,6.63,79.38,10493990.0,-63.0,-1.0,-45.0,-44.0,17.0,195.0,10.0,244.14285714285714,8.142857142857142,273.42857142857144,142.57142857142858,50.714285714285715,260.0,9.974798175374401,276.14285714285717,241.01020408163268,33.76934711635258,276.14285714285717,144.09047619047618,101.4136704750922,276.14285714285717,-0.10671525247267055,-1.0181580385423223,0.8809278350515463,1.753686727779992,1,4,15,36,-38.25,0.01
Czechia,2020-04-08,5312,99,0.62,0.01,0.0,74.07,137.18,43.3,6.63,79.38,10493990.0,-62.0,7.0,-44.0,-44.0,16.0,295.0,11.0,257.7142857142857,8.571428571428571,264.85714285714283,170.0,53.285714285714285,258.97959183673476,9.758104453566878,276.14285714285717,247.27551020408166,27.04954836649059,276.14285714285717,152.54761904761907,99.89590700081207,276.14285714285717,-0.026867275658248133,-0.58158740932575,0.9917537108301265,1.8633540372670807,2,4,15,37,-35.75,0.01
Czechia,2020-04-09,5569,112,0.62,0.01,0.0,74.07,137.18,43.3,6.63,79.38,10493990.0,-54.0,23.0,-42.0,-46.0,14.0,257.0,13.0,244.42857142857142,9.714285714285714,276.14285714285717,175.85714285714286,85.71428571428571,254.44897959183672,7.580600272135786,263.0,252.17346938775512,17.72324999798644,276.14285714285717,160.52380952380955,97.23805342325838,276.14285714285717,-0.11443298969072177,-0.681476608430625,0.9258658008658008,2.0107719928186714,3,4,15,38,-29.75,0.01
Czechia,2020-04-10,5732,119,0.62,0.01,0.0,74.07,137.18,43.3,6.63,79.38,10493990.0,-74.0,-22.0,-58.0,-78.0,27.0,163.0,7.0,234.42857142857142,9.428571428571429,258.85714285714283,206.57142857142858,98.85714285714286,250.9591836734694,10.335433499234586,263.0,254.16326530612244,13.19493470470348,276.14285714285717,167.94285714285712,93.93886493261233,276.14285714285717,-0.09400769653655851,-0.34590033246222934,0.9234665166010129,2.0757020757020754,4,4,15,39,-58.0,0.01
Czechia,2020-04-11,5831,129,0.62,0.01,0.0,74.07,137.18,43.3,6.63,79.38,10493990.0,-67.0,4.0,-37.0,-27.0,7.0,99.0,10.0,194.14285714285714,10.0,263.0,233.71428571428572,115.14285714285714,241.12244897959184,22.534090360541764,260.14285714285717,251.33673469387756,20.25951001706124,276.14285714285717,174.02380952380955,89.26530275718119,276.14285714285717,-0.26082251082251084,-0.385594269799991,0.7434354485776804,2.211934156378601,5,4,15,40,-31.75,0.01
Czechia,2020-04-12,5991,138,0.62,0.01,0.0,74.07,137.18,43.3,6.63,79.38,10493990.0,-63.0,1.0,-38.0,-24.0,5.0,160.0,9.0,200.57142857142858,10.142857142857142,252.85714285714286,242.42857142857142,123.85714285714286,233.65306122448982,26.340245860512027,260.14285714285717,248.3469387755102,24.35070259258695,276.14285714285717,180.12380952380954,84.32115588936394,276.14285714285717,-0.20596510973550924,-0.24880548532236377,0.8181818181818182,2.303070761014686,6,4,15,41,-31.0,0.01
Czechia,2020-04-13,6059,143,0.62,0.01,0.0,74.07,137.18,43.3,6.63,79.38,10493990.0,-89.0,-90.0,-73.0,-85.0,30.0,68.0,5.0,176.71428571428572,9.285714285714286,260.14285714285717,252.14285714285714,134.0,221.73469387755105,30.845944680087054,257.7142857142857,242.9591836734694,30.907896222322737,276.14285714285717,185.2047619047619,79.03366659265266,276.14285714285717,-0.31947483588621445,-0.3510775446898263,0.6830480397570403,2.3597359735973598,0,4,16,42,-84.25,0.01
Czechia,2020-04-14,6111,161,0.62,0.01,0.0,68.52,137.18,43.3,6.63,79.38,10493990.0,-64.0,1.0,-50.0,-41.0,18.0,52.0,18.0,156.28571428571428,10.428571428571429,244.14285714285714,273.42857142857144,142.57142857142858,209.18367346938774,37.38890248662712,257.7142857142857,234.59183673469389,37.233779549462895,276.14285714285717,189.35714285714286,73.78977833241973,276.14285714285717,-0.35839160839160844,-0.2516763559189379,0.6367869615832363,2.634162303664921,1,4,16,43,-38.5,0.01
Czechia,2020-04-15,6216,166,0.62,0.01,0.0,68.52,137.18,43.3,6.63,79.38,10493990.0,-62.0,-7.0,-44.0,-39.0,17.0,105.0,5.0,129.14285714285714,9.571428571428571,257.7142857142857,264.85714285714283,170.0,190.81632653061223,40.98246798590507,244.42857142857142,224.89795918367346,45.497681503591785,276.14285714285717,192.39047619047616,69.07940879655077,276.14285714285717,-0.4969630038652678,-0.47009572820701967,0.5485436893203883,2.6700981180633745,2,4,16,44,-38.0,0.01
Czechia,2020-04-16,6433,169,0.62,0.01,0.0,68.52,137.18,43.3,6.63,79.38,10493990.0,-56.0,-6.0,-43.0,-39.0,15.0,217.0,3.0,123.42857142857143,8.142857142857142,244.42857142857142,276.14285714285717,175.85714285714286,173.53061224489798,40.109519650196184,234.42857142857142,213.98979591836738,50.3179674375953,263.0,194.81428571428572,65.09789250602701,276.14285714285717,-0.4930151338766007,-0.3785821441858789,0.6325036603221084,2.6266708113148898,3,4,16,45,-36.0,0.01
Czechia,2020-04-17,6549,173,0.62,0.01,0.0,68.52,137.18,43.3,6.63,79.38,10493990.0,-58.0,-2.0,-43.0,-39.0,16.0,116.0,4.0,116.71428571428571,7.714285714285714,234.42857142857142,258.85714285714283,206.57142857142858,156.71428571428572,34.623337652572836,200.57142857142858,203.83673469387756,54.716706030387776,263.0,196.92857142857142,61.25962274867797,276.14285714285717,-0.5,-0.4059923034634415,0.5790219702338766,2.6412213740458013,4,4,16,46,-35.5,0.01
Czechia,2020-04-18,6606,181,0.62,0.01,0.0,68.52,137.18,43.3,6.63,79.38,10493990.0,-61.0,-3.0,-31.0,-14.0,5.0,57.0,8.0,110.71428571428571,7.428571428571429,194.14285714285714,263.0,233.71428571428572,144.79591836734693,33.94461847511003,200.57142857142858,192.9591836734694,57.134077033465964,260.14285714285717,197.76190476190476,59.84835790705348,276.14285714285717,-0.42752562225475843,-0.16670311143224759,0.6229903536977491,2.7395186922960497,5,4,16,47,-27.25,0.01
Czechia,2020-04-19,6746,186,0.62,0.01,0.0,68.52,137.18,43.3,6.63,79.38,10493990.0,-64.0,-11.0,-47.0,-22.0,7.0,140.0,5.0,107.85714285714286,6.857142857142857,200.57142857142858,252.85714285714286,242.42857142857142,131.55102040816328,25.62224646847604,176.71428571428572,182.60204081632654,58.565375687548006,260.14285714285717,198.06190476190477,59.35601723169433,276.14285714285717,-0.4599574769666903,-0.25399236723118107,0.6857402361489555,2.756780791462872,6,4,16,48,-36.0,0.01
Czechia,2020-04-20,6900,194,0.62,0.01,0.0,61.11,137.18,43.3,6.63,79.38,10493990.0,-55.0,-6.0,-44.0,-38.0,15.0,154.0,8.0,120.14285714285714,7.285714285714286,176.71428571428572,260.14285714285717,252.14285714285714,123.46938775510203,16.187614793165626,156.28571428571428,172.60204081632654,56.212039095853406,257.7142857142857,198.22857142857143,59.12171631390175,276.14285714285717,-0.31832797427652737,0.0011468616096870776,0.9231613611416026,2.811186784523982,0,4,17,49,-35.75,0.01
Czechia,2020-04-21,7033,201,0.62,0.01,0.0,57.41,137.18,43.3,6.63,79.38,10493990.0,-54.0,-4.0,-42.0,-38.0,15.0,133.0,7.0,131.71428571428572,5.714285714285714,156.28571428571428,244.14285714285714,273.42857142857144,119.9591836734694,8.916740460898042,131.71428571428572,164.57142857142858,53.15301805260429,257.7142857142857,198.4904761904762,58.79740958706989,276.14285714285717,-0.15622161671207982,0.20216999167952862,1.058553386911596,2.857549047483651,1,4,17,50,-34.5,0.01
Czechia,2020-04-22,7132,208,0.62,0.01,0.0,57.41,137.18,43.3,6.63,79.38,10493990.0,-54.0,-4.0,-41.0,-37.0,14.0,99.0,7.0,130.85714285714286,6.0,129.14285714285714,257.7142857142857,264.85714285714283,120.20408163265306,9.229078986062548,131.71428571428572,155.51020408163268,46.44247346509886,244.42857142857142,198.38571428571427,58.91895159575446,276.14285714285717,0.013172338090011039,0.5101353419552789,1.1116504854368934,2.9160241132763214,2,4,17,51,-34.0,0.01
Czechia,2020-04-23,7187,210,0.62,0.01,0.0,57.41,137.18,43.3,6.63,79.38,10493990.0,-54.0,-2.0,-41.0,-37.0,14.0,55.0,2.0,107.71428571428571,5.857142857142857,123.42857142857143,244.42857142857142,276.14285714285717,117.9591836734694,10.176575171231406,131.71428571428572,145.74489795918367,40.270871654769934,234.42857142857142,197.2238095238095,60.383091846190396,276.14285714285717,-0.12629161882893233,0.3667235150476683,0.9641943734015346,2.921535893155259,3,4,17,52,-33.5,0.01
Czechia,2020-04-24,7273,214,0.62,0.01,0.0,57.41,137.18,43.3,6.63,79.38,10493990.0,-56.0,-2.0,-41.0,-37.0,14.0,86.0,4.0,103.42857142857143,5.857142857142857,116.71428571428571,234.42857142857142,258.85714285714283,116.0612244897959,11.588422894832764,131.71428571428572,136.3877551020408,32.560892289074346,200.57142857142858,195.0047619047619,62.60056774022162,276.14285714285717,-0.11286407766990285,0.38713592233009714,0.9501312335958005,2.941985152598295,4,4,17,53,-34.0,0.01
