country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Denmark,2020-03-20,1337,9,0.2,0.0,0.0,72.22,136.52,42.3,2.5,80.9,5882259.0,-44.0,-22.0,-62.0,-56.0,21.0,112.0,3.0,76.14285714285714,1.2857142857142858,111.42857142857143,3.2857142857142856,0.0,103.3673469387755,17.343833255431896,120.14285714285714,74.3265306122449,43.44882511274562,120.14285714285714,47.759199134199136,49.62811326808379,120.14285714285714,-0.3138500635324016,-25.547183396865737,0.6307692307692307,0.672645739910314,4,3,12,21,-46.0,0.0
Denmark,2020-03-21,1420,13,0.1,0.0,0.0,72.22,136.52,42.3,2.5,80.9,5882259.0,-48.0,-21.0,-55.0,-27.0,11.0,83.0,4.0,83.42857142857143,1.7142857142857142,116.0,3.0,1.0,98.7142857142857,17.754179348923493,120.14285714285714,80.07142857142857,38.3051758802263,120.14285714285714,49.310041407867494,49.05420411368245,120.14285714285714,-0.2783882783882784,-28.528388278388277,0.6886792452830189,0.9148486980999296,5,3,12,22,-37.75,0.0
Denmark,2020-03-22,1514,13,0.09,0.0,0.0,72.22,136.52,42.3,2.5,80.9,5882259.0,-38.0,-25.0,-60.0,-28.0,9.0,94.0,0.0,91.28571428571429,1.5714285714285714,119.71428571428571,4.714285714285714,1.0,94.65306122448979,15.22056815133286,120.14285714285714,86.25510204081631,31.60629960116468,120.14285714285714,51.05902777777778,48.73507394278781,120.14285714285714,-0.23550295857988157,-20.360502958579882,0.8320312500000001,0.8580858085808581,6,3,12,23,-37.75,0.0
Denmark,2020-03-23,1572,24,0.19,0.0,0.0,72.22,136.52,42.3,2.5,80.9,5882259.0,-36.0,-20.0,-60.0,-55.0,19.0,58.0,11.0,91.28571428571429,3.0,120.14285714285714,12.571428571428571,0.75,90.53061224489797,10.268409479376611,108.71428571428571,91.87755102040816,23.43552946414605,120.14285714285714,52.66809523809524,48.38255961428593,120.14285714285714,-0.23820754716981124,-8.164523336643496,0.9410898379970546,1.5257469802924348,0,3,13,24,-42.75,0.0
Denmark,2020-03-24,1718,32,0.19,0.0,0.0,72.22,136.52,42.3,2.5,80.9,5882259.0,-36.0,-18.0,-60.0,-55.0,19.0,146.0,8.0,99.0,4.0,108.71428571428571,36.857142857142854,1.0,89.14285714285714,7.748600927040345,99.0,96.31632653061224,17.29285826140576,120.14285714285714,54.45009157509158,48.26800675818831,120.14285714285714,-0.08854166666666662,-1.9866548742138366,1.1268292682926828,1.8615474112856312,1,3,13,25,-42.25,0.0
Denmark,2020-03-25,1862,34,0.23,0.0,0.0,72.22,136.52,42.3,2.5,80.9,5882259.0,-37.0,-18.0,-59.0,-55.0,19.0,144.0,2.0,106.57142857142857,4.285714285714286,96.0,61.857142857142854,1.6666666666666667,90.65306122448979,10.008451239323316,106.57142857142857,99.51020408163265,14.311045046264605,120.14285714285714,56.38051146384479,48.38190603256091,120.14285714285714,0.10898379970544916,-0.4341980184763691,1.3814814814814815,1.8250134192163179,2,3,13,26,-42.25,0.0
Denmark,2020-03-26,2023,41,0.28,0.0,0.0,72.22,136.52,42.3,2.5,80.9,5882259.0,-36.0,-17.0,-59.0,-55.0,19.0,161.0,7.0,114.0,5.0,86.85714285714286,86.57142857142857,1.4285714285714286,94.53061224489797,13.079483410952285,114.0,101.46938775510205,14.280925413975277,120.14285714285714,58.43835034013605,48.71020254014736,120.14285714285714,0.30894308943089427,0.3056804466902743,1.350253807106599,2.025691699604743,3,3,13,27,-41.75,0.0
Denmark,2020-03-27,2200,52,0.36,0.0,0.0,72.22,136.52,42.3,2.5,80.9,5882259.0,-39.0,-18.0,-61.0,-55.0,19.0,177.0,11.0,123.28571428571429,6.142857142857143,76.14285714285714,111.42857142857143,3.2857142857142856,101.26530612244899,14.128522935885915,123.28571428571429,102.31632653061224,15.236614020761717,123.28571428571429,60.67446633825944,49.32495667701169,123.28571428571429,0.6111111111111113,0.9249611746435129,1.3359133126934983,2.3625624716038165,4,3,13,28,-43.25,0.0
Denmark,2020-03-28,2366,65,0.24,0.0,0.0,72.22,136.52,42.3,2.5,80.9,5882259.0,-43.0,-14.0,-56.0,-28.0,10.0,166.0,13.0,135.14285714285714,7.428571428571429,83.42857142857143,116.0,3.0,108.6530612244898,16.55887396818595,135.14285714285714,103.68367346938774,17.28087104716984,135.14285714285714,63.15674603174603,50.337936502314264,135.14285714285714,0.6125211505922165,0.8909094289804949,1.4643962848297212,2.746092099704267,5,3,13,29,-35.25,0.0
Denmark,2020-03-29,2564,72,0.22,0.0,0.0,72.22,136.52,42.3,2.5,80.9,5882259.0,-37.0,-22.0,-60.0,-28.0,9.0,198.0,7.0,150.0,8.428571428571429,91.28571428571429,119.71428571428571,4.714285714285714,117.0408163265306,20.658498652358183,150.0,105.8469387755102,20.948427687086994,150.0,68.15674603174604,51.28900664573992,150.0,0.6362229102167182,0.8717258687965997,1.5,2.807017543859649,6,3,13,30,-36.75,0.0
Denmark,2020-03-30,2755,77,0.55,0.0,0.0,72.22,136.52,42.3,2.5,80.9,5882259.0,-33.0,-18.0,-59.0,-54.0,18.0,191.0,5.0,169.0,7.571428571428571,91.28571428571429,120.14285714285714,12.571428571428571,128.14285714285714,24.9475640570568,169.0,109.33673469387755,26.772992269229412,169.0,73.75674603174602,52.851397793093085,169.0,0.8421052631578946,1.0803128103277058,1.5710491367861885,2.7939042089985486,0,3,14,31,-41.0,0.0
Denmark,2020-03-31,3039,90,0.55,0.0,0.0,72.22,136.52,42.3,2.5,80.9,5882259.0,-23.0,-4.0,-54.0,-53.0,17.0,284.0,13.0,188.71428571428572,8.285714285714286,99.0,108.71428571428571,36.857142857142854,140.95918367346937,30.011303345143926,188.71428571428572,115.05102040816327,34.15076956194431,188.71428571428572,80.01388888888889,55.00845513270666,188.71428571428572,0.8971428571428572,0.9856845238095239,1.6409937888198758,2.9605263157894735,1,3,14,32,-33.5,0.0
Denmark,2020-04-01,3290,104,0.61,0.0,0.0,72.22,136.52,42.3,2.5,80.9,5882259.0,-32.0,-12.0,-58.0,-54.0,19.0,251.0,14.0,204.0,10.0,106.57142857142857,96.0,61.857142857142854,154.87755102040816,33.763022538897474,204.0,122.76530612244899,41.022894673812395,204.0,86.78888888888888,57.37497558054915,204.0,0.905710491367862,0.7967266916624128,1.6413793103448275,3.1601336979641443,2,4,14,33,-39.0,0.0
Denmark,2020-04-02,3573,123,0.98,0.0,0.0,72.22,136.52,42.3,2.5,80.9,5882259.0,-34.0,-13.0,-61.0,-55.0,20.0,283.0,19.0,221.42857142857142,11.714285714285714,114.0,86.85714285714286,86.57142857142857,170.22448979591834,36.39829340610049,221.42857142857142,132.37755102040816,47.254566519686186,221.42857142857142,94.13650793650794,60.06124240872755,221.42857142857142,0.9341614906832297,0.6252184012523354,1.6264428121720882,3.4415221040850588,3,4,14,34,-40.75,0.0
Denmark,2020-04-03,3946,139,1.13,0.0,0.0,72.22,136.52,42.3,2.5,80.9,5882259.0,-35.0,-10.0,-61.0,-55.0,19.0,373.0,16.0,249.42857142857142,12.428571428571429,123.28571428571429,76.14285714285714,111.42857142857143,188.24489795918367,40.30282600831558,249.42857142857142,144.75510204081633,53.65321020859214,249.42857142857142,102.3952380952381,63.8241082639138,249.42857142857142,1.014942528735632,0.4038314176245207,1.651844843897824,3.5216620217887002,4,4,14,35,-40.25,0.0
Denmark,2020-04-04,4269,161,0.63,0.0,0.0,72.22,136.52,42.3,2.5,80.9,5882259.0,-38.0,-8.0,-53.0,-25.0,10.0,323.0,22.0,271.85714285714283,13.714285714285714,135.14285714285714,83.42857142857143,116.0,207.77551020408166,43.29544579770667,271.85714285714283,158.21428571428572,60.30726530060602,271.85714285714283,111.4095238095238,68.03075776350438,271.85714285714283,1.0041972717733472,0.3916761211811307,1.599159663865546,3.7704918032786887,5,4,14,36,-31.0,0.0
Denmark,2020-04-05,4561,179,0.37,0.0,0.0,72.22,136.52,42.3,2.5,80.9,5882259.0,-22.0,-12.0,-49.0,-23.0,7.0,292.0,18.0,285.2857142857143,15.285714285714286,150.0,91.28571428571429,119.71428571428571,227.10204081632654,43.40159831892727,285.2857142857143,172.07142857142858,65.78519227579224,285.2857142857143,120.80952380952381,71.94555112722234,285.2857142857143,0.8959318826868495,0.25970897247013136,1.5037650602409638,3.92371766768961,6,4,14,37,-26.5,0.0
Denmark,2020-04-06,4875,187,1.12,0.0,0.0,72.22,136.52,42.3,2.5,80.9,5882259.0,-15.0,-5.0,-52.0,-59.0,16.0,314.0,8.0,302.85714285714283,15.714285714285714,169.0,91.28571428571429,120.14285714285714,246.22448979591834,43.02228951984819,302.85714285714283,187.18367346938774,69.9677079265897,302.85714285714283,130.8047619047619,75.74317213936216,302.85714285714283,0.7873949579831931,-0.054710305174701435,1.4773519163763065,3.8351107465135357,0,4,15,38,-32.75,0.0
Denmark,2020-04-07,5266,203,1.08,0.0,0.0,72.22,136.52,42.3,2.5,80.9,5882259.0,-13.0,4.0,-51.0,-59.0,16.0,391.0,16.0,318.14285714285717,16.142857142857142,188.71428571428572,99.0,108.71428571428571,264.7142857142857,41.986554375172524,318.14285714285717,202.83673469387756,73.16206086206915,318.14285714285717,141.25238095238095,79.28473068518123,318.14285714285717,0.6822289156626506,-0.2149139414802066,1.4303147077713554,3.854186443895956,1,4,15,39,-29.75,0.0
Denmark,2020-04-08,5597,218,0.96,0.0,0.0,72.22,136.52,42.3,2.5,80.9,5882259.0,-9.0,11.0,-51.0,-60.0,15.0,331.0,15.0,329.57142857142856,16.285714285714285,204.0,106.57142857142857,96.0,282.65306122448976,38.39455541252636,329.57142857142856,218.76530612244898,74.84729838679384,329.57142857142856,151.8190476190476,82.5982445192041,329.57142857142856,0.6125435540069686,-0.2931669373608934,1.3160296634341129,3.8942479456948913,2,4,15,40,-27.25,0.0
Denmark,2020-04-09,5830,237,0.43,0.0,0.0,72.22,136.52,42.3,2.5,80.9,5882259.0,-40.0,-16.0,-62.0,-82.0,22.0,233.0,19.0,322.42857142857144,16.285714285714285,221.42857142857142,114.0,86.85714285714286,297.0816326530612,29.49920524040185,329.57142857142856,233.65306122448982,73.11466477375586,329.57142857142856,161.33809523809524,85.30364263815204,329.57142857142856,0.45407835581246003,-0.4800831348707697,1.1816753926701573,4.064482936031555,3,4,15,41,-50.0,0.0
Denmark,2020-04-10,6014,247,0.39,0.0,0.0,72.22,136.52,42.3,2.5,80.9,5882259.0,-60.0,-36.0,-65.0,-82.0,24.0,184.0,10.0,295.42857142857144,15.428571428571429,249.42857142857142,123.28571428571429,76.14285714285714,303.65306122448976,21.019242421938564,329.57142857142856,245.94897959183672,67.37576175475934,329.57142857142856,169.1238095238095,86.56070373124305,329.57142857142856,0.18368511123787803,-0.831257417497754,1.0319361277445112,4.1064006650041565,4,4,15,42,-60.75,0.0
Denmark,2020-04-11,6191,260,0.38,0.0,0.0,72.22,136.52,42.3,2.5,80.9,5882259.0,-31.0,4.0,-52.0,-23.0,8.0,177.0,13.0,274.57142857142856,14.142857142857142,271.85714285714283,135.14285714285714,83.42857142857143,304.0408163265306,20.349282406528182,329.57142857142856,255.90816326530611,59.59224626749025,329.57142857142856,175.39047619047616,87.18115877428082,329.57142857142856,0.009947643979057622,-0.9942496277942895,0.9036201222378938,4.198966408268734,5,4,15,43,-25.5,0.0
Denmark,2020-04-12,6369,273,0.36,0.0,0.0,72.22,136.52,42.3,2.5,80.9,5882259.0,-36.0,-20.0,-47.0,-23.0,6.0,178.0,13.0,258.2857142857143,13.428571428571429,285.2857142857143,150.0,91.28571428571429,300.18367346938777,26.211296609874935,329.57142857142856,263.64285714285717,51.229215259218606,329.57142857142856,180.28571428571428,87.58792104358626,329.57142857142856,-0.09431137724550899,-0.9902432599323585,0.8093106535362578,4.285714285714286,6,4,15,44,-31.5,0.0
Denmark,2020-04-13,6513,285,0.36,0.0,0.0,72.22,136.52,42.3,2.5,80.9,5882259.0,-56.0,-30.0,-65.0,-84.0,24.0,144.0,12.0,234.0,14.0,302.85714285714283,169.0,91.28571428571429,290.34693877551024,36.097077834399514,329.57142857142856,268.2857142857143,44.49482710307457,329.57142857142856,184.21904761904761,87.25035551051485,329.57142857142856,-0.22661024917724487,-1.014005207160438,0.7078651685393259,4.375191894381333,0,4,16,45,-58.75,0.0
Denmark,2020-04-14,6706,299,1.06,0.0,0.0,72.22,136.52,42.3,2.5,80.9,5882259.0,-15.0,4.0,-53.0,-49.0,16.0,193.0,14.0,205.71428571428572,13.714285714285714,318.14285714285717,188.71428571428572,99.0,274.2857142857143,45.46487019412571,329.57142857142856,269.5,42.335831230359304,329.57142857142856,187.0857142857143,86.46720709543754,329.57142857142856,-0.3522829006266786,-1.0345118162893292,0.6360424028268551,4.4580289250037275,1,4,16,46,-28.25,0.0
Denmark,2020-04-15,6876,309,0.96,0.0,0.0,68.52,136.52,42.3,2.5,80.9,5882259.0,-23.0,-5.0,-51.0,-48.0,17.0,170.0,10.0,182.71428571428572,13.0,329.57142857142856,204.0,106.57142857142857,253.3061224489796,49.41345960648593,322.42857142857144,267.9795918367347,45.15728164118058,329.57142857142856,189.17142857142855,85.54652219427469,329.57142857142856,-0.4442523768366464,-1.056795930843615,0.6163855421686747,4.493238330667442,2,4,16,47,-31.75,0.0
Denmark,2020-04-16,7074,321,0.9,0.0,0.0,68.52,136.52,42.3,2.5,80.9,5882259.0,-23.0,-4.0,-50.0,-47.0,16.0,198.0,12.0,177.71428571428572,12.0,322.42857142857144,221.42857142857142,114.0,232.6326530612245,45.81594775838446,295.42857142857144,264.85714285714283,49.887314149288805,329.57142857142856,191.47142857142856,84.22613866790397,329.57142857142856,-0.4474381625441696,-0.9015165183566296,0.644893727319855,4.5371024734982335,3,4,16,48,-31.0,0.0
Denmark,2020-04-17,7268,336,0.82,0.0,0.0,68.52,136.52,42.3,2.5,80.9,5882259.0,-26.0,-6.0,-50.0,-45.0,15.0,194.0,15.0,179.14285714285714,12.714285714285714,295.42857142857144,249.42857142857142,123.28571428571429,216.0204081632653,39.95971002967813,274.57142857142856,259.83673469387753,54.849239848046246,329.57142857142856,194.24285714285713,82.32274712300084,329.57142857142856,-0.3922891566265061,-0.5759742678643841,0.6909090909090909,4.622368964094098,4,4,16,49,-31.75,0.0
Denmark,2020-04-18,7437,346,0.39,0.0,0.0,68.52,136.52,42.3,2.5,80.9,5882259.0,-33.0,-5.0,-43.0,-14.0,7.0,169.0,10.0,178.0,12.285714285714286,274.57142857142856,271.85714285714283,135.14285714285714,202.22448979591834,32.315394821484006,258.2857142857143,253.1326530612245,58.85656844608523,329.57142857142856,197.28095238095239,79.86826313237509,329.57142857142856,-0.350440642820114,-0.3603882867991716,0.7574468085106383,4.6517881150847,5,4,16,50,-23.75,0.0
Denmark,2020-04-19,7580,355,0.32,0.0,0.0,68.52,136.52,42.3,2.5,80.9,5882259.0,-21.0,-12.0,-43.0,-14.0,5.0,143.0,9.0,173.0,11.714285714285714,258.2857142857143,285.2857142857143,150.0,190.0408163265306,22.127754340368405,234.0,245.1122448979592,61.71902145473024,329.57142857142856,200.50952380952378,76.69726887737839,329.57142857142856,-0.32892561983471075,-0.23461424258920177,0.8369039391845197,4.68275953040496,6,4,16,51,-22.5,0.0
Denmark,2020-04-20,7711,364,1.14,0.0,0.0,68.52,136.52,42.3,2.5,80.9,5882259.0,-14.0,-5.0,-42.0,-41.0,13.0,131.0,9.0,171.14285714285714,11.285714285714286,234.0,302.85714285714283,169.0,181.06122448979593,11.533405236353293,205.71428571428572,235.70408163265307,62.27599642624251,329.57142857142856,203.43333333333334,73.69313175804577,329.57142857142856,-0.26747720364741645,-0.04086695447017158,0.931570762052877,4.719917012448133,0,4,17,52,-25.5,0.0
Denmark,2020-04-21,7891,370,1.66,0.0,0.0,68.52,136.52,42.3,2.5,80.9,5882259.0,-15.0,-2.0,-40.0,-39.0,13.0,180.0,6.0,169.28571428571428,10.142857142857142,205.71428571428572,318.14285714285717,188.71428571428572,175.85714285714286,4.820590756128202,182.71428571428572,225.07142857142858,59.77547603592821,329.57142857142856,206.03333333333333,70.92390866991224,329.57142857142856,-0.17622667588113344,0.17605622474554516,0.9472422062350119,4.688291941206285,1,4,17,53,-24.0,0.0
Denmark,2020-04-22,8108,384,1.98,0.0,0.0,68.52,136.52,42.3,2.5,80.9,5882259.0,-18.0,-4.0,-40.0,-39.0,12.0,217.0,14.0,176.0,10.714285714285714,182.71428571428572,329.57142857142856,204.0,174.89795918367346,3.7856821972677337,179.14285714285714,214.10204081632654,52.808484540561665,322.42857142857144,208.85714285714283,67.8160777999086,329.57142857142856,-0.03654743390357702,0.4077049429330694,0.9770023790642347,4.735479097299297,2,4,17,54,-25.25,0.0
Denmark,2020-04-23,8271,394,2.13,0.0,0.0,68.52,136.52,42.3,2.5,80.9,5882259.0,-18.0,-3.0,-40.0,-39.0,12.0,163.0,10.0,171.0,10.428571428571429,177.71428571428572,322.42857142857144,221.42857142857142,173.9387755102041,3.8037371015590336,179.14285714285714,203.28571428571428,43.623226282240886,295.42857142857144,211.25714285714284,65.01017513603115,329.57142857142856,-0.037569944044764235,0.4098682184994054,0.9553072625698324,4.763056092843327,3,4,17,55,-25.0,0.0
Denmark,2020-04-24,8408,403,2.52,0.0,0.0,68.52,136.52,42.3,2.5,80.9,5882259.0,-25.0,-5.0,-46.0,-40.0,13.0,137.0,9.0,162.85714285714286,9.571428571428571,179.14285714285714,295.42857142857144,249.42857142857142,171.61224489795921,4.909877788987314,178.0,193.81632653061223,35.76376478358867,274.57142857142856,213.13333333333333,62.65428454092132,329.57142857142856,-0.0904044409199048,0.3018847157066013,0.935960591133005,4.792484243072899,4,4,17,56,-29.0,0.0
Denmark,2020-04-25,8643,418,2.12,0.0,0.0,68.52,136.52,42.3,2.5,80.9,5882259.0,-29.0,-3.0,-40.0,-13.0,6.0,235.0,15.0,172.28571428571428,10.285714285714286,178.0,274.57142857142856,271.85714285714283,170.79591836734693,4.0748583238617,176.0,186.51020408163262,27.487728918290998,258.2857142857143,215.07619047619045,60.33501046783594,329.57142857142856,-0.03192338387869119,0.3185172589414228,1.0008298755186722,4.8357242017584445,5,4,17,57,-21.25,0.0
Denmark,2020-04-26,8773,422,1.76,0.0,0.0,68.52,136.52,42.3,2.5,80.9,5882259.0,-22.0,-12.0,-45.0,-16.0,5.0,130.0,4.0,170.42857142857142,9.571428571428571,173.0,258.2857142857143,285.2857142857143,170.42857142857142,3.9572545970092396,176.0,180.23469387755102,18.35132521171823,234.0,216.64761904761906,58.44624051835604,329.57142857142856,-0.01477832512315278,0.31414729471155795,1.0008389261744965,4.809664919079097,6,4,17,58,-23.75,0.0
Denmark,2020-04-27,8896,427,2.96,0.0,0.0,68.52,136.52,42.3,2.5,80.9,5882259.0,-20.0,-9.0,-44.0,-39.0,13.0,123.0,5.0,169.28571428571428,9.0,171.14285714285714,234.0,302.85714285714283,170.16326530612244,3.9636344994291304,176.0,175.6122448979592,10.030945614746326,205.71428571428572,217.78571428571428,57.12182802709418,329.57142857142856,-0.010788381742738613,0.25668882190467784,0.9564164648910412,4.799370574350905,0,4,18,59,-28.0,0.0
Denmark,2020-04-28,9049,434,2.78,0.0,0.0,68.52,136.52,42.3,2.5,80.9,5882259.0,-20.0,-6.0,-39.0,-37.0,11.0,153.0,7.0,165.42857142857142,9.142857142857142,169.28571428571428,205.71428571428572,318.14285714285717,169.6122448979592,4.354772411956056,176.0,172.73469387755102,5.475177937470832,182.71428571428572,218.3,56.557150385042156,329.57142857142856,-0.022651006711409422,0.153575669169724,0.9617940199335547,4.795580110497237,1,4,18,60,-25.5,0.0
Denmark,2020-04-29,9206,443,2.74,0.0,0.0,68.52,136.52,42.3,2.5,80.9,5882259.0,-26.0,-9.0,-45.0,-38.0,14.0,157.0,9.0,156.85714285714286,8.428571428571429,176.0,182.71428571428572,329.57142857142856,166.87755102040816,5.527561475011415,172.28571428571428,170.88775510204079,6.1672601336016175,179.14285714285714,217.89523809523808,56.964128536723734,329.57142857142856,-0.10815173527037932,-0.07160430136680229,0.9572798605056669,4.81155642445965,2,4,18,61,-29.5,0.0
Denmark,2020-04-30,9356,452,2.72,0.0,0.0,68.52,136.52,42.3,2.5,80.9,5882259.0,-28.0,-1.0,-44.0,-39.0,14.0,150.0,9.0,155.0,8.285714285714286,171.0,177.71428571428572,322.42857142857144,164.59183673469389,6.718554150532354,172.28571428571428,169.26530612244895,7.143704816263924,179.14285714285714,216.77142857142857,57.88479665094795,329.57142857142856,-0.09302325581395349,-0.05545331176918925,0.8944765045342128,4.830608100887036,3,4,18,62,-28.0,0.0
Denmark,2020-05-01,9509,460,2.46,0.0,0.0,68.52,136.52,42.3,2.5,80.9,5882259.0,-29.0,0.0,-46.0,-49.0,16.0,153.0,8.0,157.28571428571428,8.142857142857142,162.85714285714286,179.14285714285714,295.42857142857144,163.79591836734693,7.266013112431074,172.28571428571428,167.70408163265307,7.207066191930699,178.0,215.21428571428572,58.860308274916015,329.57142857142856,-0.03400174367916311,0.056402697240741685,0.9175,4.837013669821241,4,5,18,63,-31.0,0.0
