country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Egypt,2020-02-22,1,0,,0.0,0.21,0.0,98.0,25.3,1.6,71.99,110990096.0,0.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,8,7,3.5,0.0
Egypt,2020-02-22,1,0,,0.0,0.21,0.0,98.0,25.3,1.6,71.99,110990096.0,1.0,4.0,11.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,8,7,6.0,0.0
Egypt,2020-02-22,1,0,,0.0,0.21,0.0,98.0,25.3,1.6,71.99,110990096.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,8,7,2.25,0.0
Egypt,2020-02-23,1,0,,0.0,0.21,0.0,98.0,25.3,1.6,71.99,110990096.0,-5.0,0.0,4.0,10.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,8,8,2.25,0.0
Egypt,2020-02-23,1,0,,0.0,0.21,0.0,98.0,25.3,1.6,71.99,110990096.0,-10.0,-6.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,8,8,-1.5,0.0
Egypt,2020-02-23,1,0,,0.0,0.21,0.0,98.0,25.3,1.6,71.99,110990096.0,-4.0,1.0,4.0,8.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,8,8,2.25,0.0
Egypt,2020-02-24,1,0,,0.0,0.21,0.0,98.0,25.3,1.6,71.99,110990096.0,-13.0,-11.0,2.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,9,9,-2.75,0.0
Egypt,2020-02-24,1,0,,0.0,0.21,0.0,98.0,25.3,1.6,71.99,110990096.0,-6.0,-2.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,9,9,2.25,0.0
Egypt,2020-02-24,1,0,,0.0,0.21,0.0,98.0,25.3,1.6,71.99,110990096.0,-19.0,-16.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,9,9,-5.75,0.0
Egypt,2020-02-25,1,0,,0.0,0.21,0.0,98.0,25.3,1.6,71.99,110990096.0,-9.0,-3.0,-9.0,-8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,9,10,-7.25,0.0
