country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Finland,2020-02-20,2,0,0.0,0.0,0.0,13.89,18.14,42.8,3.28,81.91,5540745.0,0.0,0.0,-10.0,-14.0,2.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.08163265306122448,0.07636035483212127,0.14285714285714285,0.07142857142857142,0.0741249316661101,0.14285714285714285,0.045454545454545456,0.06810447066039944,0.14285714285714285,-0.125,-0.26785714285714285,0.0,0.0,3,2,8,21,-6.0,0.0
Finland,2020-02-21,2,0,0.0,0.0,0.0,13.89,18.14,42.8,3.28,81.91,5540745.0,1.0,-1.0,-12.0,-15.0,3.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.061224489795918366,0.07636035483212127,0.14285714285714285,0.07142857142857142,0.0741249316661101,0.14285714285714285,0.043478260869565216,0.06721028127099496,0.14285714285714285,-0.125,-0.26785714285714285,0.0,0.0,4,2,8,22,-6.75,0.0
Finland,2020-02-22,2,0,0.0,0.0,0.0,13.89,18.14,42.8,3.28,81.91,5540745.0,-2.0,-3.0,-7.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.04081632653061224,0.0697071480677524,0.14285714285714285,0.07142857142857142,0.0741249316661101,0.14285714285714285,0.041666666666666664,0.0663293744982195,0.14285714285714285,-0.125,-0.26785714285714285,0.0,0.0,5,2,8,23,-4.0,0.0
Finland,2020-02-23,3,0,0.0,0.0,0.0,13.89,18.14,42.8,3.28,81.91,5540745.0,5.0,6.0,1.0,-1.0,-1.0,1.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.04081632653061224,0.0697071480677524,0.14285714285714285,0.08163265306122448,0.07336465585901364,0.14285714285714285,0.045714285714285714,0.06801360408136047,0.14285714285714285,0.0,-0.14285714285714285,0.14285714285714285,0.0,6,2,8,24,2.75,0.0
Finland,2020-02-24,3,0,0.0,0.0,0.0,13.89,18.14,42.8,3.28,81.91,5540745.0,5.0,3.0,-4.0,-12.0,1.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.04081632653061224,0.0697071480677524,0.14285714285714285,0.09183673469387754,0.07103502258554956,0.14285714285714285,0.04945054945054945,0.06930921771965486,0.14285714285714285,0.0,-0.14285714285714285,0.14285714285714285,0.0,0,2,9,25,-2.0,0.0
Finland,2020-02-25,3,0,0.0,0.0,0.0,13.89,18.14,42.8,3.28,81.91,5540745.0,4.0,3.0,-1.0,-12.0,2.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.061224489795918366,0.07636035483212127,0.14285714285714285,0.09183673469387754,0.07103502258554956,0.14285714285714285,0.0529100529100529,0.07030041108905875,0.14285714285714285,0.14285714285714285,0.26785714285714285,0.14285714285714285,0.0,1,2,9,26,-1.5,0.0
Finland,2020-02-26,4,0,0.0,0.0,0.0,13.89,18.14,42.8,3.28,81.91,5540745.0,5.0,2.0,-3.0,-12.0,1.0,1.0,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.1020408163265306,0.10798984943120778,0.2857142857142857,0.10204081632653061,0.08732140650030379,0.2857142857142857,0.061224489795918366,0.0818213993318309,0.2857142857142857,0.2857142857142857,0.4107142857142857,0.2857142857142857,0.0,2,2,9,27,-2.0,0.0
Finland,2020-02-27,4,0,0.0,0.0,0.0,19.44,18.14,42.8,3.28,81.91,5540745.0,3.0,1.0,-3.0,-12.0,2.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.11664236870396086,0.2857142857142857,0.11224489795918366,0.09989902953615255,0.2857142857142857,0.06896551724137931,0.09051754058364907,0.2857142857142857,0.2857142857142857,0.4107142857142857,0.2857142857142857,0.0,3,2,9,28,-2.75,0.0
Finland,2020-02-28,5,0,0.06,0.0,0.0,19.44,18.14,42.8,3.28,81.91,5540745.0,4.0,1.0,-5.0,-14.0,2.0,1.0,0.0,0.42857142857142855,0.0,0.0,0.14285714285714285,0.0,0.2040816326530612,0.13941429613550474,0.42857142857142855,0.13265306122448978,0.13098210975045568,0.42857142857142855,0.08095238095238094,0.11055062324680957,0.42857142857142855,0.42857142857142855,0.5535714285714286,0.375,0.0,4,2,9,29,-3.5,0.0
Finland,2020-02-29,8,0,0.0,0.0,0.0,19.44,18.14,42.8,3.28,81.91,5540745.0,2.0,1.0,4.0,-2.0,-1.0,3.0,0.0,0.8571428571428571,0.0,0.0,0.14285714285714285,0.0,0.32653061224489793,0.25706726024069637,0.8571428571428571,0.18367346938775508,0.23392475160757778,0.8571428571428571,0.10952380952380952,0.1786781290415673,0.8571428571428571,0.8571428571428571,0.9821428571428571,0.75,0.0,5,2,9,30,1.25,0.0
