country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
France,2020-02-15,12,1,0.59,0.0,0.0,5.56,122.58,42.0,5.98,82.66,67813000.0,-2.0,-1.0,12.0,-2.0,-1.0,1.0,1.0,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.42857142857142855,1.0,0.6326530612244898,0.2159796988624157,0.7142857142857143,0.4795918367346939,0.2604617494803484,0.7142857142857143,0.5002164502164502,0.23762073930810426,1.0,-0.3333333333333333,-0.5333333333333333,0.08333333333333333,7.6923076923076925,5,2,7,21,1.75,0.0
France,2020-02-16,12,1,0.59,0.0,0.0,5.56,122.58,42.0,5.98,82.66,67813000.0,6.0,2.0,7.0,-1.0,-1.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.42857142857142855,0.5,0.5510204081632653,0.2788285922710096,0.7142857142857143,0.4591836734693877,0.2755247394270268,0.7142857142857143,0.4846790890269151,0.24382269868412126,1.0,-0.3333333333333333,-0.5333333333333333,0.08333333333333333,7.6923076923076925,6,2,7,22,3.5,0.0
France,2020-02-17,12,1,0.59,0.0,0.0,5.56,122.58,42.0,5.98,82.66,67813000.0,1.0,2.0,-6.0,-15.0,4.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.42857142857142855,0.3333333333333333,0.4693877551020407,0.30544141932848506,0.7142857142857143,0.4387755102040817,0.2882540182005211,0.7142857142857143,0.4704365079365079,0.24846161463273733,1.0,-0.3333333333333333,-0.5333333333333333,0.08333333333333333,7.6923076923076925,0,2,8,23,-4.5,0.0
France,2020-02-18,12,1,0.59,0.0,0.0,5.56,122.58,42.0,5.98,82.66,67813000.0,5.0,2.0,-4.0,-14.0,3.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.2857142857142857,0.5,0.38775510204081637,0.30544141932848506,0.7142857142857143,0.42857142857142855,0.29649972666444047,0.7142857142857143,0.45733333333333337,0.2518993608206647,1.0,-0.3333333333333333,-0.6666666666666667,0.08333333333333333,7.6923076923076925,1,2,8,24,-2.75,0.0
France,2020-02-19,12,1,0.59,0.0,0.0,5.56,122.58,42.0,5.98,82.66,67813000.0,-4.0,-3.0,-6.0,-12.0,2.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.6,0.30612244897959184,0.2788285922710095,0.7142857142857143,0.42857142857142855,0.2964997266644405,0.7142857142857143,0.4452380952380952,0.2543989403705881,1.0,-0.3333333333333333,-0.8333333333333333,0.08333333333333333,7.6923076923076925,2,2,8,25,-6.25,0.0
France,2020-02-20,12,1,0.59,0.0,0.0,5.56,122.58,42.0,5.98,82.66,67813000.0,-2.0,-1.0,-4.0,-15.0,3.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.5,0.22448979591836732,0.21597969886241555,0.7142857142857143,0.42857142857142855,0.2964997266644405,0.7142857142857143,0.43403880070546735,0.2561563756588775,1.0,-0.3333333333333333,-0.8333333333333333,0.125,7.6923076923076925,3,2,8,26,-5.5,0.0
France,2020-02-21,12,1,0.59,0.0,0.0,5.56,122.58,42.0,5.98,82.66,67813000.0,-1.0,-2.0,0.0,-15.0,3.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285,0.42857142857142855,0.2964997266644405,0.7142857142857143,0.42363945578231293,0.25732073716509185,1.0,-0.3333333333333333,-0.8333333333333333,0.125,7.6923076923076925,4,2,8,27,-4.5,0.0
France,2020-02-22,12,1,0.59,0.0,0.0,5.56,122.58,42.0,5.98,82.66,67813000.0,-6.0,-2.0,14.0,-5.0,-1.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.7142857142857143,0.42857142857142855,0.12244897959183672,0.05399492471560361,0.14285714285714285,0.37755102040816324,0.3048902463933825,0.7142857142857143,0.4090311986863711,0.2646465785006966,1.0,-0.125,0.20833333333333331,0.0,7.6923076923076925,5,2,8,28,0.25,0.0
France,2020-02-23,12,1,0.59,0.0,0.0,5.56,122.58,42.0,5.98,82.66,67813000.0,8.0,7.0,12.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.7142857142857143,0.42857142857142855,0.10204081632653057,0.06970714806775213,0.14285714285714285,0.32653061224489793,0.3039694039206044,0.7142857142857143,0.3953968253968254,0.27055424338455997,1.0,-0.125,0.20833333333333331,0.0,7.6923076923076925,6,2,8,29,6.5,0.0
France,2020-02-24,12,1,0.59,0.0,0.0,5.56,122.58,42.0,5.98,82.66,67813000.0,3.0,3.0,-1.0,-15.0,3.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.7142857142857143,0.42857142857142855,0.08163265306122446,0.07636035483212102,0.14285714285714285,0.2755102040816326,0.2936496150758215,0.7142857142857143,0.3620634920634921,0.2546294587914705,0.7142857142857143,-0.125,0.20833333333333331,0.0,7.6923076923076925,0,2,9,30,-2.5,0.0
