country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Germany,2020-02-18,16,0,,0.03,0.0,11.11,237.02,46.6,8.0,81.33,83369840.0,2.0,2.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.5714285714285714,1.1428571428571428,3.0,0.36734693877551017,0.19961089457307668,0.5714285714285714,0.5816326530612245,0.35200384307470056,1.1428571428571428,0.9207792207792207,0.6521062126597563,3.0,-0.36363636363636365,-0.09696969696969698,0.0,0.0,1,2,8,21,1.0,0.03
Germany,2020-02-19,16,0,,0.03,0.0,11.11,237.02,46.6,8.0,81.33,83369840.0,3.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.5714285714285714,1.1428571428571428,1.5,0.2857142857142857,0.21821789023599134,0.5714285714285714,0.49999999999999994,0.34427363072133027,1.1428571428571428,0.8807453416149068,0.6654139099338362,3.0,-0.36363636363636365,-0.09696969696969698,0.0,0.0,2,2,8,22,0.25,0.03
Germany,2020-02-20,16,0,,0.03,0.0,11.11,237.02,46.6,8.0,81.33,83369840.0,2.0,-1.0,3.0,-4.0,1.0,0.0,0.0,0.0,0.0,0.5714285714285714,1.1428571428571428,1.0,0.2040816326530612,0.19961089457307638,0.42857142857142855,0.4183673469387755,0.3143071207209672,1.1428571428571428,0.844047619047619,0.6751636124516952,3.0,-0.36363636363636365,-0.09696969696969698,0.0,0.0,3,2,8,23,0.0,0.03
Germany,2020-02-21,16,0,,0.03,0.0,11.11,237.02,46.6,8.0,81.33,83369840.0,2.0,2.0,-1.0,-8.0,2.0,0.0,0.0,0.0,0.0,0.42857142857142855,1.1428571428571428,1.0,0.14285714285714285,0.18442777839082783,0.42857142857142855,0.33673469387755095,0.2543631371031026,0.7142857142857143,0.8102857142857143,0.6821649211091382,3.0,-0.3,0.033333333333333326,0.0,0.0,4,2,8,24,-1.25,0.03
Germany,2020-02-22,16,0,,0.03,0.0,11.11,237.02,46.6,8.0,81.33,83369840.0,-1.0,-2.0,9.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.7142857142857143,1.4,0.08163265306122448,0.13941429613550255,0.2857142857142857,0.2857142857142857,0.24424297550431662,0.5714285714285714,0.7791208791208791,0.6870134213611101,3.0,-0.3,-0.1333333333333333,0.0,0.0,5,2,8,25,0.75,0.03
Germany,2020-02-23,16,0,,0.03,0.0,11.11,237.02,46.6,8.0,81.33,83369840.0,0.0,9.0,2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.5714285714285714,1.5,0.04081632653061224,0.10798984943120482,0.2857142857142857,0.24489795918367346,0.2405421103260266,0.5714285714285714,0.7502645502645502,0.6901569722292504,3.0,-0.22222222222222224,-0.040404040404040414,0.0,0.0,6,2,8,26,2.0,0.03
Germany,2020-02-24,16,0,,0.03,0.0,11.11,237.02,46.6,8.0,81.33,83369840.0,2.0,-5.0,-5.0,-20.0,4.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,1.5714285714285714,0.0,0.0,0.0,0.22448979591836735,0.24879165256712688,0.5714285714285714,0.7234693877551021,0.6919384001448945,3.0,-0.22222222222222224,-0.22222222222222224,0.0,0.0,0,2,9,27,-7.0,0.03
Germany,2020-02-25,16,0,,0.03,0.0,11.11,237.02,46.6,8.0,81.33,83369840.0,-1.0,-1.0,-5.0,-13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,1.1428571428571428,0.0,0.0,0.0,0.18367346938775508,0.23392475160757703,0.5714285714285714,0.6985221674876847,0.6926240385022522,3.0,0.0,0.36363636363636365,0.0,0.0,1,2,9,28,-5.0,0.03
Germany,2020-02-26,21,0,,0.03,0.0,16.67,237.02,46.6,8.0,81.33,83369840.0,-3.0,0.0,-7.0,-5.0,2.0,5.0,0.0,0.7142857142857143,0.0,0.0,0.5714285714285714,1.1428571428571428,0.10204081632653061,0.2699746235780183,0.7142857142857143,0.19387755102040818,0.2543631371031025,0.7142857142857143,0.699047619047619,0.6805835693280547,3.0,0.7142857142857143,1.077922077922078,0.7142857142857143,0.0,2,2,9,29,-3.75,0.03
Germany,2020-02-27,26,0,,0.03,0.0,16.67,237.02,46.6,8.0,81.33,83369840.0,-5.0,3.0,-5.0,-4.0,2.0,5.0,0.0,1.4285714285714286,0.0,0.0,0.5714285714285714,1.1428571428571428,0.30612244897959184,0.5619969946210305,1.4285714285714286,0.25510204081632654,0.40861435042574107,1.4285714285714286,0.6466666666666666,0.544189877309628,1.5714285714285714,1.4285714285714286,1.7922077922077921,1.4285714285714286,0.0,3,2,9,30,-2.75,0.03
