country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Grenada,2020-04-13,14,0,3.15,0.0,0.0,,317.13,29.4,3.7,72.4,125459.0,,,,,,0.0,0.0,0.2857142857142857,0.0,0.42857142857142855,1.1428571428571428,0.0,0.32653061224489793,0.06970714806775126,0.42857142857142855,0.520408163265306,0.2996970886084577,1.1428571428571428,0.6032467532467533,0.4501577699497138,1.5,-0.09999999999999999,0.23333333333333334,0.19999999999999998,0.0,0,4,16,21,,0.0
Grenada,2020-04-14,14,0,3.15,0.0,0.0,,317.13,29.4,3.7,72.4,125459.0,,,,,,0.0,0.0,0.2857142857142857,0.0,0.42857142857142855,1.1428571428571428,0.0,0.30612244897959184,0.053994924715602424,0.42857142857142855,0.45918367346938777,0.24538804964621333,1.1428571428571428,0.5894409937888199,0.4447637506606742,1.5,-0.09999999999999999,0.23333333333333334,0.22222222222222224,0.0,1,4,16,22,,0.0
Grenada,2020-04-15,14,0,3.15,0.0,0.0,,317.13,29.4,3.7,72.4,125459.0,,,,,,0.0,0.0,0.2857142857142857,0.0,0.42857142857142855,1.1428571428571428,0.0,0.2857142857142857,0.0,0.2857142857142857,0.3979591836734694,0.15012889729826145,0.7142857142857143,0.5767857142857142,0.43938354210401664,1.5,-0.09999999999999999,0.23333333333333334,0.22222222222222224,0.0,2,4,16,23,,0.0
Grenada,2020-04-16,14,0,3.15,0.0,0.0,,317.13,29.4,3.7,72.4,125459.0,,,,,,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0.42857142857142855,1.5,0.2857142857142857,0.0,0.2857142857142857,0.38775510204081637,0.15272070966424256,0.7142857142857143,0.5651428571428572,0.434053822801315,1.5,0.0,0.09999999999999999,0.22222222222222224,0.0,3,4,16,24,,0.0
Grenada,2020-04-17,14,0,3.15,0.0,0.0,,317.13,29.4,3.7,72.4,125459.0,,,,,,0.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,1.2,0.2448979591836735,0.10798984943120697,0.2857142857142857,0.336734693877551,0.15454539458139743,0.7142857142857143,0.5434065934065934,0.439489142569439,1.5,-0.22222222222222224,0.027777777777777762,0.0,0.0,4,4,16,25,,0.0
Grenada,2020-04-18,14,0,3.15,0.0,0.0,,317.13,29.4,3.7,72.4,125459.0,,,,,,0.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,1.0,0.2040816326530612,0.13941429613550407,0.2857142857142857,0.2857142857142857,0.13725270326150335,0.42857142857142855,0.5232804232804232,0.4434619788195225,1.5,-0.22222222222222224,0.027777777777777762,0.0,0.0,5,4,16,26,,0.0
Grenada,2020-04-19,14,0,3.15,0.0,0.0,,317.13,29.4,3.7,72.4,125459.0,,,,,,0.0,0.0,0.0,0.0,0.2857142857142857,0.42857142857142855,1.1428571428571428,0.16326530612244897,0.15272070966424187,0.2857142857142857,0.25510204081632654,0.1501288972982615,0.42857142857142855,0.5045918367346939,0.44626701536321023,1.5,-0.22222222222222224,-0.12222222222222225,0.0,0.0,6,4,16,27,,0.0
Grenada,2020-04-20,14,0,3.15,0.0,0.0,,317.13,29.4,3.7,72.4,125459.0,,,,,,0.0,0.0,0.0,0.0,0.2857142857142857,0.42857142857142855,1.1428571428571428,0.12244897959183673,0.15272070966424184,0.2857142857142857,0.22448979591836735,0.15562993697197786,0.42857142857142855,0.48719211822660097,0.44813095538225267,1.5,-0.22222222222222224,-0.12222222222222225,0.0,0.0,0,4,17,28,,0.0
Grenada,2020-04-21,14,0,3.15,0.0,0.0,,317.13,29.4,3.7,72.4,125459.0,,,,,,0.0,0.0,0.0,0.0,0.2857142857142857,0.42857142857142855,1.1428571428571428,0.08163265306122448,0.139414296135504,0.2857142857142857,0.19387755102040818,0.15454539458139746,0.42857142857142855,0.47095238095238096,0.449230843694617,1.5,-0.22222222222222224,-0.12222222222222225,0.0,0.0,1,4,17,29,,0.0
Grenada,2020-04-22,15,0,3.15,0.0,0.0,,317.13,29.4,3.7,72.4,125459.0,,,,,,1.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.42857142857142855,1.1428571428571428,0.061224489795918366,0.11239939892420521,0.2857142857142857,0.17346938775510204,0.1392801794174614,0.2857142857142857,0.4757142857142857,0.44480186386741855,1.5,-0.11111111111111112,-0.011111111111111127,0.14285714285714285,0.0,2,4,17,30,,0.0
