country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Guatemala,2020-04-05,61,2,0.0,0.0,0.0,93.52,157.83,22.9,0.6,74.3,17843914.0,-63.0,-33.0,-64.0,-33.0,17.0,0.0,0.0,3.857142857142857,0.14285714285714285,2.142857142857143,2.5714285714285716,0.0,2.979591836734694,0.7163236234605809,3.857142857142857,2.6632653061224487,0.5998616869808504,3.857142857142857,2.226948051948052,0.905621797594554,3.857142857142857,0.5454545454545455,0.6654545454545456,1.125,3.225806451612903,6,4,14,21,-48.25,0.0
Guatemala,2020-04-06,70,3,0.0,0.0,0.0,93.52,157.83,22.9,0.6,74.3,17843914.0,-57.0,-36.0,-70.0,-52.0,28.0,9.0,1.0,4.857142857142857,0.2857142857142857,2.2857142857142856,2.5714285714285716,0.5,3.346938775510204,0.9289638103462065,4.857142857142857,2.826530612244898,0.8370887943923511,4.857142857142857,2.341304347826087,1.0409853947049887,4.857142857142857,0.7826086956521738,0.8626086956521739,1.5454545454545454,4.225352112676056,0,4,15,22,-53.75,0.0
Guatemala,2020-04-07,77,3,0.0,0.0,0.0,93.52,157.83,22.9,0.6,74.3,17843914.0,-57.0,-33.0,-70.0,-53.0,27.0,7.0,0.0,5.571428571428571,0.2857142857142857,2.4285714285714284,2.142857142857143,1.6666666666666667,3.7959183673469385,1.1454053224818173,5.571428571428571,3.0714285714285716,1.0861624292001464,5.571428571428571,2.475892857142857,1.2129604086786132,5.571428571428571,0.9166666666666667,0.8257575757575759,1.3448275862068966,3.8461538461538463,1,4,15,23,-53.25,0.0
Guatemala,2020-04-08,87,3,0.01,0.0,0.0,93.52,157.83,22.9,0.6,74.3,17843914.0,-58.0,-26.0,-71.0,-60.0,29.0,10.0,0.0,6.857142857142857,0.2857142857142857,2.142857142857143,2.5714285714285716,1.25,4.469387755102041,1.3744863869781803,6.857142857142857,3.377551020408163,1.470384931133787,6.857142857142857,2.651142857142857,1.4757316747337732,6.857142857142857,1.4999999999999998,1.6199999999999999,1.6551724137931036,3.4090909090909087,2,4,15,24,-53.75,0.0
Guatemala,2020-04-09,95,3,0.0,0.0,0.0,93.52,157.83,22.9,0.6,74.3,17843914.0,-71.0,-42.0,-79.0,-74.0,34.0,8.0,0.0,6.857142857142857,0.2857142857142857,3.142857142857143,2.2857142857142856,1.6,5.0,1.4891900734392247,6.857142857142857,3.704081632653061,1.6990756427891196,6.857142857142857,2.812912087912088,1.6646543188888885,6.857142857142857,0.896551724137931,0.6356821589205397,1.4117647058823528,3.125,3,4,15,25,-66.5,0.0
Guatemala,2020-04-10,126,3,0.0,0.0,0.0,93.52,157.83,22.9,0.6,74.3,17843914.0,-82.0,-71.0,-87.0,-79.0,40.0,31.0,0.0,10.857142857142858,0.2857142857142857,3.142857142857143,2.2857142857142856,1.8333333333333333,6.1020408163265305,2.437957053907186,10.857142857142858,4.316326530612245,2.502857752162961,10.857142857142858,3.110846560846561,2.2496995102691004,10.857142857142858,1.8620689655172418,1.6011994002998504,2.235294117647059,2.3622047244094486,4,4,15,26,-79.75,0.0
Guatemala,2020-04-11,137,3,0.02,0.0,0.0,93.52,157.83,22.9,0.6,74.3,17843914.0,-79.0,-67.0,-83.0,-64.0,29.0,11.0,0.0,10.857142857142858,0.14285714285714285,3.857142857142857,2.4285714285714284,2.2857142857142856,7.10204081632653,2.7758853287916208,10.857142857142858,4.918367346938775,2.9817415526334687,10.857142857142858,3.3874999999999997,2.648912508153967,10.857142857142858,1.441176470588235,1.0245098039215683,1.8536585365853662,2.1739130434782608,5,4,15,27,-73.25,0.0
Guatemala,2020-04-12,155,5,0.0,0.0,0.0,93.52,157.83,22.9,0.6,74.3,17843914.0,-75.0,-64.0,-79.0,-47.0,22.0,18.0,2.0,13.428571428571429,0.42857142857142855,3.857142857142857,2.142857142857143,2.5714285714285716,8.46938775510204,3.2311349764674913,13.428571428571429,5.724489795918368,3.628971287873205,13.428571428571429,3.733743842364532,3.2004372922688282,13.428571428571429,1.9705882352941173,1.425133689839572,2.0434782608695654,3.205128205128205,6,4,15,28,-66.25,0.0
Guatemala,2020-04-13,156,5,0.0,0.0,0.0,93.52,157.83,22.9,0.6,74.3,17843914.0,-60.0,-41.0,-70.0,-51.0,28.0,1.0,0.0,12.285714285714286,0.2857142857142857,4.857142857142857,2.2857142857142856,2.5714285714285716,9.530612244897961,3.0625167340531627,13.428571428571429,6.438775510204081,3.875805192371363,13.428571428571429,4.018809523809524,3.5110500114817684,13.428571428571429,1.2682926829268295,0.48568398727465567,1.5636363636363637,3.1847133757961785,0,4,16,29,-55.5,0.0
Guatemala,2020-04-14,167,5,0.0,0.0,0.0,93.52,157.83,22.9,0.6,74.3,17843914.0,-58.0,-39.0,-69.0,-50.0,28.0,11.0,0.0,12.857142857142858,0.2857142857142857,5.571428571428571,2.4285714285714284,2.142857142857143,10.571428571428571,2.7105237087157454,13.428571428571429,7.183673469387755,4.0442717097465275,13.428571428571429,4.447380952380953,3.778121205004678,13.428571428571429,1.1086956521739133,0.19202898550724656,1.6363636363636365,2.976190476190476,1,4,16,30,-54.0,0.0
Guatemala,2020-04-15,180,5,0.02,0.0,0.0,93.52,157.83,22.9,0.6,74.3,17843914.0,-56.0,-35.0,-68.0,-50.0,28.0,13.0,0.0,13.285714285714286,0.2857142857142857,6.857142857142857,2.142857142857143,2.5714285714285716,11.489795918367347,2.3003358862358168,13.428571428571429,7.979591836734694,4.072289148632438,13.428571428571429,4.873571428571428,4.030217609507308,13.428571428571429,0.8181818181818183,-0.6818181818181814,1.1204819277108433,2.7624309392265194,2,4,16,31,-52.25,0.0
Guatemala,2020-04-16,196,5,0.02,0.0,0.0,93.52,157.83,22.9,0.6,74.3,17843914.0,-56.0,-34.0,-68.0,-50.0,29.0,16.0,0.0,14.428571428571429,0.2857142857142857,6.857142857142857,3.142857142857143,2.2857142857142856,12.571428571428571,1.3375782766845612,14.428571428571429,8.785714285714286,4.157326003291683,14.428571428571429,5.298968253968255,4.341546993061356,14.428571428571429,0.9636363636363637,0.06708463949843269,1.216867469879518,2.5380710659898478,3,4,16,32,-52.0,0.0
Guatemala,2020-04-17,214,7,0.0,0.0,0.0,93.52,157.83,22.9,0.6,74.3,17843914.0,-59.0,-35.0,-70.0,-48.0,31.0,18.0,2.0,12.571428571428571,0.5714285714285714,10.857142857142858,3.142857142857143,2.2857142857142856,12.816326530612246,1.1087600653026974,14.428571428571429,9.459183673469386,3.9303906163319153,14.428571428571429,5.676349206349206,4.467676716867028,14.428571428571429,0.144578313253012,-1.7174906522642297,0.8712871287128713,3.255813953488372,4,4,16,33,-53.0,0.0
Guatemala,2020-04-18,235,7,0.01,0.0,0.0,96.3,157.83,22.9,0.6,74.3,17843914.0,-61.0,-41.0,-67.0,-33.0,22.0,21.0,0.0,14.0,0.5714285714285714,10.857142857142858,3.857142857142857,2.4285714285714284,13.26530612244898,0.7667786287452323,14.428571428571429,10.183673469387754,3.748962628436652,14.428571428571429,6.089682539682539,4.647524845496991,14.428571428571429,0.2650602409638554,-1.1761162296243797,1.053763440860215,2.9661016949152543,5,4,16,34,-50.5,0.0
