country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Honduras,2020-04-02,219,14,,0.03,0.03,100.0,82.8,24.9,0.7,75.27,10432858.0,-89.0,-83.0,-82.0,-77.0,33.0,47.0,4.0,23.857142857142858,1.8571428571428572,5.714285714285714,1.4285714285714286,0.0,14.73469387755102,5.875944602845112,23.857142857142858,9.204081632653061,7.0199791771382465,23.857142857142858,6.060714285714286,6.980539988608037,23.857142857142858,2.702127659574468,0.937421777221527,2.141025641025641,6.363636363636363,3,4,14,21,-82.75,0.03
Honduras,2020-04-03,222,15,,0.03,0.03,100.0,82.8,24.9,0.7,75.27,10432858.0,-69.0,-32.0,-62.0,-63.0,26.0,3.0,1.0,22.0,2.0,6.285714285714286,3.142857142857143,0.0,16.97959183673469,5.054417190831196,23.857142857142858,10.551020408163266,7.556144046431015,23.857142857142858,6.7537267080745345,7.586775022311573,23.857142857142858,2.1568627450980395,1.398242055442867,1.6923076923076923,6.726457399103139,4,4,14,22,-56.5,0.03
Honduras,2020-04-04,264,15,,0.03,0.03,100.0,82.8,24.9,0.7,75.27,10432858.0,-89.0,-83.0,-83.0,-70.0,30.0,42.0,0.0,24.142857142857142,2.0,10.142857142857142,3.142857142857143,0.0,18.979591836734695,4.652136201166946,24.142857142857142,12.051020408163266,8.04122173033109,24.142857142857142,7.4782738095238095,8.225316244710317,24.142857142857142,1.2564102564102564,-0.433244916003537,1.4568965517241381,5.660377358490567,5,4,14,23,-81.25,0.03
Honduras,2020-04-05,268,22,,0.03,0.03,100.0,82.8,24.9,0.7,75.27,10432858.0,-88.0,-83.0,-84.0,-56.0,22.0,4.0,7.0,22.571428571428573,2.7142857142857144,12.0,3.2857142857142856,0.25,20.489795918367346,3.6073028185721516,24.142857142857142,13.428571428571429,8.075973630373797,24.142857142857142,8.082,8.599358542759965,24.142857142857142,0.8131868131868133,-1.2201465201465203,1.3389830508474576,8.178438661710038,6,4,14,24,-77.75,0.03
Honduras,2020-04-06,298,22,,0.03,0.03,100.0,82.8,24.9,0.7,75.27,10432858.0,-75.0,-49.0,-68.0,-68.0,27.0,30.0,0.0,22.714285714285715,2.142857142857143,15.571428571428571,3.4285714285714284,0.8,21.510204081632654,2.931017727240081,24.142857142857142,14.806122448979592,7.881502128512638,24.142857142857142,8.64478021978022,8.900885889799616,24.142857142857142,0.43103448275862083,-2.3109010011123465,1.111888111888112,7.357859531772576,0,4,15,25,-65.0,0.03
Honduras,2020-04-07,305,22,,0.03,0.03,100.0,82.8,24.9,0.7,75.27,10432858.0,-87.0,-78.0,-81.0,-75.0,31.0,7.0,0.0,23.428571428571427,2.142857142857143,15.857142857142858,3.142857142857143,1.0,22.591836734693878,1.5852821621174542,24.142857142857142,16.25510204081633,7.423747074923066,24.142857142857142,9.192328042328043,9.180057588223518,24.142857142857142,0.4491525423728812,-2.619812974868499,0.9425287356321839,7.18954248366013,1,4,15,26,-80.25,0.03
Honduras,2020-04-08,312,22,,0.03,0.03,100.0,82.8,24.9,0.7,75.27,10432858.0,-75.0,-46.0,-66.0,-68.0,27.0,7.0,0.0,20.0,1.7142857142857142,19.428571428571427,3.857142857142857,1.0,22.6734693877551,1.3990139523510072,24.142857142857142,17.408163265306122,6.552494735726068,24.142857142857142,9.578316326530611,9.23709115025674,24.142857142857142,0.02797202797202805,-3.177910324969148,0.8695652173913043,7.0287539936102235,2,4,15,27,-63.75,0.03
Honduras,2020-04-09,343,23,,0.03,0.03,100.0,82.8,24.9,0.7,75.27,10432858.0,-87.0,-79.0,-82.0,-78.0,33.0,31.0,1.0,17.714285714285715,1.2857142857142858,23.857142857142858,5.714285714285714,1.4285714285714286,21.79591836734694,2.219053458285525,24.142857142857142,18.26530612244898,5.624251463987334,24.142857142857142,9.85886699507389,9.195603520583692,24.142857142857142,-0.24712643678160917,-2.949254096356077,0.7045454545454546,6.686046511627906,3,4,15,28,-81.5,0.03
Honduras,2020-04-10,382,23,,0.03,0.03,100.0,82.8,24.9,0.7,75.27,10432858.0,-81.0,-59.0,-74.0,-73.0,31.0,39.0,0.0,22.857142857142858,1.1428571428571428,22.0,6.285714285714286,3.142857142857143,21.918367346938776,2.2555406351585416,24.142857142857142,19.448979591836736,4.550383268435891,24.142857142857142,10.292142857142858,9.34211600342953,24.142857142857142,0.03726708074534164,-2.119595664352698,0.9696969696969696,6.005221932114883,4,4,15,29,-71.75,0.03
Honduras,2020-04-11,392,24,,0.03,0.03,100.0,82.8,24.9,0.7,75.27,10432858.0,-84.0,-68.0,-78.0,-68.0,28.0,10.0,1.0,18.285714285714285,1.2857142857142858,24.142857142857142,10.142857142857142,3.142857142857143,21.081632653061227,2.3759812049136864,23.428571428571427,20.030612244897956,3.712670219864824,24.142857142857142,10.901666666666667,9.243454744108421,24.142857142857142,-0.23295454545454547,-1.4893648018648018,0.7710843373493975,6.106870229007633,5,4,15,30,-74.5,0.03
