country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Hungary,2020-03-26,261,10,0.12,0.01,0.02,67.59,108.04,43.4,7.02,76.88,9967304.0,-53.0,-24.0,-55.0,-48.0,22.0,35.0,0.0,26.857142857142858,1.2857142857142858,8.571428571428571,1.5714285714285714,0.0,17.53061224489796,6.5971104196619885,26.857142857142858,11.255102040816327,8.03273885258777,26.857142857142858,7.508982683982683,8.112620657701301,26.857142857142858,1.9104477611940298,-0.8117744610281925,2.35,3.816793893129771,3,3,13,21,-45.0,0.01
Hungary,2020-03-27,300,10,0.13,0.01,0.02,71.3,108.04,43.4,7.02,76.88,9967304.0,-44.0,-6.0,-48.0,-46.0,19.0,39.0,0.0,30.714285714285715,1.0,9.428571428571429,2.4285714285714284,0.0,20.571428571428573,7.124738925876841,30.714285714285715,13.275510204081632,9.124890362682232,30.714285714285715,8.517908902691511,9.286306004833223,30.714285714285715,2.0410958904109586,-0.0005707762557083385,2.028301886792453,3.322259136212625,4,3,13,22,-36.0,0.01
Hungary,2020-03-28,343,11,0.11,0.01,0.02,76.85,108.04,43.4,7.02,76.88,9967304.0,-66.0,-40.0,-52.0,-32.0,13.0,43.0,1.0,34.285714285714285,1.0,10.428571428571429,3.7142857142857144,0.6666666666666666,23.979591836734695,7.1701519312495074,34.285714285714285,15.459183673469388,10.249505646680994,34.285714285714285,9.59156746031746,10.495329214206896,34.285714285714285,2.0874999999999995,0.6632575757575752,1.777777777777778,3.1976744186046515,5,3,13,23,-47.5,0.01
Hungary,2020-03-29,408,13,0.19,0.01,0.02,76.85,108.04,43.4,7.02,76.88,9967304.0,-66.0,-43.0,-53.0,-32.0,10.0,65.0,2.0,39.57142857142857,1.0,14.142857142857142,3.5714285714285716,1.25,27.612244897959183,7.772143824628393,39.57142857142857,18.03061224489796,11.479717773598408,39.57142857142857,10.790761904761904,11.895963779064065,39.57142857142857,1.6792452830188678,-0.6332547169811322,1.923611111111111,3.1784841075794623,6,3,13,24,-48.5,0.01
Hungary,2020-03-30,447,15,0.12,0.01,0.02,76.85,108.04,43.4,7.02,76.88,9967304.0,-57.0,-29.0,-59.0,-49.0,22.0,39.0,2.0,40.0,1.1428571428571428,18.285714285714285,4.285714285714286,1.4,30.714285714285715,7.762635081037904,40.0,20.581632653061227,12.139620032086496,40.0,11.914194139194139,12.987224325578138,40.0,1.125925925925926,-1.5227227227227227,1.6,3.3482142857142856,0,3,14,25,-48.5,0.01
Hungary,2020-03-31,492,16,0.09,0.01,0.02,76.85,108.04,43.4,7.02,76.88,9967304.0,-55.0,-26.0,-56.0,-49.0,21.0,45.0,1.0,43.57142857142857,1.0,19.571428571428573,5.857142857142857,1.1666666666666667,34.142857142857146,7.307623453915607,43.57142857142857,23.27551020408163,12.788027206319127,43.57142857142857,13.08668430335097,14.117314230260028,43.57142857142857,1.1666666666666665,-0.8333333333333339,1.564102564102564,3.2454361054766734,1,3,14,26,-46.5,0.01
Hungary,2020-04-01,525,20,0.11,0.01,0.02,76.85,108.04,43.4,7.02,76.88,9967304.0,-54.0,-27.0,-54.0,-48.0,21.0,33.0,4.0,42.714285714285715,1.4285714285714286,24.0,6.428571428571429,1.5714285714285714,36.816326530612244,6.337296085202704,43.57142857142857,25.867346938775512,12.788027206319127,43.57142857142857,14.144812925170068,14.942119860871946,43.57142857142857,0.7485714285714287,-1.6168131868131863,1.3468468468468469,3.802281368821293,2,4,14,27,-45.75,0.01
Hungary,2020-04-02,585,21,0.12,0.01,0.02,76.85,108.04,43.4,7.02,76.88,9967304.0,-51.0,-20.0,-53.0,-48.0,21.0,60.0,1.0,46.285714285714285,1.5714285714285714,26.857142857142858,8.571428571428571,1.5714285714285714,39.59183673469387,5.439480624609326,46.285714285714285,28.561224489795915,12.836548131410918,46.285714285714285,15.25311986863711,15.840300205049976,46.285714285714285,0.6974358974358974,-1.2130118637581324,1.311740890688259,3.583617747440273,3,4,14,28,-43.0,0.01
Hungary,2020-04-03,623,26,0.14,0.01,0.02,76.85,108.04,43.4,7.02,76.88,9967304.0,-50.0,-16.0,-51.0,-47.0,21.0,38.0,5.0,46.142857142857146,2.2857142857142856,30.714285714285715,9.428571428571429,2.4285714285714284,41.795918367346935,4.23530443922341,46.285714285714285,31.18367346938776,12.368927058649561,46.285714285714285,16.282777777777778,16.55502122285441,46.285714285714285,0.4864864864864865,-1.5546094039244722,1.137323943661972,4.166666666666666,4,4,14,29,-41.0,0.01
Hungary,2020-04-04,678,32,0.17,0.01,0.02,76.85,108.04,43.4,7.02,76.88,9967304.0,-54.0,-22.0,-43.0,-30.0,11.0,55.0,6.0,47.857142857142854,3.0,34.285714285714285,10.428571428571429,3.7142857142857144,43.73469387755102,3.205467874652974,47.857142857142854,33.857142857142854,11.556020130472556,47.857142857142854,17.878015873015876,17.224142282408792,47.857142857142854,0.3846153846153846,-1.7028846153846149,1.1672473867595818,4.712812960235641,5,4,14,30,-37.25,0.01
