country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
India,2020-02-21,3,0,0.0,0.0,0.0,10.19,450.42,28.2,0.53,69.66,1417173120.0,-4.0,0.0,-4.0,-19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.030612244897959183,0.08270488907454857,0.2857142857142857,0.11666666666666665,0.168760735140268,0.5,0.0,0.22222222222222224,0.0,0.0,4,2,8,21,-6.75,0.0
India,2020-02-22,3,0,0.0,0.0,0.0,10.19,450.42,28.2,0.53,69.66,1417173120.0,-2.0,-2.0,-2.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.01020408163265306,0.038180177416060807,0.14285714285714285,0.11159420289855071,0.1666655911341705,0.5,0.0,0.22222222222222224,0.0,0.0,5,2,8,22,-2.0,0.0
India,2020-02-23,3,0,0.0,0.0,0.0,10.19,450.42,28.2,0.53,69.66,1417173120.0,-2.0,-1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.10694444444444444,0.16458612175769086,0.5,0.0,0.125,0.0,0.0,6,2,8,23,-0.25,0.0
India,2020-02-24,3,0,0.0,0.0,0.0,10.19,450.42,28.2,0.53,69.66,1417173120.0,-1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.10266666666666666,0.16253425710191205,0.5,0.0,0.0,0.0,0.0,0,2,9,24,1.0,0.0
India,2020-02-25,3,0,0.0,0.0,0.0,10.19,450.42,28.2,0.53,69.66,1417173120.0,-1.0,-2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.09871794871794871,0.16051819539169176,0.5,0.0,0.0,0.0,0.0,1,2,9,25,-0.25,0.0
India,2020-02-26,3,0,0.0,0.0,0.0,10.19,450.42,28.2,0.53,69.66,1417173120.0,0.0,0.0,3.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.09506172839506172,0.15854343922139796,0.5,0.0,0.0,0.0,0.0,2,2,9,26,1.5,0.0
India,2020-02-27,3,0,0.0,0.0,0.0,10.19,450.42,28.2,0.53,69.66,1417173120.0,-1.0,-1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.09166666666666666,0.1566135331758738,0.5,0.0,0.0,0.0,0.0,3,2,9,27,0.75,0.0
India,2020-02-28,3,0,0.0,0.0,0.0,10.19,450.42,28.2,0.53,69.66,1417173120.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.08850574712643677,0.15473059464221622,0.5,0.0,0.0,0.0,0.0,4,2,9,28,1.75,0.0
India,2020-02-29,3,0,0.0,0.0,0.0,10.19,450.42,28.2,0.53,69.66,1417173120.0,-2.0,-1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.08555555555555555,0.1528956994138893,0.5,0.0,0.0,0.0,0.0,5,2,9,29,1.25,0.0
India,2020-03-01,3,0,0.0,0.0,0.0,10.19,450.42,28.2,0.53,69.66,1417173120.0,1.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.08555555555555555,0.1528956994138893,0.5,0.0,0.0,0.0,0.0,6,3,9,30,2.0,0.0
