country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Iran,2020-03-12,10075,429,0.12,0.0,0.11,48.15,49.83,32.4,1.5,76.68,88550568.0,,,,,,1075.0,75.0,937.4285714285714,46.0,466.85714285714283,34.285714285714285,3.0,799.6530612244898,98.38574149857077,937.4285714285714,518.2142857142857,318.95592403287816,937.4285714285714,334.8215367965368,353.08458204332186,937.4285714285714,1.0058015267175573,-11.253307785023335,1.253007447011648,4.25764192139738,3,3,11,21,,0.0
Iran,2020-03-13,11364,514,0.12,0.0,0.11,48.15,49.83,32.4,1.5,76.68,88550568.0,,,,,,1289.0,85.0,945.2857142857143,55.714285714285715,622.7142857142857,52.857142857142854,8.0,845.734693877551,74.29159448208172,945.2857142857143,581.9591836734694,307.7801945015026,945.2857142857143,361.3634575569358,367.7021264669154,945.2857142857143,0.5171781951442971,-10.063723661619628,1.18266309204647,4.522657281126265,4,3,11,22,,0.0
Iran,2020-03-14,12729,611,0.12,0.0,0.11,48.15,49.83,32.4,1.5,76.68,88550568.0,,,,,,1365.0,97.0,986.5714285714286,66.57142857142857,747.1428571428571,80.71428571428571,8.666666666666666,879.9387755102042,76.42059847789868,986.5714285714286,646.6632653061224,288.94029089446025,986.5714285714286,387.41378968253974,381.59305181840716,986.5714285714286,0.32003055184265805,-7.835563853751749,1.2186341979883537,4.799685781618225,5,3,11,23,,0.0
Iran,2020-03-15,13938,724,0.12,0.0,0.11,48.15,49.83,32.4,1.5,76.68,88550568.0,,,,,,1209.0,113.0,1053.142857142857,75.71428571428571,798.2857142857143,133.57142857142858,10.25,916.3469387755102,90.45643357507291,1053.142857142857,712.3469387755102,267.01858021467507,1053.142857142857,414.0429523809524,396.5776667901409,1053.142857142857,0.3188561215370866,-4.620634324322786,1.2903903378260109,5.19405983212569,6,3,11,24,,0.0
Iran,2020-03-16,14991,853,0.12,0.0,0.11,48.15,49.83,32.4,1.5,76.68,88550568.0,,,,,,1053.0,129.0,1118.5714285714287,88.0,808.5714285714286,205.71428571428572,11.8,960.6326530612245,103.79853121602724,1118.5714285714287,777.5510204081633,244.27375368922006,1118.5714285714287,441.14020146520147,412.3998976371397,1118.5714285714287,0.3829186518440093,-2.533460062737884,1.2867707477403452,5.689701173959445,0,3,12,25,,0.0
Iran,2020-03-17,16169,988,0.12,0.0,0.11,48.15,49.83,32.4,1.5,76.68,88550568.0,,,,,,1178.0,135.0,1161.0,99.57142857142857,815.1428571428571,320.14285714285717,15.5,1010.0408163265307,105.30624967033451,1161.0,837.6122448979593,225.83412056465951,1161.0,467.8016754850088,427.46333605747833,1161.0,0.42377034832837396,-1.1175997584331916,1.237174608007307,6.110080395794681,1,3,12,26,,0.0
Iran,2020-03-18,17361,1135,0.12,0.0,0.11,48.15,49.83,32.4,1.5,76.68,88550568.0,,,,,,1192.0,147.0,1194.4285714285713,111.57142857142857,868.2857142857143,397.57142857142856,19.571428571428573,1056.6326530612246,104.2794145893349,1194.4285714285713,894.530612244898,205.9387163157408,1194.4285714285713,493.75263605442177,441.37736753684436,1194.4285714285713,0.3751848808545602,-0.8058187033748307,1.262228260869565,6.537265292017048,2,3,12,27,,0.0
Iran,2020-03-19,18407,1284,0.12,0.0,0.11,51.85,49.83,32.4,1.5,76.68,88550568.0,,,,,,1046.0,149.0,1190.2857142857142,122.14285714285714,937.4285714285714,466.85714285714283,34.285714285714285,1092.7551020408162,99.80387959842122,1194.4285714285713,946.2040816326531,179.42734403483806,1194.4285714285713,517.7710180623974,452.3117685452774,1194.4285714285713,0.269447404475567,-0.7363541222419903,1.2052654419210183,6.97522816166884,3,3,12,28,,0.0
Iran,2020-03-20,19644,1433,0.12,0.0,0.11,51.85,49.83,32.4,1.5,76.68,88550568.0,,,,,,1237.0,149.0,1182.857142857143,131.28571428571428,945.2857142857143,622.7142857142857,52.857142857142854,1126.6938775510205,79.65881448387158,1194.4285714285713,986.2142857142857,163.488843780902,1194.4285714285713,539.9405555555555,460.73408849066,1194.4285714285713,0.25105676328502413,-0.26612143185927295,1.1221032660252068,7.294476966149148,4,3,12,29,,0.0
Iran,2020-03-21,20610,1556,0.12,0.0,0.11,51.85,49.83,32.4,1.5,76.68,88550568.0,,,,,,966.0,123.0,1125.857142857143,135.0,986.5714285714286,747.1428571428571,80.71428571428571,1146.5918367346937,51.1013018572569,1194.4285714285713,1013.2653061224489,151.80255350308147,1194.4285714285713,577.369126984127,461.2190465054157,1194.4285714285713,0.1410386228844207,-0.17899192895823735,1.005614393262728,7.549366842947941,5,3,12,30,,0.0
