country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Iraq,2020-03-17,154,11,0.05,0.0,0.37,89.81,88.12,20.0,1.4,70.6,44496124.0,-32.0,-6.0,-31.0,-25.0,9.0,30.0,1.0,11.857142857142858,0.5714285714285714,5.571428571428571,4.428571428571429,0.0,8.0,2.3459329403340194,11.857142857142858,6.5102040816326525,2.2786389708645145,11.857142857142858,5.001948051948052,2.826792182293649,11.857142857142858,0.9565217391304349,0.7459954233409614,1.9302325581395348,7.096774193548387,1,3,12,21,-23.5,0.0
Iraq,2020-03-18,164,12,0.05,0.0,0.37,89.81,88.12,20.0,1.4,70.6,44496124.0,-58.0,-35.0,-55.0,-49.0,16.0,10.0,1.0,13.285714285714286,0.7142857142857143,5.142857142857143,4.285714285714286,2.0,9.16326530612245,2.6871178847838024,13.285714285714286,7.153061224489796,2.81031084595784,13.285714285714286,5.362111801242236,3.2574607064542977,13.285714285714286,1.3255813953488371,1.1634192331866748,1.3676470588235297,7.2727272727272725,2,3,12,22,-49.25,0.0
Iraq,2020-03-19,192,13,0.05,0.0,0.37,89.81,88.12,20.0,1.4,70.6,44496124.0,-62.0,-38.0,-57.0,-49.0,19.0,28.0,1.0,17.285714285714285,0.7142857142857143,5.142857142857143,4.0,2.0,10.897959183673468,3.465784443323066,17.285714285714285,8.10204081632653,3.749800024570047,17.285714285714285,5.858928571428571,4.009182699549541,17.285714285714285,1.9767441860465114,1.7481727574750827,1.9206349206349205,6.7357512953367875,3,3,12,23,-51.5,0.0
Iraq,2020-03-20,208,17,0.05,0.0,0.37,89.81,88.12,20.0,1.4,70.6,44496124.0,-64.0,-40.0,-59.0,-27.0,14.0,16.0,4.0,15.285714285714286,1.1428571428571428,8.714285714285714,4.714285714285714,1.5,11.836734693877549,3.6602559029423465,17.285714285714285,8.857142857142858,4.066171659229771,17.285714285714285,6.236000000000001,4.354122919091493,17.285714285714285,0.6764705882352944,-0.023529411764705466,1.6984126984126986,8.133971291866029,4,3,12,24,-47.5,0.0
Iraq,2020-03-21,214,17,0.05,0.0,0.37,89.81,88.12,20.0,1.4,70.6,44496124.0,-67.0,-48.0,-62.0,-49.0,17.0,6.0,0.0,14.857142857142858,1.0,8.0,5.857142857142857,2.4,12.816326530612246,3.368233237309065,17.285714285714285,9.5,4.2621145097464845,17.285714285714285,6.567582417582418,4.588972687832248,17.285714285714285,0.761904761904762,0.4494047619047619,1.4647887323943662,7.906976744186046,5,3,12,25,-56.5,0.0
Iraq,2020-03-22,233,20,0.05,0.0,0.37,94.44,88.12,20.0,1.4,70.6,44496124.0,-65.0,-41.0,-64.0,-57.0,20.0,19.0,3.0,16.714285714285715,1.4285714285714286,8.0,5.857142857142857,3.0,14.06122448979592,2.864107158497165,17.285714285714285,10.275510204081632,4.527766866413415,17.285714285714285,6.943386243386244,4.905292181821002,17.285714285714285,0.9682539682539684,0.6557539682539684,1.3,8.547008547008547,6,3,12,26,-56.75,0.0
Iraq,2020-03-23,266,23,0.05,0.0,0.37,94.44,88.12,20.0,1.4,70.6,44496124.0,-67.0,-42.0,-63.0,-56.0,19.0,33.0,3.0,20.285714285714285,1.8571428571428572,9.142857142857142,4.857142857142857,3.5714285714285716,15.653061224489795,2.769927358335726,20.285714285714285,11.377551020408163,4.9641120668047325,20.285714285714285,7.419897959183674,5.434011948336084,20.285714285714285,1.0985915492957747,0.366884232222604,1.42,8.614232209737828,0,3,13,27,-57.0,0.0
Iraq,2020-03-24,316,27,0.05,0.0,0.37,94.44,88.12,20.0,1.4,70.6,44496124.0,-66.0,-42.0,-62.0,-56.0,20.0,50.0,4.0,23.142857142857142,2.2857142857142856,11.857142857142858,5.571428571428571,4.428571428571429,17.26530612244898,3.4041077341207133,23.142857142857142,12.63265306122449,5.5678247814196835,23.142857142857142,7.962068965517242,6.082633449196955,23.142857142857142,0.8777777777777777,-0.07874396135265727,1.265625,8.517350157728707,1,3,13,28,-56.5,0.0
Iraq,2020-03-25,346,29,0.05,0.0,0.37,94.44,88.12,20.0,1.4,70.6,44496124.0,-67.0,-42.0,-61.0,-57.0,20.0,30.0,2.0,26.0,2.4285714285714284,13.285714285714286,5.142857142857143,4.285714285714286,19.081632653061227,4.220823937729913,26.0,14.122448979591836,6.167687394434791,26.0,8.563333333333333,6.824088727261805,26.0,0.8899999999999999,-0.4355813953488372,1.5964912280701755,8.357348703170029,2,3,13,29,-56.75,0.0
Iraq,2020-03-26,382,36,0.05,0.0,0.37,96.3,88.12,20.0,1.4,70.6,44496124.0,-69.0,-45.0,-62.0,-56.0,23.0,36.0,7.0,27.142857142857142,3.2857142857142856,17.285714285714285,5.142857142857143,4.0,20.48979591836735,5.078872566825094,27.142857142857142,15.693877551020408,6.497640470872441,27.142857142857142,9.468095238095238,7.42267640607632,27.142857142857142,0.5390625000000001,-1.4376816860465111,1.7117117117117115,9.39947780678851,3,3,13,30,-58.0,0.0
