country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Ireland,2020-03-22,906,4,0.2,50.87,14.84,48.15,69.87,38.7,2.96,82.3,5023108.0,-59.0,-11.0,-53.0,-39.0,13.0,121.0,1.0,111.0,0.2857142857142857,15.714285714285714,2.5714285714285716,0.0,63.795918367346935,35.64534843310409,111.0,36.173469387755105,37.706175392164106,111.0,23.49296536796537,34.28388928499216,111.0,5.700854700854701,2.0208547008547013,3.9642857142857144,0.4410143329658214,6,3,12,21,-40.5,50.87
Ireland,2020-03-23,1125,6,0.52,50.87,14.84,48.15,69.87,38.7,2.96,82.3,5023108.0,-49.0,-18.0,-61.0,-51.0,21.0,219.0,2.0,136.57142857142858,0.5714285714285714,21.142857142857142,2.857142857142857,0.0,80.28571428571429,39.151719538956954,136.57142857142858,45.724489795918366,44.87203029658764,136.57142857142858,28.40942028985507,40.962222078896396,136.57142857142858,5.2129032258064525,0.472162485065712,3.7343750000000004,0.5328596802841918,0,3,13,22,-44.75,50.87
Ireland,2020-03-24,1329,7,0.31,50.87,14.84,48.15,69.87,38.7,2.96,82.3,5023108.0,-51.0,-9.0,-62.0,-53.0,22.0,204.0,1.0,158.0,0.7142857142857143,27.0,4.571428571428571,0.3333333333333333,99.0,40.71386800119891,158.0,56.68367346938776,52.1877175253607,158.0,33.80902777777778,48.00718248488063,158.0,4.678571428571429,0.6529304029304024,2.1228406909788866,0.5263157894736842,1,3,13,23,-43.75,50.87
Ireland,2020-03-25,1564,9,0.36,50.87,14.84,48.15,69.87,38.7,2.96,82.3,5023108.0,-60.0,-18.0,-63.0,-55.0,24.0,235.0,2.0,181.71428571428572,1.0,35.57142857142857,5.285714285714286,1.25,119.87755102040816,40.234890988629054,181.71428571428572,69.28571428571429,59.597235298787375,181.71428571428572,39.7252380952381,55.53106744029149,181.71428571428572,3.996093750000001,-0.8220880681818175,2.12,0.5750798722044729,2,3,13,24,-49.0,50.87
Ireland,2020-03-26,1819,19,0.68,50.87,14.84,57.41,69.87,38.7,2.96,82.3,5023108.0,-60.0,-16.0,-65.0,-56.0,25.0,255.0,10.0,180.28571428571428,2.2857142857142856,73.42857142857143,5.285714285714286,1.0,135.14285714285714,39.94477480238947,181.71428571428572,81.78571428571429,63.373918390629,181.71428571428572,45.13141025641026,60.99381613211234,181.71428571428572,1.4357005758157388,-9.405208515093351,1.9034690799396683,1.0439560439560438,3,3,13,25,-49.25,50.87
Ireland,2020-03-27,2121,22,0.59,50.87,14.84,75.93,69.87,38.7,2.96,82.3,5023108.0,-63.0,-13.0,-66.0,-56.0,26.0,302.0,3.0,205.42857142857142,2.7142857142857144,84.71428571428571,10.285714285714286,2.8333333333333335,152.3877551020408,40.59730180083724,205.42857142857142,95.72448979591836,67.74757989585153,205.42857142857142,51.06834215167549,67.29660144291165,205.42857142857142,1.4083333333333334,-5.186603375527425,1.8341836734693877,1.0367577756833177,4,3,13,26,-49.5,50.87
Ireland,2020-03-28,2415,36,0.44,50.87,14.84,85.19,69.87,38.7,2.96,82.3,5023108.0,-80.0,-22.0,-75.0,-53.0,21.0,294.0,14.0,232.85714285714286,4.714285714285714,93.71428571428571,15.857142857142858,2.4285714285714284,172.26530612244898,41.14156980223329,232.85714285714286,111.22448979591839,72.71103026641919,232.85714285714286,57.56079931972789,74.44027155045272,232.85714285714286,1.4690799396681753,-3.149564128128435,1.692627206645898,1.490066225165563,5,3,13,27,-57.5,50.87
Ireland,2020-03-29,2615,46,0.32,50.87,14.84,85.19,69.87,38.7,2.96,82.3,5023108.0,-83.0,-37.0,-78.0,-52.0,19.0,200.0,10.0,244.14285714285714,6.0,111.0,15.714285714285714,2.5714285714285716,191.28571428571428,38.80782935243379,244.14285714285714,127.54081632653062,75.21640529185129,244.14285714285714,63.99466338259442,80.8943268968289,244.14285714285714,1.1887755102040816,-4.51207919065062,1.5354896675651393,1.7584097859327217,6,3,13,28,-62.5,50.87
Ireland,2020-03-30,2910,54,0.28,50.87,14.84,85.19,69.87,38.7,2.96,82.3,5023108.0,-73.0,-29.0,-76.0,-68.0,29.0,295.0,8.0,255.0,6.857142857142857,136.57142857142858,21.142857142857142,2.857142857142857,208.20408163265307,36.73900012552766,255.0,144.24489795918367,75.73564758926847,255.0,70.36150793650793,86.80058731798478,255.0,0.8608515057113186,-4.352051720095134,1.395621579358874,1.8550326348333905,0,3,14,29,-61.5,50.87
Ireland,2020-03-31,3235,71,0.39,50.87,14.84,85.19,69.87,38.7,2.96,82.3,5023108.0,-73.0,-25.0,-74.0,-70.0,30.0,325.0,17.0,272.2857142857143,9.142857142857142,158.0,27.0,4.571428571428571,224.53061224489798,36.098571992570875,272.2857142857143,161.76530612244898,74.89332250308149,272.2857142857143,79.43769841269841,93.19006220280565,272.2857142857143,0.7187780772686433,-3.9597933513027854,1.5019700551615445,2.1940667490729293,1,3,14,30,-60.5,50.87
