country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Japan,2020-02-13,33,1,0.0,0.0,0.0,19.44,347.78,48.2,13.05,84.63,123951696.0,,,,,,5.0,1.0,1.4285714285714286,0.14285714285714285,1.7142857142857142,1.2857142857142858,0.0,0.8571428571428571,0.31943828249997214,1.4285714285714286,1.510204081632653,0.738521340181559,2.5714285714285716,1.1307359307359308,0.8211407721831595,2.5714285714285716,-0.1052631578947368,-0.2927631578947367,0.9090909090909092,2.941176470588235,3,2,7,21,,0.0
Japan,2020-02-14,43,1,0.0,0.0,0.0,19.44,347.78,48.2,13.05,84.63,123951696.0,,,,,,10.0,0.0,2.857142857142857,0.14285714285714285,1.1428571428571428,1.8571428571428572,0.0,1.1020408163265305,0.8277265220682966,2.857142857142857,1.5816326530612244,0.8186681486197422,2.857142857142857,1.2057971014492754,0.8793233522817093,2.857142857142857,0.8,1.05,1.8181818181818183,2.272727272727273,4,2,7,22,,0.0
Japan,2020-02-15,54,1,0.0,0.0,0.0,19.44,347.78,48.2,13.05,84.63,123951696.0,-1.0,4.0,1.0,4.0,0.0,11.0,0.0,4.285714285714286,0.14285714285714285,0.5714285714285714,2.5714285714285716,0.0,1.6326530612244898,1.4138699313238303,4.285714285714286,1.7040816326530612,1.0682579985093643,4.285714285714286,1.334126984126984,1.06528736119317,4.285714285714286,2.3636363636363638,2.923636363636364,2.3076923076923075,1.8181818181818181,5,2,7,23,2.0,0.0
Japan,2020-02-16,60,1,0.0,0.0,0.0,19.44,347.78,48.2,13.05,84.63,123951696.0,-9.0,-6.0,-10.0,-2.0,2.0,6.0,0.0,5.142857142857143,0.14285714285714285,0.5714285714285714,2.2857142857142856,0.5,2.2857142857142856,1.83503322552359,5.142857142857143,1.9081632653061222,1.4070992271443676,5.142857142857143,1.4864761904761905,1.2914369117584314,5.142857142857143,2.9090909090909096,3.4308300395256923,3.0,1.639344262295082,6,2,7,24,-6.75,0.0
Japan,2020-02-17,67,1,0.0,0.0,0.0,19.44,347.78,48.2,13.05,84.63,123951696.0,-2.0,1.0,-1.0,0.0,1.0,7.0,0.0,5.857142857142857,0.14285714285714285,0.8571428571428571,2.2857142857142856,0.4,3.0,2.13490588299618,5.857142857142857,2.1632653061224487,1.760242190109169,5.857142857142857,1.6545787545787545,1.5283380511766178,5.857142857142857,2.692307692307692,3.127090301003344,3.416666666666666,1.4705882352941175,0,2,8,25,-0.5,0.0
Japan,2020-02-18,79,2,0.0,0.0,0.0,19.44,347.78,48.2,13.05,84.63,123951696.0,1.0,2.0,-2.0,0.0,1.0,12.0,1.0,7.428571428571429,0.2857142857142857,0.7142857142857143,2.142857142857143,0.8333333333333334,3.9591836734693877,2.425368035350491,7.428571428571429,2.5408163265306123,2.253327260019957,7.428571428571429,1.8684303350970017,1.8656783042321416,7.428571428571429,3.9166666666666665,4.371212121212121,3.0588235294117645,2.5,1,2,8,26,0.25,0.0
Japan,2020-02-19,85,2,0.0,0.0,0.0,19.44,347.78,48.2,13.05,84.63,123951696.0,0.0,2.0,-3.0,0.0,0.0,6.0,0.0,8.142857142857142,0.2857142857142857,0.7142857142857143,2.2857142857142856,0.7142857142857143,5.020408163265307,2.3939103175260406,8.142857142857142,2.9591836734693877,2.701490123965961,8.142857142857142,2.092517006802721,2.1812505778640645,8.142857142857142,4.333333333333333,4.811594202898551,2.111111111111111,2.3255813953488373,2,2,8,27,-0.25,0.0
Japan,2020-02-20,95,2,0.0,0.0,0.0,25.0,347.78,48.2,13.05,84.63,123951696.0,1.0,4.0,-3.0,0.0,0.0,10.0,0.0,8.857142857142858,0.14285714285714285,1.4285714285714286,1.7142857142857142,1.2857142857142858,6.081632653061225,2.1725829369844094,8.857142857142858,3.4693877551020407,3.09424369165126,8.857142857142858,2.3257799671592774,2.4831164642168035,8.857142857142858,3.0588235294117645,3.1640866873065012,1.6756756756756759,2.083333333333333,3,2,8,28,0.5,0.0
Japan,2020-02-21,112,2,0.0,0.0,0.0,25.0,347.78,48.2,13.05,84.63,123951696.0,-1.0,2.0,-2.0,0.0,1.0,17.0,0.0,9.857142857142858,0.14285714285714285,2.857142857142857,1.1428571428571428,1.8571428571428572,7.0816326530612255,2.048488978312131,9.857142857142858,4.091836734693878,3.4466588571276477,9.857142857142858,2.576825396825397,2.8007080339045185,9.857142857142858,1.8148148148148149,1.0148148148148148,1.6046511627906976,1.7699115044247788,4,2,8,29,-0.25,0.0
Japan,2020-02-22,137,2,0.0,0.0,0.0,25.0,347.78,48.2,13.05,84.63,123951696.0,-5.0,1.0,-3.0,-1.0,2.0,25.0,0.0,11.857142857142858,0.14285714285714285,4.285714285714286,0.5714285714285714,2.5714285714285716,8.16326530612245,2.3085593048782487,11.857142857142858,4.8979591836734695,3.8554854279553505,11.857142857142858,2.972063492063492,3.2284984645095105,11.857142857142858,1.4324324324324327,-0.9312039312039311,1.7291666666666667,1.4492753623188406,5,2,8,30,-2.0,0.0
Japan,2020-02-23,149,2,0.0,0.0,0.0,25.0,347.78,48.2,13.05,84.63,123951696.0,1.0,3.0,2.0,0.0,0.0,12.0,0.0,12.714285714285714,0.14285714285714285,5.142857142857143,0.5714285714285714,2.2857142857142856,9.244897959183675,2.4281712355344247,12.714285714285714,5.7653061224489806,4.161046519908033,12.714285714285714,3.3958730158730157,3.6339499018097134,12.714285714285714,1.2325581395348835,-1.6765327695560261,1.5084745762711862,1.3333333333333335,6,2,8,31,1.5,0.0
Japan,2020-02-24,160,2,0.0,0.0,0.0,25.0,347.78,48.2,13.05,84.63,123951696.0,18.0,4.0,-27.0,-55.0,14.0,11.0,0.0,13.285714285714286,0.14285714285714285,5.857142857142857,0.8571428571428571,2.2857142857142856,10.306122448979592,2.321781762770968,13.285714285714286,6.653061224489796,4.354652246447009,13.285714285714286,3.8387301587301588,3.997221009264912,13.285714285714286,1.0833333333333335,-1.6089743589743586,1.4531250000000002,1.2422360248447204,0,2,9,32,-15.0,0.0
Japan,2020-02-25,173,3,0.0,0.0,0.0,34.26,347.78,48.2,13.05,84.63,123951696.0,0.0,7.0,-2.0,1.0,1.0,13.0,1.0,13.428571428571429,0.14285714285714285,7.428571428571429,0.7142857142857143,2.142857142857143,11.16326530612245,2.18596103715887,13.428571428571429,7.561224489795919,4.346623686813724,13.428571428571429,4.269682539682539,4.309579689797891,13.428571428571429,0.711864406779661,-3.2048022598870056,1.3623188405797102,1.7241379310344827,1,2,9,33,1.5,0.0
Japan,2020-02-26,192,3,0.0,0.0,0.0,34.26,347.78,48.2,13.05,84.63,123951696.0,-4.0,3.0,-5.0,1.0,1.0,19.0,0.0,15.285714285714286,0.14285714285714285,8.142857142857142,0.7142857142857143,2.2857142857142856,12.183673469387756,2.2080777580989936,15.285714285714286,8.60204081632653,4.3255215641554186,15.285714285714286,4.765873015873016,4.688923848267235,15.285714285714286,0.7812500000000002,-3.552083333333333,1.4078947368421053,1.5544041450777202,2,2,9,34,-1.25,0.0
