country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Kazakhstan,2020-04-04,531,5,0.12,0.0,0.01,92.13,6.68,30.6,6.7,73.6,19397998.0,-60.0,-38.0,-44.0,-45.0,15.0,67.0,2.0,43.285714285714285,0.5714285714285714,25.0,6.714285714285714,2.0,40.285714285714285,5.497061676462216,46.285714285714285,25.571428571428573,16.400501581333092,46.285714285714285,18.079978354978355,16.46914406783545,46.285714285714285,0.7032967032967032,-1.667073667073667,1.2267206477732793,0.9398496240601504,5,4,14,21,-46.75,0.0
Kazakhstan,2020-04-05,584,5,0.26,0.0,0.01,92.13,6.68,30.6,6.7,73.6,19397998.0,-62.0,-43.0,-47.0,-36.0,12.0,53.0,0.0,42.857142857142854,0.5714285714285714,31.857142857142858,7.428571428571429,2.5,41.857142857142854,4.074142787848992,46.285714285714285,28.102040816326532,16.116571867624234,46.285714285714285,19.157246376811596,16.89957377978799,46.285714285714285,0.334782608695652,-2.563522476050111,1.079136690647482,0.8547008547008548,6,4,14,22,-47.0,0.0
Kazakhstan,2020-04-06,662,6,0.12,0.0,0.01,92.13,6.68,30.6,6.7,73.6,19397998.0,-56.0,-36.0,-43.0,-54.0,19.0,78.0,1.0,51.42857142857143,0.7142857142857143,34.285714285714285,7.428571428571429,2.0,44.30612244897959,3.913545786363398,51.42857142857143,31.244897959183675,16.06505891566131,51.42857142857143,20.50188492063492,17.792460811447327,51.42857142857143,0.48582995951417013,-2.700610718451931,1.1764705882352942,0.904977375565611,0,4,15,23,-47.25,0.0
Kazakhstan,2020-04-07,697,6,0.1,0.0,0.01,92.13,6.68,30.6,6.7,73.6,19397998.0,-62.0,-44.0,-49.0,-58.0,19.0,35.0,0.0,50.57142857142857,0.5714285714285714,38.714285714285715,5.571428571428571,7.25,46.0,3.6468232378181953,51.42857142857143,34.45918367346939,14.999652384400013,51.42857142857143,21.704666666666668,18.42683570329646,51.42857142857143,0.2985611510791366,-4.74491710979043,1.0694864048338368,0.8595988538681949,1,4,15,24,-53.25,0.0
Kazakhstan,2020-04-08,727,7,0.1,0.0,0.01,92.13,6.68,30.6,6.7,73.6,19397998.0,-63.0,-45.0,-52.0,-59.0,19.0,30.0,1.0,49.57142857142857,0.5714285714285714,42.714285714285715,6.571428571428571,6.2,46.97959183673469,3.536427125283212,51.42857142857143,37.53061224489796,13.136695709523416,51.42857142857143,22.7764652014652,18.86356004718975,51.42857142857143,0.15686274509803913,-4.616722160562339,1.0809968847352025,0.9615384615384616,2,4,15,25,-54.75,0.0
Kazakhstan,2020-04-09,781,9,0.14,0.0,0.01,92.13,6.68,30.6,6.7,73.6,19397998.0,-61.0,-44.0,-50.0,-58.0,21.0,54.0,2.0,49.42857142857143,0.8571428571428571,46.285714285714285,9.571428571428571,6.666666666666667,47.42857142857143,3.6318695172701077,51.42857142857143,40.37755102040817,10.705213322735133,51.42857142857143,23.76358024691358,19.19522528034153,51.42857142857143,0.06646525679758315,-3.40650771617539,1.1161290322580646,1.1508951406649617,3,4,15,26,-53.25,0.0
Kazakhstan,2020-04-10,812,10,0.14,0.0,0.01,92.13,6.68,30.6,6.7,73.6,19397998.0,-57.0,-36.0,-47.0,-55.0,21.0,31.0,1.0,49.714285714285715,1.0,44.857142857142854,14.428571428571429,6.428571428571429,48.12244897959183,3.5210045832154058,51.42857142857143,42.89795918367347,7.916445250540126,51.42857142857143,24.690391156462585,19.464365569815456,51.42857142857143,0.10591900311526489,-1.866303219106957,1.1335504885993486,1.2300123001230012,4,4,15,27,-48.75,0.0
Kazakhstan,2020-04-11,865,10,0.2,0.0,0.01,92.13,6.68,30.6,6.7,73.6,19397998.0,-58.0,-36.0,-43.0,-44.0,14.0,53.0,0.0,47.714285714285715,0.7142857142857143,43.285714285714285,25.0,6.714285714285714,48.755102040816325,2.838887256514215,51.42857142857143,44.52040816326531,6.080983339585596,51.42857142857143,25.484318555008212,19.585965866492394,51.42857142857143,0.10000000000000005,-0.6032967032967032,0.9100817438692098,1.1547344110854503,5,4,15,28,-45.25,0.0
Kazakhstan,2020-04-12,951,12,0.18,0.0,0.01,92.13,6.68,30.6,6.7,73.6,19397998.0,-59.0,-37.0,-43.0,-34.0,11.0,86.0,2.0,52.42857142857143,1.0,42.857142857142854,31.857142857142858,7.428571428571429,50.122448979591844,1.52625229373767,52.42857142857143,45.98979591836735,5.208513826580239,52.42857142857143,26.382460317460318,19.864085295348943,52.42857142857143,0.218241042345277,-0.11654156635037502,1.0166204986149585,1.2605042016806722,6,4,15,29,-43.25,0.0
Kazakhstan,2020-04-13,1091,12,0.2,0.0,0.01,92.13,6.68,30.6,6.7,73.6,19397998.0,-57.0,-38.0,-48.0,-55.0,20.0,140.0,0.0,61.285714285714285,0.8571428571428571,51.42857142857143,34.285714285714285,7.428571428571429,51.53061224489796,4.527853545107996,61.285714285714285,47.91836734693878,5.530198041572179,61.285714285714285,28.358650793650792,20.299012678980038,61.285714285714285,0.18801089918256125,-0.2978190603316089,1.2118644067796611,1.098901098901099,0,4,16,30,-49.5,0.0
