country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Kiribati,2021-06-09,2,0,,0.0,5.26,22.22,143.7,23.2,1.9,68.37,131237.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.01020408163265306,0.0381801774160606,0.14285714285714285,0.06266233766233766,0.1014722271025106,0.3333333333333333,0.0,0.125,0.0,0.0,2,6,23,21,,0.0
Kiribati,2021-06-10,2,0,,0.0,5.26,22.22,143.7,23.2,1.9,68.37,131237.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05993788819875776,0.09999652687720782,0.3333333333333333,0.0,0.125,0.0,0.0,3,6,23,22,,0.0
Kiribati,2021-06-11,2,0,,0.0,5.26,22.22,143.7,23.2,1.9,68.37,131237.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.05744047619047619,0.09856085724612185,0.3333333333333333,0.0,0.0,0.0,0.0,4,6,23,23,,0.0
Kiribati,2021-06-12,2,0,,0.0,5.26,22.22,143.7,23.2,1.9,68.37,131237.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.05514285714285714,0.0971671693821762,0.3333333333333333,0.0,0.0,0.0,0.0,5,6,23,24,,0.0
Kiribati,2021-06-13,2,0,,0.0,5.26,22.22,143.7,23.2,1.9,68.37,131237.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.05302197802197802,0.0958162396877202,0.3333333333333333,0.0,0.0,0.0,0.0,6,6,23,25,,0.0
Kiribati,2021-06-14,2,0,,0.0,5.26,22.22,143.7,23.2,1.9,68.37,131237.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.05105820105820106,0.09450803822380478,0.3333333333333333,0.0,0.0,0.0,0.0,0,6,24,26,,0.0
Kiribati,2021-06-15,2,0,,0.0,5.26,22.22,143.7,23.2,1.9,68.37,131237.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.04923469387755102,0.09324198633240896,0.3333333333333333,0.0,0.0,0.0,0.0,1,6,24,27,,0.0
Kiribati,2021-06-16,2,0,,0.0,5.26,22.22,143.7,23.2,1.9,68.37,131237.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.04753694581280788,0.09201713803605945,0.3333333333333333,0.0,0.0,0.0,0.0,2,6,24,28,,0.0
Kiribati,2021-06-17,2,0,,0.0,5.26,22.22,143.7,23.2,1.9,68.37,131237.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.04595238095238095,0.09083230840002207,0.3333333333333333,0.0,0.0,0.0,0.0,3,6,24,29,,0.0
Kiribati,2021-06-18,2,0,,0.0,5.26,22.22,143.7,23.2,1.9,68.37,131237.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04595238095238095,0.09083230840002207,0.3333333333333333,0.0,0.0,0.0,0.0,4,6,24,30,,0.0
