country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Kosovo,2020-04-05,140,1,1.38,0.0,1.0,92.59,168.16,,,,1782115.0,,,,,,5.0,0.0,7.0,0.0,8.571428571428571,3.7142857142857144,3.0,7.040816326530612,0.9573002205902195,8.714285714285714,7.0816326530612255,1.659106723505777,9.285714285714286,5.917424242424243,2.1075721005285892,9.285714285714286,-0.16417910447761191,-1.1944821347806422,0.9423076923076923,0.7092198581560284,6,4,14,21,,0.0
Kosovo,2020-04-06,145,1,1.38,0.0,1.0,92.59,168.16,,,,1782115.0,,,,,,5.0,0.0,7.285714285714286,0.0,8.714285714285714,2.857142857142857,5.5,6.836734693877551,0.6411542070369418,7.714285714285714,7.3979591836734695,1.1292855876842063,9.285714285714286,5.976915113871636,2.078787673500578,9.285714285714286,-0.14705882352941171,-1.6655773420479298,0.9107142857142857,0.684931506849315,0,4,15,22,,0.0
Kosovo,2020-04-07,165,3,1.38,0.0,1.0,92.59,168.16,,,,1782115.0,,,,,,20.0,2.0,8.428571428571429,0.2857142857142857,6.428571428571429,6.428571428571429,4.666666666666667,7.122448979591837,0.8428513778195575,8.428571428571429,7.540816326530612,1.123711292481097,9.285714285714286,6.079067460317461,2.093780193325573,9.285714285714286,0.2692307692307692,0.2692307692307692,0.9672131147540983,1.8072289156626504,1,4,15,23,,0.0
Kosovo,2020-04-08,184,5,1.38,0.0,1.0,92.59,168.16,,,,1782115.0,,,,,,19.0,2.0,10.285714285714286,0.5714285714285714,7.0,6.285714285714286,4.25,7.591836734693878,1.455527983378695,10.285714285714286,7.826530612244897,1.2779725055925426,10.285714285714286,6.247333333333334,2.215646057645238,10.285714285714286,0.4107142857142858,0.3126750700280113,1.5319148936170213,2.7027027027027026,2,4,15,24,,0.0
Kosovo,2020-04-09,224,6,1.38,0.0,1.0,92.59,168.16,,,,1782115.0,,,,,,40.0,1.0,14.142857142857142,0.7142857142857143,7.714285714285714,7.285714285714286,3.6,8.510204081632653,2.878322856876195,14.142857142857142,8.316326530612246,2.1026846646213606,14.142857142857142,6.551007326007326,2.6665313037988505,14.142857142857142,0.7377049180327867,0.6859807801017522,1.8333333333333333,2.666666666666667,3,4,15,25,,0.0
Kosovo,2020-04-10,227,7,1.38,0.0,1.0,92.59,168.16,,,,1782115.0,,,,,,3.0,1.0,14.428571428571429,0.8571428571428571,5.714285714285714,9.285714285714286,3.1666666666666665,9.755102040816327,3.3183824082797,14.428571428571429,8.683673469387754,2.6603540630429388,14.428571428571429,6.842768959435626,3.022463177058167,14.428571428571429,1.2978723404255321,1.6450945626477544,1.8035714285714286,3.070175438596491,4,4,15,26,,0.0
Kosovo,2020-04-11,250,7,1.38,0.0,1.0,92.59,168.16,,,,1782115.0,,,,,,23.0,0.0,16.428571428571427,0.8571428571428571,6.714285714285714,9.142857142857142,3.142857142857143,11.142857142857142,3.8270430495882013,16.428571428571427,9.204081632653061,3.373976633365124,16.428571428571427,7.185119047619048,3.47543380575059,16.428571428571427,1.2592592592592589,1.4986958789775686,1.9827586206896552,2.788844621513944,5,4,15,27,,0.0
Kosovo,2020-04-12,283,7,1.38,0.0,1.0,92.59,168.16,,,,1782115.0,,,,,,33.0,0.0,20.428571428571427,0.8571428571428571,7.0,8.571428571428571,3.7142857142857144,13.061224489795919,4.675785897678906,20.428571428571427,10.051020408163266,4.502435113979485,20.428571428571427,7.641789819376026,4.206561274099817,20.428571428571427,1.6785714285714284,1.8427505330490404,2.1666666666666665,2.464788732394366,6,4,15,28,,0.0
Kosovo,2020-04-13,362,7,1.38,0.0,1.0,92.59,168.16,,,,1782115.0,,,,,,79.0,0.0,31.0,0.8571428571428571,7.285714285714286,8.714285714285714,2.857142857142857,16.448979591836736,7.519782785358221,31.0,11.642857142857142,7.152905020722618,31.0,8.420396825396825,5.939010523138778,31.0,2.862068965517242,3.0091277890466537,2.7468354430379747,1.9283746556473829,0,4,16,29,,0.0
Kosovo,2020-04-14,377,8,1.38,0.0,1.0,92.59,168.16,,,,1782115.0,,,,,,15.0,1.0,30.285714285714285,0.7142857142857143,8.428571428571429,6.428571428571429,6.428571428571429,19.571428571428573,8.146198145005254,31.0,13.346938775510205,8.525281321997367,31.0,9.329920634920635,7.06320707883737,31.0,2.318181818181818,2.0489510489510487,2.0,2.1164021164021163,1,4,16,30,,0.0
