country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Latvia,2020-03-24,197,0,0.47,0.0,0.0,61.11,31.21,43.9,5.57,75.29,1850654.0,-34.0,-15.0,-39.0,-40.0,15.0,17.0,0.0,21.142857142857142,0.0,5.857142857142857,1.0,0.0,14.938775510204081,4.699006366857028,21.142857142857142,9.061224489795919,6.97668561598889,21.142857142857142,5.8517316017316015,7.004903383199309,21.142857142857142,2.2291666666666665,-0.19940476190476186,1.783132530120482,0.0,1,3,13,21,-32.0,0.0
Latvia,2020-03-25,221,0,0.61,0.0,0.0,61.11,31.21,43.9,5.57,75.29,1850654.0,-31.0,-13.0,-36.0,-41.0,14.0,24.0,0.0,21.428571428571427,0.0,8.714285714285714,1.2857142857142858,0.0,16.755102040816325,4.335201809921916,21.428571428571427,10.5,7.318446189669171,21.428571428571427,6.528985507246376,7.575470471287928,21.428571428571427,1.3088235294117647,-1.9411764705882353,1.485148514851485,0.0,2,3,13,22,-30.25,0.0
Latvia,2020-03-26,244,0,0.44,0.0,0.0,61.11,31.21,43.9,5.57,75.29,1850654.0,-33.0,-14.0,-36.0,-41.0,15.0,23.0,0.0,22.571428571428573,0.0,10.857142857142858,1.2857142857142858,0.0,18.428571428571427,3.920120781146358,22.571428571428573,12.020408163265305,7.466483380742551,22.571428571428573,7.197420634920635,8.100368241601418,22.571428571428573,0.9879518072289157,-3.1995481927710845,1.504761904761905,0.0,3,3,13,23,-31.0,0.0
Latvia,2020-03-27,280,0,0.58,0.0,0.0,61.11,31.21,43.9,5.57,75.29,1850654.0,-32.0,-11.0,-36.0,-40.0,15.0,36.0,0.0,24.142857142857142,0.0,13.428571428571429,2.2857142857142856,0.0,19.95918367346939,3.729560428690447,24.142857142857142,13.581632653061225,7.558970527390209,24.142857142857142,7.875238095238095,8.623681337955043,24.142857142857142,0.7425742574257425,-2.6487300904003446,1.4568965517241381,0.0,4,3,13,24,-29.75,0.0
Latvia,2020-03-28,305,0,0.56,0.0,0.0,61.11,31.21,43.9,5.57,75.29,1850654.0,-40.0,-10.0,-23.0,-23.0,4.0,25.0,0.0,25.857142857142858,0.0,14.0,3.5714285714285716,0.0,21.653061224489797,3.2312853562398334,25.857142857142858,15.173469387755102,7.634956082675993,25.857142857142858,8.566849816849818,9.155853905348714,25.857142857142858,0.7904761904761906,-1.4907738095238094,1.1830065359477124,0.0,5,3,13,25,-24.0,0.0
Latvia,2020-03-29,347,0,0.56,0.0,0.0,61.11,31.21,43.9,5.57,75.29,1850654.0,-50.0,-22.0,-48.0,-25.0,7.0,42.0,0.0,29.714285714285715,0.0,15.571428571428571,4.0,0.16666666666666666,23.6734693877551,3.2163636518455987,29.714285714285715,17.010204081632654,7.830717658339423,29.714285714285715,9.350088183421517,9.85742999797401,29.714285714285715,0.8534482758620692,-1.4608374384236449,1.3419354838709678,0.0,6,3,13,26,-36.25,0.0
Latvia,2020-03-30,376,0,0.27,0.0,0.0,61.11,31.21,43.9,5.57,75.29,1850654.0,-38.0,-22.0,-46.0,-41.0,16.0,29.0,0.0,28.0,0.0,20.857142857142858,4.0,0.7142857142857143,24.69387755102041,3.305765496813454,29.714285714285715,18.72448979591837,7.377351799824977,29.714285714285715,10.016156462585034,10.295250930305537,29.714285714285715,0.326797385620915,-3.0446311858076562,1.248407643312102,0.0,0,3,14,27,-36.75,0.0
Latvia,2020-03-31,398,0,0.27,0.0,0.0,61.11,31.21,43.9,5.57,75.29,1850654.0,-38.0,-19.0,-45.0,-42.0,16.0,22.0,0.0,28.714285714285715,0.0,21.142857142857142,5.857142857142857,1.0,25.77551020408163,3.1867680756113583,29.714285714285715,20.357142857142858,6.818745516871991,29.714285714285715,10.660919540229886,10.689369469804396,29.714285714285715,0.34193548387096784,-1.8872311827956987,1.2181818181818183,0.0,1,3,14,28,-36.0,0.0
Latvia,2020-04-01,446,0,0.54,0.0,0.0,61.11,31.21,43.9,5.57,75.29,1850654.0,-40.0,-22.0,-47.0,-43.0,17.0,48.0,0.0,32.142857142857146,0.0,21.428571428571427,8.714285714285714,1.2857142857142858,27.306122448979597,3.3211634010161033,32.142857142857146,22.03061224489796,6.613382220928241,32.142857142857146,11.376984126984127,11.211823406606085,32.142857142857146,0.477707006369427,-0.8311165230423377,1.278409090909091,0.0,2,4,14,29,-38.0,0.0
Latvia,2020-04-02,458,0,0.55,0.0,0.0,61.11,31.21,43.9,5.57,75.29,1850654.0,-42.0,-24.0,-50.0,-44.0,18.0,12.0,0.0,30.571428571428573,0.0,22.571428571428573,10.857142857142858,1.2857142857142858,28.448979591836736,2.7472046044970786,32.142857142857146,23.438775510204078,6.132617145050604,32.142857142857146,12.396031746031747,11.527002372443611,32.142857142857146,0.33939393939393936,-0.6485578678349764,1.1382978723404256,0.0,3,4,14,30,-40.0,0.0
