country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Lebanon,2020-03-14,93,3,5.05,0.0,0.22,37.96,594.56,31.1,2.9,78.93,5489744.0,-50.0,-15.0,-42.0,-29.0,10.0,16.0,0.0,10.142857142857142,0.42857142857142855,2.5714285714285716,0.42857142857142855,0.0,5.877551020408163,2.7198296408091984,10.142857142857142,3.918367346938776,2.773905252097044,10.142857142857142,2.536147186147186,2.876394197366484,10.142857142857142,2.1199999999999997,0.6199999999999994,2.7307692307692304,3.1914893617021276,5,3,11,21,-34.0,0.0
Lebanon,2020-03-15,110,3,5.05,0.0,0.22,37.96,594.56,31.1,2.9,78.93,5489744.0,-55.0,-16.0,-42.0,-24.0,9.0,17.0,0.0,11.142857142857142,0.42857142857142855,3.142857142857143,1.2857142857142858,0.0,7.020408163265306,3.041021770898511,11.142857142857142,4.622448979591837,3.2622704688293953,11.142857142857142,2.9103519668737055,3.3344026275557694,11.142857142857142,1.931034482758621,1.118534482758621,2.2285714285714286,2.7027027027027026,6,3,11,22,-34.25,0.0
Lebanon,2020-03-16,110,3,5.05,0.0,0.22,52.78,594.56,31.1,2.9,78.93,5489744.0,-56.0,-27.0,-44.0,-51.0,14.0,0.0,0.0,11.142857142857142,0.42857142857142855,2.7142857142857144,1.7142857142857142,0.0,8.224489795918368,2.7015454670600683,11.142857142857142,5.295918367346938,3.5740492739473693,11.142857142857142,3.253373015873016,3.6686184956332473,11.142857142857142,2.2692307692307687,1.9008097165991897,1.4181818181818182,2.7027027027027026,0,3,12,23,-44.5,0.0
Lebanon,2020-03-17,120,3,5.05,0.0,0.22,52.78,594.56,31.1,2.9,78.93,5489744.0,-62.0,-36.0,-58.0,-55.0,17.0,10.0,0.0,11.285714285714286,0.2857142857142857,4.0,1.7142857142857142,0.0,9.26530612244898,2.149875129151146,11.285714285714286,5.979591836734693,3.747466812781037,11.285714285714286,3.5746666666666664,3.9343004691311894,11.285714285714286,1.4571428571428573,0.6150375939849626,1.5192307692307694,2.479338842975207,1,3,12,24,-52.75,0.0
Lebanon,2020-03-18,133,3,5.05,0.0,0.22,85.19,594.56,31.1,2.9,78.93,5489744.0,-62.0,-33.0,-62.0,-56.0,18.0,13.0,0.0,10.285714285714286,0.0,6.857142857142857,1.5714285714285714,0.2,9.755102040816325,1.8838993533537196,11.285714285714286,6.60204081632653,3.682100013150117,11.285714285714286,3.832783882783883,4.073304346940982,11.285714285714286,0.4363636363636365,-1.6191919191919193,1.1612903225806452,2.2388059701492535,2,3,12,25,-53.25,0.0
Lebanon,2020-03-19,157,4,5.05,0.0,0.22,85.19,594.56,31.1,2.9,78.93,5489744.0,-63.0,-36.0,-78.0,-58.0,19.0,24.0,1.0,13.714285714285714,0.14285714285714285,6.428571428571429,2.0,0.16666666666666666,10.795918367346939,1.747412358720497,13.714285714285714,7.438775510204081,3.8814716195238192,13.714285714285714,4.1987654320987655,4.423811612113954,13.714285714285714,0.9807692307692306,-0.49542124542124566,1.2307692307692308,2.5316455696202533,3,3,12,26,-58.75,0.0
Lebanon,2020-03-20,163,4,5.05,0.0,0.22,85.19,594.56,31.1,2.9,78.93,5489744.0,-65.0,-34.0,-78.0,-58.0,21.0,6.0,0.0,12.285714285714286,0.14285714285714285,7.857142857142857,2.857142857142857,0.14285714285714285,11.428571428571429,1.231668300607386,13.714285714285714,8.112244897959185,3.8431486353063065,13.714285714285714,4.487585034013605,4.6022776610698015,13.714285714285714,0.5000000000000001,-0.7962962962962962,1.0117647058823531,2.4390243902439024,4,3,12,27,-58.75,0.0
Lebanon,2020-03-21,187,4,5.05,0.0,0.22,85.19,594.56,31.1,2.9,78.93,5489744.0,-64.0,-31.0,-80.0,-48.0,16.0,24.0,0.0,13.428571428571429,0.14285714285714285,10.142857142857142,2.5714285714285716,0.42857142857142855,11.897959183673468,1.2849582055044046,13.714285714285714,8.887755102040815,3.7329112764559365,13.714285714285714,4.795894909688013,4.81467457134463,13.714285714285714,0.29487179487179493,-1.8251282051282047,1.1058823529411765,2.127659574468085,5,3,12,28,-55.75,0.0
Lebanon,2020-03-22,248,4,5.05,0.0,0.22,85.19,594.56,31.1,2.9,78.93,5489744.0,-75.0,-47.0,-84.0,-45.0,16.0,61.0,0.0,19.714285714285715,0.14285714285714285,11.142857142857142,3.142857142857143,1.2857142857142858,13.122448979591837,3.1605869723388693,19.714285714285715,10.071428571428571,4.347810217703616,19.714285714285715,5.293174603174603,5.458970238167491,19.714285714285715,0.7058823529411766,-1.2251521298174444,1.6046511627906976,1.6064257028112447,6,3,12,29,-62.75,0.0
Lebanon,2020-03-23,267,4,5.05,0.0,0.22,85.19,594.56,31.1,2.9,78.93,5489744.0,-70.0,-42.0,-81.0,-65.0,21.0,19.0,0.0,22.428571428571427,0.14285714285714285,11.142857142857142,2.7142857142857144,1.7142857142857142,14.734693877551022,4.5538565336916434,22.428571428571427,11.479591836734693,4.93461395564346,22.428571428571427,6.040793650793651,6.195232943626333,22.428571428571427,0.9294117647058823,-1.3398190045248866,1.9873417721518984,1.4925373134328357,0,3,13,30,-64.5,0.0
