country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Liechtenstein,2020-03-26,57,0,0.38,0.0,,64.81,237.01,,2.4,82.49,39355.0,-72.0,-10.0,-43.0,-37.0,,4.0,0.0,3.2857142857142856,0.0,4.285714285714286,0.42857142857142855,0.0,4.489795918367347,0.6743963935452358,5.285714285714286,3.2959183673469385,1.597156309006126,5.285714285714286,2.1298701298701297,2.0202613590837646,5.285714285714286,-0.1891891891891892,-2.889189189189189,0.5227272727272727,0.0,3,3,13,21,-40.5,0.0
Liechtenstein,2020-03-27,61,0,0.38,0.0,,64.81,237.01,,2.4,82.49,39355.0,-64.0,2.0,-40.0,-37.0,,4.0,0.0,3.5714285714285716,0.0,4.428571428571429,0.5714285714285714,0.0,4.36734693877551,0.7597759375096433,5.285714285714286,3.5102040816326534,1.391513057563534,5.285714285714286,2.1925465838509317,1.9965688079604333,5.285714285714286,-0.15789473684210525,-2.6124401913875603,0.5952380952380952,0.0,4,3,13,22,-34.75,0.0
Liechtenstein,2020-03-28,62,0,0.38,0.0,,64.81,237.01,,2.4,82.49,39355.0,-77.0,12.0,-37.0,,,1.0,0.0,2.5714285714285716,0.0,5.285714285714286,0.8571428571428571,0.0,3.9795918367346936,0.8937750383860482,5.0,3.6326530612244894,1.2027105516301368,5.285714285714286,2.2083333333333335,1.9542137788995693,5.285714285714286,-0.43181818181818177,-2.8164335664335662,0.4390243902439025,0.0,5,3,13,23,-34.0,0.0
Liechtenstein,2020-03-29,63,0,0.38,0.0,,64.81,237.01,,2.4,82.49,39355.0,-90.0,-22.0,-58.0,,,1.0,0.0,2.4285714285714284,0.0,5.0,1.4285714285714286,0.0,3.6122448979591835,0.9320969180954481,4.857142857142857,3.7040816326530615,1.0857494004071175,5.285714285714286,2.217142857142857,1.9135748502431238,5.285714285714286,-0.4285714285714286,-1.899159663865546,0.4358974358974359,0.0,6,3,13,24,-56.666666666666664,0.0
Liechtenstein,2020-03-30,65,0,0.38,0.0,,64.81,237.01,,2.4,82.49,39355.0,-69.0,-17.0,-45.0,-37.0,,2.0,0.0,2.4285714285714284,0.0,4.857142857142857,1.8571428571428572,0.0,3.2653061224489797,0.8388061301658977,4.571428571428571,3.7448979591836733,1.0197093368425474,5.285714285714286,2.2252747252747254,1.8753712348348102,5.285714285714286,-0.4146341463414634,-1.4646341463414632,0.48571428571428565,0.0,0,3,14,25,-42.0,0.0
Liechtenstein,2020-03-31,69,0,0.38,0.0,,64.81,237.01,,2.4,82.49,39355.0,-69.0,-5.0,-38.0,-35.0,,4.0,0.0,2.5714285714285716,0.0,4.571428571428571,2.5714285714285716,0.0,2.979591836734694,0.6358270174447868,4.0,3.7448979591836737,1.0197093368425474,5.285714285714286,2.238095238095238,1.8401590266409316,5.285714285714286,-0.3589743589743589,-0.9189743589743588,0.6000000000000001,0.0,1,3,14,26,-36.75,0.0
Liechtenstein,2020-04-01,73,0,0.38,0.0,,64.81,237.01,,2.4,82.49,39355.0,-56.0,-6.0,-39.0,-36.0,,4.0,0.0,2.857142857142857,0.0,4.0,3.142857142857143,0.2857142857142857,2.816326530612245,0.44959759569682767,3.5714285714285716,3.724489795918367,1.0354232796396539,5.285714285714286,2.260204081632653,1.8095461867574485,5.285714285714286,-0.22857142857142856,-0.43546798029556655,0.625,0.0,2,4,14,27,-34.25,0.0
Liechtenstein,2020-04-02,76,0,0.38,0.0,,64.81,237.01,,2.4,82.49,39355.0,-68.0,-6.0,-41.0,-36.0,,3.0,0.0,2.7142857142857144,0.0,3.2857142857142856,4.285714285714286,0.42857142857142855,2.734693877551021,0.399221789146159,3.5714285714285716,3.6122448979591835,1.0548959957195565,5.285714285714286,2.2758620689655173,1.7789385878230883,5.285714285714286,-0.13333333333333328,0.055855855855855924,0.76,0.0,3,4,14,28,-37.75,0.0
Liechtenstein,2020-04-03,78,0,0.38,0.0,,64.81,237.01,,2.4,82.49,39355.0,-66.0,3.0,-37.0,-37.0,,2.0,0.0,2.4285714285714284,0.0,3.5714285714285716,4.428571428571429,0.5714285714285714,2.5714285714285716,0.1649572197684741,2.857142857142857,3.4693877551020407,1.0711407253320653,5.285714285714286,2.280952380952381,1.748220502042751,5.285714285714286,-0.2500000000000001,-0.09210526315789486,0.7083333333333334,0.0,4,4,14,29,-34.25,0.0
Liechtenstein,2020-04-04,78,1,0.38,0.0,,64.81,237.01,,2.4,82.49,39355.0,-77.0,,-38.0,,,0.0,1.0,2.2857142857142856,0.14285714285714285,2.5714285714285716,5.285714285714286,0.8571428571428571,2.5306122448979593,0.19716158838353798,2.857142857142857,3.2551020408163263,0.9756510870858385,5.0,2.3571428571428568,1.6943628854570547,5.285714285714286,-0.08000000000000008,0.3518181818181817,0.6666666666666666,1.2658227848101267,5,4,14,30,-57.5,0.0
Liechtenstein,2020-04-05,78,1,0.38,0.0,,64.81,237.01,,2.4,82.49,39355.0,-74.0,-18.0,-33.0,,,0.0,0.0,2.142857142857143,0.14285714285714285,2.4285714285714284,5.0,1.4285714285714286,2.4897959183673466,0.24546419799549943,2.857142857142857,3.051020408163265,0.876354556565797,4.857142857142857,2.428571428571429,1.6357202013359162,5.285714285714286,-0.0833333333333333,0.3452380952380953,0.6,1.2658227848101267,6,4,14,31,-41.666666666666664,0.0
Liechtenstein,2020-04-06,78,1,0.38,0.0,,64.81,237.01,,2.4,82.49,39355.0,,,-23.0,-37.0,,0.0,0.0,1.8571428571428572,0.14285714285714285,2.4285714285714284,4.857142857142857,1.8571428571428572,2.4081632653061225,0.3443279111522163,2.857142857142857,2.8367346938775513,0.7597759375096433,4.571428571428571,2.49047619047619,1.5746421835131281,5.285714285714286,-0.1666666666666666,0.2479674796747968,0.4814814814814815,1.2658227848101267,0,4,15,32,-30.0,0.0
Liechtenstein,2020-04-07,79,1,0.38,0.0,,64.81,237.01,,2.4,82.49,39355.0,,,-30.0,-37.0,,1.0,0.0,1.4285714285714286,0.14285714285714285,2.5714285714285716,4.571428571428571,2.5714285714285716,2.2448979591836733,0.4929039709588282,2.857142857142857,2.612244897959184,0.666367578869348,4.0,2.538095238095238,1.51728642800928,5.285714285714286,-0.32,0.038974358974358914,0.38461538461538464,1.25,1,4,15,33,-33.5,0.0
Liechtenstein,2020-04-08,79,1,0.38,0.0,,64.81,237.01,,2.4,82.49,39355.0,,,-37.0,-36.0,,0.0,0.0,0.8571428571428571,0.14285714285714285,2.857142857142857,4.0,3.142857142857143,1.959183673469388,0.6373536151222733,2.7142857142857144,2.3877551020408165,0.6917966766673173,3.5714285714285716,2.566666666666667,1.4753347803299217,5.285714285714286,-0.5185185185185185,-0.28994708994708995,0.25,1.25,2,4,15,34,-36.5,0.0
Liechtenstein,2020-04-09,80,1,0.38,0.0,,64.81,237.01,,2.4,82.49,39355.0,,,-35.0,-37.0,,1.0,0.0,0.5714285714285714,0.14285714285714285,2.7142857142857144,3.2857142857142856,4.285714285714286,1.653061224489796,0.7230751734855655,2.4285714285714284,2.193877551020408,0.7936307340915143,3.5714285714285716,2.585714285714286,1.4444194828737524,5.285714285714286,-0.576923076923077,-0.4435897435897437,0.17391304347826086,1.2345679012345678,3,4,15,35,-36.0,0.0
Liechtenstein,2020-04-10,80,1,0.38,0.0,,64.81,237.01,,2.4,82.49,39355.0,,,-53.0,-79.0,,0.0,0.0,0.2857142857142857,0.14285714285714285,2.4285714285714284,3.5714285714285716,4.428571428571429,1.3469387755102038,0.7904925824052441,2.2857142857142856,1.959183673469388,0.8394297448143151,2.857142857142857,2.585714285714286,1.4444194828737524,5.285714285714286,-0.625,-0.3749999999999999,0.09090909090909091,1.2345679012345678,4,4,15,36,-66.0,0.0
Liechtenstein,2020-04-11,80,1,0.38,0.0,,64.81,237.01,,2.4,82.49,39355.0,,,-29.0,,,0.0,0.0,0.2857142857142857,0.0,2.2857142857142856,2.5714285714285716,5.285714285714286,1.0612244897959184,0.7552858757650834,2.142857142857143,1.7959183673469388,0.9287223642575659,2.857142857142857,2.580952380952381,1.4519919261486103,5.285714285714286,-0.6086956521739131,-0.528695652173913,0.09999999999999999,1.2345679012345678,5,4,15,37,-29.0,0.0
Liechtenstein,2020-04-12,81,1,0.38,0.0,,64.81,237.01,,2.4,82.49,39355.0,,,-30.0,,,1.0,0.0,0.42857142857142855,0.0,2.142857142857143,2.4285714285714284,5.0,0.8163265306122449,0.6100868997669558,1.8571428571428572,1.653061224489796,0.9765126907571055,2.857142857142857,2.576190476190476,1.4590267611811767,5.285714285714286,-0.5454545454545454,-0.4621212121212121,0.1764705882352941,1.2195121951219512,6,4,15,38,-30.0,0.0
Liechtenstein,2020-04-13,81,1,0.38,0.0,,64.81,237.01,,2.4,82.49,39355.0,,,-55.0,-90.0,,0.0,0.0,0.42857142857142855,0.0,1.8571428571428572,2.4285714285714284,4.857142857142857,0.6122448979591837,0.41002974601142617,1.4285714285714286,1.510204081632653,1.000336341732698,2.857142857142857,2.561904761904762,1.4784082075175857,5.285714285714286,-0.5,-0.33333333333333337,0.23076923076923075,1.2195121951219512,0,4,16,39,-72.5,0.0
Liechtenstein,2020-04-14,81,1,0.38,0.0,,64.81,237.01,,2.4,82.49,39355.0,,,-39.0,-38.0,,0.0,0.0,0.2857142857142857,0.0,1.4285714285714286,2.5714285714285716,4.571428571428571,0.44897959183673464,0.20912144420327214,0.8571428571428571,1.346938775510204,1.0003363417326978,2.857142857142857,2.523809523809524,1.5226802054962763,5.285714285714286,-0.4705882352941176,-0.15058823529411758,0.18181818181818182,1.2195121951219512,1,4,16,40,-38.5,0.0
