country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Luxembourg,2020-03-22,798,8,0.03,0.07,0.07,79.63,231.45,39.7,4.51,82.25,647601.0,-87.0,-62.0,-68.0,-58.0,,128.0,0.0,105.57142857142857,1.0,8.0,0.2857142857142857,0.0,51.61224489795918,35.95459289496899,105.57142857142857,27.510204081632654,35.0268663105112,105.57142857142857,17.533549783549784,30.691698931125543,105.57142857142857,10.841269841269842,4.841269841269841,5.204225352112676,1.0012515644555695,6,3,12,21,-68.75,0.07
Luxembourg,2020-03-23,875,8,1.73,0.07,0.07,79.63,231.45,39.7,4.51,82.25,647601.0,-80.0,-35.0,-74.0,-75.0,35.0,77.0,0.0,114.0,1.0,10.571428571428571,0.2857142857142857,0.0,66.38775510204081,37.49682202277388,114.0,35.632653061224495,40.917488451512234,114.0,21.72774327122153,36.10764531794424,114.0,8.938271604938272,0.9382716049382722,3.9310344827586206,0.91324200913242,0,3,13,22,-66.0,0.07
Luxembourg,2020-03-24,1099,8,1.38,0.07,0.07,79.63,231.45,39.7,4.51,82.25,647601.0,-81.0,-38.0,-73.0,-76.0,35.0,224.0,0.0,137.0,1.0,19.285714285714285,0.5714285714285714,0.0,83.20408163265306,39.20891689701621,137.0,45.377551020408156,47.621664632431305,137.0,26.530753968253965,42.43501650767254,137.0,5.802816901408451,-6.106274007682457,2.969040247678018,0.7272727272727273,1,3,13,23,-67.0,0.07
Luxembourg,2020-03-25,1333,8,1.41,0.07,0.07,79.63,231.45,39.7,4.51,82.25,647601.0,-82.0,-38.0,-74.0,-77.0,36.0,234.0,0.0,161.42857142857142,0.8571428571428571,28.0,0.8571428571428571,0.0,102.26530612244899,40.316049754816596,161.42857142857142,56.8469387755102,54.86053287046279,161.42857142857142,31.926666666666666,49.533796840929305,161.42857142857142,4.600985221674876,-10.014399393709738,2.4726477024070017,0.5997001499250375,2,3,13,24,-67.75,0.07
Luxembourg,2020-03-26,1453,9,7.19,0.07,0.07,79.63,231.45,39.7,4.51,82.25,647601.0,-82.0,-38.0,-75.0,-76.0,36.0,120.0,1.0,159.71428571428572,0.7142857142857143,45.142857142857146,2.5714285714285716,0.0,118.63265306122449,36.31915005662664,161.42857142857142,68.07142857142857,58.833419682911156,161.42857142857142,36.841575091575095,54.621585419643864,161.42857142857142,2.4829721362229105,-9.43702786377709,1.7859424920127795,0.6189821182943603,3,3,13,25,-67.75,0.07
Luxembourg,2020-03-27,1605,15,1.69,0.07,0.07,79.63,231.45,39.7,4.51,82.25,647601.0,-82.0,-32.0,-74.0,-76.0,39.0,152.0,6.0,160.14285714285714,1.5714285714285714,64.28571428571429,4.571428571428571,0.16666666666666666,132.32653061224488,29.92026982099797,161.42857142857142,79.18367346938774,60.58304959461392,161.42857142857142,41.408289241622576,58.58198209804047,161.42857142857142,1.4682713347921224,-9.249677383156598,1.502680965147453,0.933997509339975,4,3,13,26,-66.0,0.07
Luxembourg,2020-03-28,1831,18,1.29,0.07,0.07,79.63,231.45,39.7,4.51,82.25,647601.0,-84.0,-44.0,-67.0,-61.0,23.0,226.0,3.0,165.85714285714286,1.4285714285714286,88.42857142857143,7.0,0.14285714285714285,143.3877551020408,24.87351872808557,165.85714285714286,90.53061224489795,60.89918654408555,165.85714285714286,45.85289115646258,62.111743937260634,165.85714285714286,0.865814696485623,-9.312756732085806,1.4422360248447206,0.9825327510917031,5,3,13,27,-64.0,0.07
Luxembourg,2020-03-29,1950,21,0.43,0.07,0.07,79.63,231.45,39.7,4.51,82.25,647601.0,-90.0,-70.0,-78.0,-60.0,,119.0,3.0,164.57142857142858,1.8571428571428572,105.57142857142857,8.0,0.2857142857142857,151.81632653061226,19.29395137774435,165.85714285714286,101.71428571428571,58.92168124886707,165.85714285714286,49.94663382594417,64.85438189478413,165.85714285714286,0.5536193029490618,-10.28765053832078,1.1925465838509317,1.0763710917478215,6,3,13,28,-74.5,0.07
Luxembourg,2020-03-30,1988,22,1.68,0.07,0.07,79.63,231.45,39.7,4.51,82.25,647601.0,-79.0,-36.0,-74.0,-76.0,35.0,38.0,1.0,159.0,2.0,114.0,10.571428571428571,0.2857142857142857,158.24489795918367,9.710683605869004,165.85714285714286,112.31632653061226,54.44399073711278,165.85714285714286,53.58174603174603,66.76432024567791,165.85714285714286,0.391304347826087,-8.546967257112184,0.978891820580475,1.1060834590246356,0,3,14,29,-66.25,0.07
Luxembourg,2020-03-31,2178,23,1.46,0.07,0.07,79.63,231.45,39.7,4.51,82.25,647601.0,-81.0,-38.0,-73.0,-76.0,34.0,190.0,1.0,154.14285714285714,2.142857142857143,137.0,19.285714285714285,0.5714285714285714,160.69387755102042,3.8575207675787655,165.85714285714286,121.94897959183673,48.301662206150866,165.85714285714286,58.71984126984127,68.40959101893844,165.85714285714286,0.12422360248447202,-5.678593298923979,0.959111111111111,1.0555300596603947,1,3,14,30,-67.0,0.07
Luxembourg,2020-04-01,2319,29,1.85,0.07,0.07,79.63,231.45,39.7,4.51,82.25,647601.0,-81.0,-36.0,-72.0,-76.0,35.0,141.0,6.0,140.85714285714286,3.0,161.42857142857142,28.0,0.8571428571428571,157.75510204081633,8.384353051565354,165.85714285714286,130.01020408163265,40.14492835318827,165.85714285714286,63.415079365079364,69.07104061265424,165.85714285714286,-0.1266490765171503,-4.727634298192027,0.874113475177305,1.25,2,4,14,31,-66.25,0.07
Luxembourg,2020-04-02,2487,30,2.1,0.07,0.07,79.63,231.45,39.7,4.51,82.25,647601.0,-81.0,-38.0,-73.0,-76.0,35.0,168.0,1.0,147.71428571428572,3.0,159.71428571428572,45.142857142857146,2.5714285714285716,156.0408163265306,9.112193477469878,165.85714285714286,137.33673469387756,31.99816552546164,165.85714285714286,68.33888888888889,69.65704602861797,165.85714285714286,-0.07466666666666666,-2.557638802889577,0.8852739726027398,1.2057877813504823,3,4,14,32,-67.0,0.07
Luxembourg,2020-04-03,2612,31,1.9,0.07,0.07,79.63,231.45,39.7,4.51,82.25,647601.0,-82.0,-32.0,-76.0,-75.0,40.0,125.0,1.0,143.85714285714286,2.2857142857142856,160.14285714285714,64.28571428571429,4.571428571428571,153.71428571428572,9.93242474043923,165.85714285714286,143.02040816326533,24.121933656675846,165.85714285714286,73.134126984127,69.74188655758046,165.85714285714286,-0.101063829787234,-1.5693351645793563,0.8688524590163934,1.1863758132414848,4,4,14,33,-66.25,0.07
Luxembourg,2020-04-04,2729,31,1.29,0.07,0.07,79.63,231.45,39.7,4.51,82.25,647601.0,-84.0,-41.0,-67.0,-60.0,23.0,117.0,0.0,128.28571428571428,1.8571428571428572,165.85714285714286,88.42857142857143,7.0,148.3469387755102,12.175266872672532,164.57142857142858,145.8673469387755,18.989170199998288,165.85714285714286,77.41031746031746,69.03235482808206,165.85714285714286,-0.2251712328767124,-1.0909859293623354,0.8017857142857142,1.1355311355311355,5,4,14,34,-63.0,0.07
Luxembourg,2020-04-05,2804,36,0.86,0.07,0.07,79.63,231.45,39.7,4.51,82.25,647601.0,-85.0,-78.0,-65.0,-57.0,15.0,75.0,5.0,122.0,2.142857142857143,164.57142857142858,105.57142857142857,8.0,142.26530612244898,13.30066454567809,159.0,147.0408163265306,16.67393726441762,165.85714285714286,81.47142857142858,67.9059679154656,165.85714285714286,-0.25711820534943924,-0.8107375082985011,0.7863720073664825,1.2834224598930482,6,4,14,35,-71.25,0.07
Luxembourg,2020-04-06,2843,41,1.64,0.07,0.07,79.63,231.45,39.7,4.51,82.25,647601.0,-77.0,-32.0,-71.0,-75.0,34.0,39.0,5.0,122.14285714285714,2.7142857142857144,159.0,114.0,10.571428571428571,137.0,12.859788087673381,154.14285714285714,147.62244897959184,15.535911419020302,165.85714285714286,85.53809523809522,66.50618045317714,165.85714285714286,-0.23035714285714287,-0.6216614906832298,0.8610271903323262,1.4416315049226442,0,4,15,36,-63.75,0.07
Luxembourg,2020-04-07,2970,44,1.6,0.07,0.07,79.63,231.45,39.7,4.51,82.25,647601.0,-78.0,-33.0,-71.0,-75.0,33.0,127.0,3.0,113.14285714285714,3.0,154.14285714285714,137.0,19.285714285714285,131.14285714285714,13.085537532597211,147.71428571428572,145.91836734693877,17.91666688397822,165.85714285714286,89.3,64.68453572965934,165.85714285714286,-0.26427255985267034,-0.38849616233714235,0.7608069164265129,1.4809828340626052,1,4,15,37,-64.25,0.07
Luxembourg,2020-04-08,3034,46,1.46,0.07,0.07,79.63,231.45,39.7,4.51,82.25,647601.0,-78.0,-31.0,-70.0,-76.0,34.0,64.0,2.0,102.14285714285714,2.4285714285714284,140.85714285714286,161.42857142857142,28.0,125.61224489795917,16.12403333298561,147.71428571428572,141.68367346938774,20.750833886247985,165.85714285714286,92.69523809523811,62.48700620265602,165.85714285714286,-0.27291037260825785,-0.14626129609110755,0.7051282051282051,1.5156507413509062,2,4,15,38,-63.75,0.07
Luxembourg,2020-04-09,3115,52,1.35,0.07,0.07,79.63,231.45,39.7,4.51,82.25,647601.0,-77.0,-27.0,-72.0,-76.0,33.0,81.0,6.0,89.71428571428571,3.142857142857143,147.71428571428572,159.71428571428572,45.142857142857146,117.3265306122449,17.69886315687202,143.85714285714286,136.68367346938777,24.21613682648067,165.85714285714286,95.66666666666667,60.026247288946145,165.85714285714286,-0.39000960614793473,-0.31534293948126807,0.6939226519337016,1.6688061617458279,3,4,15,39,-63.0,0.07
Luxembourg,2020-04-10,3223,54,1.08,0.07,0.07,79.63,231.45,39.7,4.51,82.25,647601.0,-78.0,-22.0,-73.0,-77.0,38.0,108.0,2.0,87.28571428571429,3.2857142857142856,143.85714285714286,160.14285714285714,64.28571428571429,109.24489795918366,16.43617097225983,128.28571428571428,131.4795918367347,26.50710678336413,165.85714285714286,98.54761904761905,57.332592434754794,165.85714285714286,-0.3905325443786982,-0.2894687145914642,0.7096399535423926,1.6749379652605458,4,4,15,40,-62.5,0.07
Luxembourg,2020-04-11,3270,62,0.48,0.07,0.07,79.63,231.45,39.7,4.51,82.25,647601.0,-82.0,-32.0,-65.0,-58.0,22.0,47.0,8.0,77.28571428571429,4.428571428571429,128.28571428571428,165.85714285714286,88.42857142857143,101.9591836734694,17.833262944558584,122.14285714285714,125.1530612244898,28.18750094790722,164.57142857142858,101.03809523809524,54.57621175918662,165.85714285714286,-0.3944751381215469,-0.1693039052448345,0.6276102088167054,1.8954448180984407,5,4,15,41,-59.25,0.07
Luxembourg,2020-04-12,3281,66,0.32,0.07,0.07,79.63,231.45,39.7,4.51,82.25,647601.0,-86.0,-82.0,-68.0,-57.0,15.0,11.0,4.0,68.14285714285714,4.285714285714286,122.0,164.57142857142858,105.57142857142857,94.26530612244899,19.303242223778494,122.14285714285714,118.26530612244899,29.562368264450743,159.0,103.15714285714286,51.86849812572597,165.85714285714286,-0.437862950058072,-0.18074474470863278,0.5969962453066333,2.010968921389397,6,4,15,42,-73.25,0.07
Luxembourg,2020-04-13,3292,69,0.13,0.07,0.07,79.63,231.45,39.7,4.51,82.25,647601.0,-93.0,-94.0,-85.0,-92.0,41.0,11.0,3.0,64.14285714285714,4.0,122.14285714285714,159.0,114.0,85.9795918367347,17.726268714163652,113.14285714285714,111.48979591836735,30.36743661471203,154.14285714285714,105.06190476190477,49.195937127826504,165.85714285714286,-0.4709976798143852,-0.2406405369572423,0.6218836565096952,2.095353780747039,0,4,16,43,-91.0,0.07
Luxembourg,2020-04-14,3307,67,2.15,0.07,0.07,79.63,231.45,39.7,4.51,82.25,647601.0,-76.0,-24.0,-71.0,-73.0,32.0,15.0,0.0,48.142857142857146,3.5714285714285716,113.14285714285714,154.14285714285714,137.0,76.69387755102039,18.145374510661966,102.14285714285714,103.91836734693878,32.08082973817604,147.71428571428572,106.4,46.96000364452881,165.85714285714286,-0.5694618272841051,-0.30518926743143476,0.5307086614173229,2.0253929866989115,1,4,16,44,-61.0,0.07
Luxembourg,2020-04-15,3373,69,1.32,0.07,0.07,79.63,231.45,39.7,4.51,82.25,647601.0,-77.0,-30.0,-69.0,-74.0,34.0,66.0,2.0,48.42857142857143,3.5714285714285716,102.14285714285714,140.85714285714286,161.42857142857142,69.02040816326532,16.904781067346114,89.71428571428571,97.31632653061224,33.37866936402826,147.71428571428572,107.66190476190475,44.752890735474594,165.85714285714286,-0.520775623268698,-0.24786525066044013,0.5485436893203883,2.045050385299348,2,4,16,45,-62.5,0.07
