country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
MS Zaandam,2020-04-19,9,2,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.36313651960128157,1.0,0.378030303030303,0.5871504670829029,1.75,0.0,0.5,0.0,20.0,6,4,16,21,,0.0
MS Zaandam,2020-04-20,9,2,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.26726124191242456,1.0,0.3615942028985507,0.5790412395819345,1.75,0.0,0.5,0.0,20.0,0,4,17,22,,0.0
MS Zaandam,2020-04-21,9,2,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34652777777777777,0.571103245542558,1.75,0.0,0.5,0.0,20.0,1,4,17,23,,0.0
MS Zaandam,2020-04-22,9,2,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.33266666666666667,0.5633579876261828,1.75,0.0,0.0,0.0,20.0,2,4,17,24,,0.0
MS Zaandam,2020-04-23,9,2,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.31987179487179485,0.5558181003563673,1.75,0.0,0.0,0.0,20.0,3,4,17,25,,0.0
MS Zaandam,2020-04-24,9,2,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.3080246913580247,0.5484899700360402,1.75,0.0,0.0,0.0,20.0,4,4,17,26,,0.0
MS Zaandam,2020-04-25,9,2,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2970238095238095,0.5413755831637177,1.75,0.0,0.0,0.0,20.0,5,4,17,27,,0.0
MS Zaandam,2020-04-26,9,2,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2867816091954023,0.5344738421135943,1.75,0.0,0.0,0.0,20.0,6,4,17,28,,0.0
MS Zaandam,2020-04-27,9,2,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2772222222222222,0.527781508355438,1.75,0.0,0.0,0.0,20.0,0,4,18,29,,0.0
MS Zaandam,2020-04-28,9,2,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2772222222222222,0.527781508355438,1.75,0.0,0.0,0.0,20.0,1,4,18,30,,0.0
