country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Mauritius,2020-04-09,273,7,,0.0,0.65,82.41,622.96,37.4,3.4,74.99,1299478.0,-82.0,-63.0,-87.0,-84.0,35.0,5.0,0.0,17.0,0.2857142857142857,15.142857142857142,6.428571428571429,0.0,15.469387755102039,2.2492845207308063,17.857142857142858,14.102040816326532,2.338959885992991,17.857142857142858,10.312662337662339,5.590651441158847,17.857142857142858,0.11504424778761066,-1.0580326752893123,1.202020202020202,2.5547445255474455,3,4,15,21,-79.0,0.0
Mauritius,2020-04-10,314,7,,0.0,0.65,82.41,622.96,37.4,3.4,74.99,1299478.0,-84.0,-63.0,-87.0,-82.0,38.0,41.0,0.0,20.428571428571427,0.0,12.714285714285714,10.714285714285714,2.0,16.571428571428573,2.544836041121404,20.428571428571427,14.795918367346939,2.6736191792374675,20.428571428571427,10.752484472049689,5.855244231669848,20.428571428571427,0.5625,0.3917682926829268,1.4158415841584158,2.2222222222222223,4,4,15,22,-79.0,0.0
Mauritius,2020-04-11,318,9,,0.0,0.65,82.41,622.96,37.4,3.4,74.99,1299478.0,-83.0,-63.0,-86.0,-63.0,27.0,4.0,2.0,18.857142857142858,0.2857142857142857,13.142857142857142,11.714285714285714,3.0,17.387755102040817,2.1471612103804563,20.428571428571427,15.306122448979592,2.7214233179593,20.428571428571427,11.090178571428572,5.960719472549834,20.428571428571427,0.40404040404040414,0.2916808534786064,1.0393700787401576,2.8213166144200628,5,4,15,23,-73.75,0.0
Mauritius,2020-04-12,319,9,,0.0,0.65,82.41,622.96,37.4,3.4,74.99,1299478.0,-90.0,-90.0,-90.0,-66.0,24.0,1.0,0.0,17.571428571428573,0.2857142857142857,13.428571428571429,12.571428571428571,2.75,17.97959183673469,1.2628349799514167,20.428571428571427,15.663265306122451,2.6623764734176207,20.428571428571427,11.34942857142857,5.9774590476779235,20.428571428571427,0.2871287128712872,0.22397081813444508,0.9761904761904763,2.8125,6,4,15,24,-84.0,0.0
Mauritius,2020-04-13,324,9,,0.0,0.65,82.41,622.96,37.4,3.4,74.99,1299478.0,-81.0,-61.0,-87.0,-84.0,36.0,5.0,0.0,13.857142857142858,0.2857142857142857,17.142857142857142,11.857142857142858,4.2,17.510204081632654,2.013318144608326,20.428571428571427,15.806122448979592,2.4905517806775075,20.428571428571427,11.445879120879122,5.877302648385748,20.428571428571427,-0.18110236220472437,-0.5922134733158354,0.7348484848484849,2.769230769230769,0,4,16,25,-78.25,0.0
Mauritius,2020-04-14,324,9,,0.0,0.65,82.41,622.96,37.4,3.4,74.99,1299478.0,-80.0,-61.0,-88.0,-83.0,35.0,0.0,0.0,11.428571428571429,0.2857142857142857,17.0,12.714285714285714,5.5,16.714285714285715,3.0717054138800246,20.428571428571427,15.714285714285714,2.6329633638456107,20.428571428571427,11.445238095238095,5.763170364743803,20.428571428571427,-0.30952380952380953,-0.6220238095238095,0.6349206349206349,2.769230769230769,1,4,16,26,-78.0,0.0
Mauritius,2020-04-15,324,9,,0.0,0.65,82.41,622.96,37.4,3.4,74.99,1299478.0,-82.0,-65.0,-88.0,-82.0,35.0,0.0,0.0,8.0,0.2857142857142857,17.857142857142858,14.428571428571429,5.571428571428571,15.306122448979592,4.42275237619593,20.428571428571427,15.255102040816327,3.340056388204369,20.428571428571427,11.322193877551019,5.692793358098554,20.428571428571427,-0.5227272727272727,-0.7449494949494949,0.37333333333333335,2.769230769230769,2,4,16,27,-79.25,0.0
Mauritius,2020-04-16,324,9,,0.0,0.65,82.41,622.96,37.4,3.4,74.99,1299478.0,-80.0,-61.0,-85.0,-82.0,34.0,0.0,0.0,7.285714285714286,0.2857142857142857,17.0,15.142857142857142,6.428571428571429,13.918367346938775,5.249462002143969,20.428571428571427,14.693877551020408,3.9624838565631006,20.428571428571427,11.183004926108374,5.6402397746008495,20.428571428571427,-0.5396825396825398,-0.6547267874701505,0.3669064748201439,2.769230769230769,3,4,16,28,-77.0,0.0
Mauritius,2020-04-17,324,9,,0.0,0.65,82.41,622.96,37.4,3.4,74.99,1299478.0,-83.0,-63.0,-86.0,-79.0,37.0,0.0,0.0,1.4285714285714286,0.2857142857142857,20.428571428571427,12.714285714285714,10.714285714285714,11.204081632653061,6.1560529047739,18.857142857142858,13.887755102040817,5.313759447955215,20.428571428571427,10.857857142857142,5.821250820822818,20.428571428571427,-0.8866666666666667,-1.4491666666666667,0.07692307692307691,2.769230769230769,4,4,16,29,-77.75,0.0
Mauritius,2020-04-18,324,9,,0.0,0.65,82.41,622.96,37.4,3.4,74.99,1299478.0,-84.0,-69.0,-86.0,-59.0,27.0,0.0,0.0,0.8571428571428571,0.0,18.857142857142858,13.142857142857142,11.714285714285714,8.63265306122449,6.185817189761649,17.571428571428573,13.010204081632654,6.358090875284874,20.428571428571427,10.886428571428572,5.76798120167335,20.428571428571427,-0.9064748201438849,-1.310515224184289,0.05769230769230769,2.769230769230769,5,4,16,30,-74.5,0.0
