country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Moldova,2020-03-30,298,2,1.06,0.12,0.24,87.04,123.66,37.6,5.8,71.9,3272993.0,-62.0,-42.0,-64.0,-57.0,21.0,35.0,0.0,27.0,0.14285714285714285,12.285714285714286,3.142857142857143,0.0,20.081632653061224,4.5249551002073085,27.0,13.969387755102039,7.381545696178267,27.0,9.402597402597403,8.51095418027791,27.0,1.10752688172043,-1.0993696700037083,1.5,0.6688963210702341,0,3,14,21,-56.25,0.12
Moldova,2020-03-31,353,4,1.06,0.12,0.24,87.04,123.66,37.6,5.8,71.9,3272993.0,-63.0,-43.0,-65.0,-59.0,23.0,55.0,2.0,32.57142857142857,0.42857142857142855,13.571428571428571,3.857142857142857,1.0,22.795918367346935,5.551157961480998,32.57142857142857,16.020408163265305,8.289096911430509,32.57142857142857,10.409937888198757,9.616791655328635,32.57142857142857,1.303921568627451,-0.6960784313725485,1.6888888888888889,1.1299435028248588,1,3,14,22,-57.5,0.12
Moldova,2020-04-01,423,5,1.06,0.12,0.24,87.04,123.66,37.6,5.8,71.9,3272993.0,-59.0,-39.0,-62.0,-58.0,20.0,70.0,1.0,39.142857142857146,0.5714285714285714,17.0,3.857142857142857,0.6666666666666666,25.95918367346939,7.621003150403789,39.142857142857146,18.54081632653061,9.571539866735021,39.142857142857146,11.607142857142856,11.084263136683894,39.142857142857146,1.2301587301587302,-1.475723622782446,1.9571428571428573,1.179245283018868,2,4,14,23,-54.5,0.12
Moldova,2020-04-02,505,6,1.06,0.12,0.24,87.04,123.66,37.6,5.8,71.9,3272993.0,-60.0,-40.0,-62.0,-58.0,21.0,82.0,1.0,46.857142857142854,0.7142857142857143,18.285714285714285,6.571428571428571,0.5,30.04081632653061,10.080530937626788,46.857142857142854,21.418367346938773,11.547929508630911,46.857142857142854,13.017142857142858,12.940022626066543,46.857142857142854,1.4814814814814814,-0.0656883298392732,2.075949367088607,1.185770750988142,3,4,14,24,-55.0,0.12
Moldova,2020-04-03,591,8,1.06,0.12,0.24,87.04,123.66,37.6,5.8,71.9,3272993.0,-62.0,-41.0,-64.0,-57.0,23.0,86.0,2.0,56.0,0.8571428571428571,19.0,8.571428571428571,1.0,35.326530612244895,12.689305123948609,56.0,24.80612244897959,14.15241181778385,56.0,14.670329670329672,15.225147314960653,56.0,1.85,0.7604477611940299,2.2272727272727275,1.3513513513513513,4,4,14,25,-56.0,0.12
Moldova,2020-04-04,752,12,1.06,0.12,0.24,87.04,123.66,37.6,5.8,71.9,3272993.0,-65.0,-42.0,-64.0,-43.0,13.0,161.0,4.0,74.42857142857143,1.4285714285714286,21.571428571428573,9.714285714285714,1.8333333333333333,42.877551020408156,17.82672238798129,74.42857142857143,29.428571428571427,18.686204920130557,74.42857142857143,16.883597883597886,18.845438348401547,74.42857142857143,2.3417721518987342,1.2351054852320673,2.6581632653061225,1.593625498007968,5,4,14,26,-53.5,0.12
Moldova,2020-04-05,864,15,1.06,0.12,0.24,87.04,123.66,37.6,5.8,71.9,3272993.0,-67.0,-43.0,-67.0,-37.0,12.0,112.0,3.0,85.85714285714286,1.8571428571428572,24.142857142857142,10.142857142857142,3.142857142857143,51.693877551020414,21.82855718203047,85.85714285714286,34.836734693877546,23.108498246021195,85.85714285714286,19.346938775510207,22.625255277915397,85.85714285714286,2.454545454545455,1.1981351981351986,2.5574468085106385,1.7341040462427744,6,4,14,27,-53.5,0.12
Moldova,2020-04-06,965,19,1.06,0.12,0.24,87.04,123.66,37.6,5.8,71.9,3272993.0,-56.0,-36.0,-60.0,-54.0,19.0,101.0,4.0,95.28571428571429,2.4285714285714284,27.0,12.285714285714286,3.142857142857143,61.44897959183674,24.094404545825185,95.28571428571429,40.765306122448976,27.16827075991999,95.28571428571429,21.96551724137931,26.31485508379136,95.28571428571429,2.438775510204082,1.3312486284836518,2.373665480427046,1.9668737060041408,0,4,15,28,-51.5,0.12
Moldova,2020-04-07,1056,22,1.06,0.12,0.24,87.04,123.66,37.6,5.8,71.9,3272993.0,-54.0,-34.0,-59.0,-57.0,20.0,91.0,3.0,100.42857142857143,2.5714285714285716,32.57142857142857,13.571428571428571,3.857142857142857,71.14285714285714,24.190007494522067,100.42857142857143,46.96938775510204,30.225846829341208,100.42857142857143,24.580952380952382,29.560248581364128,100.42857142857143,2.021276595744681,0.71735502711723,2.0985074626865674,2.081362346263009,1,4,15,29,-51.0,0.12
Moldova,2020-04-08,1174,27,1.06,0.12,0.24,87.04,123.66,37.6,5.8,71.9,3272993.0,-55.0,-37.0,-59.0,-57.0,18.0,118.0,5.0,107.28571428571429,3.142857142857143,39.142857142857146,17.0,3.857142857142857,80.87755102040818,22.839640407749332,107.28571428571429,53.41836734693878,32.856878369012605,107.28571428571429,28.15714285714286,32.79645736844044,107.28571428571429,1.6975088967971528,0.46735016663842255,1.8822055137844613,2.297872340425532,2,4,15,30,-52.0,0.12
