country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Morocco,2020-03-07,2,0,0.0,0.0,0.01,5.56,80.08,29.6,1.1,76.68,37457976.0,5.0,2.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.061224489795918366,0.07636035483212127,0.14285714285714285,0.07142857142857142,0.0741249316661101,0.14285714285714285,0.045454545454545456,0.06810447066039944,0.14285714285714285,-0.125,-0.26785714285714285,0.0,0.0,5,3,10,5,5.75,0.0
Morocco,2020-03-07,2,0,0.0,0.0,0.01,5.56,80.08,29.6,1.1,76.68,37457976.0,5.0,0.0,-5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.04081632653061224,0.0697071480677524,0.14285714285714285,0.07142857142857142,0.0741249316661101,0.14285714285714285,0.043478260869565216,0.06721028127099496,0.14285714285714285,-0.125,-0.26785714285714285,0.0,0.0,5,3,10,5,1.75,0.0
Morocco,2020-03-08,2,0,0.0,0.0,0.01,5.56,80.08,29.6,1.1,76.68,37457976.0,3.0,2.0,-3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.02040816326530612,0.05399492471560394,0.14285714285714285,0.07142857142857142,0.0741249316661101,0.14285714285714285,0.041666666666666664,0.06632937449821949,0.14285714285714285,-0.125,-0.26785714285714285,0.0,0.0,6,3,10,6,1.0,0.0
Morocco,2020-03-08,2,0,0.0,0.0,0.01,5.56,80.08,29.6,1.1,76.68,37457976.0,1.0,3.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0741249316661101,0.14285714285714285,0.04,0.0654653670707977,0.14285714285714285,-0.125,-0.26785714285714285,0.0,0.0,6,3,10,6,0.75,0.0
Morocco,2020-03-08,2,0,0.0,0.0,0.01,5.56,80.08,29.6,1.1,76.68,37457976.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.06122448979591837,0.07336465585901364,0.14285714285714285,0.038461538461538464,0.06462061726588639,0.14285714285714285,0.0,0.125,0.0,0.0,6,3,10,6,2.0,0.0
Morocco,2020-03-08,2,0,0.0,0.0,0.01,5.56,80.08,29.6,1.1,76.68,37457976.0,4.0,1.0,-9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0510204081632653,0.07103502258554956,0.14285714285714285,0.037037037037037035,0.06379658352924605,0.14285714285714285,0.0,0.125,0.0,0.0,6,3,10,6,-0.75,0.0
Morocco,2020-03-09,2,0,0.0,0.0,0.01,5.56,80.08,29.6,1.1,76.68,37457976.0,-1.0,0.0,-3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.04081632653061224,0.0669724615626422,0.14285714285714285,0.03571428571428571,0.0629940788348712,0.14285714285714285,0.0,0.125,0.0,0.0,0,3,11,7,0.5,0.0
Morocco,2020-03-09,2,0,0.0,0.0,0.01,5.56,80.08,29.6,1.1,76.68,37457976.0,-1.0,1.0,-6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.030612244897959183,0.0608307590894743,0.14285714285714285,0.034482758620689655,0.062213452907956095,0.14285714285714285,0.0,0.125,0.0,0.0,0,3,11,7,-0.25,0.0
Morocco,2020-03-09,2,0,0.0,0.0,0.01,5.56,80.08,29.6,1.1,76.68,37457976.0,-1.0,0.0,-1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.02040816326530612,0.05187664565732593,0.14285714285714285,0.03333333333333333,0.061454723878868044,0.14285714285714285,0.0,0.125,0.0,0.0,0,3,11,7,1.0,0.0
Morocco,2020-03-09,2,0,0.0,0.0,0.01,5.56,80.08,29.6,1.1,76.68,37457976.0,4.0,3.0,-1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.01020408163265306,0.03818017741606064,0.14285714285714285,0.03333333333333333,0.061454723878868044,0.14285714285714285,0.0,0.125,0.0,0.0,0,3,11,7,3.0,0.0
Morocco,2020-03-10,3,1,0.0,0.0,0.01,5.56,80.08,29.6,1.1,76.68,37457976.0,0.0,1.0,-3.0,6.0,0.0,1.0,1.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.02040816326530612,0.05399492471560394,0.14285714285714285,0.01020408163265306,0.03818017741606064,0.14285714285714285,0.03809523809523809,0.06425377787268623,0.14285714285714285,0.14285714285714285,0.26785714285714285,0.14285714285714285,25.0,1,3,11,8,1.0,0.0
Morocco,2020-03-10,3,1,0.0,0.0,0.01,5.56,80.08,29.6,1.1,76.68,37457976.0,-1.0,2.0,-6.0,5.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.04081632653061224,0.0697071480677524,0.14285714285714285,0.02040816326530612,0.05187664565732593,0.14285714285714285,0.04285714285714285,0.06658451424277129,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,25.0,1,3,11,8,0.0,0.0
Morocco,2020-03-10,3,1,0.0,0.0,0.01,5.56,80.08,29.6,1.1,76.68,37457976.0,-1.0,-2.0,4.0,8.0,-1.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.061224489795918366,0.07636035483212127,0.14285714285714285,0.030612244897959183,0.0608307590894743,0.14285714285714285,0.04761904761904761,0.06849475735505488,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,25.0,1,3,11,8,2.25,0.0
Morocco,2020-03-10,3,1,0.0,0.0,0.01,5.56,80.08,29.6,1.1,76.68,37457976.0,2.0,1.0,-2.0,4.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.08163265306122448,0.07636035483212127,0.14285714285714285,0.04081632653061224,0.06697246156264221,0.14285714285714285,0.05238095238095238,0.07001893112193729,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,25.0,1,3,11,8,1.25,0.0
Morocco,2020-03-11,5,1,0.0,0.0,0.01,5.56,80.08,29.6,1.1,76.68,37457976.0,1.0,0.0,-4.0,6.0,0.0,2.0,0.0,0.42857142857142855,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.07142857142857142,0.12212148775215861,0.42857142857142855,0.06666666666666667,0.09734934106586571,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,16.666666666666664,2,3,11,9,0.75,0.0
