country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Mozambique,2020-04-13,21,0,0.0,0.0,0.18,56.48,37.73,17.7,0.7,60.85,32969520.0,-25.0,-19.0,-30.0,-11.0,11.0,0.0,0.0,1.5714285714285714,0.0,0.2857142857142857,1.0,0.0,1.1836734693877553,0.46448190517310384,1.5714285714285714,0.8163265306122449,0.5118028326349513,1.5714285714285714,0.8922077922077922,0.49042345104153395,1.5714285714285714,1.0,1.3571428571428572,0.7857142857142857,0.0,0,4,16,21,-21.25,0.0
Mozambique,2020-04-14,28,0,0.0,0.0,0.18,56.48,37.73,17.7,0.7,60.85,32969520.0,-29.0,-24.0,-32.0,-16.0,13.0,7.0,0.0,2.5714285714285716,0.0,0.2857142857142857,0.7142857142857143,1.0,1.510204081632653,0.527199912108777,2.5714285714285716,0.9489795918367346,0.692201781039256,2.5714285714285716,0.9652173913043478,0.5934491468388452,2.5714285714285716,1.7777777777777781,2.027777777777778,1.2857142857142858,0.0,1,4,16,22,-25.25,0.0
Mozambique,2020-04-15,29,0,0.0,0.0,0.18,56.48,37.73,17.7,0.7,60.85,32969520.0,-29.0,-23.0,-33.0,-18.0,13.0,1.0,0.0,1.7142857142857142,0.0,1.0,0.7142857142857143,1.3333333333333333,1.6122448979591835,0.4789038341985858,2.5714285714285716,1.0204081632653061,0.7172622440293542,2.5714285714285716,0.9964285714285714,0.6002074142792411,2.5714285714285716,0.3571428571428571,0.19047619047619044,0.7058823529411764,0.0,2,4,16,23,-25.75,0.0
Mozambique,2020-04-16,31,0,0.0,0.0,0.18,56.48,37.73,17.7,0.7,60.85,32969520.0,-30.0,-23.0,-31.0,-18.0,13.0,2.0,0.0,2.0,0.0,1.0,0.42857142857142855,1.5,1.7551020408163265,0.4100297460114181,2.5714285714285716,1.1326530612244898,0.7401138817591789,2.5714285714285716,1.0365714285714285,0.6209064278448709,2.5714285714285716,0.5,0.10000000000000003,0.8235294117647058,0.0,3,4,16,24,-25.5,0.0
Mozambique,2020-04-17,34,0,0.0,0.0,0.18,56.48,37.73,17.7,0.7,60.85,32969520.0,-30.0,-21.0,-29.0,-14.0,13.0,3.0,0.0,2.0,0.0,1.4285714285714286,0.42857142857142855,1.2,1.836734693877551,0.39060890394436915,2.5714285714285716,1.2448979591836733,0.7442686746453254,2.5714285714285716,1.0736263736263736,0.6370271526647547,2.5714285714285716,0.2352941176470588,-0.4647058823529412,0.7777777777777779,0.0,4,4,16,25,-23.5,0.0
Mozambique,2020-04-18,35,0,0.0,0.0,0.18,56.48,37.73,17.7,0.7,60.85,32969520.0,-27.0,-13.0,-27.0,-4.0,10.0,1.0,0.0,2.142857142857143,0.0,1.4285714285714286,0.2857142857142857,1.1666666666666667,1.9387755102040818,0.35816181173028977,2.5714285714285716,1.3775510204081631,0.7254233709051521,2.5714285714285716,1.1132275132275131,0.6576766072176939,2.5714285714285716,0.2941176470588235,-0.5947712418300655,0.8333333333333334,0.0,5,4,16,26,-17.75,0.0
Mozambique,2020-04-19,39,0,0.0,0.0,0.18,56.48,37.73,17.7,0.7,60.85,32969520.0,-34.0,-18.0,-37.0,-1.0,13.0,4.0,0.0,2.5714285714285716,0.0,1.5714285714285714,0.2857142857142857,1.0,2.0816326530612246,0.38560089036104356,2.5714285714285716,1.540816326530612,0.7179654041782034,2.5714285714285716,1.1653061224489796,0.701754699011253,2.5714285714285716,0.388888888888889,-0.6111111111111109,0.72,0.0,6,4,16,27,-22.5,0.0
Mozambique,2020-04-20,39,0,0.0,0.0,0.18,56.48,37.73,17.7,0.7,60.85,32969520.0,-25.0,-19.0,-29.0,-11.0,11.0,0.0,0.0,2.5714285714285716,0.0,1.5714285714285714,0.2857142857142857,1.0,2.2244897959183674,0.34853574033876045,2.5714285714285716,1.7040816326530612,0.6688031103088751,2.5714285714285716,1.213793103448276,0.7369195649031202,2.5714285714285716,0.388888888888889,-0.6111111111111109,0.9473684210526316,0.0,0,4,17,28,-21.0,0.0
Mozambique,2020-04-21,39,0,0.0,0.0,0.18,56.48,37.73,17.7,0.7,60.85,32969520.0,-28.0,-21.0,-29.0,-15.0,12.0,0.0,0.0,1.5714285714285714,0.0,2.5714285714285716,0.2857142857142857,0.7142857142857143,2.0816326530612246,0.3856008903610434,2.5714285714285716,1.7959183673469388,0.5336826993567753,2.5714285714285716,1.2257142857142858,0.7270405802409309,2.5714285714285716,-0.28,-2.057777777777778,0.5238095238095238,0.0,1,4,17,29,-23.25,0.0
Mozambique,2020-04-22,41,0,0.0,0.0,0.18,56.48,37.73,17.7,0.7,60.85,32969520.0,-27.0,-18.0,-28.0,-14.0,11.0,2.0,0.0,1.7142857142857142,0.0,1.7142857142857142,1.0,0.7142857142857143,2.0816326530612246,0.3856008903610434,2.5714285714285716,1.846938775510204,0.4835254030859898,2.5714285714285716,1.282857142857143,0.6939993913624924,2.5714285714285716,0.0,-0.3571428571428571,0.5714285714285714,0.0,2,4,17,30,-21.75,0.0
