country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Nepal,2020-02-16,1,0,0.0,0.0,1.19,16.67,204.43,25.0,0.3,70.78,30547586.0,4.0,4.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,7,21,5.25,0.0
Nepal,2020-02-17,1,0,0.0,0.0,1.19,16.67,204.43,25.0,0.3,70.78,30547586.0,4.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,8,22,4.5,0.0
Nepal,2020-02-18,1,0,0.0,0.0,1.19,16.67,204.43,25.0,0.3,70.78,30547586.0,4.0,4.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,8,23,5.0,0.0
Nepal,2020-02-19,1,0,0.01,0.0,1.19,16.67,204.43,25.0,0.3,70.78,30547586.0,4.0,4.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,8,24,4.5,0.0
Nepal,2020-02-20,1,0,0.0,0.0,1.19,16.67,204.43,25.0,0.3,70.78,30547586.0,7.0,8.0,7.0,10.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,8,25,8.0,0.0
Nepal,2020-02-21,1,0,0.0,0.0,1.19,16.67,204.43,25.0,0.3,70.78,30547586.0,-7.0,-2.0,-5.0,-35.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,8,26,-12.25,0.0
Nepal,2020-02-22,1,0,0.0,0.0,1.19,16.67,204.43,25.0,0.3,70.78,30547586.0,4.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,8,27,3.25,0.0
Nepal,2020-02-23,1,0,0.0,0.0,1.19,16.67,204.43,25.0,0.3,70.78,30547586.0,6.0,8.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,8,28,7.75,0.0
Nepal,2020-02-24,1,0,0.0,0.0,1.19,16.67,204.43,25.0,0.3,70.78,30547586.0,3.0,5.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,9,29,4.5,0.0
Nepal,2020-02-25,1,0,0.0,0.0,1.19,16.67,204.43,25.0,0.3,70.78,30547586.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,9,30,2.0,0.0
Nepal,2020-02-26,1,0,0.0,0.0,1.19,16.67,204.43,25.0,0.3,70.78,30547586.0,1.0,1.0,2.0,-6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,9,31,-0.5,0.0
Nepal,2020-02-27,1,0,0.0,0.0,1.19,16.67,204.43,25.0,0.3,70.78,30547586.0,6.0,6.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,9,32,6.25,0.0
Nepal,2020-02-28,1,0,0.0,0.0,1.19,16.67,204.43,25.0,0.3,70.78,30547586.0,4.0,6.0,8.0,8.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,9,33,6.5,0.0
Nepal,2020-02-29,1,0,0.0,0.0,1.19,16.67,204.43,25.0,0.3,70.78,30547586.0,6.0,5.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,9,34,5.25,0.0
Nepal,2020-03-01,1,0,0.0,0.0,1.19,22.22,204.43,25.0,0.3,70.78,30547586.0,6.0,7.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3,9,35,7.75,0.0
Nepal,2020-03-02,1,0,0.01,0.0,1.19,22.22,204.43,25.0,0.3,70.78,30547586.0,4.0,4.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,10,36,5.0,0.0
Nepal,2020-03-03,1,0,0.0,0.0,1.19,22.22,204.43,25.0,0.3,70.78,30547586.0,4.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,10,37,3.75,0.0
Nepal,2020-03-04,1,0,0.0,0.0,1.19,22.22,204.43,25.0,0.3,70.78,30547586.0,4.0,9.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,10,38,5.75,0.0
Nepal,2020-03-05,1,0,0.0,0.0,1.19,22.22,204.43,25.0,0.3,70.78,30547586.0,5.0,13.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,10,39,9.25,0.0
Nepal,2020-03-06,1,0,0.0,0.0,1.19,22.22,204.43,25.0,0.3,70.78,30547586.0,5.0,10.0,10.0,9.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,10,40,8.5,0.0
Nepal,2020-03-07,1,0,0.0,0.0,1.19,22.22,204.43,25.0,0.3,70.78,30547586.0,-3.0,2.0,-2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,10,41,0.25,0.0
Nepal,2020-03-08,1,0,0.0,0.0,1.19,22.22,204.43,25.0,0.3,70.78,30547586.0,7.0,11.0,5.0,-16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3,10,42,1.75,0.0
Nepal,2020-03-09,1,0,0.0,0.0,1.19,22.22,204.43,25.0,0.3,70.78,30547586.0,-12.0,-11.0,-6.0,-43.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,11,43,-18.0,0.0
Nepal,2020-03-10,1,0,0.0,0.0,1.19,22.22,204.43,25.0,0.3,70.78,30547586.0,-3.0,0.0,-5.0,-17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,11,44,-6.25,0.0
Nepal,2020-03-11,1,0,0.0,0.0,1.19,22.22,204.43,25.0,0.3,70.78,30547586.0,2.0,4.0,2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,11,45,1.25,0.0
Nepal,2020-03-12,1,0,0.0,0.0,1.19,22.22,204.43,25.0,0.3,70.78,30547586.0,2.0,5.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,11,46,4.25,0.0
Nepal,2020-03-13,1,0,0.0,0.0,1.19,22.22,204.43,25.0,0.3,70.78,30547586.0,-4.0,0.0,-2.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,11,47,0.5,0.0
Nepal,2020-03-14,1,0,0.0,0.0,1.19,22.22,204.43,25.0,0.3,70.78,30547586.0,-7.0,0.0,-5.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,11,48,0.0,0.0
Nepal,2020-03-15,1,0,0.0,0.0,1.19,22.22,204.43,25.0,0.3,70.78,30547586.0,0.0,5.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3,11,49,4.0,0.0
Nepal,2020-03-16,1,0,0.0,0.0,1.19,22.22,204.43,25.0,0.3,70.78,30547586.0,0.0,5.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,12,50,3.25,0.0
Nepal,2020-03-17,1,0,0.0,0.0,1.19,22.22,204.43,25.0,0.3,70.78,30547586.0,-2.0,3.0,-2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,12,51,1.25,0.0
Nepal,2020-03-18,1,0,0.0,0.0,1.19,36.11,204.43,25.0,0.3,70.78,30547586.0,1.0,9.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,12,52,4.25,0.0
Nepal,2020-03-19,1,0,0.0,0.0,1.19,47.22,204.43,25.0,0.3,70.78,30547586.0,0.0,14.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,12,53,5.5,0.0
Nepal,2020-03-20,1,0,0.0,0.0,1.19,58.33,204.43,25.0,0.3,70.78,30547586.0,-5.0,11.0,3.0,-3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,12,54,1.5,0.0
Nepal,2020-03-21,1,0,0.0,0.0,1.19,58.33,204.43,25.0,0.3,70.78,30547586.0,-18.0,4.0,-2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,12,55,-4.0,0.0
