country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Netherlands,2020-03-20,3640,107,0.09,0.2,0.0,61.11,508.54,43.2,3.32,82.28,17564020.0,-45.0,-3.0,-61.0,-45.0,19.0,639.0,30.0,382.7142857142857,13.857142857142858,110.42857142857143,26.0,5.0,236.48979591836732,90.9059788317929,382.7142857142857,152.43877551020407,108.49969383061237,382.7142857142857,100.91374458874458,110.34108643056086,382.7142857142857,2.4435897435897433,-0.6833943833943836,2.431034482758621,2.9387530898104917,4,3,12,21,-38.5,0.2
Netherlands,2020-03-21,4213,137,0.09,0.2,0.0,61.11,508.54,43.2,3.32,82.28,17564020.0,-49.0,-9.0,-54.0,-26.0,12.0,573.0,30.0,439.2857142857143,17.857142857142858,124.71428571428571,36.42857142857143,4.5,281.42857142857144,103.34355885328601,439.2857142857143,181.21428571428572,127.17908793572654,439.2857142857143,115.62556935817804,128.84024343061867,439.2857142857143,2.5022727272727274,0.14349410131852913,2.3068267066766692,3.251067869008068,5,3,12,22,-34.5,0.2
Netherlands,2020-03-22,4762,180,0.09,0.2,0.0,61.11,508.54,43.2,3.32,82.28,17564020.0,-60.0,-17.0,-57.0,-31.0,10.0,549.0,43.0,478.0,22.857142857142858,156.42857142857142,43.285714285714285,5.666666666666667,327.3673469387755,109.78924947503536,478.0,212.26530612244898,142.99755579848832,478.0,130.72450396825397,146.11483621811988,478.0,2.042649727767695,-0.5121889819097243,2.1434977578475336,3.7791307999160195,6,3,12,23,-41.25,0.2
Netherlands,2020-03-23,5575,214,0.09,0.2,0.0,78.7,508.54,43.2,3.32,82.28,17564020.0,-38.0,-9.0,-65.0,-50.0,18.0,813.0,34.0,552.4285714285714,27.142857142857142,189.42857142857142,51.142857142857146,5.75,379.2244897959184,119.1101604427587,552.4285714285714,248.07142857142858,161.1567365038308,552.4285714285714,147.59266666666667,166.05226223518918,552.4285714285714,1.9062265566391599,-0.7458282378813879,2.0668091929449495,3.837876614060258,0,3,13,24,-40.5,0.2
Netherlands,2020-03-24,6432,277,0.09,0.2,0.0,78.7,508.54,43.2,3.32,82.28,17564020.0,-42.0,-9.0,-65.0,-52.0,20.0,857.0,63.0,625.0,33.42857142857143,222.0,66.42857142857143,7.4,436.7959183673469,127.54617296911367,625.0,287.96938775510205,180.68769885276583,625.0,165.9544871794872,187.71384447572856,625.0,1.8071748878923768,-0.5000285019381314,1.9850272232304902,4.305922586662522,1,3,13,25,-42.0,0.2
Netherlands,2020-03-25,7457,357,0.09,0.2,0.0,78.7,508.54,43.2,3.32,82.28,17564020.0,-45.0,-15.0,-64.0,-51.0,18.0,1025.0,80.0,712.8571428571429,42.714285714285715,266.2857142857143,74.42857142857143,13.5,500.59183673469386,139.19697853696124,712.8571428571429,333.57142857142856,201.95979362674706,712.8571428571429,186.21014109347445,212.0356309921007,712.8571428571429,1.6707642971672905,-0.872796308893315,1.8577810871183917,4.7868061142397424,2,3,13,26,-43.75,0.2
Netherlands,2020-03-26,8640,435,0.09,0.2,0.0,78.7,508.54,43.2,3.32,82.28,17564020.0,-47.0,-14.0,-66.0,-53.0,21.0,1183.0,78.0,805.5714285714286,51.142857142857146,313.85714285714283,96.57142857142857,18.142857142857142,570.8367346938776,152.67453330380127,805.5714285714286,384.2142857142857,225.48240105785024,805.5714285714286,208.33018707482992,238.73469959380841,805.5714285714286,1.561705989110708,-0.6652339816067152,1.8296560674886437,5.034139567179725,3,3,13,27,-45.0,0.2
Netherlands,2020-03-27,9806,547,0.09,0.2,0.0,78.7,508.54,43.2,3.32,82.28,17564020.0,-48.0,-14.0,-64.0,-49.0,20.0,1166.0,112.0,880.8571428571429,62.857142857142854,382.7142857142857,110.42857142857143,26.0,642.0,165.89665662776963,880.8571428571429,439.2448979591837,246.55291609525767,880.8571428571429,231.52077175697866,265.6219888077166,880.8571428571429,1.2982129560685034,-1.14537678752124,1.8389501938562482,5.577648618333844,4,3,13,28,-43.75,0.2
Netherlands,2020-03-28,10923,640,0.09,0.2,0.0,78.7,508.54,43.2,3.32,82.28,17564020.0,-54.0,-19.0,-61.0,-30.0,13.0,1117.0,93.0,958.5714285714286,71.85714285714286,439.2857142857143,124.71428571428571,36.42857142857143,716.1836734693878,175.9413112237739,958.5714285714286,498.80612244897964,264.77180487478176,958.5714285714286,255.75579365079366,292.8176857326651,958.5714285714286,1.179428942245295,-1.3228437850274324,1.7320598864223025,5.85865983156353,5,3,13,29,-41.0,0.2
Netherlands,2020-03-29,11814,772,0.09,0.2,0.0,78.7,508.54,43.2,3.32,82.28,17564020.0,-65.0,-29.0,-68.0,-35.0,11.0,891.0,132.0,1007.4285714285714,84.57142857142857,478.0,156.42857142857142,43.285714285714285,791.8163265306123,170.18720613252708,1007.4285714285714,559.5918367346939,277.5024847903398,1007.4285714285714,289.1700793650794,319.2211306508403,1007.4285714285714,1.105278854756934,-0.9373708730107608,1.6093108169785486,6.534066864155734,6,3,13,30,-49.25,0.2
