country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Nigeria,2020-03-21,22,0,0.0,0.0,0.0,33.8,209.59,18.1,,54.69,218541216.0,-6.0,0.0,-3.0,1.0,2.0,10.0,0.0,2.857142857142857,0.0,0.14285714285714285,0.0,0.0,0.8979591836734695,1.0058140024776823,2.857142857142857,0.5102040816326531,0.7938426420835694,2.857142857142857,0.3246753246753247,0.6732163464582664,2.857142857142857,2.3750000000000004,2.2321428571428577,2.857142857142857,0.0,5,3,12,21,-2.0,0.0
Nigeria,2020-03-22,30,0,0.0,0.0,0.0,33.8,209.59,18.1,,54.69,218541216.0,-15.0,-6.0,-11.0,-3.0,6.0,8.0,0.0,4.0,0.0,0.14285714285714285,0.0,0.0,1.4489795918367345,1.4717950801716566,4.0,0.7959183673469388,1.2079203370687133,4.0,0.48447204968944096,1.009912954270653,4.0,3.3750000000000004,3.2321428571428577,3.5,0.0,6,3,12,22,-8.75,0.0
Nigeria,2020-03-23,40,1,0.0,0.0,0.0,48.61,209.59,18.1,,54.69,218541216.0,-12.0,-1.0,-11.0,-10.0,7.0,10.0,1.0,5.428571428571429,0.14285714285714285,0.0,0.14285714285714285,0.0,2.2244897959183674,1.937557798755428,5.428571428571429,1.1734693877551021,1.7098647861462302,5.428571428571429,0.6904761904761904,1.4121206005004963,5.428571428571429,5.428571428571429,5.553571428571429,2.923076923076923,2.4390243902439024,0,3,13,23,-8.5,0.0
Nigeria,2020-03-24,44,1,0.0,0.0,0.0,48.61,209.59,18.1,,54.69,218541216.0,-19.0,-5.0,-16.0,-20.0,11.0,4.0,0.0,5.857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,3.0408163265306123,2.1104119688649594,5.857142857142857,1.5816326530612244,2.085657296913959,5.857142857142857,0.8971428571428571,1.7259129497758807,5.857142857142857,5.0,5.0,3.1538461538461537,2.2222222222222223,1,3,13,24,-15.0,0.0
Nigeria,2020-03-25,51,1,0.0,0.0,0.0,48.61,209.59,18.1,,54.69,218541216.0,-18.0,4.0,-9.0,-25.0,11.0,7.0,0.0,6.142857142857143,0.14285714285714285,0.8571428571428571,0.14285714285714285,0.0,3.7959183673469385,2.1442172554300476,6.142857142857143,2.0102040816326534,2.36501468507944,6.142857142857143,1.0989010989010988,1.9793914673069912,6.142857142857143,2.8461538461538463,2.2211538461538463,2.5294117647058822,1.9230769230769231,2,3,13,25,-12.0,0.0
Nigeria,2020-03-26,65,1,0.0,0.0,0.0,52.31,209.59,18.1,,54.69,218541216.0,-30.0,-12.0,-26.0,-34.0,16.0,14.0,0.0,8.142857142857142,0.14285714285714285,0.8571428571428571,0.14285714285714285,0.0,4.836734693877551,2.2458254113856797,8.142857142857142,2.581632653061224,2.804719215296597,8.142857142857142,1.3597883597883598,2.367483269961683,8.142857142857142,3.923076923076923,3.298076923076923,2.111111111111111,1.5151515151515151,3,3,13,26,-25.5,0.0
Nigeria,2020-03-27,70,1,0.0,0.0,0.0,52.31,209.59,18.1,,54.69,218541216.0,-38.0,-20.0,-32.0,-35.0,19.0,5.0,0.0,8.285714285714286,0.14285714285714285,1.4285714285714286,0.14285714285714285,0.0,5.816326530612244,1.9926980406096566,8.285714285714286,3.1632653061224496,3.0898919333331154,8.285714285714286,1.6071428571428572,2.666560372031182,8.285714285714286,2.8235294117647056,1.6985294117647054,1.6571428571428573,1.4084507042253522,4,3,13,27,-31.25,0.0
Nigeria,2020-03-28,89,1,0.0,0.0,0.0,55.09,209.59,18.1,,54.69,218541216.0,-40.0,-26.0,-34.0,-19.0,13.0,19.0,0.0,9.571428571428571,0.14285714285714285,2.857142857142857,0.14285714285714285,0.0,6.775510204081633,1.9463154494994273,9.571428571428571,3.8367346938775513,3.393528397615488,9.571428571428571,1.8817733990147782,3.007296512026977,9.571428571428571,1.7407407407407405,-0.63425925925926,1.4888888888888887,1.1111111111111112,5,3,13,28,-29.75,0.0
Nigeria,2020-03-29,111,1,0.0,0.0,0.0,82.87,209.59,18.1,,54.69,218541216.0,-39.0,-25.0,-34.0,-11.0,15.0,22.0,0.0,11.571428571428571,0.14285714285714285,4.0,0.14285714285714285,0.0,7.857142857142857,2.229975137898686,11.571428571428571,4.653061224489796,3.78823854707261,11.571428571428571,2.2047619047619045,3.4440707411430522,11.571428571428571,1.5142857142857142,-1.8607142857142862,1.6875,0.8928571428571428,6,3,13,29,-27.25,0.0
Nigeria,2020-03-30,131,2,0.0,0.0,0.0,82.87,209.59,18.1,,54.69,218541216.0,-25.0,-5.0,-24.0,-42.0,18.0,20.0,1.0,13.0,0.14285714285714285,5.428571428571429,0.0,0.14285714285714285,8.938775510204081,2.6519882707402447,13.0,5.581632653061225,4.137155715219791,13.0,2.638095238095238,3.939323992299069,13.0,1.1777777777777776,-4.250793650793652,1.8199999999999998,1.5151515151515151,0,3,14,30,-24.0,0.0
