country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
North Macedonia,2020-03-19,48,0,0.19,0.0,1.14,,82.6,39.1,4.28,75.8,2093606.0,-56.0,-18.0,-48.0,-44.0,16.0,13.0,0.0,5.857142857142857,0.0,0.8571428571428571,0.0,0.0,2.7755102040816326,1.6201476855020671,5.857142857142857,1.653061224489796,1.6159665330190571,5.857142857142857,1.051948051948052,1.5096356883874245,5.857142857142857,2.692307692307692,1.8351648351648349,2.2777777777777777,0.0,3,3,12,21,-41.5,0.0
North Macedonia,2020-03-20,67,0,0.19,0.0,1.14,,82.6,39.1,4.28,75.8,2093606.0,-59.0,-23.0,-53.0,-36.0,18.0,19.0,0.0,7.571428571428571,0.0,1.5714285714285714,0.2857142857142857,0.0,3.6326530612244894,2.31507503126545,7.571428571428571,2.173469387755102,2.2068670985518257,7.571428571428571,1.3354037267080745,2.005839663660087,7.571428571428571,2.3333333333333335,1.3333333333333335,2.9444444444444446,0.0,4,3,12,22,-42.75,0.0
North Macedonia,2020-03-21,85,0,0.19,0.0,1.14,,82.6,39.1,4.28,75.8,2093606.0,-64.0,-24.0,-56.0,-36.0,13.0,18.0,0.0,10.142857142857142,0.0,1.5714285714285714,0.2857142857142857,0.0,4.857142857142857,3.156895055993756,10.142857142857142,2.877551020408163,2.991278344022769,10.142857142857142,1.7023809523809523,2.6609392056891967,10.142857142857142,3.3333333333333335,2.3333333333333335,3.227272727272727,0.0,5,3,12,23,-45.0,0.0
North Macedonia,2020-03-22,115,1,0.19,0.0,1.14,,82.6,39.1,4.28,75.8,2093606.0,-72.0,-29.0,-64.0,-43.0,15.0,30.0,1.0,14.428571428571429,0.14285714285714285,1.5714285714285714,0.2857142857142857,0.0,6.6938775510204085,4.415825414500762,14.428571428571429,3.8877551020408165,4.194703459834232,14.428571428571429,2.2114285714285713,3.6419513346294896,14.428571428571429,5.000000000000001,4.000000000000001,3.8846153846153846,0.8620689655172413,6,3,12,24,-52.0,0.0
North Macedonia,2020-03-23,136,2,0.19,0.0,1.14,,82.6,39.1,4.28,75.8,2093606.0,-66.0,-31.0,-64.0,-43.0,22.0,21.0,1.0,16.857142857142858,0.2857142857142857,2.142857142857143,0.2857142857142857,0.0,8.795918367346939,5.3016857432439926,16.857142857142858,5.071428571428571,5.294097895531639,16.857142857142858,2.7747252747252746,4.580735717919713,16.857142857142858,4.6818181818181825,3.237373737373738,3.3714285714285714,1.4598540145985401,0,3,13,25,-51.0,0.0
North Macedonia,2020-03-24,148,2,0.19,0.0,1.14,,82.6,39.1,4.28,75.8,2093606.0,-66.0,-31.0,-64.0,-53.0,23.0,12.0,0.0,17.428571428571427,0.2857142857142857,2.7142857142857144,0.8571428571428571,0.0,10.897959183673468,5.40452964828067,17.428571428571427,6.255102040816326,6.074415185637168,17.428571428571427,3.317460317460317,5.303701697935157,17.428571428571427,3.961538461538461,2.961538461538461,2.5416666666666665,1.342281879194631,1,3,13,26,-53.5,0.0
North Macedonia,2020-03-25,177,3,0.19,0.0,1.14,,82.6,39.1,4.28,75.8,2093606.0,-66.0,-28.0,-64.0,-54.0,22.0,29.0,1.0,20.285714285714285,0.42857142857142855,4.0,0.8571428571428571,0.0,13.224489795918368,5.4453732110105575,20.285714285714285,7.642857142857143,6.908405000767621,20.285714285714285,3.923469387755102,6.113128771377666,20.285714285714285,3.257142857142857,1.5648351648351648,2.3666666666666667,1.6853932584269662,2,3,13,27,-53.0,0.0
North Macedonia,2020-03-26,201,3,0.19,0.0,1.14,,82.6,39.1,4.28,75.8,2093606.0,-67.0,-32.0,-65.0,-55.0,23.0,24.0,0.0,21.857142857142858,0.42857142857142855,5.857142857142857,0.8571428571428571,0.0,15.51020408163265,5.189508740894198,21.857142857142858,9.142857142857142,7.569873362980001,21.857142857142858,4.541871921182266,6.864831925256342,21.857142857142858,2.3333333333333335,-0.3589743589743586,1.9615384615384617,1.4851485148514851,3,3,13,28,-54.75,0.0
North Macedonia,2020-03-27,219,3,0.19,0.0,1.14,,82.6,39.1,4.28,75.8,2093606.0,-66.0,-30.0,-64.0,-45.0,25.0,18.0,0.0,21.714285714285715,0.42857142857142855,7.571428571428571,1.5714285714285714,0.2857142857142857,17.53061224489796,4.252021756584098,21.857142857142858,10.581632653061224,7.925965176177927,21.857142857142858,5.114285714285714,7.438454963559163,21.857142857142858,1.6500000000000001,-0.6833333333333333,1.4074074074074074,1.3636363636363635,4,3,13,29,-51.25,0.0
North Macedonia,2020-03-28,241,4,0.19,0.0,1.14,,82.6,39.1,4.28,75.8,2093606.0,-75.0,-43.0,-73.0,-50.0,21.0,22.0,1.0,22.285714285714285,0.5714285714285714,10.142857142857142,1.5714285714285714,0.2857142857142857,19.26530612244898,3.0399030724663354,22.285714285714285,12.061224489795917,8.04709729265202,22.285714285714285,5.857142857142858,8.001583235312852,22.285714285714285,1.0897435897435896,-2.2435897435897436,1.248,1.6528925619834711,5,3,13,30,-60.25,0.0
