country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Oman,2020-03-17,24,0,,0.04,0.01,52.78,14.98,30.7,1.6,77.86,4576300.0,-16.0,-9.0,-23.0,-3.0,5.0,2.0,0.0,0.8571428571428571,0.0,0.8571428571428571,1.4285714285714286,0.0,0.5918367346938774,0.25325864583654945,0.8571428571428571,1.0204081632653061,0.5161661070827098,1.7142857142857142,0.9054112554112553,0.4953172260489101,1.7142857142857142,0.0,0.23529411764705882,0.6666666666666667,0.0,1,3,12,21,-12.75,0.04
Oman,2020-03-18,39,0,,0.04,0.01,66.67,14.98,30.7,1.6,77.86,4576300.0,-24.0,-4.0,-33.0,-6.0,7.0,15.0,0.0,3.0,0.0,0.42857142857142855,1.5714285714285714,1.0,0.9591836734693876,0.932096918095448,3.0,1.1224489795918369,0.7302762705049473,3.0,0.9964803312629399,0.6518739417505693,3.0,1.8,2.2444444444444445,2.1,0.0,2,3,12,22,-16.75,0.04
Oman,2020-03-19,48,0,,0.04,0.01,77.78,14.98,30.7,1.6,77.86,4576300.0,-33.0,-17.0,-40.0,-10.0,11.0,9.0,0.0,4.285714285714286,0.0,0.2857142857142857,1.7142857142857142,0.6666666666666666,1.5306122448979593,1.5021849975165669,4.285714285714286,1.3061224489795917,1.1134360565316492,4.285714285714286,1.133531746031746,0.9258823718764954,4.285714285714286,3.1111111111111116,3.6374269005847957,3.0,0.0,3,3,12,23,-25.0,0.04
Oman,2020-03-20,48,0,,0.04,0.01,77.78,14.98,30.7,1.6,77.86,4576300.0,-45.0,-29.0,-52.0,-17.0,13.0,0.0,0.0,4.142857142857143,0.0,0.42857142857142855,1.7142857142857142,0.5,2.061224489795918,1.6920324349529898,4.285714285714286,1.4795918367346936,1.3466711593712828,4.285714285714286,1.2539047619047619,1.088016842717884,4.285714285714286,2.6000000000000005,3.0736842105263165,2.230769230769231,0.0,4,3,12,24,-35.75,0.04
Oman,2020-03-21,52,0,,0.04,0.01,81.48,14.98,30.7,1.6,77.86,4576300.0,-40.0,-28.0,-48.0,-15.0,13.0,4.0,0.0,4.714285714285714,0.0,0.42857142857142855,1.4285714285714286,0.8,2.673469387755102,1.7760965487375162,4.714285714285714,1.7142857142857142,1.5996467427925594,4.714285714285714,1.386996336996337,1.2637155437065524,4.714285714285714,3.0,3.411764705882353,2.5384615384615383,0.0,5,3,12,25,-32.75,0.04
Oman,2020-03-22,55,0,,0.04,0.01,81.48,14.98,30.7,1.6,77.86,4576300.0,-45.0,-31.0,-60.0,-50.0,18.0,3.0,0.0,4.714285714285714,0.0,0.8571428571428571,1.4285714285714286,0.6666666666666666,3.224489795918367,1.7159855518022775,4.714285714285714,1.948979591836735,1.784819241939097,4.714285714285714,1.5102292768959436,1.394842799710382,4.714285714285714,2.076923076923077,2.312217194570136,2.5384615384615383,0.0,6,3,12,26,-46.5,0.04
Oman,2020-03-23,66,0,,0.04,0.01,81.48,14.98,30.7,1.6,77.86,4576300.0,-36.0,-16.0,-54.0,-20.0,11.0,11.0,0.0,6.285714285714286,0.0,0.8571428571428571,1.4285714285714286,0.5714285714285714,4.0,1.694328273776875,6.285714285714286,2.2959183673469385,2.1170343625077446,6.285714285714286,1.6807823129251702,1.6395124719820198,6.285714285714286,2.923076923076923,3.158371040723982,1.5714285714285714,0.0,0,3,13,27,-31.5,0.04
Oman,2020-03-24,84,0,,0.04,0.01,81.48,14.98,30.7,1.6,77.86,4576300.0,-47.0,-21.0,-57.0,-29.0,15.0,18.0,0.0,8.571428571428571,0.0,0.8571428571428571,0.8571428571428571,1.4285714285714286,5.1020408163265305,1.8139937630008607,8.571428571428571,2.846938775510204,2.650472713807531,8.571428571428571,1.9183908045977012,2.056520646382058,8.571428571428571,4.153846153846154,4.153846153846154,1.6216216216216217,0.0,1,3,13,28,-38.5,0.04
Oman,2020-03-25,99,0,,0.04,0.01,81.48,14.98,30.7,1.6,77.86,4576300.0,-51.0,-28.0,-61.0,-33.0,17.0,15.0,0.0,8.571428571428571,0.0,3.0,0.42857142857142855,1.5714285714285714,5.8979591836734695,1.9547853122795817,8.571428571428571,3.4285714285714284,2.954920330588557,8.571428571428571,2.1401587301587304,2.3577256857969013,8.571428571428571,1.3928571428571428,-0.40714285714285725,1.6666666666666665,0.0,2,3,13,29,-43.25,0.04
Oman,2020-03-26,109,0,,0.04,0.01,81.48,14.98,30.7,1.6,77.86,4576300.0,-54.0,-33.0,-63.0,-33.0,20.0,10.0,0.0,8.714285714285714,0.0,4.285714285714286,0.2857142857142857,1.7142857142857142,6.530612244897959,2.0598432767050445,8.714285714285714,4.030612244897958,3.1193821447906696,8.714285714285714,2.4306349206349207,2.608439985433708,8.714285714285714,0.8378378378378377,-2.273273273273274,1.525,0.0,3,3,13,30,-45.75,0.04
