country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Papua New Guinea,2020-04-11,2,0,,0.0,0.08,82.41,18.22,22.6,,64.5,10142625.0,-25.0,-9.0,-40.0,-12.0,10.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.12244897959183673,0.053994924715603895,0.14285714285714285,0.061224489795918366,0.07336465585901364,0.14285714285714285,0.03896103896103896,0.0651203294055074,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.125,0.0,5,4,15,21,-21.5,0.0
Papua New Guinea,2020-04-12,2,0,,0.0,0.08,82.41,18.22,22.6,,64.5,10142625.0,-22.0,-9.0,-43.0,6.0,,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.07142857142857142,0.0741249316661101,0.14285714285714285,0.043478260869565216,0.06721028127099496,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.125,0.0,6,4,15,22,-17.0,0.0
Papua New Guinea,2020-04-13,2,0,,0.0,0.08,82.41,18.22,22.6,,64.5,10142625.0,-41.0,-26.0,-45.0,-54.0,19.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.12244897959183675,0.053994924715603895,0.14285714285714285,0.07142857142857142,0.0741249316661101,0.14285714285714285,0.041666666666666664,0.06632937449821949,0.14285714285714285,-0.125,-0.26785714285714285,0.0,0.0,0,4,16,23,-41.5,0.0
Papua New Guinea,2020-04-14,2,0,,0.0,0.08,76.85,18.22,22.6,,64.5,10142625.0,-9.0,2.0,-32.0,-2.0,6.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.1020408163265306,0.06970714806775238,0.14285714285714285,0.07142857142857142,0.0741249316661101,0.14285714285714285,0.04,0.0654653670707977,0.14285714285714285,-0.125,-0.26785714285714285,0.0,0.0,1,4,16,24,-10.25,0.0
Papua New Guinea,2020-04-15,2,0,,0.0,0.08,76.85,18.22,22.6,,64.5,10142625.0,-12.0,-3.0,-35.0,-1.0,8.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.08163265306122448,0.07636035483212127,0.14285714285714285,0.07142857142857142,0.0741249316661101,0.14285714285714285,0.038461538461538464,0.06462061726588639,0.14285714285714285,-0.125,-0.26785714285714285,0.0,0.0,2,4,16,25,-12.75,0.0
Papua New Guinea,2020-04-16,7,0,,0.0,0.08,83.8,18.22,22.6,,64.5,10142625.0,-13.0,-6.0,-32.0,2.0,9.0,5.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.16326530612244897,0.2532586458365481,0.7142857142857143,0.12244897959183673,0.18463033504538973,0.7142857142857143,0.06349206349206349,0.1446770524405238,0.7142857142857143,0.5,0.35714285714285715,0.625,0.0,3,4,16,26,-12.25,0.0
Papua New Guinea,2020-04-17,7,0,,0.0,0.08,83.8,18.22,22.6,,64.5,10142625.0,-20.0,-2.0,-33.0,-3.0,11.0,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.2448979591836735,0.32695550586933103,0.7142857142857143,0.17346938775510204,0.23890495491667968,0.7142857142857143,0.08673469387755102,0.1878360106982151,0.7142857142857143,0.5,0.35714285714285715,0.625,0.0,4,4,16,27,-14.5,0.0
Papua New Guinea,2020-04-18,7,0,,0.0,0.08,83.8,18.22,22.6,,64.5,10142625.0,-26.0,1.0,-30.0,6.0,8.0,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.326530612244898,0.36621139683523185,0.7142857142857143,0.22448979591836735,0.27286655362797607,0.7142857142857143,0.1083743842364532,0.21817949525192887,0.7142857142857143,0.5,0.35714285714285715,0.7142857142857143,0.0,5,4,16,28,-12.25,0.0
Papua New Guinea,2020-04-19,7,0,,0.0,0.08,83.8,18.22,22.6,,64.5,10142625.0,-27.0,-2.0,-35.0,10.0,,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.4081632653061225,0.3818017741606063,0.7142857142857143,0.2755102040816327,0.2936496150758214,0.7142857142857143,0.1285714285714286,0.24124355285584506,0.7142857142857143,0.5,0.35714285714285715,0.7142857142857143,0.0,6,4,16,29,-13.5,0.0
Papua New Guinea,2020-04-20,7,0,,0.0,0.08,83.8,18.22,22.6,,64.5,10142625.0,-22.0,-4.0,-37.0,-5.0,10.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.14285714285714285,0.0,0.5102040816326531,0.34853574033876183,0.7142857142857143,0.3163265306122449,0.31287681923458793,0.7142857142857143,0.15238095238095237,0.26243415670540443,0.7142857142857143,0.7142857142857143,0.8392857142857143,0.7142857142857143,0.0,0,4,17,30,-17.0,0.0
Papua New Guinea,2020-04-21,7,0,,0.0,0.08,83.8,18.22,22.6,,64.5,10142625.0,-22.0,-2.0,-39.0,-6.0,8.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.14285714285714285,0.0,0.6122448979591838,0.2699746235780194,0.7142857142857143,0.35714285714285715,0.32552336799117854,0.7142857142857143,0.17619047619047618,0.2799500642446089,0.7142857142857143,0.7142857142857143,0.8392857142857143,0.41666666666666663,0.0,1,4,17,31,-17.25,0.0
Papua New Guinea,2020-04-22,8,0,,0.0,0.08,83.8,18.22,22.6,,64.5,10142625.0,-23.0,-5.0,-39.0,-5.0,10.0,1.0,0.0,0.8571428571428571,0.0,0.0,0.14285714285714285,0.0,0.7346938775510204,0.05399492471560305,0.8571428571428571,0.40816326530612246,0.3447618469402162,0.8571428571428571,0.20476190476190476,0.3040503804074979,0.8571428571428571,0.8571428571428571,0.9821428571428571,0.49999999999999994,0.0,2,4,17,32,-18.0,0.0
Papua New Guinea,2020-04-23,8,0,,0.0,0.08,83.8,18.22,22.6,,64.5,10142625.0,-20.0,6.0,-34.0,-1.0,10.0,0.0,0.0,0.14285714285714285,0.0,0.7142857142857143,0.14285714285714285,0.0,0.6530612244897959,0.2311924553464819,0.8571428571428571,0.40816326530612246,0.3447618469402162,0.8571428571428571,0.20952380952380953,0.301843580795058,0.8571428571428571,-0.3333333333333333,-0.8333333333333333,0.08333333333333333,0.0,3,4,17,33,-12.25,0.0
Papua New Guinea,2020-04-24,8,0,,0.0,0.08,83.8,18.22,22.6,,64.5,10142625.0,-16.0,7.0,-32.0,2.0,10.0,0.0,0.0,0.14285714285714285,0.0,0.7142857142857143,0.14285714285714285,0.0,0.5714285714285714,0.2973808570665903,0.8571428571428571,0.40816326530612246,0.3447618469402162,0.8571428571428571,0.2142857142857143,0.2995422263898197,0.8571428571428571,-0.3333333333333333,-0.8333333333333333,0.08333333333333333,0.0,4,4,17,34,-9.75,0.0
Papua New Guinea,2020-04-25,8,0,,0.0,0.08,78.24,18.22,22.6,,64.5,10142625.0,-15.0,6.0,-33.0,11.0,6.0,0.0,0.0,0.14285714285714285,0.0,0.7142857142857143,0.14285714285714285,0.0,0.4897959183673469,0.32843830488634856,0.8571428571428571,0.40816326530612246,0.3447618469402162,0.8571428571428571,0.21904761904761905,0.29714412024488385,0.8571428571428571,-0.3333333333333333,-0.8333333333333333,0.08333333333333333,0.0,5,4,17,35,-7.75,0.0
Papua New Guinea,2020-04-26,8,0,,0.0,0.08,78.24,18.22,22.6,,64.5,10142625.0,-13.0,9.0,-35.0,17.0,,0.0,0.0,0.14285714285714285,0.0,0.7142857142857143,0.14285714285714285,0.0,0.40816326530612246,0.33430373810355407,0.8571428571428571,0.40816326530612246,0.3447618469402162,0.8571428571428571,0.22380952380952382,0.2946469000070945,0.8571428571428571,-0.3333333333333333,-0.8333333333333333,0.08333333333333333,0.0,6,4,17,36,-5.5,0.0
Papua New Guinea,2020-04-27,8,0,,0.0,0.08,70.83,18.22,22.6,,64.5,10142625.0,-10.0,5.0,-32.0,6.0,6.0,0.0,0.0,0.14285714285714285,0.0,0.7142857142857143,0.0,0.14285714285714285,0.32653061224489793,0.31638138650975467,0.8571428571428571,0.41836734693877553,0.3336882314940576,0.8571428571428571,0.22857142857142856,0.2920480231975971,0.8571428571428571,-0.3333333333333333,-1.0476190476190477,0.07692307692307691,0.0,0,4,18,37,-7.75,0.0
Papua New Guinea,2020-04-28,8,0,,0.0,0.08,70.83,18.22,22.6,,64.5,10142625.0,-10.0,7.0,-30.0,7.0,5.0,0.0,0.0,0.14285714285714285,0.0,0.7142857142857143,0.0,0.14285714285714285,0.24489795918367346,0.2699746235780194,0.8571428571428571,0.42857142857142855,0.32188612122806176,0.8571428571428571,0.23333333333333334,0.28934475061007475,0.8571428571428571,-0.3333333333333333,-1.0476190476190477,0.125,0.0,1,4,18,38,-6.5,0.0
Papua New Guinea,2020-04-29,8,0,,0.0,0.08,70.83,18.22,22.6,,64.5,10142625.0,-16.0,3.0,-29.0,7.0,4.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.14285714285714285,0.12244897959183675,0.05399492471560382,0.14285714285714285,0.42857142857142855,0.32188612122806176,0.8571428571428571,0.23333333333333334,0.28934475061007475,0.8571428571428571,-0.4615384615384615,-1.3186813186813187,0.0,0.0,2,4,18,39,-8.75,0.0
Papua New Guinea,2020-04-30,8,0,,0.0,0.08,70.83,18.22,22.6,,64.5,10142625.0,-15.0,4.0,-31.0,9.0,8.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.10204081632653063,0.06970714806775233,0.14285714285714285,0.37755102040816324,0.32963108086613435,0.8571428571428571,0.23333333333333334,0.28934475061007475,0.8571428571428571,-0.125,0.20833333333333331,0.0,0.0,3,4,18,40,-8.25,0.0
Papua New Guinea,2020-05-01,8,0,,0.0,0.08,68.06,18.22,22.6,,64.5,10142625.0,-9.0,11.0,-27.0,11.0,6.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.0816326530612245,0.07636035483212122,0.14285714285714285,0.32653061224489793,0.3287795395808657,0.8571428571428571,0.23333333333333334,0.28934475061007475,0.8571428571428571,-0.125,0.20833333333333331,0.0,0.0,4,5,18,41,-3.5,0.0
Papua New Guinea,2020-05-02,8,0,,0.0,0.08,68.06,18.22,22.6,,64.5,10142625.0,-9.0,12.0,-35.0,12.0,5.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.06122448979591838,0.07636035483212125,0.14285714285714285,0.2755102040816327,0.31926271871506795,0.8571428571428571,0.23333333333333334,0.28934475061007475,0.8571428571428571,-0.125,0.20833333333333331,0.0,0.0,5,5,18,42,-5.0,0.0
Papua New Guinea,2020-05-03,8,0,,0.0,0.08,68.06,18.22,22.6,,64.5,10142625.0,-7.0,13.0,-34.0,15.0,,0.0,0.0,0.0,0.0,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.040816326530612256,0.06970714806775238,0.14285714285714285,0.22448979591836735,0.3002577945965228,0.8571428571428571,0.23333333333333334,0.28934475061007475,0.8571428571428571,-0.125,0.20833333333333331,0.0,0.0,6,5,18,43,-3.25,0.0
Papua New Guinea,2020-05-04,8,0,,0.0,0.08,64.35,18.22,22.6,,64.5,10142625.0,-14.0,1.0,-36.0,11.0,4.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.7142857142857143,0.0,0.020408163265306138,0.05399492471560392,0.14285714285714285,0.17346938775510207,0.2697668708550019,0.8571428571428571,0.23333333333333334,0.28934475061007475,0.8571428571428571,-0.125,0.20833333333333331,0.0,0.0,0,5,19,44,-9.5,0.0
Papua New Guinea,2020-05-05,8,0,,0.0,0.08,64.35,18.22,22.6,,64.5,10142625.0,-8.0,10.0,-31.0,13.0,5.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.7142857142857143,0.0,0.0,0.0,0.0,0.12244897959183675,0.22312988985371587,0.8571428571428571,0.23333333333333334,0.28934475061007475,0.8571428571428571,-0.125,0.20833333333333331,0.0,0.0,1,5,19,45,-4.0,0.0
Papua New Guinea,2020-05-06,8,0,,0.0,0.08,64.35,18.22,22.6,,64.5,10142625.0,-2.0,19.0,-30.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.061224489795918366,0.0733646558590134,0.14285714285714285,0.22857142857142856,0.2920480231975971,0.8571428571428571,0.0,0.4615384615384615,0.0,0.0,2,5,19,46,0.75,0.0
Papua New Guinea,2020-05-07,8,0,,0.0,0.08,64.35,18.22,22.6,,64.5,10142625.0,-3.0,20.0,-27.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.7142857142857143,0.0,0.0,0.0,0.0510204081632653,0.0710350225855493,0.14285714285714285,0.22380952380952382,0.2946469000070945,0.8571428571428571,0.0,0.125,0.0,0.0,3,5,19,47,2.5,0.0
Papua New Guinea,2020-05-08,8,0,,0.0,0.08,64.35,18.22,22.6,,64.5,10142625.0,3.0,23.0,-20.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.7142857142857143,0.0,0.0,0.0,0.04081632653061224,0.06697246156264194,0.14285714285714285,0.21904761904761905,0.29714412024488385,0.8571428571428571,0.0,0.125,0.0,0.0,4,5,19,48,7.0,0.0
Papua New Guinea,2020-05-09,8,0,,0.0,0.08,64.35,18.22,22.6,,64.5,10142625.0,3.0,28.0,-20.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.7142857142857143,0.0,0.0,0.0,0.030612244897959183,0.06083075908947401,0.14285714285714285,0.2142857142857143,0.2995422263898197,0.8571428571428571,0.0,0.125,0.0,0.0,5,5,19,49,8.25,0.0
Papua New Guinea,2020-05-10,8,0,,0.0,0.08,64.35,18.22,22.6,,64.5,10142625.0,9.0,31.0,-28.0,24.0,,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.7142857142857143,0.0,0.0,0.0,0.02040816326530612,0.05187664565732558,0.14285714285714285,0.20952380952380953,0.301843580795058,0.8571428571428571,0.0,0.125,0.0,0.0,6,5,19,50,9.0,0.0
Papua New Guinea,2020-05-11,8,0,,0.0,0.08,64.35,18.22,22.6,,64.5,10142625.0,-2.0,12.0,-28.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.7142857142857143,0.0,0.0,0.0,0.01020408163265306,0.03818017741606017,0.14285714285714285,0.20476190476190478,0.3040503804074979,0.8571428571428571,0.0,0.125,0.0,0.0,0,5,20,51,0.75,0.0
Papua New Guinea,2020-05-12,8,0,,0.0,0.08,64.35,18.22,22.6,,64.5,10142625.0,0.0,21.0,-25.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3061646698540743,0.8571428571428571,0.0,0.125,0.0,0.0,1,5,20,52,4.25,0.0
Papua New Guinea,2020-05-13,8,0,,0.0,0.08,56.02,18.22,22.6,,64.5,10142625.0,-6.0,13.0,-26.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3061646698540743,0.8571428571428571,0.0,0.0,0.0,0.0,2,5,20,53,0.5,0.0
Papua New Guinea,2020-05-14,8,0,,0.0,0.08,56.02,18.22,22.6,,64.5,10142625.0,-4.0,13.0,-21.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3061646698540743,0.8571428571428571,0.0,0.0,0.0,0.0,3,5,20,54,2.0,0.0
Papua New Guinea,2020-05-15,8,0,,0.0,0.08,56.02,18.22,22.6,,64.5,10142625.0,1.0,23.0,-18.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3061646698540743,0.8571428571428571,0.0,0.0,0.0,0.0,4,5,20,55,7.5,0.0
Papua New Guinea,2020-05-16,8,0,,0.0,0.08,56.02,18.22,22.6,,64.5,10142625.0,-3.0,21.0,-23.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.17619047619047618,0.29224875730831157,0.8571428571428571,0.0,0.0,0.0,0.0,5,5,20,56,4.25,0.0
Papua New Guinea,2020-05-17,8,0,,0.0,0.08,56.02,18.22,22.6,,64.5,10142625.0,3.0,23.0,-22.0,23.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.15238095238095237,0.2755158512379433,0.8571428571428571,0.0,0.0,0.0,0.0,6,5,20,57,6.75,0.0
Papua New Guinea,2020-05-18,8,0,,0.0,0.08,56.02,18.22,22.6,,64.5,10142625.0,-1.0,13.0,-25.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.1285714285714286,0.25541289997218747,0.8571428571428571,0.0,0.0,0.0,0.0,0,5,21,58,2.25,0.0
Papua New Guinea,2020-05-19,8,0,,0.0,0.08,56.02,18.22,22.6,,64.5,10142625.0,-4.0,17.0,-22.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.10476190476190476,0.23106196509757904,0.8571428571428571,0.0,0.0,0.0,0.0,1,5,21,59,3.0,0.0
Papua New Guinea,2020-05-20,8,0,,0.0,0.08,56.02,18.22,22.6,,64.5,10142625.0,5.0,28.0,-20.0,23.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08095238095238096,0.200924441049428,0.8571428571428571,0.0,0.0,0.0,0.0,2,5,21,60,9.0,0.0
Papua New Guinea,2020-05-21,8,0,,0.0,0.08,56.02,18.22,22.6,,64.5,10142625.0,4.0,24.0,-16.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285715,0.16179847762266905,0.8571428571428571,0.0,0.0,0.0,0.0,3,5,21,61,8.5,0.0
Papua New Guinea,2020-05-22,8,0,,0.0,0.08,56.02,18.22,22.6,,64.5,10142625.0,4.0,26.0,-10.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.05811972888178349,0.14285714285714285,0.0,0.0,0.0,0.0,4,5,21,62,11.25,0.0
Papua New Guinea,2020-05-23,8,0,,0.0,0.08,56.02,18.22,22.6,,64.5,10142625.0,0.0,26.0,-21.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523805,0.05414986025563567,0.14285714285714285,0.0,0.0,0.0,0.0,5,5,21,63,6.75,0.0
Papua New Guinea,2020-05-24,8,0,,0.0,0.08,56.02,18.22,22.6,,64.5,10142625.0,8.0,26.0,-20.0,24.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019047619047619046,0.049392271948822605,0.14285714285714285,0.0,0.0,0.0,0.0,6,5,21,64,9.5,0.0
Papua New Guinea,2020-05-25,8,0,,0.0,0.08,56.02,18.22,22.6,,64.5,10142625.0,3.0,21.0,-18.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.043589796661337464,0.14285714285714285,0.0,0.0,0.0,0.0,0,5,22,65,7.25,0.0
Papua New Guinea,2020-05-26,8,0,,0.0,0.08,56.02,18.22,22.6,,64.5,10142625.0,0.0,20.0,-17.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009523809523809523,0.03624401881463707,0.14285714285714285,0.0,0.0,0.0,0.0,1,5,22,66,6.25,0.0
Papua New Guinea,2020-05-27,8,0,,0.0,0.08,56.02,18.22,22.6,,64.5,10142625.0,-2.0,17.0,-18.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047619047619047615,0.026082026547864477,0.14285714285714285,0.0,0.0,0.0,0.0,2,5,22,67,5.25,0.0
Papua New Guinea,2020-05-28,8,0,,0.0,0.08,56.02,18.22,22.6,,64.5,10142625.0,-1.0,15.0,-18.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,22,68,5.0,0.0
Papua New Guinea,2020-05-29,8,0,,0.0,0.08,56.02,18.22,22.6,,64.5,10142625.0,2.0,21.0,-16.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,22,69,8.0,0.0
Papua New Guinea,2020-05-30,8,0,,0.0,0.08,56.02,18.22,22.6,,64.5,10142625.0,0.0,19.0,-22.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,22,70,4.25,0.0
Papua New Guinea,2020-05-31,8,0,,0.0,0.08,56.02,18.22,22.6,,64.5,10142625.0,6.0,29.0,-21.0,24.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5,22,71,9.5,0.0
Papua New Guinea,2020-06-01,8,0,,0.0,0.08,56.02,18.22,22.6,,64.5,10142625.0,3.0,17.0,-17.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,23,72,7.0,0.0
Papua New Guinea,2020-06-02,8,0,,0.0,0.08,56.02,18.22,22.6,,64.5,10142625.0,3.0,20.0,-21.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,23,73,6.5,0.0
Papua New Guinea,2020-06-03,8,0,,0.0,0.08,56.02,18.22,22.6,,64.5,10142625.0,4.0,26.0,-13.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6,23,74,10.5,0.0
