country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Peru,2020-03-28,671,86,,0.01,0.01,94.44,25.13,29.1,1.6,76.74,34049588.0,-82.0,-56.0,-82.0,-68.0,35.0,36.0,15.0,50.42857142857143,8.0,40.0,5.285714285714286,0.0,48.224489795918366,4.862641945085309,57.285714285714285,34.93877551020408,16.471250276449346,57.285714285714285,23.164502164502164,20.564264926333266,57.285714285714285,0.2543554006968642,-5.268371872030409,1.1170886075949367,12.797619047619047,5,3,13,21,-72.0,0.01
Peru,2020-03-29,852,95,,0.01,0.01,94.44,25.13,29.1,1.6,76.74,34049588.0,-82.0,-57.0,-83.0,-55.0,29.0,181.0,9.0,69.85714285714286,8.714285714285714,45.714285714285715,5.285714285714286,2.5,51.6734693877551,9.311946202577047,69.85714285714286,39.55102040816327,16.56942552718604,69.85714285714286,25.194616977225675,22.326177159747594,69.85714285714286,0.5168195718654435,-5.914998609952739,1.5980392156862746,11.137162954279015,6,3,13,22,-69.25,0.01
Peru,2020-03-30,950,113,,0.01,0.01,94.44,25.13,29.1,1.6,76.74,34049588.0,-80.0,-57.0,-82.0,-73.0,38.0,98.0,18.0,79.28571428571429,10.571428571428571,44.142857142857146,11.285714285714286,2.0,56.693877551020414,13.226038164163992,79.28571428571429,44.40816326530612,17.582178177334004,79.28571428571429,27.4484126984127,24.468272827652243,79.28571428571429,0.7784810126582279,-1.895937591992935,1.6228070175438598,11.88222923238696,0,3,14,23,-73.0,0.01
Peru,2020-03-31,1065,138,,0.01,0.01,94.44,25.13,29.1,1.6,76.74,34049588.0,-81.0,-56.0,-83.0,-74.0,38.0,115.0,25.0,92.71428571428571,13.285714285714286,42.714285714285715,15.142857142857142,2.5,63.83673469387755,17.293864385494295,92.71428571428571,49.94897959183673,19.74051505190442,92.71428571428571,30.059047619047618,27.27885738242537,92.71428571428571,1.1437908496732023,-0.5641737520967094,1.8385269121813028,12.94559099437148,1,3,14,24,-73.5,0.01
Peru,2020-04-01,1323,161,,0.01,0.01,94.44,25.13,29.1,1.6,76.74,34049588.0,-81.0,-57.0,-84.0,-75.0,39.0,258.0,23.0,120.42857142857143,14.857142857142858,47.857142857142854,19.142857142857142,2.0,74.20408163265306,25.78559650980321,120.42857142857143,57.183673469387756,25.346108329398724,120.42857142857143,33.53479853479853,32.06980780771849,120.42857142857143,1.4853801169590646,0.05984820206544761,2.0661764705882355,12.16012084592145,2,4,14,25,-74.25,0.01
Peru,2020-04-02,1414,183,,0.01,0.01,94.44,25.13,29.1,1.6,76.74,34049588.0,-81.0,-56.0,-84.0,-75.0,40.0,91.0,22.0,119.14285714285714,17.142857142857142,49.42857142857143,31.285714285714285,2.3333333333333335,84.16326530612244,27.9903322196222,120.42857142857143,63.45918367346939,29.046932119079077,120.42857142857143,36.70546737213404,35.501418831661596,120.42857142857143,1.3824362606232292,0.8204893579683619,2.3166666666666664,12.932862190812722,3,4,14,26,-74.0,0.01
Peru,2020-04-03,1595,209,,0.01,0.01,94.44,25.13,29.1,1.6,76.74,34049588.0,-83.0,-57.0,-85.0,-75.0,41.0,181.0,26.0,137.14285714285714,19.714285714285715,57.285714285714285,29.428571428571427,3.857142857142857,95.57142857142857,31.289410523120345,137.14285714285714,71.15306122448979,33.294578090935765,137.14285714285714,40.29251700680272,39.67297549142166,137.14285714285714,1.3700980392156863,0.4546050814692073,1.9354838709677418,13.095238095238097,4,4,14,27,-75.0,0.01
Peru,2020-04-04,1746,258,,0.01,0.01,94.44,25.13,29.1,1.6,76.74,34049588.0,-85.0,-64.0,-86.0,-71.0,36.0,151.0,49.0,153.57142857142858,24.571428571428573,50.42857142857143,40.0,5.285714285714286,110.3061224489796,30.769322624517162,153.57142857142858,79.26530612244899,38.542514891191246,153.57142857142858,44.198686371100166,44.27436365943901,153.57142857142858,2.0055555555555555,1.7512001548586913,1.9128113879003559,14.768174012593017,5,4,14,28,-76.5,0.01
Peru,2020-04-05,2281,317,,0.01,0.01,94.44,25.13,29.1,1.6,76.74,34049588.0,-95.0,-95.0,-93.0,-75.0,34.0,535.0,59.0,204.14285714285714,31.714285714285715,69.85714285714286,45.714285714285715,5.285714285714286,129.48979591836735,41.37959807714714,204.14285714285714,90.58163265306122,49.604383519194684,204.14285714285714,49.53015873015873,52.3962158435373,204.14285714285714,1.8951612903225805,1.3783417184571372,2.1783536585365852,13.891323400525854,6,4,14,29,-89.5,0.01
Peru,2020-04-06,2561,360,,0.01,0.01,94.44,25.13,29.1,1.6,76.74,34049588.0,-80.0,-53.0,-83.0,-75.0,39.0,280.0,43.0,230.14285714285714,35.285714285714285,79.28571428571429,44.142857142857146,11.285714285714286,151.0408163265306,49.384697999496346,230.14285714285714,103.86734693877551,60.02394771397677,230.14285714285714,57.2015873015873,61.030722992672,230.14285714285714,1.8790035587188607,1.100522546060633,1.8952941176470588,14.05152224824356,0,4,15,30,-72.75,0.01
Peru,2020-04-07,2954,423,,0.01,0.01,94.44,25.13,29.1,1.6,76.74,34049588.0,-83.0,-60.0,-85.0,-76.0,39.0,393.0,63.0,269.85714285714283,40.714285714285715,92.71428571428571,42.714285714285715,15.142857142857142,176.3469387755102,58.97121730437292,269.85714285714283,120.09183673469387,71.77154159241768,269.85714285714283,66.11349206349206,71.40587862933943,269.85714285714283,1.890243902439024,0.7464530527658217,2.2461355529131986,14.31472081218274,1,4,15,31,-76.0,0.01
Peru,2020-04-08,4342,471,,0.01,0.01,94.44,25.13,29.1,1.6,76.74,34049588.0,-76.0,-39.0,-81.0,-74.0,36.0,1388.0,48.0,431.2857142857143,44.285714285714285,120.42857142857143,47.857142857142854,19.142857142857142,220.75510204081633,107.18204725439944,431.2857142857143,147.4795918367347,106.73026208640415,431.2857142857143,80.42301587301587,96.66196403651362,431.2857142857143,2.5599999999999996,1.074619883040935,3.1220268872802484,10.84503799217131,2,4,15,32,-67.5,0.01
Peru,2020-04-09,5256,569,,0.01,0.01,94.44,25.13,29.1,1.6,76.74,34049588.0,-95.0,-95.0,-94.0,-90.0,48.0,914.0,98.0,548.8571428571429,55.142857142857146,119.14285714285714,49.42857142857143,31.285714285714285,282.14285714285717,152.68412549073577,548.8571428571429,183.1530612244898,147.2206927844812,548.8571428571429,98.63492063492065,127.89689464287449,548.8571428571429,3.576694411414983,2.194258150791754,3.5508317929759703,10.82366368651322,3,4,15,33,-93.5,0.01
Peru,2020-04-10,5897,650,,0.01,0.01,94.44,25.13,29.1,1.6,76.74,34049588.0,-96.0,-95.0,-95.0,-90.0,51.0,641.0,81.0,614.5714285714286,63.0,137.14285714285714,57.285714285714285,29.428571428571427,350.34693877551024,181.10578442068513,614.5714285714286,222.9591836734694,181.84036876595948,614.5714285714286,119.05396825396825,157.42703852293613,614.5714285714286,3.456049638055843,2.0859515988401567,2.9958217270194987,11.020684977958629,4,4,15,34,-94.0,0.01
