country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Poland,2020-03-26,1221,16,,0.01,0.0,57.41,124.03,41.8,6.62,78.73,39857144.0,-58.0,-30.0,-62.0,-44.0,20.0,170.0,2.0,123.71428571428571,1.5714285714285714,43.714285714285715,6.857142857142857,0.0,85.83673469387756,26.704916688052784,123.71428571428571,54.87755102040817,37.8130930595206,123.71428571428571,35.989177489177486,39.250862522923924,123.71428571428571,1.7891373801916932,-2.901771710717398,1.9681818181818183,1.309328968903437,3,3,13,21,-48.5,0.01
Poland,2020-03-27,1389,16,,0.01,0.0,57.41,124.03,41.8,6.62,78.73,39857144.0,-58.0,-28.0,-62.0,-43.0,21.0,168.0,0.0,137.71428571428572,1.5714285714285714,51.0,9.0,2.0,98.22448979591836,27.935647275961202,137.71428571428572,64.07142857142857,41.28846144706314,137.71428571428572,40.4120082815735,43.823675153472124,137.71428571428572,1.6675824175824177,-2.5324175824175823,1.8467432950191573,1.1510791366906474,4,3,13,22,-47.75,0.01
Poland,2020-03-28,1638,18,,0.01,0.0,57.41,124.03,41.8,6.62,78.73,39857144.0,-63.0,-34.0,-56.0,-29.0,12.0,249.0,2.0,157.42857142857142,1.8571428571428572,61.857142857142854,14.0,1.3333333333333333,111.87755102040816,30.44147150780884,157.42857142857142,74.31632653061224,45.489287595416904,157.42857142857142,45.28769841269841,49.066795039661955,157.42857142857142,1.5204545454545453,-1.670021645021645,1.9032815198618307,1.0982306284319707,5,3,13,23,-45.5,0.01
Poland,2020-03-29,1862,22,,0.01,0.0,57.41,124.03,41.8,6.62,78.73,39857144.0,-78.0,-59.0,-71.0,-36.0,13.0,224.0,4.0,175.42857142857142,2.142857142857143,73.57142857142857,15.428571428571429,2.5,126.42857142857143,33.29000585454916,175.42857142857142,85.74489795918366,49.48031905249466,175.42857142857142,50.49333333333333,54.63242306231587,175.42857142857142,1.3659003831417624,-2.1732300516408456,1.8328358208955224,1.1808910359634999,6,3,13,24,-61.0,0.01
Poland,2020-03-30,2055,31,,0.01,0.0,57.41,124.03,41.8,6.62,78.73,39857144.0,-56.0,-32.0,-64.0,-44.0,20.0,193.0,9.0,186.57142857142858,3.2857142857142856,81.71428571428571,23.0,3.0,141.40816326530611,33.40764796663749,186.57142857142858,97.42857142857142,52.72999259728054,186.57142857142858,55.727106227106226,59.81233509876419,186.57142857142858,1.2677029360967187,-1.1787256353318525,1.6183395291201983,1.5077821011673151,0,3,14,25,-49.0,0.01
Poland,2020-03-31,2311,33,,0.01,0.0,81.48,124.03,41.8,6.62,78.73,39857144.0,-54.0,-25.0,-63.0,-44.0,21.0,256.0,2.0,201.42857142857142,3.2857142857142856,94.71428571428571,30.857142857142858,3.5,156.6530612244898,32.893029795612954,201.42857142857142,109.61224489795919,55.7825006059305,201.42857142857142,61.123456790123456,65.00903680591493,201.42857142857142,1.1149253731343283,-0.889558931798407,1.6151202749140894,1.4273356401384083,1,3,14,26,-46.5,0.01
Poland,2020-04-01,2554,43,,0.01,0.0,81.48,124.03,41.8,6.62,78.73,39857144.0,-58.0,-38.0,-64.0,-46.0,21.0,243.0,10.0,214.71428571428572,4.142857142857143,114.28571428571429,31.428571428571427,4.285714285714286,171.0,33.23396754285373,214.71428571428572,122.70408163265304,57.50327174599377,214.71428571428572,66.60884353741497,70.08676743056319,214.71428571428572,0.8711276332094176,-1.6839384460857365,1.5478887744593202,1.6829745596868884,2,4,14,27,-51.5,0.01
Poland,2020-04-02,2946,57,,0.01,0.0,81.48,124.03,41.8,6.62,78.73,39857144.0,-58.0,-35.0,-64.0,-46.0,21.0,392.0,14.0,246.42857142857142,5.857142857142857,123.71428571428571,43.714285714285715,6.857142857142857,188.53061224489792,36.35302290116296,246.42857142857142,137.18367346938774,61.46874302554966,246.42857142857142,72.80952380952381,76.49657183237431,246.42857142857142,0.983963344788087,-0.8051740354036062,1.5554553651938683,1.9341703427214116,3,4,14,28,-50.75,0.01
Poland,2020-04-03,3383,71,,0.01,0.0,81.48,124.03,41.8,6.62,78.73,39857144.0,-59.0,-33.0,-65.0,-45.0,22.0,437.0,14.0,284.85714285714283,7.857142857142857,137.71428571428572,51.0,9.0,209.55102040816328,43.84205018508474,284.85714285714283,153.88775510204079,67.70566501835337,284.85714285714283,79.87777777777777,84.55027077954334,284.85714285714283,1.0607621009268793,-0.6068203166555384,1.6145748987854251,2.0981087470449173,4,4,14,29,-50.5,0.01
Poland,2020-04-04,3627,79,,0.01,0.0,81.48,124.03,41.8,6.62,78.73,39857144.0,-71.0,-44.0,-63.0,-32.0,15.0,244.0,8.0,284.14285714285717,8.714285714285714,157.42857142857142,61.857142857142854,14.0,227.6530612244898,44.8816173104356,284.85714285714283,169.76530612244898,70.47102363073157,284.85714285714283,89.34920634920634,90.9653637888174,284.85714285714283,0.7998196573489633,-0.720634888105582,1.5148514851485149,2.1775082690187433,5,4,14,30,-52.5,0.01
