country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Portugal,2020-03-24,2362,33,0.49,0.05,0.0,82.41,112.37,46.2,3.39,82.05,10270857.0,-73.0,-40.0,-74.0,-63.0,33.0,302.0,10.0,273.42857142857144,4.571428571428571,58.142857142857146,5.571428571428571,0.0,165.9591836734694,77.78794278524121,273.42857142857144,96.0,90.7310445711918,273.42857142857144,62.18582251082251,84.81394187424208,273.42857142857144,3.640096618357488,-4.359903381642514,2.6111869031377903,1.3965298349555648,1,3,13,21,-62.5,0.05
Portugal,2020-03-25,2995,43,0.52,0.05,0.0,82.41,112.37,46.2,3.39,82.05,10270857.0,-74.0,-42.0,-74.0,-63.0,32.0,633.0,10.0,363.85714285714283,5.857142857142857,55.57142857142857,7.714285714285714,1.5,210.0,91.0190232041303,363.85714285714283,121.4387755102041,111.60053600538772,363.85714285714283,75.30196687370601,104.03459223496108,363.85714285714283,5.44949494949495,-0.04230832919357397,2.7836065573770488,1.4352469959946597,2,3,13,22,-63.25,0.05
Portugal,2020-03-26,3544,60,0.65,0.05,0.0,82.41,112.37,46.2,3.39,82.05,10270857.0,-74.0,-42.0,-75.0,-64.0,33.0,549.0,17.0,394.14285714285717,8.142857142857142,103.71428571428571,7.285714285714286,2.0,251.48979591836738,100.22382628254279,394.14285714285717,149.07142857142858,127.8693867303443,394.14285714285717,88.58700396825397,120.78259676071647,394.14285714285717,2.7735334242837655,-8.864397610198992,2.467799642218247,1.692524682651622,3,3,13,23,-63.75,0.05
Portugal,2020-03-27,4268,76,0.77,0.05,0.0,82.41,112.37,46.2,3.39,82.05,10270857.0,-75.0,-39.0,-75.0,-63.0,36.0,724.0,16.0,464.0,10.0,129.71428571428572,14.142857142857142,2.75,299.2448979591837,111.53202506091482,464.0,181.20408163265307,146.51771303578334,464.0,103.60352380952381,140.06420276846447,464.0,2.5573770491803276,-5.074698422517786,2.384728340675477,1.7802764113375498,4,3,13,24,-63.0,0.05
Portugal,2020-03-28,5170,100,0.67,0.05,0.0,82.41,112.37,46.2,3.39,82.05,10270857.0,-79.0,-47.0,-74.0,-55.0,25.0,902.0,24.0,555.7142857142857,12.571428571428571,158.71428571428572,21.285714285714285,3.6,355.95918367346934,127.89870870739259,555.7142857142857,219.37755102040816,169.46970209519762,555.7142857142857,120.99239926739928,163.38592164934528,555.7142857142857,2.485688729874776,-3.680977936791892,2.2407834101382487,1.933861922258751,5,3,13,25,-63.75,0.05
Portugal,2020-03-29,5962,119,0.49,0.05,0.0,82.41,112.37,46.2,3.39,82.05,10270857.0,-83.0,-59.0,-78.0,-53.0,22.0,792.0,19.0,623.1428571428571,15.0,193.57142857142858,30.714285714285715,4.666666666666667,417.3265306122449,139.5254765287798,623.1428571428571,261.6938775510204,191.29577037919506,623.1428571428571,139.5905643738977,187.10239792596607,623.1428571428571,2.2077826725403815,-2.9273524625947536,2.270692347735554,1.9956397786349154,6,3,13,26,-68.25,0.05
Portugal,2020-03-30,6408,140,0.78,0.05,0.0,82.41,112.37,46.2,3.39,82.05,10270857.0,-74.0,-45.0,-78.0,-63.0,33.0,446.0,21.0,621.1428571428571,16.714285714285715,247.0,43.0,4.0,470.7755102040816,134.99170690433027,623.1428571428571,302.98979591836735,202.52721556196653,623.1428571428571,156.78886054421767,204.9210075243371,623.1428571428571,1.5086405529953917,-3.1277230833682452,1.702427564604542,2.1844281479169916,0,3,14,27,-65.0,0.05
Portugal,2020-03-31,7443,160,0.77,0.05,0.0,82.41,112.37,46.2,3.39,82.05,10270857.0,-72.0,-36.0,-75.0,-64.0,33.0,1035.0,20.0,725.8571428571429,18.142857142857142,273.42857142857144,58.142857142857146,5.571428571428571,535.4081632653061,133.05120053224232,725.8571428571429,350.6836734693878,218.4289069098929,725.8571428571429,176.41190476190476,227.2877801093636,725.8571428571429,1.648620510150963,-1.991476108206525,1.8369486623282718,2.14938205265986,1,3,14,28,-61.75,0.05
Portugal,2020-04-01,8251,187,0.84,0.05,0.0,82.41,112.37,46.2,3.39,82.05,10270857.0,-73.0,-40.0,-76.0,-64.0,33.0,808.0,27.0,750.8571428571429,20.571428571428573,363.85714285714283,55.57142857142857,7.714285714285714,590.6938775510205,130.2617048828601,750.8571428571429,400.3469387755102,225.1090070099458,750.8571428571429,195.56007936507936,246.73455885644654,750.8571428571429,1.0606891151135476,-4.388805834381403,1.614746543778802,2.266117304895783,2,4,14,29,-63.25,0.05
Portugal,2020-04-02,9034,209,0.9,0.05,0.0,82.41,112.37,46.2,3.39,82.05,10270857.0,-70.0,-35.0,-74.0,-64.0,33.0,783.0,22.0,784.2857142857143,21.285714285714285,394.14285714285717,103.71428571428571,7.285714285714286,646.4285714285714,114.68047891815763,784.2857142857143,448.9591836734694,229.56426836055428,784.2857142857143,221.70293650793653,266.08988581590677,784.2857142857143,0.9873463485177151,-1.7861870757660503,1.4087759815242495,2.31322634200332,3,4,14,30,-60.75,0.05
Portugal,2020-04-03,9886,246,0.92,0.05,0.0,82.41,112.37,46.2,3.39,82.05,10270857.0,-72.0,-34.0,-75.0,-64.0,36.0,852.0,37.0,802.5714285714286,24.285714285714285,464.0,129.71428571428572,14.142857142857142,694.7959183673469,94.5465316509832,802.5714285714286,497.02040816326536,228.01531151004556,802.5714285714286,248.40531746031746,282.89387251209297,802.5714285714286,0.728110599078341,-1.8292664501019866,1.2858777752346076,2.48811570749469,4,4,14,31,-61.25,0.05
Portugal,2020-04-04,10524,266,0.89,0.05,0.0,82.41,112.37,46.2,3.39,82.05,10270857.0,-78.0,-44.0,-75.0,-55.0,25.0,638.0,20.0,764.8571428571429,23.714285714285715,555.7142857142857,158.71428571428572,21.285714285714285,724.6734693877552,74.10631792016913,802.5714285714286,540.3163265306123,216.07063339111826,802.5714285714286,273.8338888888889,294.0471396748473,802.5714285714286,0.37567359507313336,-2.1100151348016425,1.2293915040183698,2.527315914489311,5,4,14,32,-63.0,0.05
Portugal,2020-04-05,11278,295,0.65,0.05,0.0,82.41,112.37,46.2,3.39,82.05,10270857.0,-84.0,-60.0,-82.0,-55.0,23.0,754.0,29.0,759.4285714285714,25.142857142857142,623.1428571428571,193.57142857142858,30.714285714285715,744.1428571428572,59.4369842946365,802.5714285714286,580.7346938775511,198.4229886883296,802.5714285714286,299.05650793650796,302.32878858009167,802.5714285714286,0.21835660334172588,-1.9894260691986556,1.044811320754717,2.6154800957531696,6,4,14,33,-70.25,0.05
Portugal,2020-04-06,11730,311,0.91,0.05,0.0,82.41,112.37,46.2,3.39,82.05,10270857.0,-72.0,-39.0,-77.0,-64.0,33.0,452.0,16.0,760.2857142857143,24.428571428571427,621.1428571428571,247.0,43.0,764.0204081632653,24.366312834859336,802.5714285714286,617.3979591836735,178.42750400943643,802.5714285714286,324.27936507936505,308.3342483666443,802.5714285714286,0.223650975889782,-1.2849895771056097,1.0112103363100893,2.6510953882874433,0,4,15,34,-63.0,0.05
