country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Qatar,2020-03-11,262,0,4.02,0.0,20.59,25.0,227.32,31.9,1.2,80.23,2695131.0,-11.0,0.0,-14.0,2.0,4.0,238.0,0.0,36.285714285714285,0.0,0.0,1.0,0.0,6.530612244897959,13.131650057633717,36.285714285714285,3.489795918367347,9.465580759120021,36.285714285714285,2.4673160173160174,7.577932188110901,36.285714285714285,36.285714285714285,36.785714285714285,10.0,0.0,2,3,11,11,-5.75,0.0
Qatar,2020-03-11,262,0,4.02,0.0,20.59,25.0,227.32,31.9,1.2,80.23,2695131.0,-13.0,0.0,-18.0,2.0,5.0,0.0,0.0,35.285714285714285,0.0,1.0,0.7142857142857143,1.0,11.428571428571429,16.648221085332885,36.285714285714285,5.959183673469387,12.657228260003661,36.285714285714285,3.8942028985507244,10.081813744088109,36.285714285714285,17.142857142857142,16.976190476190474,10.0,0.0,2,3,11,11,-7.25,0.0
Qatar,2020-03-12,262,0,4.02,0.0,20.59,30.56,227.32,31.9,1.2,80.23,2695131.0,-18.0,1.0,-21.0,0.0,8.0,0.0,0.0,35.285714285714285,0.0,1.0,0.7142857142857143,0.6666666666666666,16.3265306122449,18.05296709660918,36.285714285714285,8.428571428571429,14.753974001014297,36.285714285714285,5.202182539682539,11.75938632220587,36.285714285714285,17.142857142857142,16.976190476190474,10.0,0.0,3,3,11,12,-9.5,0.0
Qatar,2020-03-12,262,0,4.02,0.0,20.59,30.56,227.32,31.9,1.2,80.23,2695131.0,-21.0,-3.0,-24.0,-1.0,8.0,0.0,0.0,34.857142857142854,0.0,1.4285714285714286,0.7142857142857143,0.5,21.102040816326532,17.875745412498972,36.285714285714285,10.86734693877551,16.137698707634268,36.285714285714285,6.3883809523809525,12.949827601965785,36.285714285714285,13.764705882352938,13.348039215686272,10.0,0.0,3,3,11,12,-12.25,0.0
Qatar,2020-03-13,320,0,4.02,0.0,20.59,30.56,227.32,31.9,1.2,80.23,2695131.0,-35.0,-15.0,-37.0,-4.0,10.0,58.0,0.0,43.142857142857146,0.0,1.4285714285714286,0.7142857142857143,0.4,27.061224489795922,17.163054994788375,43.142857142857146,13.897959183673468,17.964855676312382,43.142857142857146,7.802014652014652,14.592720091848918,43.142857142857146,17.176470588235293,16.759803921568626,10.0,0.0,4,3,11,13,-22.75,0.0
Qatar,2020-03-13,320,0,4.02,0.0,20.59,30.56,227.32,31.9,1.2,80.23,2695131.0,-38.0,-20.0,-42.0,-6.0,10.0,0.0,0.0,42.285714285714285,0.0,2.2857142857142856,0.14285714285714285,1.0,32.775510204081634,13.885306956316699,43.142857142857146,16.908163265306122,18.984551857753708,43.142857142857146,9.079188712522045,15.773359777852564,43.142857142857146,12.173913043478262,10.298913043478262,1.1340996168582376,0.0,4,3,11,13,-26.5,0.0
Qatar,2020-03-14,337,0,4.02,0.0,20.59,30.56,227.32,31.9,1.2,80.23,2695131.0,-25.0,-8.0,-30.0,0.0,8.0,17.0,0.0,44.714285714285715,0.0,2.2857142857142856,0.14285714285714285,0.8571428571428571,38.836734693877546,4.3310527002925285,44.714285714285715,20.091836734693878,19.681259734832622,44.714285714285715,10.35187074829932,16.88005489310978,44.714285714285715,12.913043478260871,11.038043478260871,1.2322834645669292,0.0,5,3,11,14,-15.75,0.0
Qatar,2020-03-14,337,0,4.02,0.0,20.59,30.56,227.32,31.9,1.2,80.23,2695131.0,-28.0,-11.0,-35.0,-1.0,8.0,0.0,0.0,10.714285714285714,0.0,36.285714285714285,0.0,1.0,35.183673469387756,11.572226393928782,44.714285714285715,20.857142857142858,19.037680557376454,44.714285714285715,10.364367816091955,16.57602146360385,44.714285714285715,-0.685823754789272,-36.97153804050356,0.2952755905511811,0.0,5,3,11,14,-18.75,0.0
Qatar,2020-03-15,401,0,4.02,0.0,20.59,41.67,227.32,31.9,1.2,80.23,2695131.0,-17.0,-4.0,-23.0,-5.0,9.0,64.0,0.0,19.857142857142858,0.0,35.285714285714285,1.0,0.7142857142857143,32.97959183673469,12.938217546286047,44.714285714285715,22.20408163265306,18.172098464198058,44.714285714285715,10.68079365079365,16.37967061102642,44.714285714285715,-0.42519685039370075,-17.568053993250842,0.553784860557769,0.0,6,3,11,15,-12.25,0.0
Qatar,2020-03-15,401,0,4.02,0.0,20.59,41.67,227.32,31.9,1.2,80.23,2695131.0,-20.0,-4.0,-27.0,-6.0,9.0,0.0,0.0,19.857142857142858,0.0,35.285714285714285,1.0,0.7142857142857143,30.77551020408163,13.7674705690543,44.714285714285715,23.551020408163264,17.149619283786716,44.714285714285715,11.342698412698413,16.334327260749877,44.714285714285715,-0.42519685039370075,-17.568053993250842,0.44983818770226536,0.0,6,3,11,15,-14.25,0.0
