country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Romania,2020-03-19,277,0,,0.0,0.0,61.11,85.13,43.0,6.89,76.05,19659270.0,-44.0,-21.0,-44.0,-36.0,12.0,17.0,0.0,32.57142857142857,0.0,6.142857142857143,0.7142857142857143,0.0,21.53061224489796,7.7782682986605405,32.57142857142857,12.214285714285714,11.123786159592102,32.57142857142857,7.956493506493507,10.481677834725623,32.57142857142857,3.6999999999999997,0.5333333333333332,1.884297520661157,0.0,3,3,12,21,-36.25,0.0
Romania,2020-03-20,308,0,,0.0,0.0,61.11,85.13,43.0,6.89,76.05,19659270.0,-46.0,-17.0,-42.0,-24.0,11.0,31.0,0.0,31.285714285714285,0.0,11.428571428571429,0.8571428571428571,1.0,24.36734693877551,7.068593536005553,32.57142857142857,14.387755102040815,11.692210313448202,32.57142857142857,8.970807453416148,11.33732043660344,32.57142857142857,1.597701149425287,-4.0946065428824046,1.7804878048780486,0.0,4,3,12,22,-32.25,0.0
Romania,2020-03-21,367,0,,0.0,0.0,69.44,85.13,43.0,6.89,76.05,19659270.0,-56.0,-24.0,-43.0,-20.0,7.0,59.0,0.0,34.857142857142854,0.0,16.285714285714285,0.8571428571428571,0.6666666666666666,27.020408163265305,7.014769923849827,34.857142857142854,16.816326530612248,12.186209434489932,34.857142857142854,10.049404761904762,12.282804862985442,34.857142857142854,1.0743801652892562,-7.233312142403051,1.6266666666666667,0.0,5,3,12,23,-35.75,0.0
Romania,2020-03-22,433,3,,0.0,0.0,75.0,85.13,43.0,6.89,76.05,19659270.0,-62.0,-21.0,-55.0,-26.0,10.0,66.0,3.0,43.142857142857146,0.42857142857142855,16.571428571428573,1.7142857142857142,0.5,30.816326530612248,7.584317101045609,43.142857142857146,19.77551020408163,13.222847156543843,43.142857142857146,11.373142857142858,13.725458885499455,43.142857142857146,1.5121951219512195,-3.9614890885750973,1.819277108433735,0.6912442396313364,6,3,12,24,-41.0,0.0
Romania,2020-03-23,576,7,,0.0,0.0,75.0,85.13,43.0,6.89,76.05,19659270.0,-63.0,-39.0,-61.0,-47.0,19.0,143.0,4.0,59.714285714285715,1.0,20.428571428571427,1.7142857142857142,0.4,36.42857142857143,11.915233489766214,59.714285714285715,23.918367346938773,15.936364257998877,59.714285714285715,13.232417582417582,16.453940496367885,59.714285714285715,1.8333333333333337,-5.061403508771928,1.8828828828828827,1.2131715771230502,0,3,13,25,-52.5,0.0
Romania,2020-03-24,794,11,,0.0,0.0,75.0,85.13,43.0,6.89,76.05,19659270.0,-62.0,-30.0,-60.0,-50.0,19.0,218.0,4.0,87.14285714285714,1.5714285714285714,22.714285714285715,3.142857142857143,0.3333333333333333,45.632653061224495,20.986853212774385,87.14285714285714,29.918367346938776,22.124289576845342,87.14285714285714,15.96984126984127,21.509150856238556,87.14285714285714,2.7168674698795177,-2.0072704611549663,2.595744680851064,1.3836477987421385,1,3,13,26,-50.5,0.0
Romania,2020-03-25,906,17,,0.0,0.0,78.7,85.13,43.0,6.89,76.05,19659270.0,-71.0,-48.0,-66.0,-53.0,22.0,112.0,6.0,92.28571428571429,2.4285714285714284,30.714285714285715,5.857142857142857,0.42857142857142855,54.42857142857143,25.996990930008927,92.28571428571429,36.09183673469388,26.51628492503448,92.28571428571429,18.695408163265306,25.56389329569341,92.28571428571429,1.9414414414414416,-1.6835585585585588,2.858407079646018,1.8743109151047408,2,3,13,27,-59.5,0.0
Romania,2020-03-26,1029,23,,0.0,0.0,78.7,85.13,43.0,6.89,76.05,19659270.0,-73.0,-52.0,-68.0,-53.0,23.0,123.0,6.0,107.42857142857143,3.2857142857142856,32.57142857142857,6.142857142857143,0.7142857142857143,65.12244897959184,30.511783000120683,107.42857142857143,43.326530612244895,31.132089507203784,107.42857142857143,21.7551724137931,30.02791141705806,107.42857142857143,2.2297872340425533,-1.4702127659574464,2.9960159362549805,2.233009708737864,3,3,13,28,-61.5,0.0
Romania,2020-03-27,1292,26,,0.0,0.0,78.7,85.13,43.0,6.89,76.05,19659270.0,-71.0,-45.0,-65.0,-42.0,22.0,263.0,3.0,140.57142857142858,3.7142857142857144,31.285714285714285,11.428571428571429,0.8571428571428571,80.73469387755101,37.47719747283517,140.57142857142858,52.55102040816327,39.07340662943359,140.57142857142858,25.715714285714284,36.62185091262,140.57142857142858,3.3849557522123903,1.7872546027871032,3.1844660194174756,2.010827532869296,4,3,13,29,-55.75,0.0
Romania,2020-03-28,1452,37,,0.0,0.0,78.7,85.13,43.0,6.89,76.05,19659270.0,-77.0,-49.0,-67.0,-38.0,16.0,160.0,11.0,155.0,5.285714285714286,34.857142857142854,16.285714285714285,0.8571428571428571,97.89795918367346,40.36455593826466,155.0,62.45918367346938,46.121679846603776,155.0,30.882380952380952,43.20996620425546,155.0,3.350597609561753,2.276217444272497,2.552941176470588,2.5464556090846524,5,3,13,30,-57.75,0.0
