country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Rwanda,2020-04-05,104,0,0.06,0.0,0.36,90.74,494.87,20.3,,69.02,13776702.0,-60.0,-54.0,-75.0,-26.0,21.0,2.0,0.0,4.857142857142857,0.0,7.285714285714286,2.5714285714285716,0.0,5.20408163265306,0.5007283325055248,6.0,5.357142857142857,0.7899486301681582,7.285714285714286,4.076082251082251,1.9067609234327405,7.285714285714286,-0.29310344827586216,-1.6131034482758617,0.8095238095238094,0.0,6,4,14,21,-53.75,0.0
Rwanda,2020-04-06,105,0,0.06,0.0,0.36,90.74,494.87,20.3,,69.02,13776702.0,-58.0,-54.0,-73.0,-58.0,30.0,1.0,0.0,5.0,0.0,4.857142857142857,4.428571428571429,2.0,5.224489795918367,0.48695320185505775,6.0,5.3979591836734695,0.752136822927634,7.285714285714286,4.116252587991719,1.8728562474714947,7.285714285714286,0.02439024390243909,-0.05455712451861343,0.7291666666666667,0.0,0,4,15,22,-60.75,0.0
Rwanda,2020-04-07,105,0,0.06,0.0,0.36,90.74,494.87,20.3,,69.02,13776702.0,-71.0,-76.0,-80.0,-73.0,36.0,0.0,0.0,4.285714285714286,0.0,5.0,4.714285714285714,2.0,5.122448979591837,0.6028761643837984,6.0,5.36734693877551,0.7898776522597382,7.285714285714286,4.123313492063492,1.832016140941921,7.285714285714286,-0.11904761904761907,-0.16904761904761906,0.7317073170731707,0.0,1,4,15,23,-75.0,0.0
Rwanda,2020-04-08,110,0,0.06,0.0,0.36,90.74,494.87,20.3,,69.02,13776702.0,-59.0,-54.0,-73.0,-59.0,28.0,5.0,0.0,4.0,0.0,5.857142857142857,4.714285714285714,1.75,4.857142857142857,0.6335302236023854,6.0,5.316326530612245,0.8556370865919475,7.285714285714286,4.118380952380952,1.793612627772062,7.285714285714286,-0.2708333333333333,-0.4708333333333332,0.6666666666666666,0.0,2,4,15,24,-61.25,0.0
Rwanda,2020-04-09,110,0,0.05,0.0,0.36,90.74,494.87,20.3,,69.02,13776702.0,-63.0,-60.0,-73.0,-60.0,32.0,0.0,0.0,3.7142857142857144,0.0,4.857142857142857,6.0,1.4,4.693877551020408,0.7667786287452766,6.0,5.153061224489796,0.929989256895605,7.285714285714286,4.102838827838828,1.7591602845336811,7.285714285714286,-0.19512195121951212,-0.0318566450970631,0.5306122448979592,0.0,3,4,15,25,-64.0,0.0
Rwanda,2020-04-10,118,0,0.08,0.0,0.36,90.74,494.87,20.3,,69.02,13776702.0,-67.0,-64.0,-77.0,-65.0,38.0,8.0,0.0,4.142857142857143,0.0,5.0,5.285714285714286,2.6666666666666665,4.571428571428571,0.7781016494461047,6.0,5.071428571428571,0.9668768605268662,7.285714285714286,4.1043209876543205,1.725015772715115,7.285714285714286,-0.1428571428571428,-0.09740259740259735,0.7073170731707318,0.0,4,4,15,26,-68.25,0.0
Rwanda,2020-04-11,120,0,0.06,0.0,0.36,90.74,494.87,20.3,,69.02,13776702.0,-62.0,-56.0,-72.0,-37.0,25.0,2.0,0.0,2.5714285714285716,0.0,6.0,6.142857142857143,2.2857142857142856,4.081632653061225,0.8075205305077062,5.0,4.816326530612245,1.1212638241533566,7.285714285714286,4.049574829931973,1.7173785364214196,7.285714285714286,-0.4897959183673469,-0.46979591836734685,0.4285714285714286,0.0,5,4,15,27,-56.75,0.0
Rwanda,2020-04-12,126,0,0.09,0.0,0.36,90.74,494.87,20.3,,69.02,13776702.0,-62.0,-59.0,-77.0,-27.0,24.0,6.0,0.0,3.142857142857143,0.0,4.857142857142857,7.285714285714286,2.5714285714285716,3.8367346938775513,0.7929475342234801,5.0,4.520408163265306,0.9535641525131171,6.0,4.018308702791462,1.6948165874461807,7.285714285714286,-0.2926829268292683,0.00042052144659388,0.5945945945945946,0.0,6,4,15,28,-56.25,0.0
Rwanda,2020-04-13,127,0,0.07,0.0,0.36,90.74,494.87,20.3,,69.02,13776702.0,-67.0,-69.0,-78.0,-68.0,37.0,1.0,0.0,3.142857142857143,0.0,5.0,4.857142857142857,4.428571428571429,3.5714285714285716,0.6335302236023833,4.285714285714286,4.3979591836734695,1.01508028222775,6.0,3.989126984126984,1.672991947905898,7.285714285714286,-0.30952380952380953,-0.33391405342624864,0.6285714285714286,0.0,0,4,16,29,-70.5,0.0
Rwanda,2020-04-14,134,0,0.07,0.0,0.36,90.74,494.87,20.3,,69.02,13776702.0,-61.0,-58.0,-74.0,-58.0,31.0,7.0,0.0,4.142857142857143,0.0,4.285714285714286,5.0,4.714285714285714,3.5510204081632653,0.6084918986071652,4.142857142857143,4.336734693877551,1.0017365500574544,6.0,4.127222222222222,1.4937403838692855,7.285714285714286,-0.02702702702702693,0.09202059202059214,0.8787878787878789,0.0,1,4,16,30,-62.75,0.0
Rwanda,2020-04-15,136,0,0.07,0.0,0.36,90.74,494.87,20.3,,69.02,13776702.0,-59.0,-56.0,-73.0,-57.0,29.0,2.0,0.0,3.7142857142857144,0.0,4.0,5.857142857142857,4.714285714285714,3.5102040816326534,0.5823780877775361,4.142857142857143,4.183673469387755,0.9111701232460916,6.0,4.1843650793650795,1.4414316720545122,7.285714285714286,-0.05714285714285712,0.2136904761904762,0.7222222222222222,0.0,2,4,16,31,-61.25,0.0
Rwanda,2020-04-16,138,0,0.05,0.0,0.36,90.74,494.87,20.3,,69.02,13776702.0,-61.0,-59.0,-74.0,-58.0,30.0,2.0,0.0,4.0,0.0,3.7142857142857144,4.857142857142857,6.0,3.5510204081632653,0.6084918986071652,4.142857142857143,4.122448979591836,0.891010649528638,6.0,4.251031746031746,1.3819431476910913,7.285714285714286,0.06060606060606058,0.2557280118255727,1.1199999999999999,0.0,3,4,16,32,-63.0,0.0
Rwanda,2020-04-17,143,0,0.06,0.0,0.36,90.74,494.87,20.3,,69.02,13776702.0,-64.0,-62.0,-76.0,-58.0,32.0,5.0,0.0,3.5714285714285716,0.0,4.142857142857143,5.0,5.285714285714286,3.4693877551020407,0.5515240832301838,4.142857142857143,4.020408163265306,0.8641783474445366,6.0,4.311746031746031,1.3062100082726664,7.285714285714286,-0.11111111111111115,0.03174603174603165,0.8620689655172415,0.0,4,4,16,33,-65.0,0.0
Rwanda,2020-04-18,144,0,0.05,0.0,0.36,90.74,494.87,20.3,,69.02,13776702.0,-63.0,-61.0,-73.0,-37.0,25.0,1.0,0.0,3.4285714285714284,0.0,2.5714285714285716,6.0,6.142857142857143,3.5918367346938775,0.3906089039443683,4.142857142857143,3.8367346938775513,0.6602819027311227,5.0,4.379365079365079,1.1983309562990798,7.285714285714286,0.23999999999999988,0.7297959183673468,0.8275862068965518,0.0,5,4,16,34,-58.5,0.0
