country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Saint Kitts and Nevis,2020-04-16,14,0,1.62,0.0,0.27,,212.86,,2.3,76.23,47681.0,,,,,,0.0,0.0,0.42857142857142855,0.0,0.2857142857142857,1.0,0.0,0.38775510204081637,0.06970714806775231,0.42857142857142855,0.5306122448979592,0.28805944914817905,1.1428571428571428,0.512987012987013,0.3757961187337835,1.1428571428571428,0.11111111111111112,0.46825396825396826,0.3,0.0,3,4,16,21,,0.0
Saint Kitts and Nevis,2020-04-17,14,0,1.62,0.0,0.27,,212.86,,2.3,76.23,47681.0,,,,,,0.0,0.0,0.2857142857142857,0.0,0.42857142857142855,1.0,0.0,0.36734693877551017,0.07636035483212121,0.42857142857142855,0.4795918367346939,0.26046174948034834,1.1428571428571428,0.5031055900621118,0.3702016830291417,1.1428571428571428,-0.09999999999999999,0.18571428571428572,0.22222222222222224,0.0,4,4,16,22,,0.0
Saint Kitts and Nevis,2020-04-18,14,0,1.62,0.0,0.27,,212.86,,2.3,76.23,47681.0,,,,,,0.0,0.0,0.2857142857142857,0.0,0.42857142857142855,1.0,0.0,0.3469387755102041,0.0763603548321212,0.42857142857142855,0.4285714285714285,0.2170155786607856,1.1428571428571428,0.49404761904761907,0.3647735539172013,1.1428571428571428,-0.09999999999999999,0.18571428571428572,0.22222222222222224,0.0,5,4,16,23,,0.0
Saint Kitts and Nevis,2020-04-19,14,0,1.62,0.0,0.27,,212.86,,2.3,76.23,47681.0,,,,,,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,1.1428571428571428,0.0,0.34693877551020413,0.0763603548321212,0.42857142857142855,0.36734693877551017,0.07336465585901332,0.42857142857142855,0.4857142857142857,0.3595159254890833,1.1428571428571428,0.0,0.39999999999999997,0.19999999999999998,0.0,6,4,16,24,,0.0
Saint Kitts and Nevis,2020-04-20,15,0,1.62,0.0,0.27,,212.86,,2.3,76.23,47681.0,,,,,,1.0,0.0,0.42857142857142855,0.0,0.2857142857142857,0.42857142857142855,1.0,0.36734693877551017,0.07636035483212121,0.42857142857142855,0.36734693877551017,0.07336465585901332,0.42857142857142855,0.4835164835164835,0.35243044895422765,1.1428571428571428,0.11111111111111112,0.2111111111111111,0.3,0.0,0,4,17,25,,0.0
Saint Kitts and Nevis,2020-04-21,15,0,1.62,0.0,0.27,,212.86,,2.3,76.23,47681.0,,,,,,0.0,0.0,0.14285714285714285,0.0,0.42857142857142855,0.42857142857142855,1.0,0.32653061224489793,0.10798984943120774,0.42857142857142855,0.34693877551020413,0.09231516752269459,0.42857142857142855,0.4708994708994709,0.35175008703356947,1.1428571428571428,-0.19999999999999998,-0.19999999999999998,0.09999999999999999,0.0,1,4,17,26,,0.0
Saint Kitts and Nevis,2020-04-22,15,0,1.62,0.0,0.27,,212.86,,2.3,76.23,47681.0,,,,,,0.0,0.0,0.14285714285714285,0.0,0.42857142857142855,0.42857142857142855,0.8571428571428571,0.2857142857142857,0.11664236870396082,0.42857142857142855,0.32653061224489793,0.10375329131465158,0.42857142857142855,0.45918367346938777,0.3506977018614734,1.1428571428571428,-0.19999999999999998,-0.19999999999999998,0.11111111111111112,0.0,2,4,17,27,,0.0
Saint Kitts and Nevis,2020-04-23,15,0,1.62,0.0,0.27,,212.86,,2.3,76.23,47681.0,,,,,,0.0,0.0,0.14285714285714285,0.0,0.42857142857142855,0.2857142857142857,1.0,0.24489795918367344,0.10798984943120774,0.42857142857142855,0.3163265306122449,0.11454053224818164,0.42857142857142855,0.4482758620689655,0.34935204063518593,1.1428571428571428,-0.19999999999999998,-0.3111111111111111,0.11111111111111112,0.0,3,4,17,28,,0.0
Saint Kitts and Nevis,2020-04-24,15,0,1.62,0.0,0.27,,212.86,,2.3,76.23,47681.0,,,,,,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.42857142857142855,1.0,0.22448979591836735,0.11239939892420611,0.42857142857142855,0.2959183673469387,0.11839170430924903,0.42857142857142855,0.4380952380952381,0.34777534331892446,1.1428571428571428,-0.11111111111111112,-0.011111111111111127,0.11111111111111112,0.0,4,4,17,29,,0.0
Saint Kitts and Nevis,2020-04-25,15,0,1.62,0.0,0.27,,212.86,,2.3,76.23,47681.0,,,,,,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.42857142857142855,1.0,0.2040816326530612,0.11239939892420611,0.42857142857142855,0.2755102040816326,0.11839170430924902,0.42857142857142855,0.44285714285714284,0.34250803244175415,1.1428571428571428,-0.11111111111111112,-0.011111111111111127,0.09999999999999999,0.0,5,4,17,30,,0.0
