country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Saudi Arabia,2020-03-24,767,1,0.16,0.38,3.97,87.04,15.32,31.9,2.7,75.13,36408824.0,-56.0,-22.0,-73.0,-43.0,22.0,205.0,1.0,85.14285714285714,0.14285714285714285,21.571428571428573,2.7142857142857144,0.0,48.44897959183673,21.72155714270033,85.14285714285714,30.193877551020403,24.37524590016332,85.14285714285714,19.646753246753246,23.917558961665144,85.14285714285714,2.8164556962025316,-2.260467380720545,2.5254237288135593,0.13020833333333331,1,3,13,21,-48.5,0.38
Saudi Arabia,2020-03-25,900,2,0.14,0.38,3.97,89.81,15.32,31.9,2.7,75.13,36408824.0,-54.0,-19.0,-73.0,-44.0,21.0,133.0,1.0,104.14285714285714,0.2857142857142857,21.428571428571427,2.857142857142857,0.0,60.265306122448976,26.537026958678634,104.14285714285714,37.42857142857143,30.01585138522487,104.14285714285714,23.32049689440994,29.265412962512308,104.14285714285714,3.6878980891719744,-1.1269167256428396,2.750943396226415,0.22197558268590456,2,3,13,22,-47.5,0.38
Saudi Arabia,2020-03-26,1012,3,0.16,0.38,3.97,89.81,15.32,31.9,2.7,75.13,36408824.0,-57.0,-22.0,-76.0,-46.0,26.0,112.0,1.0,105.42857142857143,0.42857142857142855,32.714285714285715,5.714285714285714,1.3333333333333333,70.65306122448979,28.138367679481604,105.42857142857143,44.55102040816326,33.53570028404287,105.42857142857143,26.741666666666664,33.1682449956564,105.42857142857143,2.1567796610169494,-1.8644969347277311,2.4932432432432434,0.29615004935834155,3,3,13,23,-50.25,0.38
Saudi Arabia,2020-03-27,1104,3,0.17,0.38,3.97,89.81,15.32,31.9,2.7,75.13,36408824.0,-65.0,-29.0,-82.0,-38.0,21.0,92.0,0.0,108.57142857142857,0.42857142857142855,36.857142857142854,11.571428571428571,1.0,80.89795918367346,26.806527061521738,108.57142857142857,51.47959183673469,36.11866049899013,108.57142857142857,30.014857142857146,36.361215879794116,108.57142857142857,1.89433962264151,-0.11702401372212634,1.8313253012048192,0.27149321266968324,4,3,13,24,-53.5,0.38
Saudi Arabia,2020-03-28,1203,4,0.16,0.38,3.97,89.81,15.32,31.9,2.7,75.13,36408824.0,-56.0,-24.0,-77.0,-31.0,19.0,99.0,1.0,115.85714285714286,0.5714285714285714,41.285714285714285,14.0,0.8,91.55102040816325,22.986010026720468,115.85714285714286,58.755102040816325,38.187730470218106,115.85714285714286,33.316483516483515,39.40395480067157,115.85714285714286,1.7635135135135138,-0.055534105534105205,1.7982261640798227,0.33222591362126247,5,3,13,25,-47.0,0.38
Saudi Arabia,2020-03-29,1299,8,0.17,0.38,3.97,89.81,15.32,31.9,2.7,75.13,36408824.0,-54.0,-24.0,-75.0,-45.0,23.0,96.0,4.0,112.57142857142857,1.1428571428571428,58.285714285714285,13.142857142857142,1.6666666666666667,99.3061224489796,18.638784187712268,115.85714285714286,65.85714285714286,38.297931460591,115.85714285714286,36.25185185185185,41.540293325073094,115.85714285714286,0.9156626506024096,-2.276256541316782,1.306799336650083,0.6153846153846154,6,3,13,26,-49.5,0.38
Saudi Arabia,2020-03-30,1453,8,0.19,0.38,3.97,89.81,15.32,31.9,2.7,75.13,36408824.0,-56.0,-26.0,-75.0,-46.0,22.0,154.0,0.0,127.28571428571429,1.1428571428571428,63.42857142857143,14.714285714285714,2.0,108.42857142857143,12.894126701772427,127.28571428571429,73.89795918367348,38.55088702396038,127.28571428571429,39.5030612244898,44.245396986251116,127.28571428571429,0.9911308203991132,-2.108869179600887,1.2105978260869565,0.5502063273727648,0,3,14,27,-50.75,0.38
Saudi Arabia,2020-03-31,1563,10,0.2,0.38,3.97,89.81,15.32,31.9,2.7,75.13,36408824.0,-55.0,-26.0,-74.0,-46.0,22.0,110.0,2.0,113.71428571428571,1.2857142857142858,85.14285714285714,21.571428571428573,2.7142857142857144,112.51020408163265,7.817152404815752,127.28571428571429,80.47959183673468,36.753906322483274,127.28571428571429,42.06206896551724,45.581202231782484,127.28571428571429,0.33167495854063017,-2.4847807376619016,1.068456375838926,0.639386189258312,1,3,14,28,-50.25,0.38
Saudi Arabia,2020-04-01,1720,16,0.2,0.38,3.97,89.81,15.32,31.9,2.7,75.13,36408824.0,-56.0,-26.0,-74.0,-46.0,22.0,157.0,6.0,117.14285714285714,2.0,104.14285714285714,21.428571428571427,2.857142857142857,114.36734693877551,6.999444653800278,127.28571428571429,87.31632653061226,33.69985622352762,127.28571428571429,44.5647619047619,46.839162993469955,127.28571428571429,0.1236413043478261,-3.564256784824148,1.0691003911342893,0.9296920395119116,2,4,14,29,-50.5,0.38
Saudi Arabia,2020-04-02,1885,21,0.21,0.38,3.97,89.81,15.32,31.9,2.7,75.13,36408824.0,-57.0,-26.0,-77.0,-46.0,26.0,165.0,5.0,124.71428571428571,2.5714285714285716,105.42857142857143,32.714285714285715,5.714285714285714,117.12244897959184,6.683021726545068,127.28571428571429,93.88775510204081,31.10342188019749,127.28571428571429,48.72190476190476,48.26035053145951,127.28571428571429,0.1812080536912751,-1.9755716073256744,1.0672371638141809,1.1134676564156947,3,4,14,30,-51.5,0.38
Saudi Arabia,2020-04-03,2039,25,0.22,0.38,3.97,89.81,15.32,31.9,2.7,75.13,36408824.0,-66.0,-32.0,-83.0,-40.0,21.0,154.0,4.0,133.57142857142858,3.142857142857143,108.57142857142857,36.857142857142854,11.571428571428571,120.69387755102039,7.917701073027907,133.57142857142858,100.79591836734694,28.05308459077521,133.57142857142858,53.174285714285716,49.7489172891653,133.57142857142858,0.22816166883963507,-1.6661779538018748,1.1761006289308178,1.2254901960784315,4,4,14,31,-55.25,0.38
