country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Serbia,2020-03-17,65,0,0.01,0.1,0.69,66.67,80.29,41.2,5.61,76.0,6871547.0,-31.0,1.0,-34.0,-29.0,10.0,10.0,0.0,4.285714285714286,0.0,4.285714285714286,0.5714285714285714,0.0,4.612244897959184,0.9643801918947479,5.857142857142857,3.591836734693878,1.624824243949878,5.857142857142857,2.311688311688312,2.156931720818444,5.857142857142857,0.0,-2.3636363636363638,0.7317073170731707,0.0,1,3,12,11,-23.25,0.1
Serbia,2020-03-17,65,0,0.01,0.1,0.69,66.67,80.29,41.2,5.61,76.0,6871547.0,-39.0,-3.0,-40.0,-40.0,14.0,0.0,0.0,2.7142857142857144,0.0,5.857142857142857,0.5714285714285714,0.0,4.163265306122449,1.018297136074349,5.142857142857143,3.7448979591836733,1.4043871286070249,5.857142857142857,2.329192546583851,2.109011842317757,5.857142857142857,-0.45833333333333326,-3.8219696969696972,0.4418604651162791,0.0,1,3,12,11,-30.5,0.1
Serbia,2020-03-18,83,0,0.01,0.1,0.69,81.48,80.29,41.2,5.61,76.0,6871547.0,-41.0,-7.0,-42.0,-38.0,13.0,18.0,0.0,5.285714285714286,0.0,4.857142857142857,1.5714285714285714,0.0,4.224489795918367,1.0780971611242198,5.285714285714286,4.0102040816326525,1.3098639014161877,5.857142857142857,2.4523809523809526,2.1491281601071424,5.857142857142857,0.07317073170731712,-1.2046070460704608,1.0277777777777777,0.0,2,3,12,12,-32.0,0.1
Serbia,2020-03-18,83,0,0.01,0.1,0.69,81.48,80.29,41.2,5.61,76.0,6871547.0,-48.0,-12.0,-49.0,-46.0,19.0,0.0,0.0,5.0,0.0,5.142857142857143,1.5714285714285714,0.0,4.204081632653062,1.0589981880501447,5.285714285714286,4.255102040816326,1.1265018880145659,5.857142857142857,2.5542857142857143,2.164698216229444,5.857142857142857,-0.023255813953488434,-1.4121447028423777,0.813953488372093,0.0,2,3,12,12,-38.75,0.1
Serbia,2020-03-19,103,0,0.01,0.1,0.69,81.48,80.29,41.2,5.61,76.0,6871547.0,-44.0,-12.0,-44.0,-42.0,15.0,20.0,0.0,7.857142857142857,0.0,4.142857142857143,2.5714285714285716,0.0,4.734693877551021,1.7368134309913414,7.857142857142857,4.63265306122449,1.3767687760982967,7.857142857142857,2.758241758241758,2.3622090079360576,7.857142857142857,0.722222222222222,0.282222222222222,2.0370370370370368,0.0,3,3,12,13,-35.5,0.1
Serbia,2020-03-19,103,0,0.01,0.1,0.69,81.48,80.29,41.2,5.61,76.0,6871547.0,-50.0,-15.0,-52.0,-51.0,20.0,0.0,0.0,6.857142857142857,0.0,5.142857142857143,2.5714285714285716,0.0,4.979591836734694,1.915615336794345,7.857142857142857,4.938775510204081,1.359557465301753,7.857142857142857,2.91005291005291,2.4469723541469395,7.857142857142857,0.27906976744186035,-0.4409302325581396,1.2972972972972971,0.0,3,3,12,13,-42.0,0.1
Serbia,2020-03-20,135,1,0.01,0.1,0.69,81.48,80.29,41.2,5.61,76.0,6871547.0,-47.0,-12.0,-49.0,-43.0,17.0,32.0,1.0,11.428571428571429,0.14285714285714285,2.857142857142857,4.857142857142857,0.0,6.20408163265306,2.8462376919414494,11.428571428571429,5.408163265306122,2.2023657487418435,11.428571428571429,3.2142857142857144,2.890937700140253,11.428571428571429,2.2222222222222223,2.5636856368563685,3.076923076923077,0.7352941176470588,4,3,12,14,-37.75,0.1
Serbia,2020-03-20,135,1,0.01,0.1,0.69,81.48,80.29,41.2,5.61,76.0,6871547.0,-53.0,-17.0,-56.0,-51.0,21.0,0.0,0.0,10.0,0.14285714285714285,4.285714285714286,4.285714285714286,0.5714285714285714,7.020408163265306,3.018569030072034,11.428571428571429,5.816326530612245,2.4891781924079077,11.428571428571429,3.4482758620689653,3.105934350465869,11.428571428571429,1.0810810810810811,1.0810810810810811,1.590909090909091,0.7352941176470588,4,3,12,14,-44.25,0.1
Serbia,2020-03-21,171,1,0.01,0.1,0.69,100.0,80.29,41.2,5.61,76.0,6871547.0,-52.0,-15.0,-47.0,-35.0,11.0,36.0,0.0,15.142857142857142,0.14285714285714285,2.7142857142857144,5.857142857142857,0.5714285714285714,8.795918367346939,3.652282058812468,15.142857142857142,6.479591836734693,3.5232384591083044,15.142857142857142,3.838095238095238,3.724641367871374,15.142857142857142,3.346153846153846,3.804487179487179,2.5238095238095237,0.5813953488372093,5,3,12,15,-37.25,0.1
Serbia,2020-03-21,171,1,0.01,0.1,0.69,100.0,80.29,41.2,5.61,76.0,6871547.0,-56.0,-17.0,-55.0,-39.0,14.0,0.0,0.0,12.571428571428571,0.14285714285714285,5.285714285714286,4.857142857142857,1.5714285714285714,9.83673469387755,3.521004583215466,15.142857142857142,7.030612244897959,3.8390616377967195,15.142857142857142,4.257142857142857,3.976602930339867,15.142857142857142,1.1590909090909092,1.085920177383592,1.4193548387096773,0.5813953488372093,5,3,12,15,-41.75,0.1
