country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Sierra Leone,2020-04-22,61,0,,0.0,0.0,81.48,104.7,19.1,,54.7,8605723.0,,,,,,11.0,0.0,6.857142857142857,0.0,0.8571428571428571,0.7142857142857143,1.0,3.9387755102040813,1.9252301617985652,6.857142857142857,2.3163265306122445,2.133811362492465,6.857142857142857,1.7397186147186148,1.8562497687418091,6.857142857142857,3.230769230769231,3.1474358974358974,1.9199999999999997,0.0,2,4,17,21,,0.0
Sierra Leone,2020-04-23,64,1,,0.0,0.0,81.48,104.7,19.1,,54.7,8605723.0,,,,,,3.0,1.0,7.0,0.14285714285714285,1.1428571428571428,0.7142857142857143,0.5,4.775510204081633,1.7744542954517672,7.0,2.7653061224489797,2.4137278390871084,7.0,1.9684265010351967,2.1194598336102066,7.0,2.733333333333334,2.483333333333334,1.6896551724137934,1.5384615384615385,3,4,17,22,,0.0
Sierra Leone,2020-04-24,82,2,,0.0,0.0,81.48,104.7,19.1,,54.7,8605723.0,,,,,,18.0,1.0,8.0,0.2857142857142857,2.5714285714285716,0.8571428571428571,0.3333333333333333,5.551020408163266,1.8358274403305315,8.0,3.2755102040816326,2.7154215585910744,8.0,2.2197420634920637,2.410939473076981,8.0,1.52,0.5969230769230769,1.75,2.4096385542168677,4,4,17,23,,0.0
Sierra Leone,2020-04-25,82,2,,0.0,0.0,81.48,104.7,19.1,,54.7,8605723.0,,,,,,0.0,0.0,7.428571428571429,0.2857142857142857,3.142857142857143,0.5714285714285714,0.75,6.163265306122448,1.5981038326899495,8.0,3.7653061224489797,2.807037099401513,8.0,2.428095238095238,2.5798667399828115,8.0,1.03448275862069,-0.6018808777429463,1.3,2.4096385542168677,5,4,17,24,,0.0
Sierra Leone,2020-04-26,93,4,,0.0,0.0,77.78,104.7,19.1,,54.7,8605723.0,,,,,,11.0,2.0,8.285714285714286,0.5714285714285714,3.5714285714285716,0.5714285714285714,1.0,6.836734693877552,1.2868475730966884,8.285714285714286,4.316326530612245,2.8878452426978485,8.285714285714286,2.6533882783882783,2.7765382591175065,8.285714285714286,1.0312500000000002,-0.877840909090909,1.2608695652173916,4.25531914893617,6,4,17,25,,0.0
Sierra Leone,2020-04-27,93,4,,0.0,0.0,77.78,104.7,19.1,,54.7,8605723.0,,,,,,0.0,0.0,7.142857142857143,0.5714285714285714,4.714285714285714,0.5714285714285714,0.8333333333333334,7.183673469387755,0.8833851315102427,8.285714285714286,4.785714285714286,2.7637198784824406,8.285714285714286,2.819664902998236,2.856422955137461,8.285714285714286,0.42500000000000004,-2.211363636363637,0.9090909090909092,4.25531914893617,0,4,18,26,,0.0
Sierra Leone,2020-04-28,104,4,,0.0,0.0,77.78,104.7,19.1,,54.7,8605723.0,,,,,,11.0,0.0,7.714285714285714,0.5714285714285714,5.571428571428571,0.7142857142857143,0.7142857142857143,7.4897959183673475,0.5336126576609044,8.285714285714286,5.285714285714286,2.5987558912109483,8.285714285714286,2.9944727891156466,2.9517079119614227,8.285714285714286,0.3260869565217392,-2.507246376811594,0.9642857142857143,3.8095238095238098,1,4,18,27,,0.0
Sierra Leone,2020-04-29,104,4,,0.0,0.0,77.78,104.7,19.1,,54.7,8605723.0,,,,,,0.0,0.0,6.142857142857143,0.5714285714285714,6.857142857142857,0.8571428571428571,0.7142857142857143,7.387755102040816,0.7129238718376266,8.285714285714286,5.663265306122449,2.268899098084988,8.285714285714286,3.1030377668308704,2.9568936940112884,8.285714285714286,-0.09090909090909081,-3.3216783216783217,0.6825396825396826,3.8095238095238098,2,4,18,28,,0.0
Sierra Leone,2020-04-30,124,7,,0.0,0.0,77.78,104.7,19.1,,54.7,8605723.0,,,,,,20.0,3.0,8.571428571428571,0.8571428571428571,7.0,1.1428571428571428,0.7142857142857143,7.612244897959184,0.8111228704589277,8.571428571428571,6.193877551020408,1.9807607935771818,8.571428571428571,3.28531746031746,3.0722152531403917,8.571428571428571,0.1964285714285714,-2.536904761904762,1.0169491525423728,5.6000000000000005,3,4,18,29,,0.0
Sierra Leone,2020-05-01,136,7,,0.0,0.0,77.78,104.7,19.1,,54.7,8605723.0,,,,,,12.0,0.0,7.714285714285714,0.7142857142857143,8.0,2.5714285714285716,0.8571428571428571,7.571428571428571,0.7953949089757143,8.571428571428571,6.561224489795919,1.7165409028049605,8.571428571428571,3.509126984126984,3.1437241976675683,8.571428571428571,-0.03174603174603173,-1.5517460317460317,0.8307692307692307,5.109489051094891,4,5,18,30,,0.0
Sierra Leone,2020-05-02,155,8,,0.0,0.0,77.78,104.7,19.1,,54.7,8605723.0,,,,,,19.0,1.0,10.428571428571429,0.8571428571428571,7.428571428571429,3.142857142857143,0.5714285714285714,8.0,1.3324827218698283,10.428571428571429,7.081632653061225,1.70484054205319,10.428571428571429,3.8400793650793648,3.332934064953145,10.428571428571429,0.3559322033898305,-0.6785505552308595,1.2807017543859651,5.128205128205128,5,5,18,31,,0.0
Sierra Leone,2020-05-03,166,8,,0.0,0.0,88.89,104.7,19.1,,54.7,8605723.0,,,,,,11.0,0.0,10.428571428571429,0.5714285714285714,8.285714285714286,3.5714285714285716,0.5714285714285714,8.306122448979592,1.6234434123552093,10.428571428571429,7.571428571428571,1.600627820310605,10.428571428571429,4.176587301587301,3.47334116773984,10.428571428571429,0.2307692307692307,-0.8004807692307695,1.1967213114754098,4.790419161676647,6,5,18,32,,0.0
Sierra Leone,2020-05-04,178,9,,0.0,0.0,88.89,104.7,19.1,,54.7,8605723.0,,,,,,12.0,1.0,12.142857142857142,0.7142857142857143,7.142857142857143,4.714285714285714,0.5714285714285714,9.020408163265307,2.065967466913265,12.142857142857142,8.10204081632653,1.7995539055005891,12.142857142857142,4.556349206349207,3.7011286660509044,12.142857142857142,0.6140350877192982,0.1890350877192981,1.6999999999999997,5.027932960893855,0,5,19,33,,0.0
Sierra Leone,2020-05-05,199,11,,0.0,0.0,88.89,104.7,19.1,,54.7,8605723.0,,,,,,21.0,2.0,13.571428571428571,1.0,7.714285714285714,5.571428571428571,0.7142857142857143,9.857142857142858,2.5727509827123973,13.571428571428571,8.673469387755102,2.1668463591594898,13.571428571428571,4.9753968253968255,3.9853536067211084,13.571428571428571,0.6721311475409835,0.3460441910192443,1.4179104477611941,5.5,1,5,19,34,,0.0
Sierra Leone,2020-05-06,225,14,,0.0,0.0,70.37,104.7,19.1,,54.7,8605723.0,,,,,,26.0,3.0,17.285714285714285,1.4285714285714286,6.142857142857143,6.857142857142857,0.8571428571428571,11.448979591836734,3.249729001185596,17.285714285714285,9.418367346938776,3.090200384552004,17.285714285714285,5.523809523809524,4.495103808074639,17.285714285714285,1.5599999999999998,1.6509090909090907,1.983606557377049,6.1946902654867255,2,5,19,35,,0.0
Sierra Leone,2020-05-07,231,16,,0.0,0.0,70.37,104.7,19.1,,54.7,8605723.0,,,,,,6.0,2.0,15.285714285714286,1.2857142857142858,8.571428571428571,7.0,1.1428571428571428,12.408163265306124,3.2497290011855964,17.285714285714285,10.010204081632653,3.371998594815209,17.285714285714285,6.0095238095238095,4.738174038671076,17.285714285714285,0.701492537313433,0.5050639658848616,1.3375000000000001,6.896551724137931,3,5,19,36,,0.0
