country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
South Africa,2020-03-27,1170,1,0.14,0.0,0.0,87.96,46.75,27.3,2.32,64.13,59893884.0,-80.0,-61.0,-81.0,-75.0,40.0,243.0,1.0,138.28571428571428,0.14285714285714285,25.428571428571427,3.2857142857142856,0.0,73.36734693877553,41.00397003699698,138.28571428571428,42.93877551020408,42.414480003023606,138.28571428571428,27.776406926406924,39.186796444822775,138.28571428571428,4.27027027027027,-0.8963963963963968,4.208695652173912,0.08539709649871904,4,3,13,21,-74.25,0.0
South Africa,2020-03-28,1187,1,0.06,0.0,0.0,87.96,46.75,27.3,2.32,64.13,59893884.0,-80.0,-60.0,-79.0,-58.0,28.0,17.0,0.0,135.28571428571428,0.14285714285714285,28.857142857142858,5.285714285714286,0.0,88.57142857142857,41.477967268267655,138.28571428571428,52.224489795918366,47.466511843403346,138.28571428571428,32.45072463768116,44.36594918563368,138.28571428571428,3.5645933014354063,-0.18540669856459413,2.729106628242075,0.08417508417508417,5,3,13,22,-69.25,0.0
South Africa,2020-03-29,1280,2,0.06,0.0,0.0,87.96,46.75,27.3,2.32,64.13,59893884.0,-79.0,-60.0,-80.0,-49.0,24.0,93.0,1.0,143.71428571428572,0.2857142857142857,31.857142857142858,6.857142857142857,0.6666666666666666,104.55102040816327,37.325870418876036,143.71428571428572,62.0,51.339177496302575,143.71428571428572,37.086706349206345,48.97523243892111,143.71428571428572,3.404347826086956,0.22252964426877408,2.0160320641282565,0.156128024980484,6,3,13,23,-67.0,0.0
South Africa,2020-03-30,1326,3,0.05,0.0,0.0,87.96,46.75,27.3,2.32,64.13,59893884.0,-73.0,-51.0,-79.0,-74.0,36.0,46.0,1.0,132.0,0.42857142857142855,48.57142857142857,8.428571428571429,0.5,116.46938775510203,28.823378913855016,143.71428571428572,70.82653061224491,52.03818120579348,143.71428571428572,40.88323809523809,51.56524184849155,143.71428571428572,1.6829971181556198,-2.574578639420137,1.54,0.22607385079125847,0,3,14,24,-69.25,0.0
South Africa,2020-03-31,1353,5,0.04,0.0,0.0,87.96,46.75,27.3,2.32,64.13,59893884.0,-72.0,-47.0,-78.0,-74.0,35.0,27.0,2.0,114.14285714285714,0.7142857142857143,70.28571428571429,7.857142857142857,1.2,122.73469387755104,20.74618702306795,143.71428571428572,78.41836734693878,49.852009064875624,143.71428571428572,43.70091575091575,52.5265379772132,143.71428571428572,0.6152304609218435,-6.433156635852351,1.0191326530612244,0.3692762186115214,1,3,14,25,-67.75,0.0
South Africa,2020-04-01,1380,5,0.05,0.0,0.0,87.96,46.75,27.3,2.32,64.13,59893884.0,-70.0,-42.0,-77.0,-73.0,35.0,27.0,0.0,95.85714285714286,0.7142857142857143,84.71428571428571,14.714285714285714,2.0,124.3265306122449,17.519224481506903,143.71428571428572,84.21428571428571,46.47869652614229,143.71428571428572,45.6326278659612,52.47543418187024,143.71428571428572,0.13000000000000012,-4.324545454545455,0.6882051282051282,0.3620564808110065,2,4,14,26,-65.5,0.0
South Africa,2020-04-02,1462,5,0.06,0.0,0.0,87.96,46.75,27.3,2.32,64.13,59893884.0,-70.0,-41.0,-78.0,-73.0,37.0,82.0,0.0,76.42857142857143,0.7142857142857143,111.0,19.0,2.2857142857142856,119.38775510204081,25.12441345789984,143.71428571428572,88.31632653061224,42.65752701340416,143.71428571428572,46.73248299319728,51.82233540717703,143.71428571428572,-0.3086734693877551,-4.908673469387755,0.5607966457023061,0.3417634996582365,3,4,14,27,-65.5,0.0
South Africa,2020-04-03,1505,9,0.04,0.0,0.0,87.96,46.75,27.3,2.32,64.13,59893884.0,-72.0,-42.0,-78.0,-73.0,38.0,43.0,4.0,47.857142857142854,1.1428571428571428,138.28571428571428,25.428571428571427,3.2857142857142856,106.46938775510203,35.06832148836983,143.71428571428572,89.91836734693878,40.479609545623546,143.71428571428572,46.77126436781609,50.888951689793146,143.71428571428572,-0.6492307692307692,-4.919501039501039,0.33070088845014806,0.5976095617529881,4,4,14,28,-66.25,0.0
South Africa,2020-04-04,1585,9,0.06,0.0,0.0,87.96,46.75,27.3,2.32,64.13,59893884.0,-77.0,-52.0,-77.0,-55.0,27.0,80.0,0.0,56.857142857142854,1.1428571428571428,135.28571428571428,28.857142857142858,5.285714285714286,95.26530612244899,36.812581826843065,143.71428571428572,91.91836734693878,37.8360386659752,143.71428571428572,47.107460317460315,50.03775313590921,143.71428571428572,-0.5754716981132075,-4.140064999548613,0.4274973147153598,0.5674653215636822,5,4,14,29,-65.25,0.0
South Africa,2020-04-05,1655,11,0.05,0.0,0.0,87.96,46.75,27.3,2.32,64.13,59893884.0,-76.0,-51.0,-78.0,-44.0,22.0,70.0,2.0,53.57142857142857,1.2857142857142858,143.71428571428572,31.857142857142858,6.857142857142857,82.38775510204081,32.560849815678075,132.0,93.46938775510203,35.56122933225792,143.71428571428572,48.89317460317461,49.24832650072441,143.71428571428572,-0.6229022704837118,-4.027250096570668,0.4652605459057072,0.6642512077294686,6,4,14,30,-62.25,0.0
