country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
South Sudan,2020-04-27,6,0,0.02,0.0,0.01,86.11,,19.2,,57.85,10913172.0,,,,,,0.0,0.0,0.2857142857142857,0.0,0.0,0.42857142857142855,0.0,0.14285714285714282,0.116642368703961,0.2857142857142857,0.12244897959183673,0.12349111735822374,0.2857142857142857,0.2274891774891775,0.2021423527108803,0.6,0.2857142857142857,0.5857142857142856,0.2857142857142857,0.0,0,4,18,21,,0.0
South Sudan,2020-04-28,34,0,0.02,0.0,0.01,86.11,,19.2,,57.85,10913172.0,,,,,,28.0,0.0,4.285714285714286,0.0,0.0,0.2857142857142857,0.5,0.7551020408163265,1.5599456769590305,4.285714285714286,0.4081632653061224,1.1218636978427192,4.285714285714286,0.4039337474120083,0.8689395677048278,4.285714285714286,4.285714285714286,4.507936507936508,3.75,0.0,1,4,18,22,,0.0
South Sudan,2020-04-29,34,0,0.02,0.0,0.01,86.11,,19.2,,57.85,10913172.0,,,,,,0.0,0.0,4.285714285714286,0.0,0.0,0.2857142857142857,0.3333333333333333,1.3673469387755102,1.9946478434641903,4.285714285714286,0.6938775510204083,1.5251498553204932,4.285714285714286,0.5656746031746032,1.16192510857407,4.285714285714286,4.285714285714286,4.507936507936508,3.75,0.0,2,4,18,23,,0.0
South Sudan,2020-04-30,35,0,0.02,0.0,0.01,86.11,,19.2,,57.85,10913172.0,,,,,,1.0,0.0,4.285714285714286,0.0,0.14285714285714285,0.14285714285714285,0.5,1.959183673469388,2.1770514380792108,4.285714285714286,0.9897959183673469,1.7890862982154982,4.285714285714286,0.7144761904761904,1.3591780062257148,4.285714285714286,3.6249999999999996,3.6249999999999996,3.75,0.0,3,4,18,24,,0.0
South Sudan,2020-05-01,45,0,0.02,0.0,0.01,86.11,,19.2,,57.85,10913172.0,,,,,,10.0,0.0,5.714285714285714,0.0,0.14285714285714285,0.0,0.6,2.7551020408163263,2.4084803204175613,5.714285714285714,1.3979591836734695,2.1594075670405672,5.714285714285714,0.9067765567765568,1.653764028319649,5.714285714285714,4.875,4.732142857142857,4.444444444444445,0.0,4,5,18,25,,0.0
South Sudan,2020-05-02,45,0,0.02,0.0,0.01,86.11,,19.2,,57.85,10913172.0,,,,,,0.0,0.0,5.714285714285714,0.0,0.14285714285714285,0.0,0.5,3.5510204081632653,2.3203163217215503,5.714285714285714,1.8061224489795917,2.401338678758355,5.714285714285714,1.0848324514991181,1.8670165988426977,5.714285714285714,4.875,4.732142857142857,4.444444444444445,0.0,5,5,18,26,,0.0
South Sudan,2020-05-03,46,0,0.02,0.0,0.01,86.11,,19.2,,57.85,10913172.0,,,,,,1.0,0.0,5.714285714285714,0.0,0.2857142857142857,0.0,0.42857142857142855,4.326530612244897,1.9196695536824235,5.714285714285714,2.2142857142857144,2.5516639690580365,5.714285714285714,1.250170068027211,2.030288615071815,5.714285714285714,4.222222222222223,3.9365079365079376,1.0810810810810811,0.0,6,5,18,27,,0.0
South Sudan,2020-05-04,46,0,0.02,0.0,0.01,86.11,,19.2,,57.85,10913172.0,,,,,,0.0,0.0,5.714285714285714,0.0,0.2857142857142857,0.0,0.42857142857142855,5.1020408163265305,0.763603548321211,5.714285714285714,2.622448979591837,2.626161785430657,5.714285714285714,1.404105090311987,2.1591754791629327,5.714285714285714,4.222222222222223,3.9365079365079376,1.0810810810810811,0.0,0,5,19,28,,0.0
South Sudan,2020-05-05,52,0,0.02,0.0,0.01,86.11,,19.2,,57.85,10913172.0,,,,,,6.0,0.0,2.5714285714285716,0.0,4.285714285714286,0.0,0.2857142857142857,4.857142857142857,1.212183053462652,5.714285714285714,2.806122448979592,2.5162624240485387,5.714285714285714,1.443015873015873,2.1322992902608817,5.714285714285714,-0.3243243243243243,-4.61003861003861,0.4864864864864865,0.0,1,5,19,29,,0.0
South Sudan,2020-05-06,58,0,0.02,0.0,0.01,86.11,,19.2,,57.85,10913172.0,,,,,,6.0,0.0,3.4285714285714284,0.0,4.285714285714286,0.0,0.2857142857142857,4.734693877551021,1.3181841030167454,5.714285714285714,3.0510204081632653,2.385597248466421,5.714285714285714,1.5573015873015874,2.144138818796992,5.714285714285714,-0.16216216216216217,-4.447876447876448,0.5106382978723404,0.0,2,5,19,30,,0.0
South Sudan,2020-05-07,74,0,0.02,0.0,0.01,82.41,,19.2,,57.85,10913172.0,,,,,,16.0,0.0,5.571428571428571,0.0,4.285714285714286,0.14285714285714285,0.14285714285714285,4.918367346938775,1.3346689132034646,5.714285714285714,3.4387755102040813,2.3167293337829338,5.714285714285714,1.7263492063492063,2.254960989240578,5.714285714285714,0.24324324324324323,-3.381756756756756,0.8297872340425532,0.0,3,5,19,31,,0.0
South Sudan,2020-05-08,120,0,0.02,0.0,0.01,78.7,,19.2,,57.85,10913172.0,,,,,,46.0,0.0,10.714285714285714,0.0,5.714285714285714,0.14285714285714285,0.0,5.63265306122449,2.584434230454547,10.714285714285714,4.1938775510204085,2.826543363776075,10.714285714285714,2.072380952380952,2.77122525619911,10.714285714285714,0.7446808510638296,-4.13031914893617,1.5957446808510636,0.0,4,5,19,32,,0.0
South Sudan,2020-05-09,120,0,0.02,0.0,0.01,78.7,,19.2,,57.85,10913172.0,,,,,,0.0,0.0,10.714285714285714,0.0,5.714285714285714,0.14285714285714285,0.0,6.346938775510203,3.222853283154923,10.714285714285714,4.948979591836734,3.0632306351625322,10.714285714285714,2.412857142857143,3.1701376461101827,10.714285714285714,0.7446808510638296,-4.13031914893617,1.5957446808510636,0.0,5,5,19,33,,0.0
South Sudan,2020-05-10,120,0,0.02,0.0,0.01,78.7,,19.2,,57.85,10913172.0,,,,,,0.0,0.0,10.571428571428571,0.0,5.714285714285714,0.2857142857142857,0.0,7.040816326530611,3.5682979476151258,10.714285714285714,5.683673469387756,3.0920867103406935,10.714285714285714,2.7452380952380953,3.481007246090929,10.714285714285714,0.7234042553191489,-3.4988179669030743,2.96,0.0,6,5,19,34,,0.0
South Sudan,2020-05-11,156,0,0.02,0.0,0.01,78.7,,19.2,,57.85,10913172.0,,,,,,36.0,0.0,15.714285714285714,0.0,5.714285714285714,0.2857142857142857,0.0,8.469387755102039,4.753598197280204,15.714285714285714,6.785714285714286,3.7082579999286107,15.714285714285714,3.2523809523809524,4.1805964666295745,15.714285714285714,1.4893617021276595,-2.7328605200945635,3.548387096774193,0.0,0,5,20,35,,0.0
South Sudan,2020-05-12,194,0,0.02,0.0,0.01,73.15,,19.2,,57.85,10913172.0,,,,,,38.0,0.0,20.285714285714285,0.0,2.5714285714285716,4.285714285714286,0.0,11.0,5.70952182374166,20.285714285714285,7.928571428571429,5.087538257930124,20.285714285714285,3.9142857142857137,5.172410978183612,20.285714285714285,4.959999999999999,5.284324324324324,3.0869565217391304,0.0,1,5,20,36,,0.0
South Sudan,2020-05-13,203,0,0.02,0.0,0.01,73.15,,19.2,,57.85,10913172.0,,,,,,9.0,0.0,20.714285714285715,0.0,3.4285714285714284,4.285714285714286,0.0,13.469387755102039,5.6265371509465325,20.714285714285715,9.10204081632653,5.996186273941201,20.714285714285715,4.590476190476191,5.966093892256653,20.714285714285715,3.9032258064516134,4.065387968613775,1.7682926829268295,0.0,2,5,20,37,,0.0
South Sudan,2020-05-14,203,0,0.02,0.0,0.01,73.15,,19.2,,57.85,10913172.0,,,,,,0.0,0.0,18.428571428571427,0.0,5.571428571428571,4.285714285714286,0.14285714285714285,15.306122448979592,4.628680606758044,20.714285714285715,10.112244897959183,6.305707108603537,20.714285714285715,5.195238095238095,6.4171747181208945,20.714285714285715,1.9565217391304346,1.7132784958871914,1.5731707317073171,0.0,3,5,20,38,,0.0
South Sudan,2020-05-15,236,4,0.02,0.0,0.01,73.15,,19.2,,57.85,10913172.0,,,,,,33.0,4.0,16.571428571428573,0.5714285714285714,10.714285714285714,5.714285714285714,0.14285714285714285,16.142857142857142,4.166598638900446,20.714285714285715,10.887755102040815,6.390283679070188,20.714285714285715,5.738095238095237,6.671341898080808,20.714285714285715,0.5000000000000002,-0.24468085106382942,1.432098765432099,1.6877637130801686,4,5,20,39,,0.0
South Sudan,2020-05-16,236,4,0.02,0.0,0.01,73.15,,19.2,,57.85,10913172.0,,,,,,0.0,0.0,16.571428571428573,0.5714285714285714,10.714285714285714,5.714285714285714,0.14285714285714285,16.97959183673469,3.415081169968474,20.714285714285715,11.663265306122451,6.372923281741865,20.714285714285715,6.285714285714286,6.867602859505652,20.714285714285715,0.5000000000000002,-0.24468085106382942,0.9914529914529915,1.6877637130801686,5,5,20,40,,0.0
South Sudan,2020-05-17,290,4,0.02,0.0,0.01,73.15,,19.2,,57.85,10913172.0,,,,,,54.0,0.0,24.285714285714285,0.5714285714285714,10.571428571428571,5.714285714285714,0.2857142857142857,18.938775510204078,3.0392636313417807,24.285714285714285,12.989795918367347,6.946411672222003,24.285714285714285,7.095238095238094,7.503068416030974,24.285714285714285,1.1851851851851851,0.46178092986603625,1.1409395973154361,1.3745704467353952,6,5,20,41,,0.0
South Sudan,2020-05-18,290,4,0.02,0.0,0.01,73.15,,19.2,,57.85,10913172.0,,,,,,0.0,0.0,19.142857142857142,0.5714285714285714,15.714285714285714,5.714285714285714,0.2857142857142857,19.428571428571427,2.689106267332463,24.285714285714285,13.948979591836734,6.789873136857723,24.285714285714285,7.733333333333333,7.690506438450583,24.285714285714285,0.20512820512820512,-1.2842334969994544,0.881578947368421,1.3745704467353952,0,5,21,42,,0.0
South Sudan,2020-05-19,290,4,0.02,0.0,0.01,73.15,,19.2,,57.85,10913172.0,,,,,,0.0,0.0,13.714285714285714,0.5714285714285714,20.285714285714285,2.5714285714285716,4.285714285714286,18.48979591836735,3.3945305576045604,24.285714285714285,14.744897959183675,5.955401640653854,24.285714285714285,8.19047619047619,7.622269433749124,24.285714285714285,-0.3087248322147651,-5.268724832214764,0.7058823529411765,1.3745704467353952,1,5,21,43,,0.0
South Sudan,2020-05-20,290,4,0.02,0.0,0.01,73.15,,19.2,,57.85,10913172.0,,,,,,0.0,0.0,12.428571428571429,0.5714285714285714,20.714285714285715,3.4285714285714284,4.285714285714286,17.30612244897959,3.8969974238229583,24.285714285714285,15.387755102040815,5.0580394596720915,24.285714285714285,8.604761904761904,7.498504034088241,24.285714285714285,-0.3815789473684211,-4.284804753820034,0.7073170731707317,1.3745704467353952,2,5,21,44,,0.0
South Sudan,2020-05-21,481,4,0.02,0.0,0.01,73.15,,19.2,,57.85,10913172.0,,,,,,191.0,0.0,39.714285714285715,0.5714285714285714,18.428571428571427,5.571428571428571,4.285714285714286,20.346938775510207,9.374250860901354,39.714285714285715,17.8265306122449,7.56887341737547,39.714285714285715,9.928571428571427,9.232225633496142,39.714285714285715,1.095588235294118,-0.8609335038363166,2.2601626016260163,0.8298755186721992,3,5,21,45,,0.0
South Sudan,2020-05-22,563,6,0.02,0.0,0.01,73.15,,19.2,,57.85,10913172.0,,,,,,82.0,2.0,46.714285714285715,0.2857142857142857,16.571428571428573,10.714285714285714,5.714285714285714,24.653061224489797,13.406734307106298,46.714285714285715,20.397959183673468,10.51039383468647,46.714285714285715,11.485714285714286,11.224445524831125,46.714285714285715,1.7154471544715446,1.2154471544715444,1.8474576271186443,1.0638297872340425,4,5,21,46,,0.0
South Sudan,2020-05-23,655,8,0.02,0.0,0.01,73.15,,19.2,,57.85,10913172.0,,,,,,92.0,2.0,59.857142857142854,0.5714285714285714,16.571428571428573,10.714285714285714,5.714285714285714,30.83673469387755,18.18787601176239,59.857142857142854,23.908163265306122,14.482990309249837,59.857142857142854,13.476190476190478,14.07606426770602,59.857142857142854,2.463414634146341,1.9634146341463408,2.971631205673759,1.2195121951219512,5,5,21,47,,0.0
South Sudan,2020-05-24,655,8,0.02,0.0,0.01,73.15,,19.2,,57.85,10913172.0,,,,,,0.0,0.0,52.142857142857146,0.5714285714285714,24.285714285714285,10.571428571428571,5.714285714285714,34.816326530612244,19.51481458631345,59.857142857142854,26.877551020408163,15.7449109311152,59.857142857142854,15.209523809523809,15.506541414767531,59.857142857142854,1.1016949152542375,-0.08349026993094766,3.5436893203883497,1.2195121951219512,6,5,21,48,,0.0
South Sudan,2020-05-25,806,8,0.02,0.0,0.01,73.15,,19.2,,57.85,10913172.0,,,,,,151.0,0.0,73.71428571428571,0.5714285714285714,19.142857142857142,15.714285714285714,5.714285714285714,42.61224489795918,22.828808969160807,73.71428571428571,31.020408163265305,19.712363112402805,73.71428571428571,17.66190476190476,18.558862111939504,73.71428571428571,2.7092198581560285,2.504091653027823,5.489361702127659,0.9913258983890955,0,5,22,49,,0.0
South Sudan,2020-05-26,806,8,0.02,0.0,0.01,73.15,,19.2,,57.85,10913172.0,,,,,,0.0,0.0,73.71428571428571,0.5714285714285714,13.714285714285714,20.285714285714285,2.5714285714285716,51.183673469387756,21.388806641855492,73.71428571428571,34.83673469387755,22.45531807191111,73.71428571428571,20.10952380952381,20.88451147646511,73.71428571428571,4.077669902912621,4.386394735127387,1.8105263157894735,0.9913258983890955,1,5,22,50,,0.0
South Sudan,2020-05-27,994,10,0.02,0.0,0.01,73.15,,19.2,,57.85,10913172.0,,,,,,188.0,2.0,100.57142857142857,0.8571428571428571,12.428571428571429,20.714285714285715,3.4285714285714284,63.77551020408163,20.705064801994936,100.57142857142857,40.54081632653061,28.040124791812804,100.57142857142857,23.452380952380953,25.18525543349309,100.57142857142857,6.5638297872340425,6.945408734602464,2.1077844311377243,1.0050251256281406,2,5,22,51,,0.0
