country,date,confirmed_cumulative,deaths_cumulative,new_tests_per_thousand,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,hospital_beds_per_thousand,life_expectancy,population,mob_retail,mob_grocery,mob_transit,mob_work,mob_residential,new_cases,new_deaths,new_cases_7d,new_deaths_7d,new_cases_7d_lag7,new_cases_7d_lag14,new_cases_7d_lag21,new_cases_7d_rmean7,new_cases_7d_rstd7,new_cases_7d_rmax7,new_cases_7d_rmean14,new_cases_7d_rstd14,new_cases_7d_rmax14,new_cases_7d_rmean30,new_cases_7d_rstd30,new_cases_7d_rmax30,growth_rate,growth_accel,r0_estimate,cfr,day_of_week,month,week_of_year,days_since_start,mob_composite,vax_lag14
Sri Lanka,2020-02-18,1,0,0.0,0.0,0.03,8.33,341.96,34.1,3.6,76.98,21832150.0,0.0,2.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,8,21,3.25,0.0
Sri Lanka,2020-02-19,1,0,0.0,0.0,0.03,8.33,341.96,34.1,3.6,76.98,21832150.0,0.0,3.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,8,22,3.0,0.0
Sri Lanka,2020-02-20,1,0,0.0,0.0,0.03,8.33,341.96,34.1,3.6,76.98,21832150.0,4.0,3.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,8,23,5.0,0.0
Sri Lanka,2020-02-21,1,0,0.0,0.0,0.03,8.33,341.96,34.1,3.6,76.98,21832150.0,2.0,5.0,0.0,-18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,8,24,-2.75,0.0
Sri Lanka,2020-02-22,1,0,0.0,0.0,0.03,8.33,341.96,34.1,3.6,76.98,21832150.0,0.0,-1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,8,25,0.25,0.0
Sri Lanka,2020-02-23,1,0,0.0,0.0,0.03,8.33,341.96,34.1,3.6,76.98,21832150.0,1.0,1.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,8,26,2.75,0.0
Sri Lanka,2020-02-24,1,0,0.0,0.0,0.03,11.11,341.96,34.1,3.6,76.98,21832150.0,-1.0,1.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,9,27,2.75,0.0
Sri Lanka,2020-02-25,1,0,0.0,0.0,0.03,11.11,341.96,34.1,3.6,76.98,21832150.0,3.0,8.0,6.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,9,28,6.25,0.0
Sri Lanka,2020-02-26,1,0,0.0,0.0,0.03,11.11,341.96,34.1,3.6,76.98,21832150.0,2.0,7.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,9,29,5.0,0.0
Sri Lanka,2020-02-27,1,0,0.0,0.0,0.03,11.11,341.96,34.1,3.6,76.98,21832150.0,3.0,5.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,9,30,4.75,0.0
Sri Lanka,2020-02-28,1,0,0.0,0.0,0.03,11.11,341.96,34.1,3.6,76.98,21832150.0,5.0,9.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,9,31,7.0,0.0
Sri Lanka,2020-02-29,1,0,0.0,0.0,0.03,11.11,341.96,34.1,3.6,76.98,21832150.0,5.0,5.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,9,32,6.25,0.0
